Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,33.05,33.05,33.05,33.05,1,0
2012-07-03,1,32.65,32.65,32.65,32.65,1,0
2012-07-04,2,32.7,32.7,32.7,32.7,1,0
2012-07-05,3,33.05,33.05,33.05,33.05,1,0
2012-07-06,4,32.5,32.5,32.5,32.5,1,0
2012-07-09,7,32.3,32.3,32.3,32.3,1,0
2012-07-10,8,32.6,32.6,32.6,32.6,1,0
2012-07-11,9,32.55,32.55,32.55,32.55,1,0
2012-07-12,10,32.15,32.15,32.15,32.15,1,0
2012-07-13,11,31.95,31.95,31.95,31.95,1,0
2012-07-16,14,32.15,32.15,32.15,32.15,1,0
2012-07-17,15,31.35,31.35,31.35,31.35,1,0
2012-07-18,16,31.05,31.05,31.05,31.05,1,0
2012-07-19,17,32.05,32.05,32.05,32.05,1,0
2012-07-20,18,32.3,32.3,32.3,32.3,1,0
2012-07-23,21,31.1,31.1,31.1,31.1,1,0
2012-07-24,22,31.55,31.55,31.55,31.55,1,0
2012-07-25,23,31.05,31.05,31.05,31.05,1,0
2012-07-26,24,30.75,30.75,30.75,30.75,1,0
2012-07-27,25,30.1,30.1,30.1,30.1,1,0
2012-07-30,28,30.3,30.3,30.3,30.3,1,0
2012-07-31,29,30.85,30.85,30.85,30.85,1,0
2012-08-01,30,30.9,30.9,30.9,30.9,1,0
2012-08-02,31,31.45,31.45,31.45,31.45,1,0
2012-08-03,32,30.75,30.75,30.75,30.75,1,0
2012-08-06,35,30.8,30.8,30.8,30.8,1,0
2012-08-07,36,30.65,30.65,30.65,30.65,1,0
2012-08-08,37,30.45,30.45,30.45,30.45,1,0
2012-08-09,38,30.45,30.45,30.45,30.45,1,0
2012-08-10,39,30.35,30.35,30.35,30.35,1,0
2012-08-13,42,30.7,30.7,30.7,30.7,1,0
2012-08-14,43,30.4,30.4,30.4,30.4,1,0
2012-08-16,45,30.35,30.35,30.35,30.35,1,0
2012-08-17,46,30.2,30.2,30.2,30.2,1,0
2012-08-21,50,30.35,30.35,30.35,30.35,1,0
2012-08-22,51,30.35,30.35,30.35,30.35,1,0
2012-08-23,52,30.05,30.05,30.05,30.05,1,0
2012-08-24,53,29.8,29.8,29.8,29.8,1,0
2012-08-27,56,29.6,29.6,29.6,29.6,1,0
2012-08-28,57,28.85,28.85,28.85,28.85,1,0
2012-08-29,58,28.5,28.5,28.5,28.5,1,0
2012-08-30,59,28.3,28.3,28.3,28.3,1,0
2012-08-31,60,27.9,27.9,27.9,27.9,1,0
2012-09-03,63,27.7,27.7,27.7,27.7,1,0
2012-09-04,64,27.6,27.6,27.6,27.6,1,0
2012-09-05,65,27.7,27.7,27.7,27.7,1,0
2012-09-06,66,27.85,27.85,27.85,27.85,1,0
2012-09-07,67,27.95,27.95,27.95,27.95,1,0
2012-09-10,70,27.95,27.95,27.95,27.95,1,0
2012-09-11,71,28.1,28.1,28.1,28.1,1,0
2012-09-12,72,29.35,29.35,29.35,29.35,1,0
2012-09-13,73,29.5,29.5,29.5,29.5,1,0
2012-09-14,74,29.5,29.5,29.5,29.5,1,0
2012-09-17,77,29.35,29.35,29.35,29.35,1,0
2012-09-18,78,28.95,28.95,28.95,28.95,1,0
2012-09-20,80,28.4,28.4,28.4,28.4,1,0
2012-09-21,81,28.55,28.55,28.55,28.55,1,0
2012-09-24,84,29.2,29.2,29.2,29.2,1,0
2012-09-25,85,29.6,29.6,29.6,29.6,1,0
2012-09-26,86,29.65,29.65,29.65,29.65,1,0
2012-09-27,87,29.7,29.7,29.7,29.7,1,0
2012-09-28,88,30.75,30.75,30.75,30.75,1,0
2012-10-01,91,33.1,33.1,33.1,33.1,1,0
2012-10-03,93,34.25,34.25,34.25,34.25,1,0
2012-10-04,94,33.1,33.1,33.1,33.1,1,0
2012-10-05,95,31.95,31.95,31.95,31.95,1,0
2012-10-08,98,31.75,31.75,31.75,31.75,1,0
2012-10-09,99,31.6,31.6,31.6,31.6,1,0
2012-10-10,100,30.5,30.5,30.5,30.5,1,0
2012-10-11,101,30.95,30.95,30.95,30.95,1,0
2012-10-12,102,30.8,30.8,30.8,30.8,1,0
2012-10-15,105,30.65,30.65,30.65,30.65,1,0
2012-10-16,106,30.3,30.3,30.3,30.3,1,0
2012-10-17,107,30.15,30.15,30.15,30.15,1,0
2012-10-18,108,30.75,30.75,30.75,30.75,1,0
2012-10-19,109,30.4,30.4,30.4,30.4,1,0
2012-10-22,112,30.15,30.15,30.15,30.15,1,0
2012-10-23,113,30.0,30.0,30.0,30.0,1,0
2012-10-25,115,30.1,30.1,30.1,30.1,1,0
2012-10-26,116,29.7,29.7,29.7,29.7,1,0
2012-10-29,119,29.75,29.75,29.75,29.75,1,0
2012-10-30,120,29.3,29.3,29.3,29.3,1,0
2012-10-31,121,29.7,29.7,29.7,29.7,1,0
2012-11-01,122,29.8,29.8,29.8,29.8,1,0
2012-11-02,123,29.85,29.85,29.85,29.85,1,0
2012-11-05,126,29.85,29.85,29.85,29.85,1,0
2012-11-06,127,29.6,29.6,29.6,29.6,1,0
2012-11-07,128,30.15,30.15,30.15,30.15,1,0
2012-11-08,129,29.85,29.85,29.85,29.85,1,0
2012-11-09,130,29.6,29.6,29.6,29.6,1,0
2012-11-12,133,29.55,29.55,29.55,29.55,1,0
2012-11-13,134,29.7,29.7,29.7,29.7,1,0
2012-11-15,136,29.5,29.5,29.5,29.5,1,0
2012-11-16,137,29.35,29.35,29.35,29.35,1,0
2012-11-19,140,28.8,28.8,28.8,28.8,1,0
2012-11-20,141,30.6,30.6,30.6,30.6,1,0
2012-11-21,142,29.45,29.45,29.45,29.45,1,0
2012-11-22,143,31.55,31.55,31.55,31.55,1,0
2012-11-23,144,30.85,30.85,30.85,30.85,1,0
2012-11-26,147,30.6,30.6,30.6,30.6,1,0
2012-11-27,148,30.2,30.2,30.2,30.2,1,0
2012-11-29,150,29.9,29.9,29.9,29.9,1,0
2012-11-30,151,30.55,30.55,30.55,30.55,1,0
2012-12-03,154,31.15,31.15,31.15,31.15,1,0
2012-12-04,155,31.6,31.6,31.6,31.6,1,0
2012-12-05,156,31.2,31.2,31.2,31.2,1,0
2012-12-06,157,31.15,31.15,31.15,31.15,1,0
2012-12-07,158,30.7,30.7,30.7,30.7,1,0
2012-12-10,161,30.45,30.45,30.45,30.45,1,0
2012-12-11,162,29.9,29.9,29.9,29.9,1,0
2012-12-12,163,29.95,29.95,29.95,29.95,1,0
2012-12-13,164,29.6,29.6,29.6,29.6,1,0
2012-12-14,165,29.25,29.25,29.25,29.25,1,0
2012-12-17,168,29.3,29.3,29.3,29.3,1,0
2012-12-18,169,30.05,30.05,30.05,30.05,1,0
2012-12-19,170,30.0,30.0,30.0,30.0,1,0
2012-12-20,171,29.85,29.85,29.85,29.85,1,0
2012-12-21,172,29.4,29.4,29.4,29.4,1,0
2012-12-24,175,29.4,29.4,29.4,29.4,1,0
2012-12-26,177,29.35,29.35,29.35,29.35,1,0
2012-12-27,178,30.05,30.05,30.05,30.05,1,0
2012-12-28,179,30.15,30.15,30.15,30.15,1,0
2012-12-31,182,29.7,29.7,29.7,29.7,1,0
2013-01-01,183,29.85,29.85,29.85,29.85,1,0
2013-01-02,183,29.85,29.85,29.85,29.85,1,0
2013-01-03,183,29.85,29.85,29.85,29.85,1,0
2013-01-04,183,29.85,29.85,29.85,29.85,1,0
2013-01-07,183,29.85,29.85,29.85,29.85,1,0
2013-01-08,183,29.85,29.85,29.85,29.85,1,0
2013-01-09,183,29.85,29.85,29.85,29.85,1,0
2013-01-10,183,29.85,29.85,29.85,29.85,1,0
2013-01-11,183,29.85,29.85,29.85,29.85,1,0
2013-01-14,183,29.85,29.85,29.85,29.85,1,0
2013-01-15,183,29.85,29.85,29.85,29.85,1,0
2013-01-16,183,29.85,29.85,29.85,29.85,1,0
2013-01-17,183,29.85,29.85,29.85,29.85,1,0
2013-01-18,183,29.85,29.85,29.85,29.85,1,0
2013-01-21,183,29.85,29.85,29.85,29.85,1,0
2013-01-22,183,29.85,29.85,29.85,29.85,1,0
2013-01-23,183,29.85,29.85,29.85,29.85,1,0
2013-01-24,183,29.85,29.85,29.85,29.85,1,0
2013-01-25,183,29.85,29.85,29.85,29.85,1,0
2013-01-28,183,29.85,29.85,29.85,29.85,1,0
2013-01-29,183,29.85,29.85,29.85,29.85,1,0
2013-01-30,183,29.85,29.85,29.85,29.85,1,0
2013-01-31,183,29.85,29.85,29.85,29.85,1,0
2013-02-01,183,29.85,29.85,29.85,29.85,1,0
2013-02-04,183,29.85,29.85,29.85,29.85,1,0
2013-02-05,183,29.85,29.85,29.85,29.85,1,0
2013-02-06,183,29.85,29.85,29.85,29.85,1,0
2013-02-07,183,29.85,29.85,29.85,29.85,1,0
2013-02-08,183,29.85,29.85,29.85,29.85,1,0
2013-02-11,183,29.85,29.85,29.85,29.85,1,0
2013-02-12,183,29.85,29.85,29.85,29.85,1,0
2013-02-13,183,29.85,29.85,29.85,29.85,1,0
2013-02-14,183,29.85,29.85,29.85,29.85,1,0
2013-02-15,183,29.85,29.85,29.85,29.85,1,0
2013-02-18,183,29.85,29.85,29.85,29.85,1,0
2013-02-19,183,29.85,29.85,29.85,29.85,1,0
2013-02-20,183,29.85,29.85,29.85,29.85,1,0
2013-02-21,183,29.85,29.85,29.85,29.85,1,0
