Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,2114.35,2114.35,2114.35,2114.35,1000000,0
2012-07-03,1,2096.5,2096.5,2096.5,2096.5,1000000,0
2012-07-04,2,2115.1,2115.1,2115.1,2115.1,1000000,0
2012-07-05,3,2121.15,2121.15,2121.15,2121.15,1000000,0
2012-07-06,4,2082.05,2082.05,2082.05,2082.05,1000000,0
2012-07-09,7,2027.05,2027.05,2027.05,2027.05,1000000,0
2012-07-10,8,2064.75,2064.75,2064.75,2064.75,1000000,0
2012-07-11,9,2036.35,2036.35,2036.35,2036.35,1000000,0
2012-07-12,10,2062.9,2062.9,2062.9,2062.9,1000000,0
2012-07-13,11,2086.75,2086.75,2086.75,2086.75,1000000,0
2012-07-16,14,2095.65,2095.65,2095.65,2095.65,1000000,0
2012-07-17,15,2097.1,2097.1,2097.1,2097.1,1000000,0
2012-07-18,16,2113.9,2113.9,2113.9,2113.9,1000000,0
2012-07-19,17,2088.7,2088.7,2088.7,2088.7,1000000,0
2012-07-20,18,2082.0,2082.0,2082.0,2082.0,1000000,0
2012-07-23,21,2052.2,2052.2,2052.2,2052.2,1000000,0
2012-07-24,22,2035.25,2035.25,2035.25,2035.25,1000000,0
2012-07-25,23,2031.5,2031.5,2031.5,2031.5,1000000,0
2012-07-26,24,2037.85,2037.85,2037.85,2037.85,1000000,0
2012-07-27,25,2010.05,2010.05,2010.05,2010.05,1000000,0
2012-07-30,28,2031.5,2031.5,2031.5,2031.5,1000000,0
2012-07-31,29,2005.0,2005.0,2005.0,2005.0,1000000,0
2012-08-01,30,1974.65,1974.65,1974.65,1974.65,1000000,0
2012-08-02,31,1962.7,1962.7,1962.7,1962.7,1000000,0
2012-08-03,32,1959.1,1959.1,1959.1,1959.1,1000000,0
2012-08-06,35,1978.75,1978.75,1978.75,1978.75,1000000,0
2012-08-07,36,1952.25,1952.25,1952.25,1952.25,1000000,0
2012-08-08,37,1963.2,1963.2,1963.2,1963.2,1000000,0
2012-08-09,38,1952.4,1952.4,1952.4,1952.4,1000000,0
2012-08-10,39,1912.4,1912.4,1912.4,1912.4,1000000,0
2012-08-13,42,1889.25,1889.25,1889.25,1889.25,1000000,0
2012-08-14,43,1880.15,1880.15,1880.15,1880.15,1000000,0
2012-08-16,45,1929.9,1929.9,1929.9,1929.9,1000000,0
2012-08-17,46,1935.2,1935.2,1935.2,1935.2,1000000,0
2012-08-21,50,1921.05,1921.05,1921.05,1921.05,1000000,0
2012-08-22,51,1935.9,1935.9,1935.9,1935.9,1000000,0
2012-08-23,52,1938.6,1938.6,1938.6,1938.6,1000000,0
2012-08-24,53,1936.0,1936.0,1936.0,1936.0,1000000,0
2012-08-27,56,1930.2,1930.2,1930.2,1930.2,1000000,0
2012-08-28,57,1914.75,1914.75,1914.75,1914.75,1000000,0
2012-08-29,58,1849.05,1849.05,1849.05,1849.05,1000000,0
2012-08-30,59,1823.6,1823.6,1823.6,1823.6,1000000,0
2012-08-31,60,1763.0,1763.0,1763.0,1763.0,1000000,0
2012-09-03,63,1798.95,1798.95,1798.95,1798.95,1000000,0
2012-09-04,64,1807.85,1807.85,1807.85,1807.85,1000000,0
2012-09-05,65,1808.1,1808.1,1808.1,1808.1,1000000,0
2012-09-06,66,1790.0,1790.0,1790.0,1790.0,1000000,0
2012-09-07,67,1799.8,1799.8,1799.8,1799.8,1000000,0
2012-09-10,70,1820.4,1820.4,1820.4,1820.4,1000000,0
2012-09-11,71,1798.35,1798.35,1798.35,1798.35,1000000,0
2012-09-12,72,1787.15,1787.15,1787.15,1787.15,1000000,0
2012-09-13,73,1822.4,1822.4,1822.4,1822.4,1000000,0
2012-09-14,74,1862.55,1862.55,1862.55,1862.55,1000000,0
2012-09-17,77,1919.8,1919.8,1919.8,1919.8,1000000,0
2012-09-18,78,1930.9,1930.9,1930.9,1930.9,1000000,0
2012-09-20,80,1900.4,1900.4,1900.4,1900.4,1000000,0
2012-09-21,81,1922.5,1922.5,1922.5,1922.5,1000000,0
2012-09-24,84,1921.7,1921.7,1921.7,1921.7,1000000,0
2012-09-25,85,1891.7,1891.7,1891.7,1891.7,1000000,0
2012-09-26,86,1919.95,1919.95,1919.95,1919.95,1000000,0
2012-09-27,87,1876.3,1876.3,1876.3,1876.3,1000000,0
2012-09-28,88,1880.3,1880.3,1880.3,1880.3,1000000,0
2012-10-01,91,1880.55,1880.55,1880.55,1880.55,1000000,0
2012-10-03,93,1849.7,1849.7,1849.7,1849.7,1000000,0
2012-10-04,94,1831.4,1831.4,1831.4,1831.4,1000000,0
2012-10-05,95,1810.45,1810.45,1810.45,1810.45,1000000,0
2012-10-08,98,1788.15,1788.15,1788.15,1788.15,1000000,0
2012-10-09,99,1803.4,1803.4,1803.4,1803.4,1000000,0
2012-10-10,100,1814.35,1814.35,1814.35,1814.35,1000000,0
2012-10-11,101,1806.15,1806.15,1806.15,1806.15,1000000,0
2012-10-12,102,1778.85,1778.85,1778.85,1778.85,1000000,0
2012-10-15,105,1767.45,1767.45,1767.45,1767.45,1000000,0
2012-10-16,106,1798.9,1798.9,1798.9,1798.9,1000000,0
2012-10-17,107,1808.9,1808.9,1808.9,1808.9,1000000,0
2012-10-18,108,1841.45,1841.45,1841.45,1841.45,1000000,0
2012-10-19,109,1849.95,1849.95,1849.95,1849.95,1000000,0
2012-10-22,112,1827.65,1827.65,1827.65,1827.65,1000000,0
2012-10-23,113,1795.75,1795.75,1795.75,1795.75,1000000,0
2012-10-25,115,1832.3,1832.3,1832.3,1832.3,1000000,0
2012-10-26,116,1869.7,1869.7,1869.7,1869.7,1000000,0
2012-10-29,119,1904.7,1904.7,1904.7,1904.7,1000000,0
2012-10-30,120,1872.1,1872.1,1872.1,1872.1,1000000,0
2012-10-31,121,1880.0,1880.0,1880.0,1880.0,1000000,0
2012-11-01,122,1910.0,1910.0,1910.0,1910.0,1000000,0
2012-11-02,123,1945.8,1945.8,1945.8,1945.8,1000000,0
2012-11-05,126,1949.15,1949.15,1949.15,1949.15,1000000,0
2012-11-06,127,1935.75,1935.75,1935.75,1935.75,1000000,0
2012-11-07,128,1946.2,1946.2,1946.2,1946.2,1000000,0
2012-11-08,129,1923.05,1923.05,1923.05,1923.05,1000000,0
2012-11-09,130,1908.2,1908.2,1908.2,1908.2,1000000,0
2012-11-12,133,1872.4,1872.4,1872.4,1872.4,1000000,0
2012-11-13,134,1869.65,1869.65,1869.65,1869.65,1000000,0
2012-11-15,136,1839.65,1839.65,1839.65,1839.65,1000000,0
2012-11-16,137,1815.65,1815.65,1815.65,1815.65,1000000,0
2012-11-19,140,1842.5,1842.5,1842.5,1842.5,1000000,0
2012-11-20,141,1821.75,1821.75,1821.75,1821.75,1000000,0
2012-11-21,142,1807.3,1807.3,1807.3,1807.3,1000000,0
2012-11-22,143,1803.3,1803.3,1803.3,1803.3,1000000,0
2012-11-23,144,1825.25,1825.25,1825.25,1825.25,1000000,0
2012-11-26,147,1832.45,1832.45,1832.45,1832.45,1000000,0
2012-11-27,148,1840.3,1840.3,1840.3,1840.3,1000000,0
2012-11-29,150,1816.0,1816.0,1816.0,1816.0,1000000,0
2012-11-30,151,1826.65,1826.65,1826.65,1826.65,1000000,0
2012-12-03,154,1821.2,1821.2,1821.2,1821.2,1000000,0
2012-12-04,155,1810.25,1810.25,1810.25,1810.25,1000000,0
2012-12-05,156,1821.5,1821.5,1821.5,1821.5,1000000,0
2012-12-06,157,1825.2,1825.2,1825.2,1825.2,1000000,0
2012-12-07,158,1826.2,1826.2,1826.2,1826.2,1000000,0
2012-12-10,161,1842.25,1842.25,1842.25,1842.25,1000000,0
2012-12-11,162,1853.25,1853.25,1853.25,1853.25,1000000,0
2012-12-12,163,1889.95,1889.95,1889.95,1889.95,1000000,0
2012-12-13,164,1878.5,1878.5,1878.5,1878.5,1000000,0
2012-12-14,165,1863.55,1863.55,1863.55,1863.55,1000000,0
2012-12-17,168,1865.55,1865.55,1865.55,1865.55,1000000,0
2012-12-18,169,1884.55,1884.55,1884.55,1884.55,1000000,0
2012-12-19,170,1916.3,1916.3,1916.3,1916.3,1000000,0
2012-12-20,171,1910.5,1910.5,1910.5,1910.5,1000000,0
2012-12-21,172,1900.3,1900.3,1900.3,1900.3,1000000,0
2012-12-24,175,1886.35,1886.35,1886.35,1886.35,1000000,0
2012-12-26,177,1874.65,1874.65,1874.65,1874.65,1000000,0
2012-12-27,178,1869.5,1869.5,1869.5,1869.5,1000000,0
2012-12-28,179,1896.2,1896.2,1896.2,1896.2,1000000,0
2012-12-31,182,1900.6,1900.6,1900.6,1900.6,1000000,0
2013-01-01,183,1897.35,1897.35,1897.35,1897.35,1000000,0
2013-01-02,184,1905.35,1905.35,1905.35,1905.35,1000000,0
2013-01-03,185,1887.95,1887.95,1887.95,1887.95,1000000,0
2013-01-04,186,1887.95,1887.95,1887.95,1887.95,1000000,0
2013-01-07,189,1897.3,1897.3,1897.3,1897.3,1000000,0
2013-01-08,190,1881.1,1881.1,1881.1,1881.1,1000000,0
2013-01-09,191,1847.7,1847.7,1847.7,1847.7,1000000,0
2013-01-10,192,1848.75,1848.75,1848.75,1848.75,1000000,0
2013-01-11,193,1839.45,1839.45,1839.45,1839.45,1000000,0
2013-01-14,196,1843.2,1843.2,1843.2,1843.2,1000000,0
2013-01-15,197,1844.6,1844.6,1844.6,1844.6,1000000,0
2013-01-16,198,1834.6,1834.6,1834.6,1834.6,1000000,0
2013-01-17,199,1818.7,1818.7,1818.7,1818.7,1000000,0
2013-01-18,200,1764.1,1764.1,1764.1,1764.1,1000000,0
2013-01-21,203,1771.95,1771.95,1771.95,1771.95,1000000,0
2013-01-22,204,1762.55,1762.55,1762.55,1762.55,1000000,0
2013-01-23,205,1782.7,1782.7,1782.7,1782.7,1000000,0
2013-01-24,206,1770.3,1770.3,1770.3,1770.3,1000000,0
2013-01-25,207,1764.9,1764.9,1764.9,1764.9,1000000,0
2013-01-28,210,1798.35,1798.35,1798.35,1798.35,1000000,0
2013-01-29,211,1809.95,1809.95,1809.95,1809.95,1000000,0
