Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,11.9,11.9,11.9,11.9,1,0
2012-07-03,1,13.45,13.45,13.45,13.45,1,0
2012-07-04,2,13.25,13.25,13.25,13.25,1,0
2012-07-05,3,13.25,13.25,13.25,13.25,1,0
2012-07-06,4,12.95,12.95,12.95,12.95,1,0
2012-07-09,7,12.5,12.5,12.5,12.5,1,0
2012-07-10,8,13.25,13.25,13.25,13.25,1,0
2012-07-11,9,13.35,13.35,13.35,13.35,1,0
2012-07-12,10,13.2,13.2,13.2,13.2,1,0
2012-07-13,11,13.1,13.1,13.1,13.1,1,0
2012-07-16,14,12.6,12.6,12.6,12.6,1,0
2012-07-17,15,12.5,12.5,12.5,12.5,1,0
2012-07-18,16,12.35,12.35,12.35,12.35,1,0
2012-07-19,17,12.5,12.5,12.5,12.5,1,0
2012-07-20,18,12.35,12.35,12.35,12.35,1,0
2012-07-23,21,12.4,12.4,12.4,12.4,1,0
2012-07-24,22,12.35,12.35,12.35,12.35,1,0
2012-07-25,23,11.95,11.95,11.95,11.95,1,0
2012-07-26,24,11.5,11.5,11.5,11.5,1,0
2012-07-27,25,11.4,11.4,11.4,11.4,1,0
2012-07-30,28,11.75,11.75,11.75,11.75,1,0
2012-07-31,29,11.85,11.85,11.85,11.85,1,0
2012-08-01,30,11.85,11.85,11.85,11.85,1,0
2012-08-02,31,11.85,11.85,11.85,11.85,1,0
2012-08-03,32,11.7,11.7,11.7,11.7,1,0
2012-08-06,35,11.8,11.8,11.8,11.8,1,0
2012-08-07,36,12.2,12.2,12.2,12.2,1,0
2012-08-08,37,11.8,11.8,11.8,11.8,1,0
2012-08-09,38,11.8,11.8,11.8,11.8,1,0
2012-08-10,39,11.7,11.7,11.7,11.7,1,0
2012-08-13,42,11.75,11.75,11.75,11.75,1,0
2012-08-14,43,11.7,11.7,11.7,11.7,1,0
2012-08-16,45,11.75,11.75,11.75,11.75,1,0
2012-08-17,46,11.6,11.6,11.6,11.6,1,0
2012-08-21,50,11.5,11.5,11.5,11.5,1,0
2012-08-22,51,11.3,11.3,11.3,11.3,1,0
2012-08-23,52,11.4,11.4,11.4,11.4,1,0
2012-08-24,53,11.15,11.15,11.15,11.15,1,0
2012-08-27,56,11.05,11.05,11.05,11.05,1,0
2012-08-28,57,10.8,10.8,10.8,10.8,1,0
2012-08-29,58,10.65,10.65,10.65,10.65,1,0
2012-08-30,59,11.0,11.0,11.0,11.0,1,0
2012-08-31,60,10.9,10.9,10.9,10.9,1,0
2012-09-03,63,10.85,10.85,10.85,10.85,1,0
2012-09-04,64,10.8,10.8,10.8,10.8,1,0
2012-09-05,65,10.8,10.8,10.8,10.8,1,0
2012-09-06,66,10.6,10.6,10.6,10.6,1,0
2012-09-07,67,10.7,10.7,10.7,10.7,1,0
2012-09-10,70,10.9,10.9,10.9,10.9,1,0
2012-09-11,71,11.05,11.05,11.05,11.05,1,0
2012-09-12,72,10.95,10.95,10.95,10.95,1,0
2012-09-13,73,10.8,10.8,10.8,10.8,1,0
2012-09-14,74,10.8,10.8,10.8,10.8,1,0
2012-09-17,77,10.95,10.95,10.95,10.95,1,0
2012-09-18,78,11.2,11.2,11.2,11.2,1,0
2012-09-20,80,10.8,10.8,10.8,10.8,1,0
2012-09-21,81,11.2,11.2,11.2,11.2,1,0
2012-09-24,84,11.4,11.4,11.4,11.4,1,0
2012-09-25,85,11.25,11.25,11.25,11.25,1,0
2012-09-26,86,11.3,11.3,11.3,11.3,1,0
2012-09-27,87,11.3,11.3,11.3,11.3,1,0
2012-09-28,88,11.25,11.25,11.25,11.25,1,0
2012-10-01,91,11.35,11.35,11.35,11.35,1,0
2012-10-03,93,11.8,11.8,11.8,11.8,1,0
2012-10-04,94,12.2,12.2,12.2,12.2,1,0
2012-10-05,95,11.85,11.85,11.85,11.85,1,0
2012-10-08,98,11.5,11.5,11.5,11.5,1,0
2012-10-09,99,11.5,11.5,11.5,11.5,1,0
2012-10-10,100,11.1,11.1,11.1,11.1,1,0
2012-10-11,101,11.4,11.4,11.4,11.4,1,0
2012-10-12,102,11.2,11.2,11.2,11.2,1,0
2012-10-15,105,11.25,11.25,11.25,11.25,1,0
2012-10-16,106,11.05,11.05,11.05,11.05,1,0
2012-10-17,107,11.05,11.05,11.05,11.05,1,0
2012-10-18,108,11.15,11.15,11.15,11.15,1,0
2012-10-19,109,11.25,11.25,11.25,11.25,1,0
2012-10-22,112,11.2,11.2,11.2,11.2,1,0
2012-10-23,113,11.1,11.1,11.1,11.1,1,0
2012-10-25,115,11.35,11.35,11.35,11.35,1,0
2012-10-26,116,11.1,11.1,11.1,11.1,1,0
2012-10-29,119,11.0,11.0,11.0,11.0,1,0
2012-10-30,120,10.8,10.8,10.8,10.8,1,0
2012-10-31,121,10.8,10.8,10.8,10.8,1,0
2012-11-01,122,11.0,11.0,11.0,11.0,1,0
2012-11-02,123,11.0,11.0,11.0,11.0,1,0
2012-11-05,126,10.8,10.8,10.8,10.8,1,0
2012-11-06,127,10.9,10.9,10.9,10.9,1,0
