Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,29.15,29.15,29.15,29.15,1000000,0
2012-07-03,1,30.1,30.1,30.1,30.1,1000000,0
2012-07-04,2,30.05,30.05,30.05,30.05,1000000,0
2012-07-05,3,31.0,31.0,31.0,31.0,1000000,0
2012-07-06,4,30.3,30.3,30.3,30.3,1000000,0
2012-07-09,7,29.75,29.75,29.75,29.75,1000000,0
2012-07-10,8,30.0,30.0,30.0,30.0,1000000,0
2012-07-11,9,29.6,29.6,29.6,29.6,1000000,0
2012-07-12,10,30.0,30.0,30.0,30.0,1000000,0
2012-07-13,11,29.6,29.6,29.6,29.6,1000000,0
2012-07-16,14,29.85,29.85,29.85,29.85,1000000,0
2012-07-17,15,29.8,29.8,29.8,29.8,1000000,0
2012-07-18,16,29.3,29.3,29.3,29.3,1000000,0
2012-07-19,17,28.55,28.55,28.55,28.55,1000000,0
2012-07-20,18,28.35,28.35,28.35,28.35,1000000,0
2012-07-23,21,27.85,27.85,27.85,27.85,1000000,0
2012-07-24,22,27.7,27.7,27.7,27.7,1000000,0
2012-07-25,23,27.55,27.55,27.55,27.55,1000000,0
2012-07-26,24,27.35,27.35,27.35,27.35,1000000,0
2012-07-27,25,27.0,27.0,27.0,27.0,1000000,0
2012-07-30,28,26.8,26.8,26.8,26.8,1000000,0
2012-07-31,29,27.8,27.8,27.8,27.8,1000000,0
2012-08-01,30,27.95,27.95,27.95,27.95,1000000,0
2012-08-02,31,27.85,27.85,27.85,27.85,1000000,0
2012-08-03,32,29.3,29.3,29.3,29.3,1000000,0
2012-08-06,35,29.7,29.7,29.7,29.7,1000000,0
2012-08-07,36,28.95,28.95,28.95,28.95,1000000,0
2012-08-08,37,29.0,29.0,29.0,29.0,1000000,0
2012-08-09,38,29.7,29.7,29.7,29.7,1000000,0
2012-08-10,39,29.95,29.95,29.95,29.95,1000000,0
2012-08-13,42,29.9,29.9,29.9,29.9,1000000,0
2012-08-14,43,29.75,29.75,29.75,29.75,1000000,0
2012-08-16,45,30.1,30.1,30.1,30.1,1000000,0
2012-08-17,46,30.7,30.7,30.7,30.7,1000000,0
2012-08-21,50,31.3,31.3,31.3,31.3,1000000,0
2012-08-22,51,31.85,31.85,31.85,31.85,1000000,0
2012-08-23,52,32.0,32.0,32.0,32.0,1000000,0
2012-08-24,53,32.0,32.0,32.0,32.0,1000000,0
2012-08-27,56,32.9,32.9,32.9,32.9,1000000,0
2012-08-28,57,32.95,32.95,32.95,32.95,1000000,0
2012-08-29,58,32.95,32.95,32.95,32.95,1000000,0
2012-08-30,59,32.5,32.5,32.5,32.5,1000000,0
2012-08-31,60,32.45,32.45,32.45,32.45,1000000,0
2012-09-03,63,32.8,32.8,32.8,32.8,1000000,0
2012-09-04,64,32.0,32.0,32.0,32.0,1000000,0
2012-09-05,65,31.45,31.45,31.45,31.45,1000000,0
2012-09-06,66,31.25,31.25,31.25,31.25,1000000,0
2012-09-07,67,32.5,32.5,32.5,32.5,1000000,0
2012-09-10,70,33.75,33.75,33.75,33.75,1000000,0
2012-09-11,71,34.05,34.05,34.05,34.05,1000000,0
2012-09-12,72,34.0,34.0,34.0,34.0,1000000,0
2012-09-13,73,33.8,33.8,33.8,33.8,1000000,0
2012-09-14,74,34.0,34.0,34.0,34.0,1000000,0
2012-09-17,77,34.4,34.4,34.4,34.4,1000000,0
2012-09-18,78,33.6,33.6,33.6,33.6,1000000,0
2012-09-20,80,34.8,34.8,34.8,34.8,1000000,0
2012-09-21,81,34.65,34.65,34.65,34.65,1000000,0
2012-09-24,84,34.35,34.35,34.35,34.35,1000000,0
2012-09-25,85,34.35,34.35,34.35,34.35,1000000,0
2012-09-26,86,33.95,33.95,33.95,33.95,1000000,0
2012-09-27,87,34.0,34.0,34.0,34.0,1000000,0
2012-09-28,88,33.9,33.9,33.9,33.9,1000000,0
