Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,71.7,71.7,71.7,71.7,1000000,0
2012-07-03,1,69.8,69.8,69.8,69.8,1000000,0
2012-07-04,2,68.55,68.55,68.55,68.55,1000000,0
2012-07-05,3,69.85,69.85,69.85,69.85,1000000,0
2012-07-06,4,70.2,70.2,70.2,70.2,1000000,0
2012-07-09,7,69.9,69.9,69.9,69.9,1000000,0
2012-07-10,8,69.2,69.2,69.2,69.2,1000000,0
2012-07-11,9,70.25,70.25,70.25,70.25,1000000,0
2012-07-12,10,68.9,68.9,68.9,68.9,1000000,0
2012-07-13,11,68.95,68.95,68.95,68.95,1000000,0
2012-07-16,14,68.2,68.2,68.2,68.2,1000000,0
2012-07-17,15,67.55,67.55,67.55,67.55,1000000,0
2012-07-18,16,66.85,66.85,66.85,66.85,1000000,0
2012-07-19,17,66.95,66.95,66.95,66.95,1000000,0
2012-07-20,18,66.7,66.7,66.7,66.7,1000000,0
2012-07-23,21,66.8,66.8,66.8,66.8,1000000,0
2012-07-24,22,67.05,67.05,67.05,67.05,1000000,0
2012-07-25,23,66.3,66.3,66.3,66.3,1000000,0
2012-07-26,24,66.55,66.55,66.55,66.55,1000000,0
2012-07-27,25,65.15,65.15,65.15,65.15,1000000,0
2012-07-30,28,64.45,64.45,64.45,64.45,1000000,0
2012-07-31,29,64.15,64.15,64.15,64.15,1000000,0
2012-08-01,30,65.0,65.0,65.0,65.0,1000000,0
2012-08-02,31,65.7,65.7,65.7,65.7,1000000,0
2012-08-03,32,65.1,65.1,65.1,65.1,1000000,0
2012-08-06,35,66.4,66.4,66.4,66.4,1000000,0
2012-08-07,36,66.85,66.85,66.85,66.85,1000000,0
2012-08-08,37,67.1,67.1,67.1,67.1,1000000,0
2012-08-09,38,66.6,66.6,66.6,66.6,1000000,0
2012-08-10,39,66.6,66.6,66.6,66.6,1000000,0
2012-08-13,42,66.75,66.75,66.75,66.75,1000000,0
2012-08-14,43,68.95,68.95,68.95,68.95,1000000,0
2012-08-16,45,68.6,68.6,68.6,68.6,1000000,0
2012-08-17,46,67.95,67.95,67.95,67.95,1000000,0
2012-08-21,50,69.55,69.55,69.55,69.55,1000000,0
2012-08-22,51,71.15,71.15,71.15,71.15,1000000,0
2012-08-23,52,70.3,70.3,70.3,70.3,1000000,0
2012-08-24,53,70.35,70.35,70.35,70.35,1000000,0
2012-08-27,56,70.0,70.0,70.0,70.0,1000000,0
2012-08-28,57,68.3,68.3,68.3,68.3,1000000,0
2012-08-29,58,68.55,68.55,68.55,68.55,1000000,0
2012-08-30,59,68.55,68.55,68.55,68.55,1000000,0
2012-08-31,60,68.9,68.9,68.9,68.9,1000000,0
2012-09-03,63,69.45,69.45,69.45,69.45,1000000,0
2012-09-04,64,70.1,70.1,70.1,70.1,1000000,0
2012-09-05,65,69.0,69.0,69.0,69.0,1000000,0
2012-09-06,66,68.6,68.6,68.6,68.6,1000000,0
2012-09-07,67,68.7,68.7,68.7,68.7,1000000,0
2012-09-10,70,69.05,69.05,69.05,69.05,1000000,0
2012-09-11,71,68.85,68.85,68.85,68.85,1000000,0
2012-09-12,72,72.55,72.55,72.55,72.55,1000000,0
2012-09-13,73,71.75,71.75,71.75,71.75,1000000,0
2012-09-14,74,70.55,70.55,70.55,70.55,1000000,0
2012-09-17,77,70.7,70.7,70.7,70.7,1000000,0
2012-09-18,78,71.55,71.55,71.55,71.55,1000000,0
2012-09-20,80,69.95,69.95,69.95,69.95,1000000,0
2012-09-21,81,72.15,72.15,72.15,72.15,1000000,0
2012-09-24,84,72.4,72.4,72.4,72.4,1000000,0
2012-09-25,85,71.75,71.75,71.75,71.75,1000000,0
2012-09-26,86,71.35,71.35,71.35,71.35,1000000,0
2012-09-27,87,71.25,71.25,71.25,71.25,1000000,0
2012-09-28,88,71.75,71.75,71.75,71.75,1000000,0
2012-10-01,91,72.4,72.4,72.4,72.4,1000000,0
2012-10-03,93,74.35,74.35,74.35,74.35,1000000,0
2012-10-04,94,72.9,72.9,72.9,72.9,1000000,0
2012-10-05,95,71.8,71.8,71.8,71.8,1000000,0
2012-10-08,98,72.2,72.2,72.2,72.2,1000000,0
2012-10-09,99,74.6,74.6,74.6,74.6,1000000,0
