Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,446.6,446.6,446.6,446.6,1000000,0
2012-07-03,1,441.35,441.35,441.35,441.35,1000000,0
2012-07-04,2,437.95,437.95,437.95,437.95,1000000,0
2012-07-05,3,440.85,440.85,440.85,440.85,1000000,0
2012-07-06,4,446.05,446.05,446.05,446.05,1000000,0
2012-07-09,7,443.95,443.95,443.95,443.95,1000000,0
2012-07-10,8,446.4,446.4,446.4,446.4,1000000,0
2012-07-11,9,441.4,441.4,441.4,441.4,1000000,0
2012-07-12,10,442.95,442.95,442.95,442.95,1000000,0
2012-07-13,11,441.1,441.1,441.1,441.1,1000000,0
2012-07-16,14,441.15,441.15,441.15,441.15,1000000,0
2012-07-17,15,444.15,444.15,444.15,444.15,1000000,0
2012-07-18,16,446.3,446.3,446.3,446.3,1000000,0
2012-07-19,17,446.65,446.65,446.65,446.65,1000000,0
2012-07-20,18,446.05,446.05,446.05,446.05,1000000,0
2012-07-23,21,442.95,442.95,442.95,442.95,1000000,0
2012-07-24,22,476.2,476.2,476.2,476.2,1000000,0
2012-07-25,23,464.45,464.45,464.45,464.45,1000000,0
2012-07-26,24,461.85,461.85,461.85,461.85,1000000,0
2012-07-27,25,464.6,464.6,464.6,464.6,1000000,0
2012-07-30,28,465.75,465.75,465.75,465.75,1000000,0
2012-07-31,29,467.35,467.35,467.35,467.35,1000000,0
2012-08-01,30,470.15,470.15,470.15,470.15,1000000,0
2012-08-02,31,468.45,468.45,468.45,468.45,1000000,0
2012-08-03,32,466.6,466.6,466.6,466.6,1000000,0
2012-08-06,35,467.35,467.35,467.35,467.35,1000000,0
2012-08-07,36,469.9,469.9,469.9,469.9,1000000,0
2012-08-08,37,477.15,477.15,477.15,477.15,1000000,0
2012-08-09,38,488.25,488.25,488.25,488.25,1000000,0
2012-08-10,39,497.7,497.7,497.7,497.7,1000000,0
2012-08-13,42,490.3,490.3,490.3,490.3,1000000,0
2012-08-14,43,495.9,495.9,495.9,495.9,1000000,0
2012-08-16,45,494.75,494.75,494.75,494.75,1000000,0
2012-08-17,46,503.4,503.4,503.4,503.4,1000000,0
2012-08-21,50,513.6,513.6,513.6,513.6,1000000,0
2012-08-22,51,512.85,512.85,512.85,512.85,1000000,0
2012-08-23,52,520.4,520.4,520.4,520.4,1000000,0
2012-08-24,53,517.95,517.95,517.95,517.95,1000000,0
2012-08-27,56,521.05,521.05,521.05,521.05,1000000,0
