Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,122.35,122.35,122.35,122.35,1000000,0
2012-07-03,1,122.1,122.1,122.1,122.1,1000000,0
2012-07-04,2,126.15,126.15,126.15,126.15,1000000,0
2012-07-05,3,125.05,125.05,125.05,125.05,1000000,0
2012-07-06,4,124.5,124.5,124.5,124.5,1000000,0
2012-07-09,7,118.9,118.9,118.9,118.9,1000000,0
2012-07-10,8,121.4,121.4,121.4,121.4,1000000,0
2012-07-11,9,119.55,119.55,119.55,119.55,1000000,0
2012-07-12,10,118.65,118.65,118.65,118.65,1000000,0
2012-07-13,11,117.75,117.75,117.75,117.75,1000000,0
2012-07-16,14,118.75,118.75,118.75,118.75,1000000,0
2012-07-17,15,119.05,119.05,119.05,119.05,1000000,0
2012-07-18,16,118.0,118.0,118.0,118.0,1000000,0
2012-07-19,17,119.0,119.0,119.0,119.0,1000000,0
2012-07-20,18,119.8,119.8,119.8,119.8,1000000,0
2012-07-23,21,116.15,116.15,116.15,116.15,1000000,0
2012-07-24,22,117.0,117.0,117.0,117.0,1000000,0
2012-07-25,23,116.35,116.35,116.35,116.35,1000000,0
2012-07-26,24,114.3,114.3,114.3,114.3,1000000,0
2012-07-27,25,117.15,117.15,117.15,117.15,1000000,0
2012-07-30,28,120.45,120.45,120.45,120.45,1000000,0
2012-07-31,29,119.35,119.35,119.35,119.35,1000000,0
2012-08-01,30,118.6,118.6,118.6,118.6,1000000,0
2012-08-02,31,119.0,119.0,119.0,119.0,1000000,0
2012-08-03,32,118.1,118.1,118.1,118.1,1000000,0
2012-08-06,35,118.7,118.7,118.7,118.7,1000000,0
2012-08-07,36,119.1,119.1,119.1,119.1,1000000,0
2012-08-08,37,119.45,119.45,119.45,119.45,1000000,0
2012-08-09,38,120.45,120.45,120.45,120.45,1000000,0
2012-08-10,39,124.45,124.45,124.45,124.45,1000000,0
2012-08-13,42,125.85,125.85,125.85,125.85,1000000,0
2012-08-14,43,125.1,125.1,125.1,125.1,1000000,0
2012-08-16,45,122.2,122.2,122.2,122.2,1000000,0
2012-08-17,46,124.15,124.15,124.15,124.15,1000000,0
2012-08-21,50,132.45,132.45,132.45,132.45,1000000,0
2012-08-22,51,130.55,130.55,130.55,130.55,1000000,0
2012-08-23,52,132.6,132.6,132.6,132.6,1000000,0
2012-08-24,53,129.9,129.9,129.9,129.9,1000000,0
2012-08-27,56,129.65,129.65,129.65,129.65,1000000,0
2012-08-28,57,124.1,124.1,124.1,124.1,1000000,0
2012-08-29,58,123.05,123.05,123.05,123.05,1000000,0
2012-08-30,59,123.8,123.8,123.8,123.8,1000000,0
2012-08-31,60,123.35,123.35,123.35,123.35,1000000,0
2012-09-03,63,124.9,124.9,124.9,124.9,1000000,0
2012-09-04,64,128.15,128.15,128.15,128.15,1000000,0
2012-09-05,65,126.0,126.0,126.0,126.0,1000000,0
2012-09-06,66,125.75,125.75,125.75,125.75,1000000,0
2012-09-07,67,129.2,129.2,129.2,129.2,1000000,0
2012-09-10,70,130.2,130.2,130.2,130.2,1000000,0
2012-09-11,71,128.7,128.7,128.7,128.7,1000000,0
2012-09-12,72,132.4,132.4,132.4,132.4,1000000,0
2012-09-13,73,130.95,130.95,130.95,130.95,1000000,0
2012-09-14,74,136.65,136.65,136.65,136.65,1000000,0
2012-09-17,77,137.8,137.8,137.8,137.8,1000000,0
2012-09-18,78,134.2,134.2,134.2,134.2,1000000,0
2012-09-20,80,129.55,129.55,129.55,129.55,1000000,0
2012-09-21,81,132.05,132.05,132.05,132.05,1000000,0
2012-09-24,84,131.95,131.95,131.95,131.95,1000000,0
2012-09-25,85,131.0,131.0,131.0,131.0,1000000,0
2012-09-26,86,132.75,132.75,132.75,132.75,1000000,0
2012-09-27,87,130.4,130.4,130.4,130.4,1000000,0
2012-09-28,88,136.0,136.0,136.0,136.0,1000000,0
2012-10-01,91,134.35,134.35,134.35,134.35,1000000,0
2012-10-03,93,136.55,136.55,136.55,136.55,1000000,0
2012-10-04,94,137.1,137.1,137.1,137.1,1000000,0
2012-10-05,95,136.15,136.15,136.15,136.15,1000000,0
2012-10-08,98,132.25,132.25,132.25,132.25,1000000,0
2012-10-09,99,136.0,136.0,136.0,136.0,1000000,0
2012-10-10,100,134.6,134.6,134.6,134.6,1000000,0
2012-10-11,101,137.0,137.0,137.0,137.0,1000000,0
2012-10-12,102,136.65,136.65,136.65,136.65,1000000,0
2012-10-15,105,134.9,134.9,134.9,134.9,1000000,0
2012-10-16,106,132.15,132.15,132.15,132.15,1000000,0
2012-10-17,107,135.35,135.35,135.35,135.35,1000000,0
2012-10-18,108,134.85,134.85,134.85,134.85,1000000,0
2012-10-19,109,134.25,134.25,134.25,134.25,1000000,0
2012-10-22,112,133.35,133.35,133.35,133.35,1000000,0
2012-10-23,113,131.7,131.7,131.7,131.7,1000000,0
2012-10-25,115,132.25,132.25,132.25,132.25,1000000,0
2012-10-26,116,131.9,131.9,131.9,131.9,1000000,0
2012-10-29,119,131.9,131.9,131.9,131.9,1000000,0
2012-10-30,120,129.95,129.95,129.95,129.95,1000000,0
2012-10-31,121,133.9,133.9,133.9,133.9,1000000,0
2012-11-01,122,135.6,135.6,135.6,135.6,1000000,0
2012-11-02,123,136.95,136.95,136.95,136.95,1000000,0
2012-11-05,126,137.35,137.35,137.35,137.35,1000000,0
2012-11-06,127,139.9,139.9,139.9,139.9,1000000,0
2012-11-07,128,139.1,139.1,139.1,139.1,1000000,0
2012-11-08,129,137.5,137.5,137.5,137.5,1000000,0
2012-11-09,130,137.25,137.25,137.25,137.25,1000000,0
2012-11-12,133,135.75,135.75,135.75,135.75,1000000,0
2012-11-13,134,135.7,135.7,135.7,135.7,1000000,0
2012-11-15,136,133.15,133.15,133.15,133.15,1000000,0
2012-11-16,137,135.0,135.0,135.0,135.0,1000000,0
2012-11-19,140,134.05,134.05,134.05,134.05,1000000,0
2012-11-20,141,134.7,134.7,134.7,134.7,1000000,0
2012-11-21,142,134.9,134.9,134.9,134.9,1000000,0
2012-11-22,143,132.5,132.5,132.5,132.5,1000000,0
2012-11-23,144,131.4,131.4,131.4,131.4,1000000,0
2012-11-26,147,137.95,137.95,137.95,137.95,1000000,0
2012-11-27,148,135.95,135.95,135.95,135.95,1000000,0
2012-11-29,150,137.9,137.9,137.9,137.9,1000000,0
2012-11-30,151,139.4,139.4,139.4,139.4,1000000,0
2012-12-03,154,141.65,141.65,141.65,141.65,1000000,0
2012-12-04,155,140.9,140.9,140.9,140.9,1000000,0
2012-12-05,156,138.4,138.4,138.4,138.4,1000000,0
2012-12-06,157,138.9,138.9,138.9,138.9,1000000,0
2012-12-07,158,138.75,138.75,138.75,138.75,1000000,0
2012-12-10,161,137.9,137.9,137.9,137.9,1000000,0
2012-12-11,162,139.1,139.1,139.1,139.1,1000000,0
2012-12-12,163,137.35,137.35,137.35,137.35,1000000,0
2012-12-13,164,136.6,136.6,136.6,136.6,1000000,0
2012-12-14,165,142.7,142.7,142.7,142.7,1000000,0
2012-12-17,168,142.75,142.75,142.75,142.75,1000000,0
2012-12-18,169,138.85,138.85,138.85,138.85,1000000,0
2012-12-19,170,138.05,138.05,138.05,138.05,1000000,0
2012-12-20,171,137.25,137.25,137.25,137.25,1000000,0
2012-12-21,172,138.75,138.75,138.75,138.75,1000000,0
2012-12-24,175,137.8,137.8,137.8,137.8,1000000,0
2012-12-26,177,136.7,136.7,136.7,136.7,1000000,0
2012-12-27,178,135.15,135.15,135.15,135.15,1000000,0
2012-12-28,179,136.5,136.5,136.5,136.5,1000000,0
2012-12-31,182,136.1,136.1,136.1,136.1,1000000,0
2013-01-01,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-02,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-03,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-04,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-07,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-08,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-09,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-10,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-11,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-14,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-15,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-16,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-17,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-18,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-21,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-22,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-23,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-24,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-25,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-28,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-29,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-30,183,136.95,136.95,136.95,136.95,1000000,0
2013-01-31,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-01,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-04,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-05,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-06,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-07,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-08,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-11,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-12,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-13,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-14,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-15,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-18,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-19,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-20,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-21,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-22,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-25,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-26,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-27,183,136.95,136.95,136.95,136.95,1000000,0
2013-02-28,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-01,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-04,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-05,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-06,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-07,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-08,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-11,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-12,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-13,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-14,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-15,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-18,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-19,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-20,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-21,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-22,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-25,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-26,183,136.95,136.95,136.95,136.95,1000000,0
2013-03-28,183,136.95,136.95,136.95,136.95,1000000,0
2013-04-01,183,136.95,136.95,136.95,136.95,1000000,0
2013-04-02,183,136.95,136.95,136.95,136.95,1000000,0
2013-04-03,183,136.95,136.95,136.95,136.95,1000000,0
2013-04-04,183,136.95,136.95,136.95,136.95,1000000,0
2013-04-05,183,136.95,136.95,136.95,136.95,1000000,0
