Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,1.75,1.75,1.75,1.75,1,0
2012-07-03,1,1.74,1.74,1.74,1.74,1,0
2012-07-04,2,1.59,1.59,1.59,1.59,1,0
2012-07-05,3,1.72,1.72,1.72,1.72,1,0
2012-07-06,4,1.69,1.69,1.69,1.69,1,0
2012-07-09,7,1.67,1.67,1.67,1.67,1,0
2012-07-10,8,1.54,1.54,1.54,1.54,1,0
2012-07-11,9,1.51,1.51,1.51,1.51,1,0
2012-07-12,10,1.57,1.57,1.57,1.57,1,0
2012-07-13,11,1.57,1.57,1.57,1.57,1,0
2012-07-16,14,1.46,1.46,1.46,1.46,1,0
2012-07-17,15,1.5,1.5,1.5,1.5,1,0
2012-07-18,16,1.44,1.44,1.44,1.44,1,0
2012-07-19,17,1.4,1.4,1.4,1.4,1,0
2012-07-20,18,1.53,1.53,1.53,1.53,1,0
2012-07-23,21,1.41,1.41,1.41,1.41,1,0
2012-07-24,22,1.49,1.49,1.49,1.49,1,0
2012-07-25,23,1.46,1.46,1.46,1.46,1,0
2012-07-26,24,1.47,1.47,1.47,1.47,1,0
2012-07-27,25,1.34,1.34,1.34,1.34,1,0
2012-07-30,28,1.34,1.34,1.34,1.34,1,0
2012-07-31,29,1.34,1.34,1.34,1.34,1,0
2012-08-01,29,1.34,1.34,1.34,1.34,1,0
2012-08-02,31,1.43,1.43,1.43,1.43,1,0
2012-08-03,32,1.48,1.48,1.48,1.48,1,0
2012-08-06,35,1.53,1.53,1.53,1.53,1,0
2012-08-07,36,1.59,1.59,1.59,1.59,1,0
2012-08-08,37,1.55,1.55,1.55,1.55,1,0
2012-08-09,38,1.5,1.5,1.5,1.5,1,0
2012-08-10,39,1.52,1.52,1.52,1.52,1,0
2012-08-13,42,1.44,1.44,1.44,1.44,1,0
2012-08-14,43,1.57,1.57,1.57,1.57,1,0
2012-08-16,45,1.58,1.58,1.58,1.58,1,0
2012-08-17,46,1.56,1.56,1.56,1.56,1,0
2012-08-21,50,1.61,1.61,1.61,1.61,1,0
2012-08-22,51,1.6,1.6,1.6,1.6,1,0
2012-08-23,52,1.58,1.58,1.58,1.58,1,0
2012-08-24,53,1.61,1.61,1.61,1.61,1,0
