Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,1330.25,1330.25,1330.25,1330.25,1,0
2012-07-03,1,1313.25,1313.25,1313.25,1313.25,1,0
2012-07-04,2,1290.6,1290.6,1290.6,1290.6,1,0
2012-07-05,3,1290.3,1290.3,1290.3,1290.3,1,0
2012-07-06,4,1255.1,1255.1,1255.1,1255.1,1,0
2012-07-09,7,1228.1,1228.1,1228.1,1228.1,1,0
2012-07-10,8,1213.75,1213.75,1213.75,1213.75,1,0
2012-07-11,9,1218.55,1218.55,1218.55,1218.55,1,0
2012-07-12,10,1211.95,1211.95,1211.95,1211.95,1,0
2012-07-13,11,1213.05,1213.05,1213.05,1213.05,1,0
2012-07-16,14,1212.1,1212.1,1212.1,1212.1,1,0
2012-07-17,15,1234.25,1234.25,1234.25,1234.25,1,0
2012-07-18,16,1222.65,1222.65,1222.65,1222.65,1,0
2012-07-19,17,1231.45,1231.45,1231.45,1231.45,1,0
2012-07-20,18,1229.4,1229.4,1229.4,1229.4,1,0
2012-07-23,21,1200.95,1200.95,1200.95,1200.95,1,0
2012-07-24,22,1202.5,1202.5,1202.5,1202.5,1,0
2012-07-25,23,1201.1,1201.1,1201.1,1201.1,1,0
2012-07-26,24,1226.8,1226.8,1226.8,1226.8,1,0
2012-07-27,25,1181.9,1181.9,1181.9,1181.9,1,0
2012-07-30,28,1183.25,1183.25,1183.25,1183.25,1,0
2012-07-31,29,1207.25,1207.25,1207.25,1207.25,1,0
2012-08-01,30,1189.85,1189.85,1189.85,1189.85,1,0
2012-08-02,31,1179.75,1179.75,1179.75,1179.75,1,0
2012-08-03,32,1221.25,1221.25,1221.25,1221.25,1,0
2012-08-06,35,1203.65,1203.65,1203.65,1203.65,1,0
2012-08-07,36,1194.95,1194.95,1194.95,1194.95,1,0
2012-08-08,37,1182.05,1182.05,1182.05,1182.05,1,0
2012-08-09,38,1170.8,1170.8,1170.8,1170.8,1,0
2012-08-10,39,1170.25,1170.25,1170.25,1170.25,1,0
2012-08-13,42,1163.45,1163.45,1163.45,1163.45,1,0
2012-08-14,43,1168.25,1168.25,1168.25,1168.25,1,0
2012-08-16,45,1163.45,1163.45,1163.45,1163.45,1,0
2012-08-17,46,1162.85,1162.85,1162.85,1162.85,1,0
2012-08-21,50,1155.2,1155.2,1155.2,1155.2,1,0
2012-08-22,51,1147.3,1147.3,1147.3,1147.3,1,0
2012-08-23,52,1165.3,1165.3,1165.3,1165.3,1,0
