Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,46.9006,46.9006,46.9006,46.9006,1000000,0
2012-07-03,1,49.4374,49.4374,49.4374,49.4374,1000000,0
2012-07-04,2,52.1252,52.1252,52.1252,52.1252,1000000,0
2012-07-05,3,51.8836,51.8836,51.8836,51.8836,1000000,0
2012-07-06,4,51.5816,51.5816,51.5816,51.5816,1000000,0
2012-07-09,7,51.34,51.34,51.34,51.34,1000000,0
2012-07-10,8,51.5212,51.5212,51.5212,51.5212,1000000,0
2012-07-11,9,51.3098,51.3098,51.3098,51.3098,1000000,0
2012-07-12,10,49.8602,49.8602,49.8602,49.8602,1000000,0
2012-07-13,11,50.132,50.132,50.132,50.132,1000000,0
2012-07-16,14,50.9172,50.9172,50.9172,50.9172,1000000,0
2012-07-17,15,51.2494,51.2494,51.2494,51.2494,1000000,0
2012-07-18,16,50.6454,50.6454,50.6454,50.6454,1000000,0
2012-07-19,17,48.5616,48.5616,48.5616,48.5616,1000000,0
2012-07-20,18,49.3468,49.3468,49.3468,49.3468,1000000,0
2012-07-23,21,48.4408,48.4408,48.4408,48.4408,1000000,0
2012-07-24,22,47.565,47.565,47.565,47.565,1000000,0
2012-07-25,23,47.8066,47.8066,47.8066,47.8066,1000000,0
2012-07-26,24,47.7462,47.7462,47.7462,47.7462,1000000,0
2012-07-27,25,48.3804,48.3804,48.3804,48.3804,1000000,0
2012-07-30,28,49.1052,49.1052,49.1052,49.1052,1000000,0
2012-07-31,29,48.2898,48.2898,48.2898,48.2898,1000000,0
2012-08-01,30,48.2596,48.2596,48.2596,48.2596,1000000,0
2012-08-02,31,49.4072,49.4072,49.4072,49.4072,1000000,0
2012-08-03,32,49.0448,49.0448,49.0448,49.0448,1000000,0
2012-08-06,35,48.5012,48.5012,48.5012,48.5012,1000000,0
2012-08-07,36,48.2294,48.2294,48.2294,48.2294,1000000,0
2012-08-08,37,46.0852,46.0852,46.0852,46.0852,1000000,0
2012-08-09,38,43.6692,43.6692,43.6692,43.6692,1000000,0
2012-08-10,39,44.696,44.696,44.696,44.696,1000000,0
2012-08-13,42,45.5114,45.5114,45.5114,45.5114,1000000,0
2012-08-14,43,45.6926,45.6926,45.6926,45.6926,1000000,0
2012-08-16,45,45.2094,45.2094,45.2094,45.2094,1000000,0
2012-08-17,46,45.6624,45.6624,45.6624,45.6624,1000000,0
2012-08-21,50,45.7228,45.7228,45.7228,45.7228,1000000,0
2012-08-22,51,45.5416,45.5416,45.5416,45.5416,1000000,0
2012-08-23,52,45.5718,45.5718,45.5718,45.5718,1000000,0
2012-08-24,53,45.3,45.3,45.3,45.3,1000000,0
2012-08-27,56,45.3,45.3,45.3,45.3,1000000,0
2012-08-28,57,45.0282,45.0282,45.0282,45.0282,1000000,0
2012-08-29,58,44.998,44.998,44.998,44.998,1000000,0
2012-08-30,59,45.3604,45.3604,45.3604,45.3604,1000000,0
2012-08-31,60,45.0886,45.0886,45.0886,45.0886,1000000,0
2012-09-03,63,44.998,44.998,44.998,44.998,1000000,0
2012-09-04,64,45.5416,45.5416,45.5416,45.5416,1000000,0
2012-09-05,65,46.7496,46.7496,46.7496,46.7496,1000000,0
2012-09-06,66,46.508,46.508,46.508,46.508,1000000,0
2012-09-07,67,47.5348,47.5348,47.5348,47.5348,1000000,0
2012-09-10,70,48.4408,48.4408,48.4408,48.4408,1000000,0
2012-09-11,71,48.6824,48.6824,48.6824,48.6824,1000000,0
2012-09-12,72,48.8032,48.8032,48.8032,48.8032,1000000,0
2012-09-13,73,50.0414,50.0414,50.0414,50.0414,1000000,0
