Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,59.05,59.05,59.05,59.05,1,0
2012-07-03,1,60.85,60.85,60.85,60.85,1,0
2012-07-04,2,63.65,63.65,63.65,63.65,1,0
2012-07-05,3,63.65,63.65,63.65,63.65,1,0
2012-07-06,4,62.2,62.2,62.2,62.2,1,0
2012-07-09,7,60.55,60.55,60.55,60.55,1,0
2012-07-10,8,63.05,63.05,63.05,63.05,1,0
2012-07-11,9,61.25,61.25,61.25,61.25,1,0
2012-07-12,10,61.65,61.65,61.65,61.65,1,0
2012-07-13,11,61.5,61.5,61.5,61.5,1,0
2012-07-16,14,59.9,59.9,59.9,59.9,1,0
2012-07-17,15,58.3,58.3,58.3,58.3,1,0
2012-07-18,16,58.75,58.75,58.75,58.75,1,0
2012-07-19,17,57.8,57.8,57.8,57.8,1,0
2012-07-20,18,55.8,55.8,55.8,55.8,1,0
2012-07-23,21,54.35,54.35,54.35,54.35,1,0
2012-07-24,22,54.3,54.3,54.3,54.3,1,0
2012-07-25,23,53.75,53.75,53.75,53.75,1,0
2012-07-26,24,51.5,51.5,51.5,51.5,1,0
2012-07-27,25,50.5,50.5,50.5,50.5,1,0
2012-07-30,28,51.4,51.4,51.4,51.4,1,0
2012-07-31,29,51.15,51.15,51.15,51.15,1,0
2012-08-01,30,52.3,52.3,52.3,52.3,1,0
2012-08-02,31,53.1,53.1,53.1,53.1,1,0
2012-08-03,32,52.5,52.5,52.5,52.5,1,0
2012-08-06,35,53.25,53.25,53.25,53.25,1,0
2012-08-07,36,53.8,53.8,53.8,53.8,1,0
2012-08-08,37,52.35,52.35,52.35,52.35,1,0
2012-08-09,38,51.25,51.25,51.25,51.25,1,0
2012-08-10,39,51.3,51.3,51.3,51.3,1,0
2012-08-13,42,50.95,50.95,50.95,50.95,1,0
2012-08-14,43,51.4,51.4,51.4,51.4,1,0
2012-08-16,45,49.25,49.25,49.25,49.25,1,0
2012-08-17,46,49.65,49.65,49.65,49.65,1,0
2012-08-21,50,51.95,51.95,51.95,51.95,1,0
2012-08-22,51,62.3,62.3,62.3,62.3,1,0
2012-08-23,52,58.9,58.9,58.9,58.9,1,0
2012-08-24,53,60.5,60.5,60.5,60.5,1,0
2012-08-27,56,58.75,58.75,58.75,58.75,1,0
2012-08-28,57,58.5,58.5,58.5,58.5,1,0
2012-08-29,58,58.1,58.1,58.1,58.1,1,0
2012-08-30,59,56.15,56.15,56.15,56.15,1,0
2012-08-31,60,54.3,54.3,54.3,54.3,1,0
2012-09-03,63,57.35,57.35,57.35,57.35,1,0
2012-09-04,64,59.6,59.6,59.6,59.6,1,0
2012-09-05,65,58.95,58.95,58.95,58.95,1,0
2012-09-06,66,60.6,60.6,60.6,60.6,1,0
2012-09-07,67,64.4,64.4,64.4,64.4,1,0
2012-09-10,70,67.1,67.1,67.1,67.1,1,0
2012-09-11,71,65.35,65.35,65.35,65.35,1,0
2012-09-12,72,67.8,67.8,67.8,67.8,1,0
2012-09-13,73,65.1,65.1,65.1,65.1,1,0
2012-09-14,74,64.45,64.45,64.45,64.45,1,0
2012-09-17,77,64.9,64.9,64.9,64.9,1,0
2012-09-18,78,63.95,63.95,63.95,63.95,1,0
2012-09-20,80,62.05,62.05,62.05,62.05,1,0
2012-09-21,81,64.35,64.35,64.35,64.35,1,0
2012-09-24,84,65.0,65.0,65.0,65.0,1,0
2012-09-25,85,63.85,63.85,63.85,63.85,1,0
2012-09-26,86,62.5,62.5,62.5,62.5,1,0
2012-09-27,87,60.95,60.95,60.95,60.95,1,0
2012-09-28,88,63.35,63.35,63.35,63.35,1,0
2012-10-01,91,65.05,65.05,65.05,65.05,1,0
2012-10-03,93,68.7,68.7,68.7,68.7,1,0
2012-10-04,94,69.85,69.85,69.85,69.85,1,0
2012-10-05,95,67.15,67.15,67.15,67.15,1,0
2012-10-08,98,65.0,65.0,65.0,65.0,1,0
2012-10-09,99,65.85,65.85,65.85,65.85,1,0
2012-10-10,100,66.9,66.9,66.9,66.9,1,0
2012-10-11,101,67.45,67.45,67.45,67.45,1,0
2012-10-12,102,66.2,66.2,66.2,66.2,1,0
2012-10-15,105,65.85,65.85,65.85,65.85,1,0
2012-10-16,106,64.15,64.15,64.15,64.15,1,0
2012-10-17,107,63.2,63.2,63.2,63.2,1,0
2012-10-18,108,63.4,63.4,63.4,63.4,1,0
2012-10-19,109,63.75,63.75,63.75,63.75,1,0
2012-10-22,112,63.55,63.55,63.55,63.55,1,0
2012-10-23,113,63.0,63.0,63.0,63.0,1,0
2012-10-25,115,61.6,61.6,61.6,61.6,1,0
2012-10-26,116,59.85,59.85,59.85,59.85,1,0
2012-10-29,119,61.1,61.1,61.1,61.1,1,0
2012-10-30,120,59.95,59.95,59.95,59.95,1,0
2012-10-31,121,61.35,61.35,61.35,61.35,1,0
2012-11-01,122,61.0,61.0,61.0,61.0,1,0
