Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,134.75,134.75,134.75,134.75,1,0
2012-07-03,1,133.1,133.1,133.1,133.1,1,0
2012-07-04,2,133.35,133.35,133.35,133.35,1,0
2012-07-05,3,137.4,137.4,137.4,137.4,1,0
2012-07-06,4,136.4,136.4,136.4,136.4,1,0
2012-07-09,7,134.25,134.25,134.25,134.25,1,0
2012-07-10,8,133.9,133.9,133.9,133.9,1,0
2012-07-11,9,134.0,134.0,134.0,134.0,1,0
2012-07-12,10,132.9,132.9,132.9,132.9,1,0
2012-07-13,11,132.35,132.35,132.35,132.35,1,0
2012-07-16,14,133.3,133.3,133.3,133.3,1,0
2012-07-17,15,133.05,133.05,133.05,133.05,1,0
2012-07-18,16,135.45,135.45,135.45,135.45,1,0
2012-07-19,17,137.1,137.1,137.1,137.1,1,0
2012-07-20,18,138.1,138.1,138.1,138.1,1,0
2012-07-23,21,136.3,136.3,136.3,136.3,1,0
2012-07-24,22,133.1,133.1,133.1,133.1,1,0
2012-07-25,23,133.55,133.55,133.55,133.55,1,0
2012-07-26,24,136.75,136.75,136.75,136.75,1,0
2012-07-27,25,137.8,137.8,137.8,137.8,1,0
2012-07-30,28,137.3,137.3,137.3,137.3,1,0
2012-07-31,29,136.45,136.45,136.45,136.45,1,0
2012-08-01,30,136.95,136.95,136.95,136.95,1,0
2012-08-02,31,136.6,136.6,136.6,136.6,1,0
2012-08-03,32,137.4,137.4,137.4,137.4,1,0
2012-08-06,35,137.55,137.55,137.55,137.55,1,0
2012-08-07,36,137.8,137.8,137.8,137.8,1,0
2012-08-08,37,140.95,140.95,140.95,140.95,1,0
2012-08-09,38,137.8,137.8,137.8,137.8,1,0
2012-08-10,39,138.9,138.9,138.9,138.9,1,0
2012-08-13,42,138.1,138.1,138.1,138.1,1,0
2012-08-14,43,137.9,137.9,137.9,137.9,1,0
2012-08-16,45,137.05,137.05,137.05,137.05,1,0
2012-08-17,46,136.95,136.95,136.95,136.95,1,0
2012-08-21,50,136.8,136.8,136.8,136.8,1,0
2012-08-22,51,137.3,137.3,137.3,137.3,1,0
2012-08-23,52,139.05,139.05,139.05,139.05,1,0
2012-08-24,53,140.1,140.1,140.1,140.1,1,0
2012-08-27,56,156.35,156.35,156.35,156.35,1,0
2012-08-28,57,145.75,145.75,145.75,145.75,1,0
2012-08-29,58,149.25,149.25,149.25,149.25,1,0
2012-08-30,59,158.1,158.1,158.1,158.1,1,0
2012-08-31,60,159.25,159.25,159.25,159.25,1,0
2012-09-03,63,161.7,161.7,161.7,161.7,1,0
2012-09-04,64,164.4,164.4,164.4,164.4,1,0
2012-09-05,65,165.3,165.3,165.3,165.3,1,0
2012-09-06,66,174.9,174.9,174.9,174.9,1,0
2012-09-07,67,185.25,185.25,185.25,185.25,1,0
2012-09-10,70,189.75,189.75,189.75,189.75,1,0
2012-09-11,71,184.7,184.7,184.7,184.7,1,0
2012-09-12,72,189.85,189.85,189.85,189.85,1,0
2012-09-13,73,185.85,185.85,185.85,185.85,1,0
2012-09-14,74,181.25,181.25,181.25,181.25,1,0
2012-09-17,77,182.1,182.1,182.1,182.1,1,0
2012-09-18,78,181.55,181.55,181.55,181.55,1,0
2012-09-20,80,176.55,176.55,176.55,176.55,1,0
2012-09-21,81,178.85,178.85,178.85,178.85,1,0
2012-09-24,84,186.75,186.75,186.75,186.75,1,0
2012-09-25,85,185.45,185.45,185.45,185.45,1,0
2012-09-26,86,183.0,183.0,183.0,183.0,1,0
2012-09-27,87,183.95,183.95,183.95,183.95,1,0
2012-09-28,88,182.05,182.05,182.05,182.05,1,0
2012-10-01,91,193.15,193.15,193.15,193.15,1,0
2012-10-03,93,194.65,194.65,194.65,194.65,1,0
2012-10-04,94,197.55,197.55,197.55,197.55,1,0
2012-10-05,95,192.45,192.45,192.45,192.45,1,0
2012-10-08,98,194.2,194.2,194.2,194.2,1,0
2012-10-09,99,193.9,193.9,193.9,193.9,1,0
2012-10-10,100,193.05,193.05,193.05,193.05,1,0
2012-10-11,101,196.15,196.15,196.15,196.15,1,0
2012-10-12,102,199.0,199.0,199.0,199.0,1,0
2012-10-15,105,214.1,214.1,214.1,214.1,1,0
2012-10-16,106,207.9,207.9,207.9,207.9,1,0
2012-10-17,107,208.55,208.55,208.55,208.55,1,0
2012-10-18,108,216.55,216.55,216.55,216.55,1,0
2012-10-19,109,210.2,210.2,210.2,210.2,1,0
2012-10-22,112,214.75,214.75,214.75,214.75,1,0
2012-10-23,113,218.45,218.45,218.45,218.45,1,0
2012-10-25,115,222.95,222.95,222.95,222.95,1,0
2012-10-26,116,221.2,221.2,221.2,221.2,1,0
2012-10-29,119,220.35,220.35,220.35,220.35,1,0
2012-10-30,120,216.65,216.65,216.65,216.65,1,0
2012-10-31,121,213.85,213.85,213.85,213.85,1,0
2012-11-01,122,216.05,216.05,216.05,216.05,1,0
2012-11-02,123,214.25,214.25,214.25,214.25,1,0
2012-11-05,126,213.7,213.7,213.7,213.7,1,0
2012-11-06,127,214.2,214.2,214.2,214.2,1,0
2012-11-07,128,218.5,218.5,218.5,218.5,1,0
2012-11-08,129,194.5,194.5,194.5,194.5,1,0
2012-11-09,130,183.1,183.1,183.1,183.1,1,0
2012-11-12,133,182.9,182.9,182.9,182.9,1,0
2012-11-13,134,187.5,187.5,187.5,187.5,1,0
2012-11-15,136,190.85,190.85,190.85,190.85,1,0
2012-11-16,137,185.65,185.65,185.65,185.65,1,0
2012-11-19,140,181.5,181.5,181.5,181.5,1,0
2012-11-20,141,180.55,180.55,180.55,180.55,1,0
2012-11-21,142,179.0,179.0,179.0,179.0,1,0
2012-11-22,143,179.75,179.75,179.75,179.75,1,0
