Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,70.0,70.0,70.0,70.0,1000000,0
2012-07-03,1,70.2,70.2,70.2,70.2,1000000,0
2012-07-04,2,70.7,70.7,70.7,70.7,1000000,0
2012-07-05,3,76.05,76.05,76.05,76.05,1000000,0
2012-07-06,4,86.7,86.7,86.7,86.7,1000000,0
2012-07-09,7,86.85,86.85,86.85,86.85,1000000,0
2012-07-10,8,85.85,85.85,85.85,85.85,1000000,0
2012-07-11,9,82.1,82.1,82.1,82.1,1000000,0
2012-07-12,10,84.8,84.8,84.8,84.8,1000000,0
2012-07-13,11,83.65,83.65,83.65,83.65,1000000,0
2012-07-16,14,80.2,80.2,80.2,80.2,1000000,0
2012-07-17,15,78.9,78.9,78.9,78.9,1000000,0
2012-07-18,16,82.7,82.7,82.7,82.7,1000000,0
2012-07-19,17,83.4,83.4,83.4,83.4,1000000,0
2012-07-20,18,81.75,81.75,81.75,81.75,1000000,0
2012-07-23,21,79.7,79.7,79.7,79.7,1000000,0
2012-07-24,22,79.0,79.0,79.0,79.0,1000000,0
2012-07-25,23,78.9,78.9,78.9,78.9,1000000,0
2012-07-26,24,76.75,76.75,76.75,76.75,1000000,0
2012-07-27,25,73.65,73.65,73.65,73.65,1000000,0
2012-07-30,28,72.7,72.7,72.7,72.7,1000000,0
2012-07-31,29,71.9,71.9,71.9,71.9,1000000,0
2012-08-01,30,72.0,72.0,72.0,72.0,1000000,0
2012-08-02,31,72.2,72.2,72.2,72.2,1000000,0
2012-08-03,32,70.95,70.95,70.95,70.95,1000000,0
2012-08-06,35,72.6,72.6,72.6,72.6,1000000,0
2012-08-07,36,73.3,73.3,73.3,73.3,1000000,0
2012-08-08,37,71.35,71.35,71.35,71.35,1000000,0
2012-08-09,38,70.45,70.45,70.45,70.45,1000000,0
2012-08-10,39,69.5,69.5,69.5,69.5,1000000,0
2012-08-13,42,72.85,72.85,72.85,72.85,1000000,0
2012-08-14,43,73.25,73.25,73.25,73.25,1000000,0
2012-08-16,45,72.95,72.95,72.95,72.95,1000000,0
2012-08-17,46,73.1,73.1,73.1,73.1,1000000,0
2012-08-21,50,72.55,72.55,72.55,72.55,1000000,0
2012-08-22,51,72.15,72.15,72.15,72.15,1000000,0
2012-08-23,52,71.75,71.75,71.75,71.75,1000000,0
2012-08-24,53,70.6,70.6,70.6,70.6,1000000,0
2012-08-27,56,71.15,71.15,71.15,71.15,1000000,0
2012-08-28,57,68.85,68.85,68.85,68.85,1000000,0
2012-08-29,58,67.85,67.85,67.85,67.85,1000000,0
2012-08-30,59,68.0,68.0,68.0,68.0,1000000,0
2012-08-31,60,66.95,66.95,66.95,66.95,1000000,0
2012-09-03,63,71.1,71.1,71.1,71.1,1000000,0
2012-09-04,64,70.4,70.4,70.4,70.4,1000000,0
2012-09-05,65,70.05,70.05,70.05,70.05,1000000,0
2012-09-06,66,69.25,69.25,69.25,69.25,1000000,0
2012-09-07,67,73.85,73.85,73.85,73.85,1000000,0
2012-09-10,70,75.45,75.45,75.45,75.45,1000000,0
2012-09-11,71,78.1,78.1,78.1,78.1,1000000,0
2012-09-12,72,78.95,78.95,78.95,78.95,1000000,0
2012-09-13,73,77.35,77.35,77.35,77.35,1000000,0
2012-09-14,74,76.05,76.05,76.05,76.05,1000000,0
2012-09-17,77,73.85,73.85,73.85,73.85,1000000,0
2012-09-18,78,74.7,74.7,74.7,74.7,1000000,0
2012-09-20,80,75.0,75.0,75.0,75.0,1000000,0
2012-09-21,81,75.05,75.05,75.05,75.05,1000000,0
