Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,56.1,56.1,56.1,56.1,1000000,0
2012-07-03,1,55.85,55.85,55.85,55.85,1000000,0
2012-07-04,2,55.5,55.5,55.5,55.5,1000000,0
2012-07-05,3,56.4,56.4,56.4,56.4,1000000,0
2012-07-06,4,56.2,56.2,56.2,56.2,1000000,0
2012-07-09,7,55.15,55.15,55.15,55.15,1000000,0
2012-07-10,8,55.35,55.35,55.35,55.35,1000000,0
2012-07-11,9,55.45,55.45,55.45,55.45,1000000,0
2012-07-12,10,54.4,54.4,54.4,54.4,1000000,0
2012-07-13,11,53.3,53.3,53.3,53.3,1000000,0
2012-07-16,14,55.9,55.9,55.9,55.9,1000000,0
2012-07-17,15,60.0,60.0,60.0,60.0,1000000,0
2012-07-18,16,61.1,61.1,61.1,61.1,1000000,0
2012-07-19,17,58.25,58.25,58.25,58.25,1000000,0
2012-07-20,18,57.1,57.1,57.1,57.1,1000000,0
2012-07-23,21,55.5,55.5,55.5,55.5,1000000,0
2012-07-24,22,56.25,56.25,56.25,56.25,1000000,0
2012-07-25,23,56.0,56.0,56.0,56.0,1000000,0
2012-07-26,24,55.05,55.05,55.05,55.05,1000000,0
2012-07-27,25,54.75,54.75,54.75,54.75,1000000,0
2012-07-30,28,54.15,54.15,54.15,54.15,1000000,0
2012-07-31,29,54.6,54.6,54.6,54.6,1000000,0
2012-08-01,30,55.3,55.3,55.3,55.3,1000000,0
2012-08-02,31,56.05,56.05,56.05,56.05,1000000,0
2012-08-03,32,60.1,60.1,60.1,60.1,1000000,0
2012-08-06,35,58.4,58.4,58.4,58.4,1000000,0
2012-08-07,36,57.9,57.9,57.9,57.9,1000000,0
2012-08-08,37,57.55,57.55,57.55,57.55,1000000,0
2012-08-09,38,57.6,57.6,57.6,57.6,1000000,0
2012-08-10,39,56.5,56.5,56.5,56.5,1000000,0
2012-08-13,42,58.7,58.7,58.7,58.7,1000000,0
2012-08-14,43,59.8,59.8,59.8,59.8,1000000,0
2012-08-16,45,59.3,59.3,59.3,59.3,1000000,0
2012-08-17,46,58.95,58.95,58.95,58.95,1000000,0
2012-08-21,50,60.1,60.1,60.1,60.1,1000000,0
2012-08-22,51,61.2,61.2,61.2,61.2,1000000,0
2012-08-23,52,63.9,63.9,63.9,63.9,1000000,0
2012-08-24,53,64.75,64.75,64.75,64.75,1000000,0
2012-08-27,56,66.5,66.5,66.5,66.5,1000000,0
2012-08-28,57,66.0,66.0,66.0,66.0,1000000,0
2012-08-29,58,64.05,64.05,64.05,64.05,1000000,0
2012-08-30,59,64.95,64.95,64.95,64.95,1000000,0
2012-08-31,60,68.4,68.4,68.4,68.4,1000000,0
2012-09-03,63,69.95,69.95,69.95,69.95,1000000,0
2012-09-04,64,69.6,69.6,69.6,69.6,1000000,0
2012-09-05,65,69.8,69.8,69.8,69.8,1000000,0
2012-09-06,66,69.0,69.0,69.0,69.0,1000000,0
2012-09-07,67,68.8,68.8,68.8,68.8,1000000,0
2012-09-10,70,72.35,72.35,72.35,72.35,1000000,0
2012-09-11,71,71.75,71.75,71.75,71.75,1000000,0
2012-09-12,72,73.0,73.0,73.0,73.0,1000000,0
2012-09-13,73,72.1,72.1,72.1,72.1,1000000,0
2012-09-14,74,71.35,71.35,71.35,71.35,1000000,0
2012-09-17,77,71.0,71.0,71.0,71.0,1000000,0
2012-09-18,78,70.4,70.4,70.4,70.4,1000000,0
2012-09-20,80,71.05,71.05,71.05,71.05,1000000,0
2012-09-21,81,70.35,70.35,70.35,70.35,1000000,0
2012-09-24,84,68.4,68.4,68.4,68.4,1000000,0
2012-09-25,85,70.15,70.15,70.15,70.15,1000000,0
2012-09-26,86,71.15,71.15,71.15,71.15,1000000,0
2012-09-27,87,69.6,69.6,69.6,69.6,1000000,0
2012-09-28,88,69.5,69.5,69.5,69.5,1000000,0
2012-10-01,91,67.3,67.3,67.3,67.3,1000000,0
2012-10-03,93,69.2,69.2,69.2,69.2,1000000,0
2012-10-04,94,68.1,68.1,68.1,68.1,1000000,0
2012-10-05,95,67.2,67.2,67.2,67.2,1000000,0
2012-10-08,98,66.2,66.2,66.2,66.2,1000000,0
2012-10-09,99,65.8,65.8,65.8,65.8,1000000,0
2012-10-10,100,66.4,66.4,66.4,66.4,1000000,0
2012-10-11,101,68.1,68.1,68.1,68.1,1000000,0
2012-10-12,102,67.0,67.0,67.0,67.0,1000000,0
2012-10-15,105,69.55,69.55,69.55,69.55,1000000,0
2012-10-16,106,67.6,67.6,67.6,67.6,1000000,0
2012-10-17,107,65.85,65.85,65.85,65.85,1000000,0
2012-10-18,108,66.65,66.65,66.65,66.65,1000000,0
2012-10-19,109,64.9,64.9,64.9,64.9,1000000,0
2012-10-22,112,62.95,62.95,62.95,62.95,1000000,0
2012-10-23,113,64.6,64.6,64.6,64.6,1000000,0
2012-10-25,115,64.35,64.35,64.35,64.35,1000000,0
2012-10-26,116,62.3,62.3,62.3,62.3,1000000,0
2012-10-29,119,62.1,62.1,62.1,62.1,1000000,0
2012-10-30,120,63.1,63.1,63.1,63.1,1000000,0
2012-10-31,121,64.4,64.4,64.4,64.4,1000000,0
2012-11-01,122,63.4,63.4,63.4,63.4,1000000,0
2012-11-02,123,63.2,63.2,63.2,63.2,1000000,0
2012-11-05,126,65.05,65.05,65.05,65.05,1000000,0
2012-11-06,127,64.95,64.95,64.95,64.95,1000000,0
2012-11-07,128,65.75,65.75,65.75,65.75,1000000,0
2012-11-08,129,67.2,67.2,67.2,67.2,1000000,0
2012-11-09,130,66.6,66.6,66.6,66.6,1000000,0
2012-11-12,133,67.05,67.05,67.05,67.05,1000000,0
2012-11-13,134,69.95,69.95,69.95,69.95,1000000,0
2012-11-15,136,69.3,69.3,69.3,69.3,1000000,0
2012-11-16,137,68.5,68.5,68.5,68.5,1000000,0
2012-11-19,140,68.5,68.5,68.5,68.5,1000000,0
2012-11-20,141,67.15,67.15,67.15,67.15,1000000,0
2012-11-21,142,66.45,66.45,66.45,66.45,1000000,0
2012-11-22,143,67.5,67.5,67.5,67.5,1000000,0
2012-11-23,144,68.2,68.2,68.2,68.2,1000000,0
2012-11-26,147,67.95,67.95,67.95,67.95,1000000,0
2012-11-27,148,68.0,68.0,68.0,68.0,1000000,0
2012-11-29,150,67.95,67.95,67.95,67.95,1000000,0
2012-11-30,151,67.6,67.6,67.6,67.6,1000000,0
2012-12-03,154,67.05,67.05,67.05,67.05,1000000,0
2012-12-04,155,66.9,66.9,66.9,66.9,1000000,0
2012-12-05,156,67.4,67.4,67.4,67.4,1000000,0
2012-12-06,157,66.75,66.75,66.75,66.75,1000000,0
2012-12-07,158,65.85,65.85,65.85,65.85,1000000,0
2012-12-10,161,66.2,66.2,66.2,66.2,1000000,0
2012-12-11,162,64.7,64.7,64.7,64.7,1000000,0
2012-12-12,163,65.4,65.4,65.4,65.4,1000000,0
2012-12-13,164,66.45,66.45,66.45,66.45,1000000,0
2012-12-14,165,65.65,65.65,65.65,65.65,1000000,0
2012-12-17,168,66.2,66.2,66.2,66.2,1000000,0
2012-12-18,169,67.25,67.25,67.25,67.25,1000000,0
2012-12-19,170,67.7,67.7,67.7,67.7,1000000,0
2012-12-20,171,66.4,66.4,66.4,66.4,1000000,0
2012-12-21,172,64.85,64.85,64.85,64.85,1000000,0
2012-12-24,175,63.7,63.7,63.7,63.7,1000000,0
2012-12-26,177,65.3,65.3,65.3,65.3,1000000,0
2012-12-27,178,67.1,67.1,67.1,67.1,1000000,0
2012-12-28,179,65.6,65.6,65.6,65.6,1000000,0
2012-12-31,182,63.95,63.95,63.95,63.95,1000000,0
2013-01-01,183,63.0,63.0,63.0,63.0,1000000,0
2013-01-02,184,62.8,62.8,62.8,62.8,1000000,0
2013-01-03,185,62.55,62.55,62.55,62.55,1000000,0
2013-01-04,186,62.4,62.4,62.4,62.4,1000000,0
2013-01-07,189,62.5,62.5,62.5,62.5,1000000,0
2013-01-08,190,62.45,62.45,62.45,62.45,1000000,0
2013-01-09,191,62.95,62.95,62.95,62.95,1000000,0
2013-01-10,192,62.15,62.15,62.15,62.15,1000000,0
2013-01-11,193,61.75,61.75,61.75,61.75,1000000,0
2013-01-14,196,62.4,62.4,62.4,62.4,1000000,0
2013-01-15,197,62.55,62.55,62.55,62.55,1000000,0
2013-01-16,198,62.05,62.05,62.05,62.05,1000000,0
2013-01-17,199,62.9,62.9,62.9,62.9,1000000,0
2013-01-18,200,62.15,62.15,62.15,62.15,1000000,0
2013-01-21,203,63.65,63.65,63.65,63.65,1000000,0
2013-01-22,204,62.15,62.15,62.15,62.15,1000000,0
2013-01-23,205,62.35,62.35,62.35,62.35,1000000,0
2013-01-24,206,63.55,63.55,63.55,63.55,1000000,0
2013-01-25,207,62.7,62.7,62.7,62.7,1000000,0
2013-01-28,210,62.0,62.0,62.0,62.0,1000000,0
2013-01-29,211,61.95,61.95,61.95,61.95,1000000,0
2013-01-30,212,61.05,61.05,61.05,61.05,1000000,0
2013-01-31,213,61.1,61.1,61.1,61.1,1000000,0
2013-02-01,214,62.4,62.4,62.4,62.4,1000000,0
2013-02-04,217,61.75,61.75,61.75,61.75,1000000,0
2013-02-05,218,61.5,61.5,61.5,61.5,1000000,0
2013-02-06,219,60.9,60.9,60.9,60.9,1000000,0
2013-02-07,220,61.05,61.05,61.05,61.05,1000000,0
2013-02-08,221,61.0,61.0,61.0,61.0,1000000,0
2013-02-11,224,60.95,60.95,60.95,60.95,1000000,0
2013-02-12,225,60.1,60.1,60.1,60.1,1000000,0
2013-02-13,226,60.7,60.7,60.7,60.7,1000000,0
2013-02-14,227,60.5,60.5,60.5,60.5,1000000,0
2013-02-15,228,60.55,60.55,60.55,60.55,1000000,0
2013-02-18,231,61.05,61.05,61.05,61.05,1000000,0
2013-02-19,232,61.45,61.45,61.45,61.45,1000000,0
2013-02-20,233,63.7,63.7,63.7,63.7,1000000,0
2013-02-21,234,65.55,65.55,65.55,65.55,1000000,0
2013-02-22,235,62.95,62.95,62.95,62.95,1000000,0
2013-02-25,238,65.5,65.5,65.5,65.5,1000000,0
2013-02-26,239,66.15,66.15,66.15,66.15,1000000,0
2013-02-27,240,65.05,65.05,65.05,65.05,1000000,0
2013-02-28,241,64.3,64.3,64.3,64.3,1000000,0
2013-03-01,242,62.6,62.6,62.6,62.6,1000000,0
2013-03-04,245,63.0,63.0,63.0,63.0,1000000,0
2013-03-05,246,63.5,63.5,63.5,63.5,1000000,0
2013-03-06,247,62.85,62.85,62.85,62.85,1000000,0
2013-03-07,248,63.25,63.25,63.25,63.25,1000000,0
2013-03-08,249,62.75,62.75,62.75,62.75,1000000,0
2013-03-11,252,64.9,64.9,64.9,64.9,1000000,0
2013-03-12,253,65.15,65.15,65.15,65.15,1000000,0
2013-03-13,254,65.05,65.05,65.05,65.05,1000000,0
2013-03-14,255,64.5,64.5,64.5,64.5,1000000,0
2013-03-15,256,63.0,63.0,63.0,63.0,1000000,0
2013-03-18,259,62.65,62.65,62.65,62.65,1000000,0
2013-03-19,260,62.5,62.5,62.5,62.5,1000000,0
2013-03-20,261,62.0,62.0,62.0,62.0,1000000,0
2013-03-21,262,62.0,62.0,62.0,62.0,1000000,0
2013-03-22,263,60.3,60.3,60.3,60.3,1000000,0
2013-03-25,266,57.65,57.65,57.65,57.65,1000000,0
2013-03-26,267,59.65,59.65,59.65,59.65,1000000,0
2013-03-28,269,58.15,58.15,58.15,58.15,1000000,0
2013-04-01,273,60.75,60.75,60.75,60.75,1000000,0
2013-04-02,274,62.35,62.35,62.35,62.35,1000000,0
2013-04-03,275,62.05,62.05,62.05,62.05,1000000,0
2013-04-04,276,59.9,59.9,59.9,59.9,1000000,0
2013-04-05,277,59.8,59.8,59.8,59.8,1000000,0
2013-04-08,280,59.1,59.1,59.1,59.1,1000000,0
2013-04-09,281,59.8,59.8,59.8,59.8,1000000,0
2013-04-10,282,59.8,59.8,59.8,59.8,1000000,0
2013-04-11,283,60.3,60.3,60.3,60.3,1000000,0
2013-04-12,284,59.25,59.25,59.25,59.25,1000000,0
2013-04-15,287,60.35,60.35,60.35,60.35,1000000,0
2013-04-16,288,62.85,62.85,62.85,62.85,1000000,0
2013-04-17,289,63.0,63.0,63.0,63.0,1000000,0
2013-04-18,290,64.7,64.7,64.7,64.7,1000000,0
2013-04-22,294,64.9,64.9,64.9,64.9,1000000,0
2013-04-23,295,62.3,62.3,62.3,62.3,1000000,0
2013-04-25,297,64.8,64.8,64.8,64.8,1000000,0
2013-04-26,298,63.1,63.1,63.1,63.1,1000000,0
2013-04-29,301,63.5,63.5,63.5,63.5,1000000,0
2013-04-30,302,63.15,63.15,63.15,63.15,1000000,0
2013-05-02,304,62.9,62.9,62.9,62.9,1000000,0
2013-05-03,305,62.6,62.6,62.6,62.6,1000000,0
2013-05-06,308,62.7,62.7,62.7,62.7,1000000,0
2013-05-07,309,62.1,62.1,62.1,62.1,1000000,0
2013-05-08,310,61.95,61.95,61.95,61.95,1000000,0
2013-05-09,311,65.0,65.0,65.0,65.0,1000000,0
2013-05-10,312,63.3,63.3,63.3,63.3,1000000,0
2013-05-13,315,64.6,64.6,64.6,64.6,1000000,0
2013-05-14,316,63.8,63.8,63.8,63.8,1000000,0
2013-05-15,317,64.15,64.15,64.15,64.15,1000000,0
2013-05-16,318,64.95,64.95,64.95,64.95,1000000,0
2013-05-17,319,65.1,65.1,65.1,65.1,1000000,0
2013-05-20,322,63.85,63.85,63.85,63.85,1000000,0
2013-05-21,323,61.5,61.5,61.5,61.5,1000000,0
2013-05-22,324,61.45,61.45,61.45,61.45,1000000,0
2013-05-23,325,60.0,60.0,60.0,60.0,1000000,0
2013-05-24,326,60.0,60.0,60.0,60.0,1000000,0
2013-05-27,329,59.65,59.65,59.65,59.65,1000000,0
2013-05-28,330,61.9,61.9,61.9,61.9,1000000,0
2013-05-29,331,62.65,62.65,62.65,62.65,1000000,0
2013-05-30,332,63.35,63.35,63.35,63.35,1000000,0
2013-05-31,333,63.0,63.0,63.0,63.0,1000000,0
2013-06-03,336,65.0,65.0,65.0,65.0,1000000,0
2013-06-04,337,65.6,65.6,65.6,65.6,1000000,0
2013-06-05,338,64.45,64.45,64.45,64.45,1000000,0
2013-06-06,339,63.1,63.1,63.1,63.1,1000000,0
2013-06-07,340,63.55,63.55,63.55,63.55,1000000,0
2013-06-10,343,63.25,63.25,63.25,63.25,1000000,0
2013-06-11,344,62.7,62.7,62.7,62.7,1000000,0
2013-06-12,345,61.25,61.25,61.25,61.25,1000000,0
2013-06-13,346,64.55,64.55,64.55,64.55,1000000,0
2013-06-14,347,63.9,63.9,63.9,63.9,1000000,0
2013-06-17,350,62.6,62.6,62.6,62.6,1000000,0
2013-06-18,351,62.3,62.3,62.3,62.3,1000000,0
2013-06-19,352,61.95,61.95,61.95,61.95,1000000,0
2013-06-20,353,63.5,63.5,63.5,63.5,1000000,0
2013-06-21,354,62.0,62.0,62.0,62.0,1000000,0
2013-06-24,357,62.05,62.05,62.05,62.05,1000000,0
2013-06-25,358,64.0,64.0,64.0,64.0,1000000,0
2013-06-26,359,62.8,62.8,62.8,62.8,1000000,0
2013-06-27,360,64.05,64.05,64.05,64.05,1000000,0
2013-06-28,361,63.95,63.95,63.95,63.95,1000000,0
2013-07-01,364,62.85,62.85,62.85,62.85,1000000,0
2013-07-02,365,62.15,62.15,62.15,62.15,1000000,0
2013-07-03,366,63.95,63.95,63.95,63.95,1000000,0
2013-07-04,367,62.6,62.6,62.6,62.6,1000000,0
2013-07-05,368,62.2,62.2,62.2,62.2,1000000,0
