Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,312.425,312.425,312.425,312.425,1000000,0
2012-07-03,1,311.31875,311.31875,311.31875,311.31875,1000000,0
2012-07-04,2,309.925,309.925,309.925,309.925,1000000,0
2012-07-05,3,310.03125,310.03125,310.03125,310.03125,1000000,0
2012-07-06,4,305.58125,305.58125,305.58125,305.58125,1000000,0
2012-07-09,7,304.74375,304.74375,304.74375,304.74375,1000000,0
2012-07-10,8,307.425,307.425,307.425,307.425,1000000,0
2012-07-11,9,308.875,308.875,308.875,308.875,1000000,0
2012-07-12,10,283.05,283.05,283.05,283.05,1000000,0
2012-07-13,11,278.725,278.725,278.725,278.725,1000000,0
2012-07-16,14,271.4125,271.4125,271.4125,271.4125,1000000,0
2012-07-17,15,271.40625,271.40625,271.40625,271.40625,1000000,0
2012-07-18,16,272.3625,272.3625,272.3625,272.3625,1000000,0
2012-07-19,17,280.65,280.65,280.65,280.65,1000000,0
2012-07-20,18,277.34375,277.34375,277.34375,277.34375,1000000,0
2012-07-23,21,273.6375,273.6375,273.6375,273.6375,1000000,0
2012-07-24,22,271.08125,271.08125,271.08125,271.08125,1000000,0
2012-07-25,23,271.06875,271.06875,271.06875,271.06875,1000000,0
2012-07-26,24,265.475,265.475,265.475,265.475,1000000,0
2012-07-27,25,268.58125,268.58125,268.58125,268.58125,1000000,0
2012-07-30,28,276.2125,276.2125,276.2125,276.2125,1000000,0
2012-07-31,29,278.36875,278.36875,278.36875,278.36875,1000000,0
2012-08-01,30,277.31875,277.31875,277.31875,277.31875,1000000,0
2012-08-02,31,275.71875,275.71875,275.71875,275.71875,1000000,0
2012-08-03,32,276.0625,276.0625,276.0625,276.0625,1000000,0
2012-08-06,35,277.1,277.1,277.1,277.1,1000000,0
2012-08-07,36,281.6625,281.6625,281.6625,281.6625,1000000,0
2012-08-08,37,285.45,285.45,285.45,285.45,1000000,0
2012-08-09,38,285.25625,285.25625,285.25625,285.25625,1000000,0
2012-08-10,39,289.13125,289.13125,289.13125,289.13125,1000000,0
2012-08-13,42,290.0125,290.0125,290.0125,290.0125,1000000,0
2012-08-14,43,291.16875,291.16875,291.16875,291.16875,1000000,0
2012-08-16,45,289.43125,289.43125,289.43125,289.43125,1000000,0
2012-08-17,46,293.88125,293.88125,293.88125,293.88125,1000000,0
2012-08-21,50,301.125,301.125,301.125,301.125,1000000,0
2012-08-22,51,304.2,304.2,304.2,304.2,1000000,0
2012-08-23,52,309.65,309.65,309.65,309.65,1000000,0
