Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,358.15,358.15,358.15,358.15,1000000,0
2012-07-03,1,354.5,354.5,354.5,354.5,1000000,0
2012-07-04,2,351.9,351.9,351.9,351.9,1000000,0
2012-07-05,3,345.7,345.7,345.7,345.7,1000000,0
2012-07-06,4,333.15,333.15,333.15,333.15,1000000,0
2012-07-09,7,327.9,327.9,327.9,327.9,1000000,0
2012-07-10,8,325.9,325.9,325.9,325.9,1000000,0
2012-07-11,9,340.4,340.4,340.4,340.4,1000000,0
2012-07-12,10,337.3,337.3,337.3,337.3,1000000,0
2012-07-13,11,338.2,338.2,338.2,338.2,1000000,0
2012-07-16,14,328.6,328.6,328.6,328.6,1000000,0
2012-07-17,15,332.8,332.8,332.8,332.8,1000000,0
2012-07-18,16,336.15,336.15,336.15,336.15,1000000,0
2012-07-19,17,336.6,336.6,336.6,336.6,1000000,0
2012-07-20,18,340.15,340.15,340.15,340.15,1000000,0
2012-07-23,21,330.55,330.55,330.55,330.55,1000000,0
2012-07-24,22,339.4,339.4,339.4,339.4,1000000,0
2012-07-25,23,339.75,339.75,339.75,339.75,1000000,0
2012-07-26,24,331.95,331.95,331.95,331.95,1000000,0
2012-07-27,25,326.4,326.4,326.4,326.4,1000000,0
2012-07-30,28,322.95,322.95,322.95,322.95,1000000,0
2012-07-31,29,321.25,321.25,321.25,321.25,1000000,0
2012-08-01,30,328.0,328.0,328.0,328.0,1000000,0
2012-08-02,31,325.95,325.95,325.95,325.95,1000000,0
2012-08-03,32,330.55,330.55,330.55,330.55,1000000,0
2012-08-06,35,329.9,329.9,329.9,329.9,1000000,0
2012-08-07,36,335.0,335.0,335.0,335.0,1000000,0
2012-08-08,37,340.6,340.6,340.6,340.6,1000000,0
2012-08-09,38,346.05,346.05,346.05,346.05,1000000,0
2012-08-10,39,345.0,345.0,345.0,345.0,1000000,0
2012-08-13,42,352.8,352.8,352.8,352.8,1000000,0
2012-08-14,43,353.45,353.45,353.45,353.45,1000000,0
2012-08-16,45,359.95,359.95,359.95,359.95,1000000,0
2012-08-17,46,360.05,360.05,360.05,360.05,1000000,0
2012-08-21,50,351.8,351.8,351.8,351.8,1000000,0
2012-08-22,51,349.9,349.9,349.9,349.9,1000000,0
2012-08-23,52,346.25,346.25,346.25,346.25,1000000,0
2012-08-24,53,345.0,345.0,345.0,345.0,1000000,0
2012-08-27,56,340.8,340.8,340.8,340.8,1000000,0
2012-08-28,57,333.2,333.2,333.2,333.2,1000000,0
2012-08-29,58,335.65,335.65,335.65,335.65,1000000,0
2012-08-30,59,331.0,331.0,331.0,331.0,1000000,0
2012-08-31,60,334.2,334.2,334.2,334.2,1000000,0
2012-09-03,63,335.05,335.05,335.05,335.05,1000000,0
2012-09-04,64,336.15,336.15,336.15,336.15,1000000,0
2012-09-05,65,330.1,330.1,330.1,330.1,1000000,0
2012-09-06,66,332.25,332.25,332.25,332.25,1000000,0
2012-09-07,67,335.9,335.9,335.9,335.9,1000000,0
2012-09-10,70,338.35,338.35,338.35,338.35,1000000,0
2012-09-11,71,329.45,329.45,329.45,329.45,1000000,0
2012-09-12,72,330.05,330.05,330.05,330.05,1000000,0
2012-09-13,73,340.2,340.2,340.2,340.2,1000000,0
2012-09-14,74,350.15,350.15,350.15,350.15,1000000,0
2012-09-17,77,351.7,351.7,351.7,351.7,1000000,0
2012-09-18,78,350.45,350.45,350.45,350.45,1000000,0
2012-09-20,80,344.0,344.0,344.0,344.0,1000000,0
2012-09-21,81,349.25,349.25,349.25,349.25,1000000,0
2012-09-24,84,355.65,355.65,355.65,355.65,1000000,0
2012-09-25,85,351.9,351.9,351.9,351.9,1000000,0
2012-09-26,86,355.15,355.15,355.15,355.15,1000000,0
2012-09-27,87,355.35,355.35,355.35,355.35,1000000,0
2012-09-28,88,349.0,349.0,349.0,349.0,1000000,0
2012-10-01,91,353.0,353.0,353.0,353.0,1000000,0
2012-10-03,93,365.85,365.85,365.85,365.85,1000000,0
2012-10-04,94,369.9,369.9,369.9,369.9,1000000,0
2012-10-05,95,369.95,369.95,369.95,369.95,1000000,0
2012-10-08,98,366.45,366.45,366.45,366.45,1000000,0
2012-10-09,99,356.2,356.2,356.2,356.2,1000000,0
2012-10-10,100,373.7,373.7,373.7,373.7,1000000,0
2012-10-11,101,370.0,370.0,370.0,370.0,1000000,0
2012-10-12,102,368.45,368.45,368.45,368.45,1000000,0
2012-10-15,105,365.3,365.3,365.3,365.3,1000000,0
2012-10-16,106,367.45,367.45,367.45,367.45,1000000,0
2012-10-17,107,363.85,363.85,363.85,363.85,1000000,0
2012-10-18,108,365.55,365.55,365.55,365.55,1000000,0
2012-10-19,109,365.0,365.0,365.0,365.0,1000000,0
2012-10-22,112,358.05,358.05,358.05,358.05,1000000,0
2012-10-23,113,351.75,351.75,351.75,351.75,1000000,0
2012-10-25,115,355.7,355.7,355.7,355.7,1000000,0
2012-10-26,116,369.85,369.85,369.85,369.85,1000000,0
2012-10-29,119,351.7,351.7,351.7,351.7,1000000,0
2012-10-30,120,348.45,348.45,348.45,348.45,1000000,0
2012-10-31,121,350.4,350.4,350.4,350.4,1000000,0
2012-11-01,122,346.4,346.4,346.4,346.4,1000000,0
2012-11-02,123,358.1,358.1,358.1,358.1,1000000,0
2012-11-05,126,354.1,354.1,354.1,354.1,1000000,0
2012-11-06,127,347.25,347.25,347.25,347.25,1000000,0
2012-11-07,128,352.0,352.0,352.0,352.0,1000000,0
2012-11-08,129,340.85,340.85,340.85,340.85,1000000,0
2012-11-09,130,342.15,342.15,342.15,342.15,1000000,0
2012-11-12,133,346.2,346.2,346.2,346.2,1000000,0
2012-11-13,134,349.2,349.2,349.2,349.2,1000000,0
2012-11-15,136,345.3,345.3,345.3,345.3,1000000,0
2012-11-16,137,344.7,344.7,344.7,344.7,1000000,0
2012-11-19,140,347.65,347.65,347.65,347.65,1000000,0
2012-11-20,141,348.3,348.3,348.3,348.3,1000000,0
2012-11-21,142,342.8,342.8,342.8,342.8,1000000,0
2012-11-22,143,348.35,348.35,348.35,348.35,1000000,0
2012-11-23,144,347.65,347.65,347.65,347.65,1000000,0
2012-11-26,147,357.3,357.3,357.3,357.3,1000000,0
2012-11-27,148,360.05,360.05,360.05,360.05,1000000,0
2012-11-29,150,362.15,362.15,362.15,362.15,1000000,0
2012-11-30,151,365.0,365.0,365.0,365.0,1000000,0
2012-12-03,154,369.65,369.65,369.65,369.65,1000000,0
2012-12-04,155,364.05,364.05,364.05,364.05,1000000,0
2012-12-05,156,362.9,362.9,362.9,362.9,1000000,0
2012-12-06,157,367.45,367.45,367.45,367.45,1000000,0
2012-12-07,158,365.95,365.95,365.95,365.95,1000000,0
2012-12-10,161,361.95,361.95,361.95,361.95,1000000,0
2012-12-11,162,357.75,357.75,357.75,357.75,1000000,0
2012-12-12,163,360.2,360.2,360.2,360.2,1000000,0
2012-12-13,164,355.85,355.85,355.85,355.85,1000000,0
2012-12-14,165,358.55,358.55,358.55,358.55,1000000,0
2012-12-17,168,358.0,358.0,358.0,358.0,1000000,0
2012-12-18,169,360.4,360.4,360.4,360.4,1000000,0
2012-12-19,170,359.65,359.65,359.65,359.65,1000000,0
2012-12-20,171,358.8,358.8,358.8,358.8,1000000,0
2012-12-21,172,349.7,349.7,349.7,349.7,1000000,0
2012-12-24,175,349.4,349.4,349.4,349.4,1000000,0
2012-12-26,177,350.75,350.75,350.75,350.75,1000000,0
2012-12-27,178,350.6,350.6,350.6,350.6,1000000,0
2012-12-28,179,345.2,345.2,345.2,345.2,1000000,0
2012-12-31,182,344.8,344.8,344.8,344.8,1000000,0
2013-01-01,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-02,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-03,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-04,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-07,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-08,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-09,183,343.15,343.15,343.15,343.15,1000000,0
2013-01-10,183,343.15,343.15,343.15,343.15,1000000,0
