Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,84.35,84.35,84.35,84.35,1000000,0
2012-07-03,1,84.05,84.05,84.05,84.05,1000000,0
2012-07-04,2,84.7,84.7,84.7,84.7,1000000,0
2012-07-05,3,86.5,86.5,86.5,86.5,1000000,0
2012-07-06,4,86.25,86.25,86.25,86.25,1000000,0
2012-07-09,7,83.8,83.8,83.8,83.8,1000000,0
2012-07-10,8,84.75,84.75,84.75,84.75,1000000,0
2012-07-11,9,84.45,84.45,84.45,84.45,1000000,0
2012-07-12,10,83.65,83.65,83.65,83.65,1000000,0
2012-07-13,11,83.55,83.55,83.55,83.55,1000000,0
2012-07-16,14,83.2,83.2,83.2,83.2,1000000,0
2012-07-17,15,82.6,82.6,82.6,82.6,1000000,0
2012-07-18,16,82.85,82.85,82.85,82.85,1000000,0
2012-07-19,17,83.2,83.2,83.2,83.2,1000000,0
2012-07-20,18,82.6,82.6,82.6,82.6,1000000,0
2012-07-23,21,81.5,81.5,81.5,81.5,1000000,0
2012-07-24,22,81.7,81.7,81.7,81.7,1000000,0
2012-07-25,23,80.65,80.65,80.65,80.65,1000000,0
2012-07-26,24,73.75,73.75,73.75,73.75,1000000,0
2012-07-27,25,69.95,69.95,69.95,69.95,1000000,0
2012-07-30,28,72.4,72.4,72.4,72.4,1000000,0
2012-07-31,29,72.5,72.5,72.5,72.5,1000000,0
2012-08-01,30,73.35,73.35,73.35,73.35,1000000,0
2012-08-02,31,73.55,73.55,73.55,73.55,1000000,0
2012-08-03,32,73.25,73.25,73.25,73.25,1000000,0
2012-08-06,35,73.2,73.2,73.2,73.2,1000000,0
2012-08-07,36,73.35,73.35,73.35,73.35,1000000,0
2012-08-08,37,73.0,73.0,73.0,73.0,1000000,0
2012-08-09,38,71.35,71.35,71.35,71.35,1000000,0
2012-08-10,39,71.35,71.35,71.35,71.35,1000000,0
2012-08-13,42,71.15,71.15,71.15,71.15,1000000,0
2012-08-14,43,72.15,72.15,72.15,72.15,1000000,0
2012-08-16,45,72.8,72.8,72.8,72.8,1000000,0
2012-08-17,46,72.65,72.65,72.65,72.65,1000000,0
2012-08-21,50,72.4,72.4,72.4,72.4,1000000,0
2012-08-22,51,71.85,71.85,71.85,71.85,1000000,0
2012-08-23,52,70.95,70.95,70.95,70.95,1000000,0
2012-08-24,53,70.65,70.65,70.65,70.65,1000000,0
2012-08-27,56,69.05,69.05,69.05,69.05,1000000,0
2012-08-28,57,68.5,68.5,68.5,68.5,1000000,0
2012-08-29,58,67.5,67.5,67.5,67.5,1000000,0
2012-08-30,59,66.85,66.85,66.85,66.85,1000000,0
2012-08-31,60,68.25,68.25,68.25,68.25,1000000,0
2012-09-03,63,67.75,67.75,67.75,67.75,1000000,0
2012-09-04,64,67.55,67.55,67.55,67.55,1000000,0
2012-09-05,65,66.8,66.8,66.8,66.8,1000000,0
2012-09-06,66,66.2,66.2,66.2,66.2,1000000,0
2012-09-07,67,67.15,67.15,67.15,67.15,1000000,0
2012-09-10,70,67.5,67.5,67.5,67.5,1000000,0
2012-09-11,71,67.55,67.55,67.55,67.55,1000000,0
2012-09-12,72,67.75,67.75,67.75,67.75,1000000,0
2012-09-13,73,67.6,67.6,67.6,67.6,1000000,0
2012-09-14,74,69.0,69.0,69.0,69.0,1000000,0
2012-09-17,77,71.55,71.55,71.55,71.55,1000000,0
2012-09-18,78,75.75,75.75,75.75,75.75,1000000,0
2012-09-20,80,75.25,75.25,75.25,75.25,1000000,0
2012-09-21,81,78.2,78.2,78.2,78.2,1000000,0
2012-09-24,84,77.2,77.2,77.2,77.2,1000000,0
2012-09-25,85,78.05,78.05,78.05,78.05,1000000,0
2012-09-26,86,77.7,77.7,77.7,77.7,1000000,0
2012-09-27,87,77.35,77.35,77.35,77.35,1000000,0
2012-09-28,88,78.3,78.3,78.3,78.3,1000000,0
2012-10-01,91,81.7,81.7,81.7,81.7,1000000,0
2012-10-03,93,82.15,82.15,82.15,82.15,1000000,0
2012-10-04,94,82.45,82.45,82.45,82.45,1000000,0
2012-10-05,95,80.4,80.4,80.4,80.4,1000000,0
2012-10-08,98,79.3,79.3,79.3,79.3,1000000,0
2012-10-09,99,80.0,80.0,80.0,80.0,1000000,0
2012-10-10,100,77.95,77.95,77.95,77.95,1000000,0
2012-10-11,101,79.85,79.85,79.85,79.85,1000000,0
2012-10-12,102,79.55,79.55,79.55,79.55,1000000,0
