Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,13.23,13.23,13.23,13.23,1000000,0
2012-07-03,1,13.515,13.515,13.515,13.515,1000000,0
2012-07-04,2,13.4,13.4,13.4,13.4,1000000,0
2012-07-05,3,13.55,13.55,13.55,13.55,1000000,0
2012-07-06,4,13.725,13.725,13.725,13.725,1000000,0
2012-07-09,7,13.26,13.26,13.26,13.26,1000000,0
2012-07-10,8,13.55,13.55,13.55,13.55,1000000,0
2012-07-11,9,13.47,13.47,13.47,13.47,1000000,0
2012-07-12,10,13.445,13.445,13.445,13.445,1000000,0
2012-07-13,11,13.305,13.305,13.305,13.305,1000000,0
2012-07-16,14,13.355,13.355,13.355,13.355,1000000,0
2012-07-17,15,13.21,13.21,13.21,13.21,1000000,0
2012-07-18,16,13.31,13.31,13.31,13.31,1000000,0
2012-07-19,17,13.31,13.31,13.31,13.31,1000000,0
2012-07-20,18,13.1,13.1,13.1,13.1,1000000,0
2012-07-23,21,12.54,12.54,12.54,12.54,1000000,0
2012-07-24,22,12.06,12.06,12.06,12.06,1000000,0
2012-07-25,23,11.81,11.81,11.81,11.81,1000000,0
2012-07-26,24,11.67,11.67,11.67,11.67,1000000,0
2012-07-27,25,11.345,11.345,11.345,11.345,1000000,0
2012-07-30,28,12.54,12.54,12.54,12.54,1000000,0
2012-07-31,29,12.68,12.68,12.68,12.68,1000000,0
2012-08-01,30,12.65,12.65,12.65,12.65,1000000,0
2012-08-02,31,12.73,12.73,12.73,12.73,1000000,0
2012-08-03,32,12.56,12.56,12.56,12.56,1000000,0
2012-08-06,35,12.51,12.51,12.51,12.51,1000000,0
2012-08-07,36,11.66,11.66,11.66,11.66,1000000,0
2012-08-08,37,11.875,11.875,11.875,11.875,1000000,0
2012-08-09,38,11.945,11.945,11.945,11.945,1000000,0
2012-08-10,39,11.9,11.9,11.9,11.9,1000000,0
2012-08-13,42,12.125,12.125,12.125,12.125,1000000,0
2012-08-14,43,12.14,12.14,12.14,12.14,1000000,0
2012-08-16,45,12.495,12.495,12.495,12.495,1000000,0
2012-08-17,46,12.235,12.235,12.235,12.235,1000000,0
2012-08-21,50,12.555,12.555,12.555,12.555,1000000,0
2012-08-22,51,12.39,12.39,12.39,12.39,1000000,0
2012-08-23,52,12.55,12.55,12.55,12.55,1000000,0
2012-08-24,53,12.57,12.57,12.57,12.57,1000000,0
2012-08-27,56,12.625,12.625,12.625,12.625,1000000,0
2012-08-28,57,12.21,12.21,12.21,12.21,1000000,0
2012-08-29,58,12.2,12.2,12.2,12.2,1000000,0
2012-08-30,59,12.095,12.095,12.095,12.095,1000000,0
2012-08-31,60,12.525,12.525,12.525,12.525,1000000,0
2012-09-03,63,12.835,12.835,12.835,12.835,1000000,0
2012-09-04,64,12.69,12.69,12.69,12.69,1000000,0
2012-09-05,65,12.64,12.64,12.64,12.64,1000000,0
2012-09-06,66,12.32,12.32,12.32,12.32,1000000,0
2012-09-07,67,12.595,12.595,12.595,12.595,1000000,0
2012-09-10,70,12.45,12.45,12.45,12.45,1000000,0
2012-09-11,71,12.285,12.285,12.285,12.285,1000000,0
2012-09-12,72,12.39,12.39,12.39,12.39,1000000,0
2012-09-13,73,12.305,12.305,12.305,12.305,1000000,0
2012-09-14,74,12.64,12.64,12.64,12.64,1000000,0
2012-09-17,77,13.205,13.205,13.205,13.205,1000000,0
2012-09-18,78,14.225,14.225,14.225,14.225,1000000,0
2012-09-20,80,13.99,13.99,13.99,13.99,1000000,0
2012-09-21,81,15.1,15.1,15.1,15.1,1000000,0
2012-09-24,84,15.265,15.265,15.265,15.265,1000000,0
2012-09-25,85,15.205,15.205,15.205,15.205,1000000,0
2012-09-26,86,15.79,15.79,15.79,15.79,1000000,0
2012-09-27,87,15.285,15.285,15.285,15.285,1000000,0
2012-09-28,88,15.205,15.205,15.205,15.205,1000000,0
2012-10-01,91,15.43,15.43,15.43,15.43,1000000,0
2012-10-03,93,15.75,15.75,15.75,15.75,1000000,0
2012-10-04,94,15.735,15.735,15.735,15.735,1000000,0
2012-10-05,95,15.685,15.685,15.685,15.685,1000000,0
2012-10-08,98,15.28,15.28,15.28,15.28,1000000,0
2012-10-09,99,15.3,15.3,15.3,15.3,1000000,0
2012-10-10,100,14.885,14.885,14.885,14.885,1000000,0
2012-10-11,101,15.57,15.57,15.57,15.57,1000000,0
2012-10-12,102,15.415,15.415,15.415,15.415,1000000,0
2012-10-15,105,15.34,15.34,15.34,15.34,1000000,0
2012-10-16,106,14.84,14.84,14.84,14.84,1000000,0
2012-10-17,107,14.275,14.275,14.275,14.275,1000000,0
2012-10-18,108,14.905,14.905,14.905,14.905,1000000,0
2012-10-19,109,14.605,14.605,14.605,14.605,1000000,0
2012-10-22,112,14.55,14.55,14.55,14.55,1000000,0
2012-10-23,113,14.12,14.12,14.12,14.12,1000000,0
2012-10-25,115,11.91,11.91,11.91,11.91,1000000,0
2012-10-26,116,11.885,11.885,11.885,11.885,1000000,0
2012-10-29,119,11.52,11.52,11.52,11.52,1000000,0
2012-10-30,120,11.99,11.99,11.99,11.99,1000000,0
2012-10-31,121,12.205,12.205,12.205,12.205,1000000,0
2012-11-01,122,12.265,12.265,12.265,12.265,1000000,0
2012-11-02,123,12.02,12.02,12.02,12.02,1000000,0
2012-11-05,126,12.195,12.195,12.195,12.195,1000000,0
2012-11-06,127,12.27,12.27,12.27,12.27,1000000,0
2012-11-07,128,12.595,12.595,12.595,12.595,1000000,0
2012-11-08,129,12.545,12.545,12.545,12.545,1000000,0
2012-11-09,130,12.12,12.12,12.12,12.12,1000000,0
2012-11-12,133,12.485,12.485,12.485,12.485,1000000,0
2012-11-13,134,12.545,12.545,12.545,12.545,1000000,0
2012-11-15,136,12.825,12.825,12.825,12.825,1000000,0
2012-11-16,137,12.325,12.325,12.325,12.325,1000000,0
2012-11-19,140,12.08,12.08,12.08,12.08,1000000,0
2012-11-20,141,11.75,11.75,11.75,11.75,1000000,0
2012-11-21,142,11.985,11.985,11.985,11.985,1000000,0
2012-11-22,143,12.335,12.335,12.335,12.335,1000000,0
2012-11-23,144,12.245,12.245,12.245,12.245,1000000,0
2012-11-26,147,12.225,12.225,12.225,12.225,1000000,0
2012-11-27,148,12.63,12.63,12.63,12.63,1000000,0
2012-11-29,150,13.425,13.425,13.425,13.425,1000000,0
2012-11-30,151,13.535,13.535,13.535,13.535,1000000,0
2012-12-03,154,13.62,13.62,13.62,13.62,1000000,0
2012-12-04,155,13.58,13.58,13.58,13.58,1000000,0
2012-12-05,156,13.805,13.805,13.805,13.805,1000000,0
2012-12-06,157,14.055,14.055,14.055,14.055,1000000,0
2012-12-07,158,14.16,14.16,14.16,14.16,1000000,0
2012-12-10,161,14.42,14.42,14.42,14.42,1000000,0
2012-12-11,162,14.09,14.09,14.09,14.09,1000000,0
2012-12-12,163,14.05,14.05,14.05,14.05,1000000,0
2012-12-13,164,13.695,13.695,13.695,13.695,1000000,0
