Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,22.7,22.7,22.7,22.7,1000000,0
2012-07-03,1,22.595,22.595,22.595,22.595,1000000,0
2012-07-04,2,22.92,22.92,22.92,22.92,1000000,0
2012-07-05,3,23.005,23.005,23.005,23.005,1000000,0
2012-07-06,4,22.825,22.825,22.825,22.825,1000000,0
2012-07-09,7,23.105,23.105,23.105,23.105,1000000,0
2012-07-10,8,23.025,23.025,23.025,23.025,1000000,0
2012-07-11,9,23.15,23.15,23.15,23.15,1000000,0
2012-07-12,10,22.69,22.69,22.69,22.69,1000000,0
2012-07-13,11,23.0,23.0,23.0,23.0,1000000,0
2012-07-16,14,23.19,23.19,23.19,23.19,1000000,0
2012-07-17,15,23.095,23.095,23.095,23.095,1000000,0
2012-07-18,16,23.03,23.03,23.03,23.03,1000000,0
2012-07-19,17,23.135,23.135,23.135,23.135,1000000,0
2012-07-20,18,23.185,23.185,23.185,23.185,1000000,0
2012-07-23,21,23.195,23.195,23.195,23.195,1000000,0
2012-07-24,22,23.31,23.31,23.31,23.31,1000000,0
2012-07-25,23,23.3,23.3,23.3,23.3,1000000,0
2012-07-26,24,23.965,23.965,23.965,23.965,1000000,0
2012-07-27,25,23.545,23.545,23.545,23.545,1000000,0
2012-07-30,28,23.5,23.5,23.5,23.5,1000000,0
2012-07-31,29,23.705,23.705,23.705,23.705,1000000,0
2012-08-01,30,23.785,23.785,23.785,23.785,1000000,0
2012-08-02,31,23.45,23.45,23.45,23.45,1000000,0
2012-08-03,32,23.5,23.5,23.5,23.5,1000000,0
2012-08-06,35,22.9,22.9,22.9,22.9,1000000,0
2012-08-07,36,23.05,23.05,23.05,23.05,1000000,0
2012-08-08,37,23.07,23.07,23.07,23.07,1000000,0
2012-08-09,38,23.36,23.36,23.36,23.36,1000000,0
2012-08-10,39,23.0,23.0,23.0,23.0,1000000,0
2012-08-13,42,23.0,23.0,23.0,23.0,1000000,0
2012-08-14,43,22.515,22.515,22.515,22.515,1000000,0
2012-08-16,45,22.375,22.375,22.375,22.375,1000000,0
2012-08-17,46,22.3,22.3,22.3,22.3,1000000,0
2012-08-21,50,22.5,22.5,22.5,22.5,1000000,0
2012-08-22,51,23.0,23.0,23.0,23.0,1000000,0
2012-08-23,51,23.0,23.0,23.0,23.0,1000000,0
2012-08-24,53,23.0,23.0,23.0,23.0,1000000,0
2012-08-27,56,23.0,23.0,23.0,23.0,1000000,0
2012-08-28,57,23.0,23.0,23.0,23.0,1000000,0
2012-08-29,58,22.52,22.52,22.52,22.52,1000000,0
2012-08-30,59,22.585,22.585,22.585,22.585,1000000,0
2012-08-31,60,22.915,22.915,22.915,22.915,1000000,0
2012-09-03,63,23.0,23.0,23.0,23.0,1000000,0
2012-09-04,64,23.0,23.0,23.0,23.0,1000000,0
2012-09-05,65,22.21,22.21,22.21,22.21,1000000,0
2012-09-06,66,22.255,22.255,22.255,22.255,1000000,0
2012-09-07,67,22.51,22.51,22.51,22.51,1000000,0
2012-09-10,70,22.5,22.5,22.5,22.5,1000000,0
2012-09-11,71,22.665,22.665,22.665,22.665,1000000,0
2012-09-12,72,22.535,22.535,22.535,22.535,1000000,0
2012-09-13,73,22.545,22.545,22.545,22.545,1000000,0
2012-09-14,74,22.51,22.51,22.51,22.51,1000000,0
2012-09-17,77,22.95,22.95,22.95,22.95,1000000,0
2012-09-18,78,23.09,23.09,23.09,23.09,1000000,0
2012-09-20,80,23.0,23.0,23.0,23.0,1000000,0
2012-09-21,81,23.1,23.1,23.1,23.1,1000000,0
2012-09-24,84,23.645,23.645,23.645,23.645,1000000,0
2012-09-25,85,25.11,25.11,25.11,25.11,1000000,0
2012-09-26,86,25.555,25.555,25.555,25.555,1000000,0
2012-09-27,87,25.21,25.21,25.21,25.21,1000000,0
2012-09-28,88,24.85,24.85,24.85,24.85,1000000,0
2012-10-01,91,24.8,24.8,24.8,24.8,1000000,0
2012-10-03,93,25.23,25.23,25.23,25.23,1000000,0
2012-10-04,94,24.59,24.59,24.59,24.59,1000000,0
2012-10-05,95,24.015,24.015,24.015,24.015,1000000,0
2012-10-08,98,24.035,24.035,24.035,24.035,1000000,0
2012-10-09,99,24.04,24.04,24.04,24.04,1000000,0
2012-10-10,100,24.39,24.39,24.39,24.39,1000000,0
2012-10-11,101,24.23,24.23,24.23,24.23,1000000,0
2012-10-12,102,23.605,23.605,23.605,23.605,1000000,0
2012-10-15,105,23.405,23.405,23.405,23.405,1000000,0
2012-10-16,106,23.41,23.41,23.41,23.41,1000000,0
2012-10-17,107,24.7,24.7,24.7,24.7,1000000,0
2012-10-18,108,24.135,24.135,24.135,24.135,1000000,0
2012-10-19,109,24.0,24.0,24.0,24.0,1000000,0
2012-10-22,112,24.01,24.01,24.01,24.01,1000000,0
2012-10-23,113,24.37,24.37,24.37,24.37,1000000,0
2012-10-25,115,24.57,24.57,24.57,24.57,1000000,0
2012-10-26,116,24.43,24.43,24.43,24.43,1000000,0
2012-10-29,119,25.045,25.045,25.045,25.045,1000000,0
2012-10-30,120,25.0,25.0,25.0,25.0,1000000,0
2012-10-31,121,25.15,25.15,25.15,25.15,1000000,0
2012-11-01,122,25.21,25.21,25.21,25.21,1000000,0
2012-11-02,123,25.2,25.2,25.2,25.2,1000000,0
