Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,23.4,23.4,23.4,23.4,1,0
2012-07-03,1,23.65,23.65,23.65,23.65,1,0
2012-07-04,2,23.6,23.6,23.6,23.6,1,0
2012-07-05,3,24.1,24.1,24.1,24.1,1,0
2012-07-06,4,23.8,23.8,23.8,23.8,1,0
2012-07-09,7,22.95,22.95,22.95,22.95,1,0
2012-07-10,8,25.1,25.1,25.1,25.1,1,0
2012-07-11,9,24.45,24.45,24.45,24.45,1,0
2012-07-12,10,24.1,24.1,24.1,24.1,1,0
2012-07-13,11,23.85,23.85,23.85,23.85,1,0
2012-07-16,14,23.25,23.25,23.25,23.25,1,0
2012-07-17,15,22.95,22.95,22.95,22.95,1,0
2012-07-18,16,22.7,22.7,22.7,22.7,1,0
2012-07-19,17,22.95,22.95,22.95,22.95,1,0
2012-07-20,18,23.25,23.25,23.25,23.25,1,0
2012-07-23,21,23.6,23.6,23.6,23.6,1,0
2012-07-24,22,23.15,23.15,23.15,23.15,1,0
2012-07-25,23,22.75,22.75,22.75,22.75,1,0
2012-07-26,24,22.2,22.2,22.2,22.2,1,0
2012-07-27,25,21.55,21.55,21.55,21.55,1,0
2012-07-30,28,21.85,21.85,21.85,21.85,1,0
2012-07-31,29,21.9,21.9,21.9,21.9,1,0
2012-08-01,30,22.1,22.1,22.1,22.1,1,0
2012-08-02,31,22.55,22.55,22.55,22.55,1,0
2012-08-03,32,22.2,22.2,22.2,22.2,1,0
2012-08-06,35,22.4,22.4,22.4,22.4,1,0
2012-08-07,36,22.35,22.35,22.35,22.35,1,0
2012-08-08,37,23.2,23.2,23.2,23.2,1,0
2012-08-09,38,22.5,22.5,22.5,22.5,1,0
2012-08-10,39,22.55,22.55,22.55,22.55,1,0
2012-08-13,42,22.85,22.85,22.85,22.85,1,0
2012-08-14,43,22.55,22.55,22.55,22.55,1,0
2012-08-16,45,22.8,22.8,22.8,22.8,1,0
2012-08-17,46,22.45,22.45,22.45,22.45,1,0
2012-08-21,50,22.9,22.9,22.9,22.9,1,0
2012-08-22,51,22.9,22.9,22.9,22.9,1,0
2012-08-23,52,23.95,23.95,23.95,23.95,1,0
2012-08-24,53,22.95,22.95,22.95,22.95,1,0
2012-08-27,56,22.85,22.85,22.85,22.85,1,0
2012-08-28,57,22.1,22.1,22.1,22.1,1,0
2012-08-29,58,21.45,21.45,21.45,21.45,1,0
2012-08-30,59,21.55,21.55,21.55,21.55,1,0
2012-08-31,60,21.6,21.6,21.6,21.6,1,0
2012-09-03,63,21.75,21.75,21.75,21.75,1,0
2012-09-04,64,21.65,21.65,21.65,21.65,1,0
2012-09-05,65,21.55,21.55,21.55,21.55,1,0
2012-09-06,66,21.7,21.7,21.7,21.7,1,0
2012-09-07,67,22.35,22.35,22.35,22.35,1,0
2012-09-10,70,23.25,23.25,23.25,23.25,1,0
2012-09-11,71,23.1,23.1,23.1,23.1,1,0
2012-09-12,72,23.1,23.1,23.1,23.1,1,0
2012-09-13,73,23.25,23.25,23.25,23.25,1,0
2012-09-14,74,23.25,23.25,23.25,23.25,1,0
2012-09-17,77,23.1,23.1,23.1,23.1,1,0
2012-09-18,78,23.45,23.45,23.45,23.45,1,0
2012-09-20,80,23.05,23.05,23.05,23.05,1,0
2012-09-21,81,23.25,23.25,23.25,23.25,1,0
2012-09-24,84,24.0,24.0,24.0,24.0,1,0
2012-09-25,85,24.45,24.45,24.45,24.45,1,0
2012-09-26,86,24.8,24.8,24.8,24.8,1,0
2012-09-27,87,24.25,24.25,24.25,24.25,1,0
2012-09-28,88,23.75,23.75,23.75,23.75,1,0
2012-10-01,91,23.8,23.8,23.8,23.8,1,0
2012-10-03,93,23.8,23.8,23.8,23.8,1,0
2012-10-04,94,25.5,25.5,25.5,25.5,1,0
2012-10-05,95,25.8,25.8,25.8,25.8,1,0
2012-10-08,98,24.7,24.7,24.7,24.7,1,0
2012-10-09,99,24.9,24.9,24.9,24.9,1,0
2012-10-10,100,23.8,23.8,23.8,23.8,1,0
2012-10-11,101,23.9,23.9,23.9,23.9,1,0
2012-10-12,102,23.6,23.6,23.6,23.6,1,0
2012-10-15,105,23.7,23.7,23.7,23.7,1,0
2012-10-16,106,23.65,23.65,23.65,23.65,1,0
2012-10-17,107,25.9,25.9,25.9,25.9,1,0
2012-10-18,108,24.9,24.9,24.9,24.9,1,0
2012-10-19,109,24.25,24.25,24.25,24.25,1,0
2012-10-22,112,23.85,23.85,23.85,23.85,1,0
2012-10-23,113,24.25,24.25,24.25,24.25,1,0
2012-10-25,115,24.25,24.25,24.25,24.25,1,0
2012-10-26,116,23.8,23.8,23.8,23.8,1,0
2012-10-29,119,23.75,23.75,23.75,23.75,1,0
2012-10-30,120,23.3,23.3,23.3,23.3,1,0
2012-10-31,121,23.25,23.25,23.25,23.25,1,0
2012-11-01,122,23.7,23.7,23.7,23.7,1,0
2012-11-02,123,24.05,24.05,24.05,24.05,1,0
2012-11-05,126,23.75,23.75,23.75,23.75,1,0
2012-11-06,127,23.7,23.7,23.7,23.7,1,0
2012-11-07,128,23.7,23.7,23.7,23.7,1,0
2012-11-08,129,23.65,23.65,23.65,23.65,1,0
2012-11-09,130,23.45,23.45,23.45,23.45,1,0
2012-11-12,133,23.4,23.4,23.4,23.4,1,0
2012-11-13,134,23.45,23.45,23.45,23.45,1,0
2012-11-15,136,23.2,23.2,23.2,23.2,1,0
2012-11-16,137,23.35,23.35,23.35,23.35,1,0
2012-11-19,140,23.35,23.35,23.35,23.35,1,0
2012-11-20,141,22.8,22.8,22.8,22.8,1,0
2012-11-21,142,22.75,22.75,22.75,22.75,1,0
2012-11-22,143,23.2,23.2,23.2,23.2,1,0
2012-11-23,144,22.65,22.65,22.65,22.65,1,0
2012-11-26,147,22.55,22.55,22.55,22.55,1,0
2012-11-27,148,22.9,22.9,22.9,22.9,1,0
2012-11-29,150,22.9,22.9,22.9,22.9,1,0
2012-11-30,151,23.2,23.2,23.2,23.2,1,0
2012-12-03,154,23.1,23.1,23.1,23.1,1,0
2012-12-04,155,23.2,23.2,23.2,23.2,1,0
2012-12-05,156,23.05,23.05,23.05,23.05,1,0
2012-12-06,157,23.25,23.25,23.25,23.25,1,0
2012-12-07,158,23.25,23.25,23.25,23.25,1,0
2012-12-10,161,22.95,22.95,22.95,22.95,1,0
2012-12-11,162,23.2,23.2,23.2,23.2,1,0
2012-12-12,163,22.85,22.85,22.85,22.85,1,0
2012-12-13,164,22.45,22.45,22.45,22.45,1,0
2012-12-14,165,22.45,22.45,22.45,22.45,1,0
2012-12-17,168,22.6,22.6,22.6,22.6,1,0
2012-12-18,169,22.55,22.55,22.55,22.55,1,0
2012-12-19,170,22.55,22.55,22.55,22.55,1,0
2012-12-20,171,22.55,22.55,22.55,22.55,1,0
2012-12-21,172,22.0,22.0,22.0,22.0,1,0
2012-12-24,175,22.25,22.25,22.25,22.25,1,0
2012-12-26,177,22.25,22.25,22.25,22.25,1,0
2012-12-27,178,22.1,22.1,22.1,22.1,1,0
2012-12-28,179,22.1,22.1,22.1,22.1,1,0
2012-12-31,182,22.35,22.35,22.35,22.35,1,0
2013-01-01,183,22.45,22.45,22.45,22.45,1,0
2013-01-02,183,22.45,22.45,22.45,22.45,1,0
2013-01-03,183,22.45,22.45,22.45,22.45,1,0
2013-01-04,183,22.45,22.45,22.45,22.45,1,0
2013-01-07,183,22.45,22.45,22.45,22.45,1,0
2013-01-08,183,22.45,22.45,22.45,22.45,1,0
2013-01-09,183,22.45,22.45,22.45,22.45,1,0
2013-01-10,183,22.45,22.45,22.45,22.45,1,0
2013-01-11,183,22.45,22.45,22.45,22.45,1,0
2013-01-14,183,22.45,22.45,22.45,22.45,1,0
2013-01-15,183,22.45,22.45,22.45,22.45,1,0
2013-01-16,183,22.45,22.45,22.45,22.45,1,0
2013-01-17,183,22.45,22.45,22.45,22.45,1,0
2013-01-18,183,22.45,22.45,22.45,22.45,1,0
2013-01-21,183,22.45,22.45,22.45,22.45,1,0
2013-01-22,183,22.45,22.45,22.45,22.45,1,0
2013-01-23,183,22.45,22.45,22.45,22.45,1,0
2013-01-24,183,22.45,22.45,22.45,22.45,1,0
2013-01-25,183,22.45,22.45,22.45,22.45,1,0
2013-01-28,183,22.45,22.45,22.45,22.45,1,0
2013-01-29,183,22.45,22.45,22.45,22.45,1,0
2013-01-30,183,22.45,22.45,22.45,22.45,1,0
2013-01-31,183,22.45,22.45,22.45,22.45,1,0
2013-02-01,183,22.45,22.45,22.45,22.45,1,0
2013-02-04,183,22.45,22.45,22.45,22.45,1,0
2013-02-05,183,22.45,22.45,22.45,22.45,1,0
2013-02-06,183,22.45,22.45,22.45,22.45,1,0
2013-02-07,183,22.45,22.45,22.45,22.45,1,0
2013-02-08,183,22.45,22.45,22.45,22.45,1,0
2013-02-11,183,22.45,22.45,22.45,22.45,1,0
2013-02-12,183,22.45,22.45,22.45,22.45,1,0
2013-02-13,183,22.45,22.45,22.45,22.45,1,0
2013-02-14,183,22.45,22.45,22.45,22.45,1,0
2013-02-15,183,22.45,22.45,22.45,22.45,1,0
2013-02-18,183,22.45,22.45,22.45,22.45,1,0
2013-02-19,183,22.45,22.45,22.45,22.45,1,0
2013-02-20,183,22.45,22.45,22.45,22.45,1,0
2013-02-21,183,22.45,22.45,22.45,22.45,1,0
2013-02-22,183,22.45,22.45,22.45,22.45,1,0
2013-02-25,183,22.45,22.45,22.45,22.45,1,0
2013-02-26,183,22.45,22.45,22.45,22.45,1,0
2013-02-27,183,22.45,22.45,22.45,22.45,1,0
2013-02-28,183,22.45,22.45,22.45,22.45,1,0
2013-03-01,183,22.45,22.45,22.45,22.45,1,0
2013-03-04,183,22.45,22.45,22.45,22.45,1,0
2013-03-05,183,22.45,22.45,22.45,22.45,1,0
2013-03-06,183,22.45,22.45,22.45,22.45,1,0
2013-03-07,183,22.45,22.45,22.45,22.45,1,0
2013-03-08,183,22.45,22.45,22.45,22.45,1,0
2013-03-11,183,22.45,22.45,22.45,22.45,1,0
2013-03-12,183,22.45,22.45,22.45,22.45,1,0
2013-03-13,183,22.45,22.45,22.45,22.45,1,0
2013-03-14,183,22.45,22.45,22.45,22.45,1,0
2013-03-15,183,22.45,22.45,22.45,22.45,1,0
2013-03-18,183,22.45,22.45,22.45,22.45,1,0
2013-03-19,183,22.45,22.45,22.45,22.45,1,0
2013-03-20,183,22.45,22.45,22.45,22.45,1,0
2013-03-21,183,22.45,22.45,22.45,22.45,1,0
2013-03-22,183,22.45,22.45,22.45,22.45,1,0
2013-03-25,183,22.45,22.45,22.45,22.45,1,0
2013-03-26,183,22.45,22.45,22.45,22.45,1,0
2013-03-28,183,22.45,22.45,22.45,22.45,1,0
2013-04-01,183,22.45,22.45,22.45,22.45,1,0
