Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,131.55,131.55,131.55,131.55,1000000,0
2012-07-03,1,135.3,135.3,135.3,135.3,1000000,0
2012-07-04,2,134.5,134.5,134.5,134.5,1000000,0
2012-07-05,3,135.5,135.5,135.5,135.5,1000000,0
2012-07-06,4,139.7,139.7,139.7,139.7,1000000,0
2012-07-09,7,135.3,135.3,135.3,135.3,1000000,0
2012-07-10,8,139.25,139.25,139.25,139.25,1000000,0
2012-07-11,9,139.1,139.1,139.1,139.1,1000000,0
2012-07-12,10,138.25,138.25,138.25,138.25,1000000,0
2012-07-13,11,139.65,139.65,139.65,139.65,1000000,0
2012-07-16,14,140.7,140.7,140.7,140.7,1000000,0
2012-07-17,15,139.15,139.15,139.15,139.15,1000000,0
2012-07-18,16,140.0,140.0,140.0,140.0,1000000,0
2012-07-19,17,140.05,140.05,140.05,140.05,1000000,0
2012-07-20,18,140.75,140.75,140.75,140.75,1000000,0
2012-07-23,21,139.7,139.7,139.7,139.7,1000000,0
2012-07-24,22,137.55,137.55,137.55,137.55,1000000,0
2012-07-25,23,139.35,139.35,139.35,139.35,1000000,0
2012-07-26,24,137.55,137.55,137.55,137.55,1000000,0
2012-07-27,25,133.6,133.6,133.6,133.6,1000000,0
2012-07-30,28,134.15,134.15,134.15,134.15,1000000,0
2012-07-31,29,133.3,133.3,133.3,133.3,1000000,0
2012-08-01,30,136.75,136.75,136.75,136.75,1000000,0
2012-08-02,31,137.55,137.55,137.55,137.55,1000000,0
2012-08-03,32,139.85,139.85,139.85,139.85,1000000,0
2012-08-06,35,146.15,146.15,146.15,146.15,1000000,0
2012-08-07,36,143.3,143.3,143.3,143.3,1000000,0
2012-08-08,37,140.75,140.75,140.75,140.75,1000000,0
2012-08-09,38,133.2,133.2,133.2,133.2,1000000,0
2012-08-10,39,132.5,132.5,132.5,132.5,1000000,0
2012-08-13,42,132.45,132.45,132.45,132.45,1000000,0
2012-08-14,43,136.15,136.15,136.15,136.15,1000000,0
2012-08-16,45,137.55,137.55,137.55,137.55,1000000,0
2012-08-17,46,138.1,138.1,138.1,138.1,1000000,0
2012-08-21,50,136.45,136.45,136.45,136.45,1000000,0
2012-08-22,51,140.2,140.2,140.2,140.2,1000000,0
2012-08-23,52,147.2,147.2,147.2,147.2,1000000,0
2012-08-24,53,147.0,147.0,147.0,147.0,1000000,0
2012-08-27,56,147.6,147.6,147.6,147.6,1000000,0
2012-08-28,57,143.25,143.25,143.25,143.25,1000000,0
2012-08-29,58,141.0,141.0,141.0,141.0,1000000,0
2012-08-30,59,139.9,139.9,139.9,139.9,1000000,0
2012-08-31,60,139.6,139.6,139.6,139.6,1000000,0
2012-09-03,63,140.3,140.3,140.3,140.3,1000000,0
2012-09-04,64,139.55,139.55,139.55,139.55,1000000,0
2012-09-05,65,138.8,138.8,138.8,138.8,1000000,0
2012-09-06,66,137.95,137.95,137.95,137.95,1000000,0
2012-09-07,67,138.7,138.7,138.7,138.7,1000000,0
2012-09-10,70,139.1,139.1,139.1,139.1,1000000,0
2012-09-11,71,138.95,138.95,138.95,138.95,1000000,0
2012-09-12,72,140.4,140.4,140.4,140.4,1000000,0
2012-09-13,73,139.2,139.2,139.2,139.2,1000000,0
2012-09-14,74,141.9,141.9,141.9,141.9,1000000,0
2012-09-17,77,142.5,142.5,142.5,142.5,1000000,0
2012-09-18,78,141.95,141.95,141.95,141.95,1000000,0
2012-09-20,80,141.7,141.7,141.7,141.7,1000000,0
2012-09-21,81,140.15,140.15,140.15,140.15,1000000,0
2012-09-24,84,141.6,141.6,141.6,141.6,1000000,0
2012-09-25,85,142.0,142.0,142.0,142.0,1000000,0
2012-09-26,86,141.5,141.5,141.5,141.5,1000000,0
2012-09-27,87,141.35,141.35,141.35,141.35,1000000,0
2012-09-28,88,142.75,142.75,142.75,142.75,1000000,0
2012-10-01,91,147.0,147.0,147.0,147.0,1000000,0
2012-10-03,93,148.65,148.65,148.65,148.65,1000000,0
2012-10-04,94,147.15,147.15,147.15,147.15,1000000,0
2012-10-05,95,144.05,144.05,144.05,144.05,1000000,0
2012-10-08,98,145.4,145.4,145.4,145.4,1000000,0
2012-10-09,99,143.75,143.75,143.75,143.75,1000000,0
2012-10-10,100,140.65,140.65,140.65,140.65,1000000,0
2012-10-11,101,141.15,141.15,141.15,141.15,1000000,0
2012-10-12,102,142.1,142.1,142.1,142.1,1000000,0
2012-10-15,105,142.0,142.0,142.0,142.0,1000000,0
2012-10-16,106,138.95,138.95,138.95,138.95,1000000,0
2012-10-17,107,138.6,138.6,138.6,138.6,1000000,0
2012-10-18,108,138.65,138.65,138.65,138.65,1000000,0
2012-10-19,109,138.15,138.15,138.15,138.15,1000000,0
2012-10-22,112,138.7,138.7,138.7,138.7,1000000,0
2012-10-23,113,137.85,137.85,137.85,137.85,1000000,0
2012-10-25,115,138.0,138.0,138.0,138.0,1000000,0
2012-10-26,116,143.3,143.3,143.3,143.3,1000000,0
2012-10-29,119,143.85,143.85,143.85,143.85,1000000,0
2012-10-30,120,141.4,141.4,141.4,141.4,1000000,0
2012-10-31,121,141.8,141.8,141.8,141.8,1000000,0
2012-11-01,122,143.0,143.0,143.0,143.0,1000000,0
2012-11-02,123,141.2,141.2,141.2,141.2,1000000,0
2012-11-05,126,139.7,139.7,139.7,139.7,1000000,0
2012-11-06,127,139.9,139.9,139.9,139.9,1000000,0
2012-11-07,128,137.65,137.65,137.65,137.65,1000000,0
2012-11-08,129,139.85,139.85,139.85,139.85,1000000,0
2012-11-09,130,137.5,137.5,137.5,137.5,1000000,0
2012-11-12,133,135.3,135.3,135.3,135.3,1000000,0
2012-11-13,134,136.2,136.2,136.2,136.2,1000000,0
2012-11-15,136,134.3,134.3,134.3,134.3,1000000,0
2012-11-16,137,129.85,129.85,129.85,129.85,1000000,0
2012-11-19,140,127.6,127.6,127.6,127.6,1000000,0
2012-11-20,141,126.05,126.05,126.05,126.05,1000000,0
2012-11-21,142,126.15,126.15,126.15,126.15,1000000,0
2012-11-22,143,127.0,127.0,127.0,127.0,1000000,0
2012-11-23,144,127.25,127.25,127.25,127.25,1000000,0
2012-11-26,147,124.55,124.55,124.55,124.55,1000000,0
2012-11-27,148,126.0,126.0,126.0,126.0,1000000,0
2012-11-29,150,130.05,130.05,130.05,130.05,1000000,0
2012-11-30,151,127.85,127.85,127.85,127.85,1000000,0
