Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,118.3,118.3,118.3,118.3,1,0
2012-07-03,1,125.5,125.5,125.5,125.5,1,0
2012-07-04,2,150.6,150.6,150.6,150.6,1,0
2012-07-05,3,148.35,148.35,148.35,148.35,1,0
2012-07-06,4,154.05,154.05,154.05,154.05,1,0
2012-07-09,7,150.05,150.05,150.05,150.05,1,0
2012-07-10,8,148.85,148.85,148.85,148.85,1,0
2012-07-11,9,146.05,146.05,146.05,146.05,1,0
2012-07-12,10,144.45,144.45,144.45,144.45,1,0
2012-07-13,11,141.8,141.8,141.8,141.8,1,0
2012-07-16,14,135.15,135.15,135.15,135.15,1,0
2012-07-17,15,129.7,129.7,129.7,129.7,1,0
2012-07-18,16,126.8,126.8,126.8,126.8,1,0
2012-07-19,17,124.35,124.35,124.35,124.35,1,0
2012-07-20,18,118.7,118.7,118.7,118.7,1,0
2012-07-23,21,117.35,117.35,117.35,117.35,1,0
2012-07-24,22,112.65,112.65,112.65,112.65,1,0
2012-07-25,23,109.7,109.7,109.7,109.7,1,0
2012-07-26,24,104.25,104.25,104.25,104.25,1,0
2012-07-27,25,103.0,103.0,103.0,103.0,1,0
2012-07-30,28,99.0,99.0,99.0,99.0,1,0
2012-07-31,29,103.95,103.95,103.95,103.95,1,0
2012-08-01,30,109.1,109.1,109.1,109.1,1,0
2012-08-02,31,112.95,112.95,112.95,112.95,1,0
2012-08-03,32,116.6,116.6,116.6,116.6,1,0
2012-08-06,35,120.25,120.25,120.25,120.25,1,0
2012-08-07,36,116.15,116.15,116.15,116.15,1,0
2012-08-08,37,118.0,118.0,118.0,118.0,1,0
2012-08-09,38,112.85,112.85,112.85,112.85,1,0
2012-08-10,39,114.2,114.2,114.2,114.2,1,0
2012-08-13,42,110.3,110.3,110.3,110.3,1,0
2012-08-14,43,110.65,110.65,110.65,110.65,1,0
2012-08-16,45,112.4,112.4,112.4,112.4,1,0
2012-08-17,46,112.4,112.4,112.4,112.4,1,0
2012-08-21,50,114.3,114.3,114.3,114.3,1,0
2012-08-22,51,113.85,113.85,113.85,113.85,1,0
2012-08-23,52,111.35,111.35,111.35,111.35,1,0
2012-08-24,53,116.9,116.9,116.9,116.9,1,0
2012-08-27,56,112.9,112.9,112.9,112.9,1,0
2012-08-28,57,113.0,113.0,113.0,113.0,1,0
2012-08-29,58,111.75,111.75,111.75,111.75,1,0
2012-08-30,59,110.45,110.45,110.45,110.45,1,0
2012-08-31,60,115.95,115.95,115.95,115.95,1,0
2012-09-03,63,113.6,113.6,113.6,113.6,1,0
2012-09-04,64,115.65,115.65,115.65,115.65,1,0
2012-09-05,65,115.55,115.55,115.55,115.55,1,0
2012-09-06,66,117.35,117.35,117.35,117.35,1,0
2012-09-07,67,118.9,118.9,118.9,118.9,1,0
2012-09-10,70,125.35,125.35,125.35,125.35,1,0
2012-09-11,71,122.75,122.75,122.75,122.75,1,0
2012-09-12,72,122.1,122.1,122.1,122.1,1,0
2012-09-13,73,119.2,119.2,119.2,119.2,1,0
2012-09-14,74,117.7,117.7,117.7,117.7,1,0
2012-09-17,77,119.35,119.35,119.35,119.35,1,0
2012-09-18,78,129.7,129.7,129.7,129.7,1,0
2012-09-20,80,127.75,127.75,127.75,127.75,1,0
2012-09-21,81,127.65,127.65,127.65,127.65,1,0
2012-09-24,84,128.6,128.6,128.6,128.6,1,0
2012-09-25,85,128.0,128.0,128.0,128.0,1,0
2012-09-26,86,125.95,125.95,125.95,125.95,1,0
2012-09-27,87,125.05,125.05,125.05,125.05,1,0
2012-09-28,88,127.5,127.5,127.5,127.5,1,0
2012-10-01,91,132.5,132.5,132.5,132.5,1,0
2012-10-03,93,131.85,131.85,131.85,131.85,1,0
2012-10-04,94,133.8,133.8,133.8,133.8,1,0
2012-10-05,95,139.6,139.6,139.6,139.6,1,0
2012-10-08,98,136.9,136.9,136.9,136.9,1,0
2012-10-09,99,138.65,138.65,138.65,138.65,1,0
2012-10-10,100,134.6,134.6,134.6,134.6,1,0
2012-10-11,101,134.4,134.4,134.4,134.4,1,0
2012-10-12,102,134.45,134.45,134.45,134.45,1,0
2012-10-15,105,134.2,134.2,134.2,134.2,1,0
2012-10-16,106,135.9,135.9,135.9,135.9,1,0
2012-10-17,107,136.55,136.55,136.55,136.55,1,0
2012-10-18,108,137.8,137.8,137.8,137.8,1,0
2012-10-19,109,139.25,139.25,139.25,139.25,1,0
2012-10-22,112,139.45,139.45,139.45,139.45,1,0
2012-10-23,113,136.0,136.0,136.0,136.0,1,0
2012-10-25,115,132.85,132.85,132.85,132.85,1,0
2012-10-26,116,136.95,136.95,136.95,136.95,1,0
2012-10-29,119,131.5,131.5,131.5,131.5,1,0
2012-10-30,120,131.4,131.4,131.4,131.4,1,0
2012-10-31,121,131.4,131.4,131.4,131.4,1,0
2012-11-01,122,134.6,134.6,134.6,134.6,1,0
2012-11-02,123,133.3,133.3,133.3,133.3,1,0
2012-11-05,126,132.05,132.05,132.05,132.05,1,0
2012-11-06,127,135.3,135.3,135.3,135.3,1,0
2012-11-07,128,135.75,135.75,135.75,135.75,1,0
2012-11-08,129,135.85,135.85,135.85,135.85,1,0
2012-11-09,130,132.55,132.55,132.55,132.55,1,0
2012-11-12,133,130.75,130.75,130.75,130.75,1,0
2012-11-13,134,132.95,132.95,132.95,132.95,1,0
2012-11-15,136,127.35,127.35,127.35,127.35,1,0
2012-11-16,137,126.0,126.0,126.0,126.0,1,0
2012-11-19,140,122.1,122.1,122.1,122.1,1,0
2012-11-20,141,123.95,123.95,123.95,123.95,1,0
2012-11-21,142,123.6,123.6,123.6,123.6,1,0
2012-11-22,143,122.35,122.35,122.35,122.35,1,0
2012-11-23,144,120.55,120.55,120.55,120.55,1,0
2012-11-26,147,122.6,122.6,122.6,122.6,1,0
2012-11-27,148,125.9,125.9,125.9,125.9,1,0
2012-11-29,150,123.35,123.35,123.35,123.35,1,0
2012-11-30,151,127.25,127.25,127.25,127.25,1,0
2012-12-03,154,125.0,125.0,125.0,125.0,1,0
2012-12-04,155,124.25,124.25,124.25,124.25,1,0
2012-12-05,156,126.25,126.25,126.25,126.25,1,0
2012-12-06,157,128.1,128.1,128.1,128.1,1,0
2012-12-07,158,128.4,128.4,128.4,128.4,1,0
2012-12-10,161,131.25,131.25,131.25,131.25,1,0
2012-12-11,162,132.0,132.0,132.0,132.0,1,0
2012-12-12,163,129.85,129.85,129.85,129.85,1,0
2012-12-13,164,130.85,130.85,130.85,130.85,1,0
2012-12-14,165,132.6,132.6,132.6,132.6,1,0
2012-12-17,168,141.15,141.15,141.15,141.15,1,0
2012-12-18,169,141.35,141.35,141.35,141.35,1,0
2012-12-19,170,151.4,151.4,151.4,151.4,1,0
2012-12-20,171,151.2,151.2,151.2,151.2,1,0
2012-12-21,172,152.55,152.55,152.55,152.55,1,0
2012-12-24,175,150.8,150.8,150.8,150.8,1,0
2012-12-26,177,152.1,152.1,152.1,152.1,1,0
2012-12-27,178,152.25,152.25,152.25,152.25,1,0
2012-12-28,179,150.1,150.1,150.1,150.1,1,0
2012-12-31,182,150.05,150.05,150.05,150.05,1,0
2013-01-01,183,153.6,153.6,153.6,153.6,1,0
2013-01-02,183,153.6,153.6,153.6,153.6,1,0
2013-01-03,183,153.6,153.6,153.6,153.6,1,0
2013-01-04,183,153.6,153.6,153.6,153.6,1,0
2013-01-07,183,153.6,153.6,153.6,153.6,1,0
2013-01-08,183,153.6,153.6,153.6,153.6,1,0
2013-01-09,183,153.6,153.6,153.6,153.6,1,0
2013-01-10,183,153.6,153.6,153.6,153.6,1,0
2013-01-11,183,153.6,153.6,153.6,153.6,1,0
2013-01-14,183,153.6,153.6,153.6,153.6,1,0
2013-01-15,183,153.6,153.6,153.6,153.6,1,0
2013-01-16,183,153.6,153.6,153.6,153.6,1,0
2013-01-17,183,153.6,153.6,153.6,153.6,1,0
2013-01-18,183,153.6,153.6,153.6,153.6,1,0
2013-01-21,183,153.6,153.6,153.6,153.6,1,0
2013-01-22,183,153.6,153.6,153.6,153.6,1,0
2013-01-23,183,153.6,153.6,153.6,153.6,1,0
2013-01-24,183,153.6,153.6,153.6,153.6,1,0
2013-01-25,183,153.6,153.6,153.6,153.6,1,0
2013-01-28,183,153.6,153.6,153.6,153.6,1,0
2013-01-29,183,153.6,153.6,153.6,153.6,1,0
2013-01-30,183,153.6,153.6,153.6,153.6,1,0
2013-01-31,183,153.6,153.6,153.6,153.6,1,0
2013-02-01,183,153.6,153.6,153.6,153.6,1,0
2013-02-04,183,153.6,153.6,153.6,153.6,1,0
2013-02-05,183,153.6,153.6,153.6,153.6,1,0
2013-02-06,183,153.6,153.6,153.6,153.6,1,0
2013-02-07,183,153.6,153.6,153.6,153.6,1,0
2013-02-08,183,153.6,153.6,153.6,153.6,1,0
2013-02-11,183,153.6,153.6,153.6,153.6,1,0
2013-02-12,183,153.6,153.6,153.6,153.6,1,0
2013-02-13,183,153.6,153.6,153.6,153.6,1,0
2013-02-14,183,153.6,153.6,153.6,153.6,1,0
2013-02-15,183,153.6,153.6,153.6,153.6,1,0
2013-02-18,183,153.6,153.6,153.6,153.6,1,0
2013-02-19,183,153.6,153.6,153.6,153.6,1,0
2013-02-20,183,153.6,153.6,153.6,153.6,1,0
2013-02-21,183,153.6,153.6,153.6,153.6,1,0
2013-02-22,183,153.6,153.6,153.6,153.6,1,0
2013-02-25,183,153.6,153.6,153.6,153.6,1,0
2013-02-26,183,153.6,153.6,153.6,153.6,1,0
2013-02-27,183,153.6,153.6,153.6,153.6,1,0
2013-02-28,183,153.6,153.6,153.6,153.6,1,0
2013-03-01,183,153.6,153.6,153.6,153.6,1,0
2013-03-04,183,153.6,153.6,153.6,153.6,1,0
2013-03-05,183,153.6,153.6,153.6,153.6,1,0
2013-03-06,183,153.6,153.6,153.6,153.6,1,0
2013-03-07,183,153.6,153.6,153.6,153.6,1,0
2013-03-08,183,153.6,153.6,153.6,153.6,1,0
2013-03-11,183,153.6,153.6,153.6,153.6,1,0
2013-03-12,183,153.6,153.6,153.6,153.6,1,0
2013-03-13,183,153.6,153.6,153.6,153.6,1,0
2013-03-14,183,153.6,153.6,153.6,153.6,1,0
2013-03-15,183,153.6,153.6,153.6,153.6,1,0
2013-03-18,183,153.6,153.6,153.6,153.6,1,0
2013-03-19,183,153.6,153.6,153.6,153.6,1,0
2013-03-20,183,153.6,153.6,153.6,153.6,1,0
2013-03-21,183,153.6,153.6,153.6,153.6,1,0
2013-03-22,183,153.6,153.6,153.6,153.6,1,0
2013-03-25,183,153.6,153.6,153.6,153.6,1,0
2013-03-26,183,153.6,153.6,153.6,153.6,1,0
2013-03-28,183,153.6,153.6,153.6,153.6,1,0
2013-04-01,183,153.6,153.6,153.6,153.6,1,0
2013-04-02,183,153.6,153.6,153.6,153.6,1,0
2013-04-03,183,153.6,153.6,153.6,153.6,1,0
2013-04-04,183,153.6,153.6,153.6,153.6,1,0
2013-04-05,183,153.6,153.6,153.6,153.6,1,0
2013-04-08,183,153.6,153.6,153.6,153.6,1,0
2013-04-09,183,153.6,153.6,153.6,153.6,1,0
2013-04-10,183,153.6,153.6,153.6,153.6,1,0
2013-04-11,183,153.6,153.6,153.6,153.6,1,0
2013-04-12,183,153.6,153.6,153.6,153.6,1,0
2013-04-15,183,153.6,153.6,153.6,153.6,1,0
2013-04-16,183,153.6,153.6,153.6,153.6,1,0
2013-04-17,183,153.6,153.6,153.6,153.6,1,0
2013-04-18,183,153.6,153.6,153.6,153.6,1,0
2013-04-22,183,153.6,153.6,153.6,153.6,1,0
2013-04-23,183,153.6,153.6,153.6,153.6,1,0
2013-04-25,183,153.6,153.6,153.6,153.6,1,0
2013-04-26,183,153.6,153.6,153.6,153.6,1,0
2013-04-29,183,153.6,153.6,153.6,153.6,1,0
2013-04-30,183,153.6,153.6,153.6,153.6,1,0
2013-05-02,183,153.6,153.6,153.6,153.6,1,0
2013-05-03,183,153.6,153.6,153.6,153.6,1,0
2013-05-06,183,153.6,153.6,153.6,153.6,1,0
2013-05-07,183,153.6,153.6,153.6,153.6,1,0
2013-05-08,183,153.6,153.6,153.6,153.6,1,0
2013-05-09,183,153.6,153.6,153.6,153.6,1,0
2013-05-10,183,153.6,153.6,153.6,153.6,1,0
2013-05-13,183,153.6,153.6,153.6,153.6,1,0
2013-05-14,183,153.6,153.6,153.6,153.6,1,0
2013-05-15,183,153.6,153.6,153.6,153.6,1,0
2013-05-16,183,153.6,153.6,153.6,153.6,1,0
2013-05-17,183,153.6,153.6,153.6,153.6,1,0
2013-05-20,183,153.6,153.6,153.6,153.6,1,0
2013-05-21,183,153.6,153.6,153.6,153.6,1,0
2013-05-22,183,153.6,153.6,153.6,153.6,1,0
2013-05-23,183,153.6,153.6,153.6,153.6,1,0
2013-05-24,183,153.6,153.6,153.6,153.6,1,0
2013-05-27,183,153.6,153.6,153.6,153.6,1,0
2013-05-28,183,153.6,153.6,153.6,153.6,1,0
2013-05-29,183,153.6,153.6,153.6,153.6,1,0
2013-05-30,183,153.6,153.6,153.6,153.6,1,0
2013-05-31,183,153.6,153.6,153.6,153.6,1,0
2013-06-03,183,153.6,153.6,153.6,153.6,1,0
2013-06-04,183,153.6,153.6,153.6,153.6,1,0
2013-06-05,183,153.6,153.6,153.6,153.6,1,0
2013-06-06,183,153.6,153.6,153.6,153.6,1,0
2013-06-07,183,153.6,153.6,153.6,153.6,1,0
2013-06-10,183,153.6,153.6,153.6,153.6,1,0
2013-06-11,183,153.6,153.6,153.6,153.6,1,0
2013-06-12,183,153.6,153.6,153.6,153.6,1,0
2013-06-13,183,153.6,153.6,153.6,153.6,1,0
2013-06-14,183,153.6,153.6,153.6,153.6,1,0
2013-06-17,183,153.6,153.6,153.6,153.6,1,0
2013-06-18,183,153.6,153.6,153.6,153.6,1,0
2013-06-19,183,153.6,153.6,153.6,153.6,1,0
2013-06-20,183,153.6,153.6,153.6,153.6,1,0
2013-06-21,183,153.6,153.6,153.6,153.6,1,0
2013-06-24,183,153.6,153.6,153.6,153.6,1,0
2013-06-25,183,153.6,153.6,153.6,153.6,1,0
2013-06-26,183,153.6,153.6,153.6,153.6,1,0
2013-06-27,183,153.6,153.6,153.6,153.6,1,0
2013-06-28,183,153.6,153.6,153.6,153.6,1,0
2013-07-01,364,124.9,124.9,124.9,124.9,1,0
2013-07-02,365,124.0,124.0,124.0,124.0,1,0
2013-07-03,366,121.8,121.8,121.8,121.8,1,0
2013-07-04,367,121.05,121.05,121.05,121.05,1,0
2013-07-05,368,121.0,121.0,121.0,121.0,1,0
2013-07-08,371,120.1,120.1,120.1,120.1,1,0
2013-07-09,372,124.35,124.35,124.35,124.35,1,0
2013-07-10,373,123.1,123.1,123.1,123.1,1,0
2013-07-11,374,124.25,124.25,124.25,124.25,1,0
2013-07-12,375,123.55,123.55,123.55,123.55,1,0
2013-07-15,378,124.2,124.2,124.2,124.2,1,0
2013-07-16,379,123.75,123.75,123.75,123.75,1,0
2013-07-17,380,122.65,122.65,122.65,122.65,1,0
2013-07-18,381,123.3,123.3,123.3,123.3,1,0
2013-07-19,382,117.7,117.7,117.7,117.7,1,0
2013-07-22,385,117.05,117.05,117.05,117.05,1,0
2013-07-23,386,120.05,120.05,120.05,120.05,1,0
2013-07-24,387,118.7,118.7,118.7,118.7,1,0
2013-07-25,388,117.45,117.45,117.45,117.45,1,0
2013-07-26,389,117.05,117.05,117.05,117.05,1,0
2013-07-29,392,115.85,115.85,115.85,115.85,1,0
2013-07-30,393,113.3,113.3,113.3,113.3,1,0
2013-07-31,394,108.65,108.65,108.65,108.65,1,0
2013-08-01,395,106.5,106.5,106.5,106.5,1,0
2013-08-02,396,101.95,101.95,101.95,101.95,1,0
2013-08-05,399,103.85,103.85,103.85,103.85,1,0
2013-08-06,400,101.05,101.05,101.05,101.05,1,0
2013-08-07,401,107.1,107.1,107.1,107.1,1,0
2013-08-08,402,106.85,106.85,106.85,106.85,1,0
2013-08-12,406,108.55,108.55,108.55,108.55,1,0
2013-08-13,407,108.45,108.45,108.45,108.45,1,0
2013-08-14,408,110.35,110.35,110.35,110.35,1,0
2013-08-16,410,105.65,105.65,105.65,105.65,1,0
2013-08-19,413,103.0,103.0,103.0,103.0,1,0
2013-08-20,414,103.95,103.95,103.95,103.95,1,0
2013-08-21,415,102.15,102.15,102.15,102.15,1,0
2013-08-22,416,113.05,113.05,113.05,113.05,1,0
2013-08-23,417,120.15,120.15,120.15,120.15,1,0
2013-08-26,420,115.5,115.5,115.5,115.5,1,0
2013-08-27,421,109.8,109.8,109.8,109.8,1,0
2013-08-28,422,104.95,104.95,104.95,104.95,1,0
2013-08-29,423,104.45,104.45,104.45,104.45,1,0
2013-08-30,424,106.75,106.75,106.75,106.75,1,0
2013-09-02,427,109.15,109.15,109.15,109.15,1,0
2013-09-03,428,105.1,105.1,105.1,105.1,1,0
2013-09-04,429,105.45,105.45,105.45,105.45,1,0
2013-09-05,430,106.3,106.3,106.3,106.3,1,0
2013-09-06,431,106.25,106.25,106.25,106.25,1,0
