Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,175.35,175.35,175.35,175.35,1000000,0
2012-07-03,1,176.35,176.35,176.35,176.35,1000000,0
2012-07-04,2,181.15,181.15,181.15,181.15,1000000,0
2012-07-05,3,186.1,186.1,186.1,186.1,1000000,0
2012-07-06,4,189.25,189.25,189.25,189.25,1000000,0
2012-07-09,7,187.8,187.8,187.8,187.8,1000000,0
2012-07-10,8,188.65,188.65,188.65,188.65,1000000,0
2012-07-11,9,187.4,187.4,187.4,187.4,1000000,0
2012-07-12,10,183.25,183.25,183.25,183.25,1000000,0
2012-07-13,11,189.15,189.15,189.15,189.15,1000000,0
2012-07-16,14,186.45,186.45,186.45,186.45,1000000,0
2012-07-17,15,185.7,185.7,185.7,185.7,1000000,0
2012-07-18,16,186.8,186.8,186.8,186.8,1000000,0
2012-07-19,17,193.15,193.15,193.15,193.15,1000000,0
2012-07-20,18,192.5,192.5,192.5,192.5,1000000,0
2012-07-23,21,186.15,186.15,186.15,186.15,1000000,0
2012-07-24,22,185.05,185.05,185.05,185.05,1000000,0
2012-07-25,23,190.8,190.8,190.8,190.8,1000000,0
2012-07-26,24,182.35,182.35,182.35,182.35,1000000,0
2012-07-27,25,180.65,180.65,180.65,180.65,1000000,0
2012-07-30,28,182.95,182.95,182.95,182.95,1000000,0
2012-07-31,29,179.75,179.75,179.75,179.75,1000000,0
2012-08-01,30,183.7,183.7,183.7,183.7,1000000,0
2012-08-02,31,178.4,178.4,178.4,178.4,1000000,0
2012-08-03,32,175.75,175.75,175.75,175.75,1000000,0
2012-08-06,35,183.5,183.5,183.5,183.5,1000000,0
2012-08-07,36,182.3,182.3,182.3,182.3,1000000,0
2012-08-08,37,183.25,183.25,183.25,183.25,1000000,0
2012-08-09,38,181.25,181.25,181.25,181.25,1000000,0
2012-08-10,39,177.15,177.15,177.15,177.15,1000000,0
2012-08-13,42,175.25,175.25,175.25,175.25,1000000,0
2012-08-14,43,170.05,170.05,170.05,170.05,1000000,0
2012-08-16,45,171.6,171.6,171.6,171.6,1000000,0
2012-08-17,46,172.7,172.7,172.7,172.7,1000000,0
2012-08-21,50,173.6,173.6,173.6,173.6,1000000,0
2012-08-22,51,174.35,174.35,174.35,174.35,1000000,0
2012-08-23,52,171.35,171.35,171.35,171.35,1000000,0
2012-08-24,53,169.35,169.35,169.35,169.35,1000000,0
2012-08-27,56,165.65,165.65,165.65,165.65,1000000,0
2012-08-28,57,163.2,163.2,163.2,163.2,1000000,0
2012-08-29,58,160.55,160.55,160.55,160.55,1000000,0
2012-08-30,59,160.05,160.05,160.05,160.05,1000000,0
2012-08-31,60,155.1,155.1,155.1,155.1,1000000,0
2012-09-03,63,167.2,167.2,167.2,167.2,1000000,0
2012-09-04,64,170.95,170.95,170.95,170.95,1000000,0
2012-09-05,65,176.7,176.7,176.7,176.7,1000000,0
2012-09-06,66,174.75,174.75,174.75,174.75,1000000,0
2012-09-07,67,180.65,180.65,180.65,180.65,1000000,0
2012-09-10,70,179.55,179.55,179.55,179.55,1000000,0
2012-09-11,71,179.85,179.85,179.85,179.85,1000000,0
2012-09-12,72,177.5,177.5,177.5,177.5,1000000,0
2012-09-13,73,180.55,180.55,180.55,180.55,1000000,0
2012-09-14,74,179.9,179.9,179.9,179.9,1000000,0
2012-09-17,77,178.65,178.65,178.65,178.65,1000000,0
2012-09-18,78,183.0,183.0,183.0,183.0,1000000,0
2012-09-20,80,179.5,179.5,179.5,179.5,1000000,0
2012-09-21,81,180.1,180.1,180.1,180.1,1000000,0
2012-09-24,84,179.3,179.3,179.3,179.3,1000000,0
2012-09-25,85,178.75,178.75,178.75,178.75,1000000,0
2012-09-26,86,177.7,177.7,177.7,177.7,1000000,0
2012-09-27,87,176.85,176.85,176.85,176.85,1000000,0
2012-09-28,88,181.9,181.9,181.9,181.9,1000000,0
2012-10-01,91,201.55,201.55,201.55,201.55,1000000,0
2012-10-03,93,209.5,209.5,209.5,209.5,1000000,0
2012-10-04,94,206.2,206.2,206.2,206.2,1000000,0
2012-10-05,95,209.55,209.55,209.55,209.55,1000000,0
2012-10-08,98,209.05,209.05,209.05,209.05,1000000,0
2012-10-09,99,208.3,208.3,208.3,208.3,1000000,0
2012-10-10,100,199.95,199.95,199.95,199.95,1000000,0
2012-10-11,101,207.9,207.9,207.9,207.9,1000000,0
2012-10-12,102,208.7,208.7,208.7,208.7,1000000,0
2012-10-15,105,204.95,204.95,204.95,204.95,1000000,0
2012-10-16,106,198.2,198.2,198.2,198.2,1000000,0
2012-10-17,107,202.05,202.05,202.05,202.05,1000000,0
2012-10-18,108,206.7,206.7,206.7,206.7,1000000,0
2012-10-19,109,209.35,209.35,209.35,209.35,1000000,0
2012-10-22,112,214.1,214.1,214.1,214.1,1000000,0
2012-10-23,113,220.9,220.9,220.9,220.9,1000000,0
2012-10-25,115,221.9,221.9,221.9,221.9,1000000,0
2012-10-26,116,212.15,212.15,212.15,212.15,1000000,0
2012-10-29,119,204.45,204.45,204.45,204.45,1000000,0
2012-10-30,120,199.9,199.9,199.9,199.9,1000000,0
2012-10-31,121,201.65,201.65,201.65,201.65,1000000,0
2012-11-01,122,201.1,201.1,201.1,201.1,1000000,0
2012-11-02,123,199.0,199.0,199.0,199.0,1000000,0
2012-11-05,126,199.1,199.1,199.1,199.1,1000000,0
2012-11-06,127,198.4,198.4,198.4,198.4,1000000,0
2012-11-07,128,196.85,196.85,196.85,196.85,1000000,0
2012-11-08,129,193.1,193.1,193.1,193.1,1000000,0
2012-11-09,130,187.95,187.95,187.95,187.95,1000000,0
2012-11-12,133,188.7,188.7,188.7,188.7,1000000,0
2012-11-13,134,192.35,192.35,192.35,192.35,1000000,0
2012-11-15,136,191.05,191.05,191.05,191.05,1000000,0
2012-11-16,137,189.35,189.35,189.35,189.35,1000000,0
2012-11-19,140,185.7,185.7,185.7,185.7,1000000,0
2012-11-20,141,183.0,183.0,183.0,183.0,1000000,0
2012-11-21,142,180.75,180.75,180.75,180.75,1000000,0
2012-11-22,143,179.05,179.05,179.05,179.05,1000000,0
2012-11-23,144,178.8,178.8,178.8,178.8,1000000,0
2012-11-26,147,181.75,181.75,181.75,181.75,1000000,0
2012-11-27,148,187.9,187.9,187.9,187.9,1000000,0
2012-11-29,150,189.65,189.65,189.65,189.65,1000000,0
2012-11-30,151,189.7,189.7,189.7,189.7,1000000,0
2012-12-03,154,189.9,189.9,189.9,189.9,1000000,0
2012-12-04,155,190.45,190.45,190.45,190.45,1000000,0
2012-12-05,156,189.4,189.4,189.4,189.4,1000000,0
2012-12-06,157,187.7,187.7,187.7,187.7,1000000,0
2012-12-07,158,187.9,187.9,187.9,187.9,1000000,0
2012-12-10,161,187.2,187.2,187.2,187.2,1000000,0
2012-12-11,162,184.25,184.25,184.25,184.25,1000000,0
2012-12-12,163,182.85,182.85,182.85,182.85,1000000,0
2012-12-13,164,177.65,177.65,177.65,177.65,1000000,0
2012-12-14,165,173.75,173.75,173.75,173.75,1000000,0
2012-12-17,168,174.45,174.45,174.45,174.45,1000000,0
2012-12-18,169,177.6,177.6,177.6,177.6,1000000,0
2012-12-19,170,177.1,177.1,177.1,177.1,1000000,0
2012-12-20,171,176.6,176.6,176.6,176.6,1000000,0
2012-12-21,172,173.65,173.65,173.65,173.65,1000000,0
2012-12-24,175,173.8,173.8,173.8,173.8,1000000,0
2012-12-26,177,173.9,173.9,173.9,173.9,1000000,0
2012-12-27,178,172.9,172.9,172.9,172.9,1000000,0
2012-12-28,179,173.5,173.5,173.5,173.5,1000000,0
2012-12-31,182,175.9,175.9,175.9,175.9,1000000,0
2013-01-01,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-02,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-03,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-04,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-07,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-08,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-09,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-10,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-11,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-14,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-15,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-16,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-17,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-18,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-21,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-22,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-23,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-24,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-25,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-28,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-29,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-30,183,177.9,177.9,177.9,177.9,1000000,0
2013-01-31,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-01,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-04,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-05,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-06,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-07,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-08,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-11,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-12,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-13,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-14,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-15,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-18,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-19,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-20,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-21,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-22,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-25,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-26,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-27,183,177.9,177.9,177.9,177.9,1000000,0
2013-02-28,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-01,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-04,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-05,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-06,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-07,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-08,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-11,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-12,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-13,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-14,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-15,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-18,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-19,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-20,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-21,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-22,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-25,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-26,183,177.9,177.9,177.9,177.9,1000000,0
2013-03-28,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-01,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-02,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-03,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-04,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-05,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-08,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-09,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-10,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-11,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-12,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-15,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-16,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-17,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-18,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-22,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-23,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-25,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-26,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-29,183,177.9,177.9,177.9,177.9,1000000,0
2013-04-30,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-02,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-03,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-06,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-07,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-08,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-09,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-10,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-13,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-14,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-15,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-16,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-17,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-20,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-21,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-22,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-23,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-24,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-27,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-28,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-29,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-30,183,177.9,177.9,177.9,177.9,1000000,0
2013-05-31,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-03,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-04,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-05,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-06,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-07,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-10,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-11,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-12,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-13,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-14,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-17,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-18,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-19,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-20,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-21,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-24,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-25,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-26,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-27,183,177.9,177.9,177.9,177.9,1000000,0
2013-06-28,183,177.9,177.9,177.9,177.9,1000000,0
2013-07-01,364,149.2,149.2,149.2,149.2,1000000,0
2013-07-02,365,154.6,154.6,154.6,154.6,1000000,0
2013-07-03,366,154.0,154.0,154.0,154.0,1000000,0
2013-07-04,367,153.1,153.1,153.1,153.1,1000000,0
2013-07-05,368,154.45,154.45,154.45,154.45,1000000,0
2013-07-08,371,151.0,151.0,151.0,151.0,1000000,0
2013-07-09,372,151.8,151.8,151.8,151.8,1000000,0
2013-07-10,373,153.85,153.85,153.85,153.85,1000000,0
2013-07-11,374,155.5,155.5,155.5,155.5,1000000,0
2013-07-12,375,155.4,155.4,155.4,155.4,1000000,0
2013-07-15,378,156.05,156.05,156.05,156.05,1000000,0
2013-07-16,379,151.3,151.3,151.3,151.3,1000000,0
2013-07-17,380,146.55,146.55,146.55,146.55,1000000,0
2013-07-18,381,145.0,145.0,145.0,145.0,1000000,0
2013-07-19,382,144.55,144.55,144.55,144.55,1000000,0
2013-07-22,385,137.65,137.65,137.65,137.65,1000000,0
2013-07-23,386,135.25,135.25,135.25,135.25,1000000,0
2013-07-24,387,133.2,133.2,133.2,133.2,1000000,0
2013-07-25,388,128.4,128.4,128.4,128.4,1000000,0
2013-07-26,389,125.8,125.8,125.8,125.8,1000000,0
2013-07-29,392,119.55,119.55,119.55,119.55,1000000,0
2013-07-30,393,117.9,117.9,117.9,117.9,1000000,0
2013-07-31,394,113.0,113.0,113.0,113.0,1000000,0
2013-08-01,395,118.55,118.55,118.55,118.55,1000000,0
2013-08-02,396,121.9,121.9,121.9,121.9,1000000,0
2013-08-05,399,119.75,119.75,119.75,119.75,1000000,0
2013-08-06,400,108.1,108.1,108.1,108.1,1000000,0
2013-08-07,401,114.35,114.35,114.35,114.35,1000000,0
2013-08-08,402,116.65,116.65,116.65,116.65,1000000,0
2013-08-12,406,122.1,122.1,122.1,122.1,1000000,0
2013-08-13,407,128.6,128.6,128.6,128.6,1000000,0
