Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,72.45,72.45,72.45,72.45,1000000,0
2012-07-03,1,72.5,72.5,72.5,72.5,1000000,0
2012-07-04,2,73.4,73.4,73.4,73.4,1000000,0
2012-07-05,3,74.05,74.05,74.05,74.05,1000000,0
2012-07-06,4,71.85,71.85,71.85,71.85,1000000,0
2012-07-09,7,72.25,72.25,72.25,72.25,1000000,0
2012-07-10,8,72.65,72.65,72.65,72.65,1000000,0
2012-07-11,9,72.2,72.2,72.2,72.2,1000000,0
2012-07-12,10,71.3,71.3,71.3,71.3,1000000,0
2012-07-13,11,71.05,71.05,71.05,71.05,1000000,0
2012-07-16,14,71.2,71.2,71.2,71.2,1000000,0
2012-07-17,15,71.5,71.5,71.5,71.5,1000000,0
2012-07-18,16,70.5,70.5,70.5,70.5,1000000,0
2012-07-19,17,70.8,70.8,70.8,70.8,1000000,0
2012-07-20,18,70.2,70.2,70.2,70.2,1000000,0
2012-07-23,21,69.85,69.85,69.85,69.85,1000000,0
2012-07-24,22,69.8,69.8,69.8,69.8,1000000,0
2012-07-25,23,68.5,68.5,68.5,68.5,1000000,0
2012-07-26,24,68.7,68.7,68.7,68.7,1000000,0
2012-07-27,25,68.3,68.3,68.3,68.3,1000000,0
2012-07-30,28,68.05,68.05,68.05,68.05,1000000,0
2012-07-31,29,68.95,68.95,68.95,68.95,1000000,0
2012-08-01,30,68.55,68.55,68.55,68.55,1000000,0
2012-08-02,31,68.65,68.65,68.65,68.65,1000000,0
2012-08-03,32,67.75,67.75,67.75,67.75,1000000,0
2012-08-06,35,67.7,67.7,67.7,67.7,1000000,0
2012-08-07,36,67.4,67.4,67.4,67.4,1000000,0
2012-08-08,37,67.0,67.0,67.0,67.0,1000000,0
2012-08-09,38,65.25,65.25,65.25,65.25,1000000,0
2012-08-10,39,63.65,63.65,63.65,63.65,1000000,0
2012-08-13,42,65.25,65.25,65.25,65.25,1000000,0
2012-08-14,43,67.0,67.0,67.0,67.0,1000000,0
2012-08-16,45,69.05,69.05,69.05,69.05,1000000,0
2012-08-17,46,66.5,66.5,66.5,66.5,1000000,0
2012-08-21,50,69.35,69.35,69.35,69.35,1000000,0
2012-08-22,51,71.45,71.45,71.45,71.45,1000000,0
2012-08-23,52,70.75,70.75,70.75,70.75,1000000,0
2012-08-24,53,70.35,70.35,70.35,70.35,1000000,0
2012-08-27,56,67.55,67.55,67.55,67.55,1000000,0
2012-08-28,57,66.0,66.0,66.0,66.0,1000000,0
2012-08-29,58,66.0,66.0,66.0,66.0,1000000,0
2012-08-30,59,67.0,67.0,67.0,67.0,1000000,0
2012-08-31,60,68.25,68.25,68.25,68.25,1000000,0
2012-09-03,63,70.65,70.65,70.65,70.65,1000000,0
2012-09-04,64,70.8,70.8,70.8,70.8,1000000,0
2012-09-05,65,71.45,71.45,71.45,71.45,1000000,0
2012-09-06,66,71.85,71.85,71.85,71.85,1000000,0
2012-09-07,67,73.4,73.4,73.4,73.4,1000000,0
2012-09-10,70,75.2,75.2,75.2,75.2,1000000,0
2012-09-11,71,73.25,73.25,73.25,73.25,1000000,0
2012-09-12,72,72.2,72.2,72.2,72.2,1000000,0
2012-09-13,73,70.4,70.4,70.4,70.4,1000000,0
2012-09-14,74,69.65,69.65,69.65,69.65,1000000,0
2012-09-17,77,69.8,69.8,69.8,69.8,1000000,0
2012-09-18,78,69.95,69.95,69.95,69.95,1000000,0
2012-09-20,80,68.55,68.55,68.55,68.55,1000000,0
2012-09-21,81,68.55,68.55,68.55,68.55,1000000,0
2012-09-24,84,68.35,68.35,68.35,68.35,1000000,0
2012-09-25,85,69.65,69.65,69.65,69.65,1000000,0
2012-09-26,86,68.25,68.25,68.25,68.25,1000000,0
2012-09-27,87,68.7,68.7,68.7,68.7,1000000,0
2012-09-28,88,67.7,67.7,67.7,67.7,1000000,0
2012-10-01,91,69.1,69.1,69.1,69.1,1000000,0
2012-10-03,93,68.0,68.0,68.0,68.0,1000000,0
2012-10-04,94,68.65,68.65,68.65,68.65,1000000,0
2012-10-05,95,68.3,68.3,68.3,68.3,1000000,0
2012-10-08,98,67.3,67.3,67.3,67.3,1000000,0
2012-10-09,99,67.75,67.75,67.75,67.75,1000000,0
2012-10-10,100,66.2,66.2,66.2,66.2,1000000,0
2012-10-11,101,67.55,67.55,67.55,67.55,1000000,0
2012-10-12,102,68.0,68.0,68.0,68.0,1000000,0
2012-10-15,105,68.0,68.0,68.0,68.0,1000000,0
2012-10-16,106,68.1,68.1,68.1,68.1,1000000,0
2012-10-17,107,69.4,69.4,69.4,69.4,1000000,0
2012-10-18,108,69.8,69.8,69.8,69.8,1000000,0
2012-10-19,109,68.35,68.35,68.35,68.35,1000000,0
2012-10-22,112,69.35,69.35,69.35,69.35,1000000,0
2012-10-23,113,69.15,69.15,69.15,69.15,1000000,0
2012-10-25,115,69.3,69.3,69.3,69.3,1000000,0
2012-10-26,116,67.25,67.25,67.25,67.25,1000000,0
2012-10-29,119,67.85,67.85,67.85,67.85,1000000,0
2012-10-30,120,66.35,66.35,66.35,66.35,1000000,0
2012-10-31,121,66.05,66.05,66.05,66.05,1000000,0
2012-11-01,122,66.8,66.8,66.8,66.8,1000000,0
2012-11-02,123,66.5,66.5,66.5,66.5,1000000,0
2012-11-05,126,66.2,66.2,66.2,66.2,1000000,0
2012-11-06,127,66.85,66.85,66.85,66.85,1000000,0
2012-11-07,128,65.55,65.55,65.55,65.55,1000000,0
2012-11-08,129,65.75,65.75,65.75,65.75,1000000,0
2012-11-09,130,65.4,65.4,65.4,65.4,1000000,0
2012-11-12,133,64.95,64.95,64.95,64.95,1000000,0
2012-11-13,134,65.0,65.0,65.0,65.0,1000000,0
2012-11-15,136,65.4,65.4,65.4,65.4,1000000,0
2012-11-16,137,64.8,64.8,64.8,64.8,1000000,0
2012-11-19,140,64.15,64.15,64.15,64.15,1000000,0
2012-11-20,141,63.95,63.95,63.95,63.95,1000000,0
2012-11-21,142,64.05,64.05,64.05,64.05,1000000,0
2012-11-22,143,63.85,63.85,63.85,63.85,1000000,0
2012-11-23,144,64.0,64.0,64.0,64.0,1000000,0
2012-11-26,147,63.45,63.45,63.45,63.45,1000000,0
2012-11-27,148,67.55,67.55,67.55,67.55,1000000,0
2012-11-29,150,69.3,69.3,69.3,69.3,1000000,0
2012-11-30,151,69.55,69.55,69.55,69.55,1000000,0
2012-12-03,154,69.35,69.35,69.35,69.35,1000000,0
2012-12-04,155,70.7,70.7,70.7,70.7,1000000,0
2012-12-05,156,70.05,70.05,70.05,70.05,1000000,0
2012-12-06,157,69.3,69.3,69.3,69.3,1000000,0
2012-12-07,158,68.5,68.5,68.5,68.5,1000000,0
2012-12-10,161,78.4,78.4,78.4,78.4,1000000,0
2012-12-11,162,75.3,75.3,75.3,75.3,1000000,0
2012-12-12,163,76.8,76.8,76.8,76.8,1000000,0
2012-12-13,164,74.8,74.8,74.8,74.8,1000000,0
