Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,85.5,85.5,85.5,85.5,1000000,0
2012-07-03,1,85.65,85.65,85.65,85.65,1000000,0
2012-07-04,2,86.95,86.95,86.95,86.95,1000000,0
2012-07-05,3,87.6,87.6,87.6,87.6,1000000,0
2012-07-06,4,89.55,89.55,89.55,89.55,1000000,0
2012-07-09,7,88.0,88.0,88.0,88.0,1000000,0
2012-07-10,8,88.05,88.05,88.05,88.05,1000000,0
2012-07-11,9,87.1,87.1,87.1,87.1,1000000,0
2012-07-12,10,84.6,84.6,84.6,84.6,1000000,0
2012-07-13,11,86.5,86.5,86.5,86.5,1000000,0
2012-07-16,14,85.5,85.5,85.5,85.5,1000000,0
2012-07-17,15,83.7,83.7,83.7,83.7,1000000,0
2012-07-18,16,84.85,84.85,84.85,84.85,1000000,0
2012-07-19,17,87.4,87.4,87.4,87.4,1000000,0
2012-07-20,18,88.1,88.1,88.1,88.1,1000000,0
2012-07-23,21,84.4,84.4,84.4,84.4,1000000,0
2012-07-24,22,84.95,84.95,84.95,84.95,1000000,0
2012-07-25,23,82.8,82.8,82.8,82.8,1000000,0
2012-07-26,24,79.55,79.55,79.55,79.55,1000000,0
2012-07-27,25,77.15,77.15,77.15,77.15,1000000,0
2012-07-30,28,80.2,80.2,80.2,80.2,1000000,0
2012-07-31,29,81.1,81.1,81.1,81.1,1000000,0
2012-08-01,30,79.5,79.5,79.5,79.5,1000000,0
2012-08-02,31,79.4,79.4,79.4,79.4,1000000,0
2012-08-03,32,80.5,80.5,80.5,80.5,1000000,0
2012-08-06,35,83.0,83.0,83.0,83.0,1000000,0
2012-08-07,36,82.7,82.7,82.7,82.7,1000000,0
2012-08-08,37,80.95,80.95,80.95,80.95,1000000,0
2012-08-09,38,79.6,79.6,79.6,79.6,1000000,0
2012-08-10,39,83.5,83.5,83.5,83.5,1000000,0
2012-08-13,42,86.75,86.75,86.75,86.75,1000000,0
2012-08-14,43,86.6,86.6,86.6,86.6,1000000,0
2012-08-16,45,79.15,79.15,79.15,79.15,1000000,0
2012-08-17,46,75.55,75.55,75.55,75.55,1000000,0
2012-08-21,50,73.5,73.5,73.5,73.5,1000000,0
2012-08-22,51,73.25,73.25,73.25,73.25,1000000,0
2012-08-23,52,72.65,72.65,72.65,72.65,1000000,0
2012-08-24,53,76.45,76.45,76.45,76.45,1000000,0
2012-08-27,56,73.4,73.4,73.4,73.4,1000000,0
2012-08-28,57,70.9,70.9,70.9,70.9,1000000,0
2012-08-29,58,69.65,69.65,69.65,69.65,1000000,0
2012-08-30,59,66.6,66.6,66.6,66.6,1000000,0
2012-08-31,60,64.1,64.1,64.1,64.1,1000000,0
2012-09-03,63,62.85,62.85,62.85,62.85,1000000,0
2012-09-04,64,64.2,64.2,64.2,64.2,1000000,0
2012-09-05,65,61.75,61.75,61.75,61.75,1000000,0
2012-09-06,66,61.1,61.1,61.1,61.1,1000000,0
2012-09-07,67,59.95,59.95,59.95,59.95,1000000,0
2012-09-10,70,61.6,61.6,61.6,61.6,1000000,0
2012-09-11,71,60.7,60.7,60.7,60.7,1000000,0
2012-09-12,72,60.75,60.75,60.75,60.75,1000000,0
2012-09-13,73,60.0,60.0,60.0,60.0,1000000,0
2012-09-14,74,60.7,60.7,60.7,60.7,1000000,0
2012-09-17,77,65.15,65.15,65.15,65.15,1000000,0
2012-09-18,78,66.6,66.6,66.6,66.6,1000000,0
2012-09-20,80,66.75,66.75,66.75,66.75,1000000,0
2012-09-21,81,69.1,69.1,69.1,69.1,1000000,0
