Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,12.45,12.45,12.45,12.45,1000000,0
2012-07-03,1,13.05,13.05,13.05,13.05,1000000,0
2012-07-04,2,13.8,13.8,13.8,13.8,1000000,0
2012-07-05,3,14.05,14.05,14.05,14.05,1000000,0
2012-07-06,4,13.5,13.5,13.5,13.5,1000000,0
2012-07-09,7,13.05,13.05,13.05,13.05,1000000,0
2012-07-10,8,13.3,13.3,13.3,13.3,1000000,0
2012-07-11,9,13.05,13.05,13.05,13.05,1000000,0
2012-07-12,10,12.8,12.8,12.8,12.8,1000000,0
2012-07-13,11,12.85,12.85,12.85,12.85,1000000,0
2012-07-16,14,12.85,12.85,12.85,12.85,1000000,0
2012-07-17,15,12.8,12.8,12.8,12.8,1000000,0
2012-07-18,16,12.85,12.85,12.85,12.85,1000000,0
2012-07-19,17,13.05,13.05,13.05,13.05,1000000,0
2012-07-20,18,13.1,13.1,13.1,13.1,1000000,0
2012-07-23,21,13.85,13.85,13.85,13.85,1000000,0
2012-07-24,22,13.4,13.4,13.4,13.4,1000000,0
2012-07-25,23,13.15,13.15,13.15,13.15,1000000,0
2012-07-26,24,12.75,12.75,12.75,12.75,1000000,0
2012-07-27,25,12.7,12.7,12.7,12.7,1000000,0
2012-07-30,28,12.9,12.9,12.9,12.9,1000000,0
2012-07-31,29,13.05,13.05,13.05,13.05,1000000,0
2012-08-01,30,13.15,13.15,13.15,13.15,1000000,0
2012-08-02,31,13.05,13.05,13.05,13.05,1000000,0
2012-08-03,32,13.0,13.0,13.0,13.0,1000000,0
2012-08-06,35,13.1,13.1,13.1,13.1,1000000,0
2012-08-07,36,13.7,13.7,13.7,13.7,1000000,0
2012-08-08,37,13.45,13.45,13.45,13.45,1000000,0
2012-08-09,38,13.75,13.75,13.75,13.75,1000000,0
2012-08-10,39,13.55,13.55,13.55,13.55,1000000,0
2012-08-13,42,13.8,13.8,13.8,13.8,1000000,0
2012-08-14,43,13.95,13.95,13.95,13.95,1000000,0
2012-08-16,45,14.95,14.95,14.95,14.95,1000000,0
2012-08-17,46,14.85,14.85,14.85,14.85,1000000,0
2012-08-21,50,14.7,14.7,14.7,14.7,1000000,0
2012-08-22,51,15.25,15.25,15.25,15.25,1000000,0
2012-08-23,52,14.95,14.95,14.95,14.95,1000000,0
2012-08-24,53,15.05,15.05,15.05,15.05,1000000,0
2012-08-27,56,14.75,14.75,14.75,14.75,1000000,0
2012-08-28,57,14.15,14.15,14.15,14.15,1000000,0
2012-08-29,58,13.95,13.95,13.95,13.95,1000000,0
2012-08-30,59,14.1,14.1,14.1,14.1,1000000,0
2012-08-31,60,13.85,13.85,13.85,13.85,1000000,0
2012-09-03,63,14.5,14.5,14.5,14.5,1000000,0
2012-09-04,64,14.75,14.75,14.75,14.75,1000000,0
2012-09-05,65,14.45,14.45,14.45,14.45,1000000,0
2012-09-06,66,14.45,14.45,14.45,14.45,1000000,0
2012-09-07,67,14.55,14.55,14.55,14.55,1000000,0
2012-09-10,70,14.7,14.7,14.7,14.7,1000000,0
2012-09-11,71,14.55,14.55,14.55,14.55,1000000,0
2012-09-12,72,14.9,14.9,14.9,14.9,1000000,0
2012-09-13,73,14.65,14.65,14.65,14.65,1000000,0
2012-09-14,74,15.0,15.0,15.0,15.0,1000000,0
2012-09-17,77,14.75,14.75,14.75,14.75,1000000,0
2012-09-18,78,15.6,15.6,15.6,15.6,1000000,0
2012-09-20,80,15.3,15.3,15.3,15.3,1000000,0
2012-09-21,81,15.4,15.4,15.4,15.4,1000000,0
2012-09-24,84,16.05,16.05,16.05,16.05,1000000,0
2012-09-25,85,16.4,16.4,16.4,16.4,1000000,0
2012-09-26,86,15.9,15.9,15.9,15.9,1000000,0
2012-09-27,87,15.4,15.4,15.4,15.4,1000000,0
2012-09-28,88,15.6,15.6,15.6,15.6,1000000,0
2012-10-01,91,16.65,16.65,16.65,16.65,1000000,0
2012-10-03,93,17.45,17.45,17.45,17.45,1000000,0
2012-10-04,94,17.25,17.25,17.25,17.25,1000000,0
2012-10-05,95,16.8,16.8,16.8,16.8,1000000,0
2012-10-08,98,17.65,17.65,17.65,17.65,1000000,0
2012-10-09,99,17.5,17.5,17.5,17.5,1000000,0
2012-10-10,100,16.8,16.8,16.8,16.8,1000000,0
2012-10-11,101,17.65,17.65,17.65,17.65,1000000,0
2012-10-12,102,17.65,17.65,17.65,17.65,1000000,0
2012-10-15,105,17.3,17.3,17.3,17.3,1000000,0
2012-10-16,106,17.05,17.05,17.05,17.05,1000000,0
2012-10-17,107,17.15,17.15,17.15,17.15,1000000,0
2012-10-18,108,17.45,17.45,17.45,17.45,1000000,0
2012-10-19,109,17.2,17.2,17.2,17.2,1000000,0
2012-10-22,112,17.0,17.0,17.0,17.0,1000000,0
2012-10-23,113,16.9,16.9,16.9,16.9,1000000,0
2012-10-25,115,16.55,16.55,16.55,16.55,1000000,0
2012-10-26,116,16.2,16.2,16.2,16.2,1000000,0
2012-10-29,119,16.5,16.5,16.5,16.5,1000000,0
2012-10-30,120,16.0,16.0,16.0,16.0,1000000,0
2012-10-31,121,16.3,16.3,16.3,16.3,1000000,0
2012-11-01,122,17.3,17.3,17.3,17.3,1000000,0
2012-11-02,123,17.25,17.25,17.25,17.25,1000000,0
2012-11-05,126,17.1,17.1,17.1,17.1,1000000,0
2012-11-06,127,17.2,17.2,17.2,17.2,1000000,0
2012-11-07,128,18.0,18.0,18.0,18.0,1000000,0
2012-11-08,129,18.5,18.5,18.5,18.5,1000000,0
2012-11-09,130,18.85,18.85,18.85,18.85,1000000,0
2012-11-12,133,17.7,17.7,17.7,17.7,1000000,0
2012-11-13,134,18.25,18.25,18.25,18.25,1000000,0
2012-11-15,136,18.15,18.15,18.15,18.15,1000000,0
2012-11-16,137,17.9,17.9,17.9,17.9,1000000,0
2012-11-19,140,17.3,17.3,17.3,17.3,1000000,0
2012-11-20,141,16.85,16.85,16.85,16.85,1000000,0
2012-11-21,142,16.95,16.95,16.95,16.95,1000000,0
2012-11-22,143,16.95,16.95,16.95,16.95,1000000,0
2012-11-23,144,16.75,16.75,16.75,16.75,1000000,0
2012-11-26,147,16.75,16.75,16.75,16.75,1000000,0
2012-11-27,148,17.3,17.3,17.3,17.3,1000000,0
2012-11-29,150,17.1,17.1,17.1,17.1,1000000,0
2012-11-30,151,17.45,17.45,17.45,17.45,1000000,0
2012-12-03,154,17.45,17.45,17.45,17.45,1000000,0
2012-12-04,155,17.4,17.4,17.4,17.4,1000000,0
2012-12-05,156,18.1,18.1,18.1,18.1,1000000,0
2012-12-06,157,19.8,19.8,19.8,19.8,1000000,0
2012-12-07,158,19.6,19.6,19.6,19.6,1000000,0
2012-12-10,161,20.45,20.45,20.45,20.45,1000000,0
2012-12-11,162,19.85,19.85,19.85,19.85,1000000,0
2012-12-12,163,20.3,20.3,20.3,20.3,1000000,0
2012-12-13,164,19.85,19.85,19.85,19.85,1000000,0
2012-12-14,165,19.7,19.7,19.7,19.7,1000000,0
2012-12-17,168,21.75,21.75,21.75,21.75,1000000,0
2012-12-18,169,22.75,22.75,22.75,22.75,1000000,0
2012-12-19,170,23.2,23.2,23.2,23.2,1000000,0
2012-12-20,171,22.8,22.8,22.8,22.8,1000000,0
2012-12-21,172,22.2,22.2,22.2,22.2,1000000,0
2012-12-24,175,22.3,22.3,22.3,22.3,1000000,0
2012-12-26,177,22.4,22.4,22.4,22.4,1000000,0
2012-12-27,178,22.45,22.45,22.45,22.45,1000000,0
2012-12-28,179,22.2,22.2,22.2,22.2,1000000,0
2012-12-31,182,22.25,22.25,22.25,22.25,1000000,0
2013-01-01,183,22.5,22.5,22.5,22.5,1000000,0
2013-01-02,184,24.9,24.9,24.9,24.9,1000000,0
2013-01-03,185,24.3,24.3,24.3,24.3,1000000,0
2013-01-04,186,24.4,24.4,24.4,24.4,1000000,0
2013-01-07,189,24.6,24.6,24.6,24.6,1000000,0
2013-01-08,190,24.6,24.6,24.6,24.6,1000000,0
2013-01-09,191,23.95,23.95,23.95,23.95,1000000,0
2013-01-10,192,23.5,23.5,23.5,23.5,1000000,0
2013-01-11,193,22.0,22.0,22.0,22.0,1000000,0
2013-01-14,196,23.0,23.0,23.0,23.0,1000000,0
2013-01-15,197,22.55,22.55,22.55,22.55,1000000,0
2013-01-16,198,22.05,22.05,22.05,22.05,1000000,0
2013-01-17,199,21.75,21.75,21.75,21.75,1000000,0
2013-01-18,200,22.05,22.05,22.05,22.05,1000000,0
2013-01-21,203,21.95,21.95,21.95,21.95,1000000,0
2013-01-22,204,21.2,21.2,21.2,21.2,1000000,0
2013-01-23,205,20.4,20.4,20.4,20.4,1000000,0
2013-01-24,206,19.75,19.75,19.75,19.75,1000000,0
2013-01-25,207,20.55,20.55,20.55,20.55,1000000,0
2013-01-28,210,20.95,20.95,20.95,20.95,1000000,0
2013-01-29,211,20.3,20.3,20.3,20.3,1000000,0
2013-01-30,212,20.3,20.3,20.3,20.3,1000000,0
2013-01-31,213,20.45,20.45,20.45,20.45,1000000,0
2013-02-01,214,20.75,20.75,20.75,20.75,1000000,0
2013-02-04,217,21.45,21.45,21.45,21.45,1000000,0
2013-02-05,218,20.8,20.8,20.8,20.8,1000000,0
2013-02-06,219,20.85,20.85,20.85,20.85,1000000,0
2013-02-07,220,19.95,19.95,19.95,19.95,1000000,0
2013-02-08,221,19.55,19.55,19.55,19.55,1000000,0
2013-02-11,224,18.85,18.85,18.85,18.85,1000000,0
2013-02-12,225,18.7,18.7,18.7,18.7,1000000,0
2013-02-13,226,19.1,19.1,19.1,19.1,1000000,0
2013-02-14,227,18.65,18.65,18.65,18.65,1000000,0
2013-02-15,228,18.15,18.15,18.15,18.15,1000000,0
2013-02-18,231,18.3,18.3,18.3,18.3,1000000,0
2013-02-19,232,18.45,18.45,18.45,18.45,1000000,0
2013-02-20,233,18.8,18.8,18.8,18.8,1000000,0
2013-02-21,234,17.85,17.85,17.85,17.85,1000000,0
2013-02-22,235,17.65,17.65,17.65,17.65,1000000,0
2013-02-25,238,17.4,17.4,17.4,17.4,1000000,0
2013-02-26,239,16.5,16.5,16.5,16.5,1000000,0
2013-02-27,240,17.0,17.0,17.0,17.0,1000000,0
2013-02-28,241,16.35,16.35,16.35,16.35,1000000,0
2013-03-01,242,17.4,17.4,17.4,17.4,1000000,0
2013-03-04,245,16.4,16.4,16.4,16.4,1000000,0
2013-03-05,246,16.8,16.8,16.8,16.8,1000000,0
2013-03-06,247,17.1,17.1,17.1,17.1,1000000,0
2013-03-07,248,17.1,17.1,17.1,17.1,1000000,0
2013-03-08,249,17.6,17.6,17.6,17.6,1000000,0
2013-03-11,252,17.7,17.7,17.7,17.7,1000000,0
2013-03-12,253,17.3,17.3,17.3,17.3,1000000,0
2013-03-13,254,17.2,17.2,17.2,17.2,1000000,0
2013-03-14,255,17.4,17.4,17.4,17.4,1000000,0
2013-03-15,256,18.6,18.6,18.6,18.6,1000000,0
2013-03-18,259,18.4,18.4,18.4,18.4,1000000,0
2013-03-19,260,17.3,17.3,17.3,17.3,1000000,0
2013-03-20,261,16.75,16.75,16.75,16.75,1000000,0
2013-03-21,262,16.65,16.65,16.65,16.65,1000000,0
2013-03-22,263,16.25,16.25,16.25,16.25,1000000,0
2013-03-25,266,15.85,15.85,15.85,15.85,1000000,0
2013-03-26,267,15.85,15.85,15.85,15.85,1000000,0
2013-03-28,269,16.15,16.15,16.15,16.15,1000000,0
2013-04-01,273,16.6,16.6,16.6,16.6,1000000,0
2013-04-02,274,17.85,17.85,17.85,17.85,1000000,0
2013-04-03,275,17.35,17.35,17.35,17.35,1000000,0
2013-04-04,276,16.7,16.7,16.7,16.7,1000000,0
2013-04-05,277,16.75,16.75,16.75,16.75,1000000,0
2013-04-08,280,16.45,16.45,16.45,16.45,1000000,0
2013-04-09,281,16.05,16.05,16.05,16.05,1000000,0
2013-04-10,282,16.3,16.3,16.3,16.3,1000000,0
2013-04-11,283,16.65,16.65,16.65,16.65,1000000,0
2013-04-12,284,16.65,16.65,16.65,16.65,1000000,0
2013-04-15,287,16.65,16.65,16.65,16.65,1000000,0
2013-04-16,288,17.6,17.6,17.6,17.6,1000000,0
2013-04-17,289,17.3,17.3,17.3,17.3,1000000,0
2013-04-18,290,17.5,17.5,17.5,17.5,1000000,0
2013-04-22,294,17.65,17.65,17.65,17.65,1000000,0
2013-04-23,295,17.8,17.8,17.8,17.8,1000000,0
2013-04-25,297,17.4,17.4,17.4,17.4,1000000,0
2013-04-26,298,17.35,17.35,17.35,17.35,1000000,0
2013-04-29,301,17.55,17.55,17.55,17.55,1000000,0
2013-04-30,302,17.6,17.6,17.6,17.6,1000000,0
2013-05-02,304,18.0,18.0,18.0,18.0,1000000,0
2013-05-03,305,17.6,17.6,17.6,17.6,1000000,0
2013-05-06,308,17.85,17.85,17.85,17.85,1000000,0
2013-05-07,309,17.7,17.7,17.7,17.7,1000000,0
2013-05-08,310,18.45,18.45,18.45,18.45,1000000,0
2013-05-09,311,18.1,18.1,18.1,18.1,1000000,0
2013-05-10,312,18.4,18.4,18.4,18.4,1000000,0
2013-05-13,315,18.4,18.4,18.4,18.4,1000000,0
2013-05-14,316,18.5,18.5,18.5,18.5,1000000,0
2013-05-15,317,20.3,20.3,20.3,20.3,1000000,0
2013-05-16,318,23.55,23.55,23.55,23.55,1000000,0
2013-05-17,319,26.7,26.7,26.7,26.7,1000000,0
2013-05-20,322,26.15,26.15,26.15,26.15,1000000,0
2013-05-21,323,25.0,25.0,25.0,25.0,1000000,0
2013-05-22,324,24.25,24.25,24.25,24.25,1000000,0
2013-05-23,325,22.9,22.9,22.9,22.9,1000000,0
2013-05-24,326,25.15,25.15,25.15,25.15,1000000,0
2013-05-27,329,25.8,25.8,25.8,25.8,1000000,0
2013-05-28,330,25.9,25.9,25.9,25.9,1000000,0
2013-05-29,331,26.0,26.0,26.0,26.0,1000000,0
2013-05-30,332,25.65,25.65,25.65,25.65,1000000,0
2013-05-31,333,25.2,25.2,25.2,25.2,1000000,0
2013-06-03,336,25.65,25.65,25.65,25.65,1000000,0
2013-06-04,337,26.15,26.15,26.15,26.15,1000000,0
2013-06-05,338,26.4,26.4,26.4,26.4,1000000,0
2013-06-06,339,29.0,29.0,29.0,29.0,1000000,0
2013-06-07,340,29.8,29.8,29.8,29.8,1000000,0
2013-06-10,343,29.6,29.6,29.6,29.6,1000000,0
2013-06-11,344,29.25,29.25,29.25,29.25,1000000,0
2013-06-12,345,28.4,28.4,28.4,28.4,1000000,0
2013-06-13,346,27.65,27.65,27.65,27.65,1000000,0
2013-06-14,347,27.65,27.65,27.65,27.65,1000000,0
2013-06-17,350,27.05,27.05,27.05,27.05,1000000,0
2013-06-18,351,28.8,28.8,28.8,28.8,1000000,0
2013-06-19,352,29.25,29.25,29.25,29.25,1000000,0
2013-06-20,353,28.15,28.15,28.15,28.15,1000000,0
2013-06-21,354,28.1,28.1,28.1,28.1,1000000,0
2013-06-24,357,27.9,27.9,27.9,27.9,1000000,0
2013-06-25,358,28.1,28.1,28.1,28.1,1000000,0
2013-06-26,359,27.2,27.2,27.2,27.2,1000000,0
2013-06-27,360,27.05,27.05,27.05,27.05,1000000,0
2013-06-28,361,27.3,27.3,27.3,27.3,1000000,0
2013-07-01,364,28.15,28.15,28.15,28.15,1000000,0
2013-07-02,365,27.2,27.2,27.2,27.2,1000000,0
2013-07-03,366,25.25,25.25,25.25,25.25,1000000,0
2013-07-04,367,25.75,25.75,25.75,25.75,1000000,0
2013-07-05,368,25.65,25.65,25.65,25.65,1000000,0
2013-07-08,371,24.3,24.3,24.3,24.3,1000000,0
2013-07-09,372,24.35,24.35,24.35,24.35,1000000,0
2013-07-10,373,25.1,25.1,25.1,25.1,1000000,0
2013-07-11,374,25.75,25.75,25.75,25.75,1000000,0
2013-07-12,375,25.85,25.85,25.85,25.85,1000000,0
2013-07-15,378,26.5,26.5,26.5,26.5,1000000,0
2013-07-16,379,25.8,25.8,25.8,25.8,1000000,0
2013-07-17,380,24.9,24.9,24.9,24.9,1000000,0
2013-07-18,381,25.3,25.3,25.3,25.3,1000000,0
2013-07-19,382,24.5,24.5,24.5,24.5,1000000,0
2013-07-22,385,24.4,24.4,24.4,24.4,1000000,0
2013-07-23,386,24.2,24.2,24.2,24.2,1000000,0
2013-07-24,387,23.35,23.35,23.35,23.35,1000000,0
2013-07-25,388,22.9,22.9,22.9,22.9,1000000,0
2013-07-26,389,22.05,22.05,22.05,22.05,1000000,0
2013-07-29,392,20.85,20.85,20.85,20.85,1000000,0
2013-07-30,393,19.8,19.8,19.8,19.8,1000000,0
2013-07-31,394,19.55,19.55,19.55,19.55,1000000,0
2013-08-01,395,20.4,20.4,20.4,20.4,1000000,0
2013-08-02,396,19.7,19.7,19.7,19.7,1000000,0
2013-08-05,399,20.3,20.3,20.3,20.3,1000000,0
2013-08-06,400,19.45,19.45,19.45,19.45,1000000,0
2013-08-07,401,18.9,18.9,18.9,18.9,1000000,0
2013-08-08,402,20.2,20.2,20.2,20.2,1000000,0
2013-08-12,406,20.4,20.4,20.4,20.4,1000000,0
2013-08-13,407,21.9,21.9,21.9,21.9,1000000,0
2013-08-14,408,20.9,20.9,20.9,20.9,1000000,0
2013-08-16,410,19.7,19.7,19.7,19.7,1000000,0
2013-08-19,413,18.9,18.9,18.9,18.9,1000000,0
2013-08-20,414,18.5,18.5,18.5,18.5,1000000,0
2013-08-21,415,18.9,18.9,18.9,18.9,1000000,0
2013-08-22,416,19.15,19.15,19.15,19.15,1000000,0
2013-08-23,417,19.65,19.65,19.65,19.65,1000000,0
2013-08-26,420,20.05,20.05,20.05,20.05,1000000,0
2013-08-27,421,18.8,18.8,18.8,18.8,1000000,0
2013-08-28,422,18.9,18.9,18.9,18.9,1000000,0
2013-08-29,423,19.05,19.05,19.05,19.05,1000000,0
2013-08-30,424,19.1,19.1,19.1,19.1,1000000,0
2013-09-02,427,21.15,21.15,21.15,21.15,1000000,0
2013-09-03,428,20.7,20.7,20.7,20.7,1000000,0
2013-09-04,429,20.95,20.95,20.95,20.95,1000000,0
2013-09-05,430,23.4,23.4,23.4,23.4,1000000,0
2013-09-06,431,23.8,23.8,23.8,23.8,1000000,0
2013-09-10,435,23.6,23.6,23.6,23.6,1000000,0
2013-09-11,436,23.15,23.15,23.15,23.15,1000000,0
2013-09-12,437,23.05,23.05,23.05,23.05,1000000,0
2013-09-13,438,23.2,23.2,23.2,23.2,1000000,0
2013-09-16,441,23.25,23.25,23.25,23.25,1000000,0
2013-09-17,442,22.9,22.9,22.9,22.9,1000000,0
2013-09-18,443,22.7,22.7,22.7,22.7,1000000,0
2013-09-19,444,23.5,23.5,23.5,23.5,1000000,0
2013-09-20,445,23.95,23.95,23.95,23.95,1000000,0
2013-09-23,448,23.2,23.2,23.2,23.2,1000000,0
2013-09-24,449,22.95,22.95,22.95,22.95,1000000,0
2013-09-25,450,22.7,22.7,22.7,22.7,1000000,0
2013-09-26,451,22.65,22.65,22.65,22.65,1000000,0
2013-09-27,452,21.95,21.95,21.95,21.95,1000000,0
2013-09-30,455,20.95,20.95,20.95,20.95,1000000,0
2013-10-01,456,21.55,21.55,21.55,21.55,1000000,0
2013-10-03,458,21.75,21.75,21.75,21.75,1000000,0
2013-10-04,459,21.45,21.45,21.45,21.45,1000000,0
2013-10-07,462,23.25,23.25,23.25,23.25,1000000,0
2013-10-08,463,24.2,24.2,24.2,24.2,1000000,0
2013-10-09,464,25.3,25.3,25.3,25.3,1000000,0
2013-10-10,465,25.15,25.15,25.15,25.15,1000000,0
2013-10-11,466,25.2,25.2,25.2,25.2,1000000,0
2013-10-14,469,25.3,25.3,25.3,25.3,1000000,0
2013-10-15,470,24.55,24.55,24.55,24.55,1000000,0
2013-10-17,472,24.65,24.65,24.65,24.65,1000000,0
2013-10-18,473,24.75,24.75,24.75,24.75,1000000,0
2013-10-21,476,24.8,24.8,24.8,24.8,1000000,0
2013-10-22,477,25.6,25.6,25.6,25.6,1000000,0
2013-10-23,478,25.4,25.4,25.4,25.4,1000000,0
2013-10-24,479,27.4,27.4,27.4,27.4,1000000,0
2013-10-25,480,27.25,27.25,27.25,27.25,1000000,0
2013-10-28,483,25.95,25.95,25.95,25.95,1000000,0
2013-10-29,484,27.75,27.75,27.75,27.75,1000000,0
2013-10-30,485,26.85,26.85,26.85,26.85,1000000,0
2013-10-31,486,27.85,27.85,27.85,27.85,1000000,0
2013-11-01,487,28.45,28.45,28.45,28.45,1000000,0
2013-11-05,491,28.85,28.85,28.85,28.85,1000000,0
2013-11-06,492,28.25,28.25,28.25,28.25,1000000,0
2013-11-07,493,28.0,28.0,28.0,28.0,1000000,0
2013-11-08,494,28.1,28.1,28.1,28.1,1000000,0
2013-11-11,497,28.75,28.75,28.75,28.75,1000000,0
2013-11-12,498,28.0,28.0,28.0,28.0,1000000,0
2013-11-13,499,27.7,27.7,27.7,27.7,1000000,0
2013-11-15,500,28.0,28.0,28.0,28.0,1000000,0
2013-11-18,504,28.25,28.25,28.25,28.25,1000000,0
2013-11-19,505,28.15,28.15,28.15,28.15,1000000,0
2013-11-20,506,27.95,27.95,27.95,27.95,1000000,0
2013-11-21,507,26.95,26.95,26.95,26.95,1000000,0
2013-11-22,508,27.8,27.8,27.8,27.8,1000000,0
2013-11-25,511,28.15,28.15,28.15,28.15,1000000,0
2013-11-26,512,27.95,27.95,27.95,27.95,1000000,0
2013-11-27,513,27.4,27.4,27.4,27.4,1000000,0
2013-11-28,514,27.35,27.35,27.35,27.35,1000000,0
2013-11-29,515,28.8,28.8,28.8,28.8,1000000,0
2013-12-02,518,30.95,30.95,30.95,30.95,1000000,0
2013-12-03,519,30.4,30.4,30.4,30.4,1000000,0
2013-12-04,520,29.85,29.85,29.85,29.85,1000000,0
2013-12-05,521,29.75,29.75,29.75,29.75,1000000,0
2013-12-06,522,29.8,29.8,29.8,29.8,1000000,0
2013-12-09,525,30.45,30.45,30.45,30.45,1000000,0
2013-12-10,526,30.55,30.55,30.55,30.55,1000000,0
2013-12-11,527,29.55,29.55,29.55,29.55,1000000,0
2013-12-12,528,28.85,28.85,28.85,28.85,1000000,0
2013-12-13,529,27.9,27.9,27.9,27.9,1000000,0
2013-12-16,532,28.75,28.75,28.75,28.75,1000000,0
2013-12-17,533,27.65,27.65,27.65,27.65,1000000,0
2013-12-18,534,28.25,28.25,28.25,28.25,1000000,0
2013-12-19,535,27.65,27.65,27.65,27.65,1000000,0
2013-12-20,536,30.6,30.6,30.6,30.6,1000000,0
2013-12-23,539,29.85,29.85,29.85,29.85,1000000,0
2013-12-24,540,30.4,30.4,30.4,30.4,1000000,0
2013-12-26,542,30.55,30.55,30.55,30.55,1000000,0
2013-12-27,543,29.8,29.8,29.8,29.8,1000000,0
2013-12-30,546,29.25,29.25,29.25,29.25,1000000,0
2013-12-31,547,29.1,29.1,29.1,29.1,1000000,0
2014-01-01,548,29.6,29.6,29.6,29.6,1000000,0
2014-01-02,549,28.25,28.25,28.25,28.25,1000000,0
2014-01-03,550,29.0,29.0,29.0,29.0,1000000,0
2014-01-06,553,29.75,29.75,29.75,29.75,1000000,0
2014-01-07,554,29.1,29.1,29.1,29.1,1000000,0
2014-01-08,555,29.15,29.15,29.15,29.15,1000000,0
2014-01-09,556,28.7,28.7,28.7,28.7,1000000,0
2014-01-10,557,28.75,28.75,28.75,28.75,1000000,0
2014-01-13,560,28.6,28.6,28.6,28.6,1000000,0
2014-01-14,561,28.8,28.8,28.8,28.8,1000000,0
2014-01-15,562,28.65,28.65,28.65,28.65,1000000,0
2014-01-16,563,28.4,28.4,28.4,28.4,1000000,0
2014-01-17,564,28.5,28.5,28.5,28.5,1000000,0
2014-01-20,567,28.8,28.8,28.8,28.8,1000000,0
2014-01-21,568,28.7,28.7,28.7,28.7,1000000,0
2014-01-22,569,28.15,28.15,28.15,28.15,1000000,0
2014-01-23,570,27.2,27.2,27.2,27.2,1000000,0
2014-01-24,571,26.1,26.1,26.1,26.1,1000000,0
2014-01-27,574,24.75,24.75,24.75,24.75,1000000,0
2014-01-28,575,24.85,24.85,24.85,24.85,1000000,0
2014-01-29,576,24.5,24.5,24.5,24.5,1000000,0
2014-01-30,577,23.75,23.75,23.75,23.75,1000000,0
