Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,13.26,13.26,13.26,13.26,1,0
2012-07-03,1,13.185,13.185,13.185,13.185,1,0
2012-07-04,2,13.04,13.04,13.04,13.04,1,0
2012-07-05,3,13.005,13.005,13.005,13.005,1,0
2012-07-06,4,12.92,12.92,12.92,12.92,1,0
2012-07-09,7,12.6,12.6,12.6,12.6,1,0
2012-07-10,8,12.815,12.815,12.815,12.815,1,0
2012-07-11,9,12.525,12.525,12.525,12.525,1,0
2012-07-12,10,12.215,12.215,12.215,12.215,1,0
2012-07-13,11,12.12,12.12,12.12,12.12,1,0
2012-07-16,14,12.005,12.005,12.005,12.005,1,0
2012-07-17,15,11.825,11.825,11.825,11.825,1,0
2012-07-18,16,11.715,11.715,11.715,11.715,1,0
2012-07-19,17,11.535,11.535,11.535,11.535,1,0
2012-07-20,18,11.575,11.575,11.575,11.575,1,0
2012-07-23,21,11.34,11.34,11.34,11.34,1,0
2012-07-24,22,11.155,11.155,11.155,11.155,1,0
2012-07-25,23,11.2,11.2,11.2,11.2,1,0
2012-07-26,24,11.99,11.99,11.99,11.99,1,0
2012-07-27,25,12.015,12.015,12.015,12.015,1,0
2012-07-30,28,11.805,11.805,11.805,11.805,1,0
2012-07-31,29,12.095,12.095,12.095,12.095,1,0
2012-08-01,30,12.02,12.02,12.02,12.02,1,0
2012-08-02,31,12.275,12.275,12.275,12.275,1,0
2012-08-03,32,12.01,12.01,12.01,12.01,1,0
2012-08-06,35,12.2,12.2,12.2,12.2,1,0
2012-08-07,36,12.025,12.025,12.025,12.025,1,0
2012-08-08,37,12.07,12.07,12.07,12.07,1,0
2012-08-09,38,12.175,12.175,12.175,12.175,1,0
2012-08-10,39,12.02,12.02,12.02,12.02,1,0
2012-08-13,42,12.465,12.465,12.465,12.465,1,0
2012-08-14,43,12.305,12.305,12.305,12.305,1,0
2012-08-16,45,12.015,12.015,12.015,12.015,1,0
2012-08-17,46,12.0,12.0,12.0,12.0,1,0
2012-08-21,50,12.005,12.005,12.005,12.005,1,0
2012-08-22,51,12.0,12.0,12.0,12.0,1,0
2012-08-23,52,12.095,12.095,12.095,12.095,1,0
2012-08-24,53,12.0,12.0,12.0,12.0,1,0
2012-08-27,56,11.75,11.75,11.75,11.75,1,0
2012-08-28,57,11.76,11.76,11.76,11.76,1,0
2012-08-29,58,11.53,11.53,11.53,11.53,1,0
2012-08-30,59,11.5,11.5,11.5,11.5,1,0
2012-08-31,60,11.5,11.5,11.5,11.5,1,0
2012-09-03,63,11.61,11.61,11.61,11.61,1,0
2012-09-04,64,12.325,12.325,12.325,12.325,1,0
2012-09-05,65,11.5,11.5,11.5,11.5,1,0
2012-09-06,66,11.675,11.675,11.675,11.675,1,0
2012-09-07,67,11.96,11.96,11.96,11.96,1,0
2012-09-10,70,11.7,11.7,11.7,11.7,1,0
2012-09-11,71,11.61,11.61,11.61,11.61,1,0
2012-09-12,72,11.525,11.525,11.525,11.525,1,0
2012-09-13,73,11.4,11.4,11.4,11.4,1,0
2012-09-14,74,12.19,12.19,12.19,12.19,1,0
2012-09-17,77,12.1,12.1,12.1,12.1,1,0
2012-09-18,78,12.35,12.35,12.35,12.35,1,0
2012-09-20,80,12.025,12.025,12.025,12.025,1,0
2012-09-21,81,12.065,12.065,12.065,12.065,1,0
2012-09-24,84,11.735,11.735,11.735,11.735,1,0
2012-09-25,85,11.95,11.95,11.95,11.95,1,0
2012-09-26,86,12.01,12.01,12.01,12.01,1,0
2012-09-27,87,11.83,11.83,11.83,11.83,1,0
2012-09-28,88,11.8,11.8,11.8,11.8,1,0
2012-10-01,91,11.805,11.805,11.805,11.805,1,0
2012-10-03,93,11.9,11.9,11.9,11.9,1,0
2012-10-04,94,11.815,11.815,11.815,11.815,1,0
2012-10-05,95,11.72,11.72,11.72,11.72,1,0
2012-10-08,98,11.52,11.52,11.52,11.52,1,0
2012-10-09,99,12.035,12.035,12.035,12.035,1,0
2012-10-10,100,12.185,12.185,12.185,12.185,1,0
2012-10-11,101,12.205,12.205,12.205,12.205,1,0
2012-10-12,102,12.36,12.36,12.36,12.36,1,0
2012-10-15,105,11.9,11.9,11.9,11.9,1,0
2012-10-16,106,11.89,11.89,11.89,11.89,1,0
2012-10-17,107,11.54,11.54,11.54,11.54,1,0
2012-10-18,108,11.505,11.505,11.505,11.505,1,0
2012-10-19,109,11.2,11.2,11.2,11.2,1,0
2012-10-22,112,11.35,11.35,11.35,11.35,1,0
2012-10-23,113,11.505,11.505,11.505,11.505,1,0
2012-10-25,115,11.595,11.595,11.595,11.595,1,0
2012-10-26,116,11.405,11.405,11.405,11.405,1,0
2012-10-29,119,11.485,11.485,11.485,11.485,1,0
2012-10-30,120,11.47,11.47,11.47,11.47,1,0
2012-10-31,121,11.48,11.48,11.48,11.48,1,0
2012-11-01,122,11.27,11.27,11.27,11.27,1,0
2012-11-02,123,11.02,11.02,11.02,11.02,1,0
2012-11-05,126,11.095,11.095,11.095,11.095,1,0
2012-11-06,127,10.91,10.91,10.91,10.91,1,0
2012-11-07,128,11.0,11.0,11.0,11.0,1,0
2012-11-08,129,11.255,11.255,11.255,11.255,1,0
2012-11-09,130,11.0,11.0,11.0,11.0,1,0
2012-11-12,133,10.585,10.585,10.585,10.585,1,0
2012-11-13,134,11.015,11.015,11.015,11.015,1,0
2012-11-15,136,10.88,10.88,10.88,10.88,1,0
2012-11-16,137,10.57,10.57,10.57,10.57,1,0
2012-11-19,140,10.585,10.585,10.585,10.585,1,0
2012-11-20,141,10.315,10.315,10.315,10.315,1,0
2012-11-21,142,10.24,10.24,10.24,10.24,1,0
2012-11-22,143,10.3,10.3,10.3,10.3,1,0
2012-11-23,144,10.4,10.4,10.4,10.4,1,0
2012-11-26,147,10.37,10.37,10.37,10.37,1,0
2012-11-27,148,10.305,10.305,10.305,10.305,1,0
2012-11-29,150,10.65,10.65,10.65,10.65,1,0
2012-11-30,151,10.675,10.675,10.675,10.675,1,0
2012-12-03,154,10.56,10.56,10.56,10.56,1,0
2012-12-04,155,10.69,10.69,10.69,10.69,1,0
2012-12-05,156,10.615,10.615,10.615,10.615,1,0
