Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,34.25,34.25,34.25,34.25,1,0
2012-07-03,1,34.55,34.55,34.55,34.55,1,0
2012-07-04,2,35.25,35.25,35.25,35.25,1,0
2012-07-05,3,36.05,36.05,36.05,36.05,1,0
2012-07-06,4,35.7,35.7,35.7,35.7,1,0
2012-07-09,7,34.75,34.75,34.75,34.75,1,0
2012-07-10,8,35.1,35.1,35.1,35.1,1,0
2012-07-11,9,35.1,35.1,35.1,35.1,1,0
2012-07-12,10,34.95,34.95,34.95,34.95,1,0
2012-07-13,11,34.85,34.85,34.85,34.85,1,0
2012-07-16,14,34.5,34.5,34.5,34.5,1,0
2012-07-17,15,34.0,34.0,34.0,34.0,1,0
2012-07-18,16,34.1,34.1,34.1,34.1,1,0
2012-07-19,17,34.05,34.05,34.05,34.05,1,0
2012-07-20,18,33.8,33.8,33.8,33.8,1,0
2012-07-23,21,33.5,33.5,33.5,33.5,1,0
2012-07-24,22,33.55,33.55,33.55,33.55,1,0
2012-07-25,23,32.5,32.5,32.5,32.5,1,0
2012-07-26,24,31.2,31.2,31.2,31.2,1,0
2012-07-27,25,30.6,30.6,30.6,30.6,1,0
2012-07-30,28,31.65,31.65,31.65,31.65,1,0
2012-07-31,29,31.75,31.75,31.75,31.75,1,0
2012-08-01,30,32.2,32.2,32.2,32.2,1,0
2012-08-02,31,32.45,32.45,32.45,32.45,1,0
2012-08-03,32,32.4,32.4,32.4,32.4,1,0
2012-08-06,35,32.75,32.75,32.75,32.75,1,0
2012-08-07,36,32.5,32.5,32.5,32.5,1,0
2012-08-08,37,32.2,32.2,32.2,32.2,1,0
2012-08-09,38,31.4,31.4,31.4,31.4,1,0
2012-08-10,39,31.65,31.65,31.65,31.65,1,0
2012-08-13,42,31.75,31.75,31.75,31.75,1,0
2012-08-14,43,32.0,32.0,32.0,32.0,1,0
2012-08-16,45,31.85,31.85,31.85,31.85,1,0
2012-08-17,46,31.5,31.5,31.5,31.5,1,0
2012-08-21,50,31.75,31.75,31.75,31.75,1,0
2012-08-22,51,31.9,31.9,31.9,31.9,1,0
2012-08-23,52,31.4,31.4,31.4,31.4,1,0
2012-08-24,53,31.05,31.05,31.05,31.05,1,0
2012-08-27,56,28.5,28.5,28.5,28.5,1,0
2012-08-28,57,26.8,26.8,26.8,26.8,1,0
2012-08-29,58,26.3,26.3,26.3,26.3,1,0
2012-08-30,59,25.05,25.05,25.05,25.05,1,0
2012-08-31,60,25.55,25.55,25.55,25.55,1,0
2012-09-03,63,26.0,26.0,26.0,26.0,1,0
2012-09-04,64,26.0,26.0,26.0,26.0,1,0
2012-09-05,65,26.6,26.6,26.6,26.6,1,0
2012-09-06,66,26.6,26.6,26.6,26.6,1,0
2012-09-07,67,28.6,28.6,28.6,28.6,1,0
2012-09-10,70,29.6,29.6,29.6,29.6,1,0
2012-09-11,71,30.2,30.2,30.2,30.2,1,0
2012-09-12,72,29.85,29.85,29.85,29.85,1,0
2012-09-13,73,30.2,30.2,30.2,30.2,1,0
2012-09-14,74,30.2,30.2,30.2,30.2,1,0
2012-09-17,77,31.8,31.8,31.8,31.8,1,0
2012-09-18,78,33.65,33.65,33.65,33.65,1,0
2012-09-20,80,32.0,32.0,32.0,32.0,1,0
2012-09-21,81,33.95,33.95,33.95,33.95,1,0
2012-09-24,84,35.4,35.4,35.4,35.4,1,0
2012-09-25,85,34.75,34.75,34.75,34.75,1,0
2012-09-26,86,34.6,34.6,34.6,34.6,1,0
2012-09-27,87,34.25,34.25,34.25,34.25,1,0
2012-09-28,88,35.25,35.25,35.25,35.25,1,0
2012-10-01,91,35.35,35.35,35.35,35.35,1,0
2012-10-03,93,35.15,35.15,35.15,35.15,1,0
2012-10-04,94,35.4,35.4,35.4,35.4,1,0
2012-10-05,95,35.25,35.25,35.25,35.25,1,0
2012-10-08,98,34.35,34.35,34.35,34.35,1,0
2012-10-09,99,34.2,34.2,34.2,34.2,1,0
2012-10-10,100,33.05,33.05,33.05,33.05,1,0
2012-10-11,101,36.35,36.35,36.35,36.35,1,0
2012-10-12,102,37.85,37.85,37.85,37.85,1,0
2012-10-15,105,37.15,37.15,37.15,37.15,1,0
2012-10-16,106,36.25,36.25,36.25,36.25,1,0
2012-10-17,107,36.5,36.5,36.5,36.5,1,0
