Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,134.55,134.55,134.55,134.55,1000000,0
2012-07-03,1,134.0,134.0,134.0,134.0,1000000,0
2012-07-04,2,136.45,136.45,136.45,136.45,1000000,0
2012-07-05,3,136.3,136.3,136.3,136.3,1000000,0
2012-07-06,4,134.1,134.1,134.1,134.1,1000000,0
2012-07-09,7,131.05,131.05,131.05,131.05,1000000,0
2012-07-10,8,135.55,135.55,135.55,135.55,1000000,0
2012-07-11,9,135.55,135.55,135.55,135.55,1000000,0
2012-07-12,10,131.35,131.35,131.35,131.35,1000000,0
2012-07-13,11,131.8,131.8,131.8,131.8,1000000,0
2012-07-16,14,129.65,129.65,129.65,129.65,1000000,0
2012-07-17,15,128.4,128.4,128.4,128.4,1000000,0
2012-07-18,16,125.35,125.35,125.35,125.35,1000000,0
2012-07-19,17,127.15,127.15,127.15,127.15,1000000,0
2012-07-20,18,126.5,126.5,126.5,126.5,1000000,0
2012-07-23,21,125.7,125.7,125.7,125.7,1000000,0
2012-07-24,22,128.1,128.1,128.1,128.1,1000000,0
2012-07-25,23,126.4,126.4,126.4,126.4,1000000,0
2012-07-26,24,126.15,126.15,126.15,126.15,1000000,0
2012-07-27,25,125.1,125.1,125.1,125.1,1000000,0
2012-07-30,28,124.55,124.55,124.55,124.55,1000000,0
2012-07-31,29,119.85,119.85,119.85,119.85,1000000,0
2012-08-01,30,119.75,119.75,119.75,119.75,1000000,0
2012-08-02,31,119.75,119.75,119.75,119.75,1000000,0
2012-08-03,32,120.45,120.45,120.45,120.45,1000000,0
2012-08-06,35,120.6,120.6,120.6,120.6,1000000,0
2012-08-07,36,119.85,119.85,119.85,119.85,1000000,0
2012-08-08,37,119.85,119.85,119.85,119.85,1000000,0
2012-08-09,38,119.0,119.0,119.0,119.0,1000000,0
2012-08-10,39,120.8,120.8,120.8,120.8,1000000,0
2012-08-13,42,120.75,120.75,120.75,120.75,1000000,0
2012-08-14,43,120.3,120.3,120.3,120.3,1000000,0
2012-08-16,45,119.25,119.25,119.25,119.25,1000000,0
2012-08-17,46,120.25,120.25,120.25,120.25,1000000,0
2012-08-21,50,119.5,119.5,119.5,119.5,1000000,0
2012-08-22,51,118.35,118.35,118.35,118.35,1000000,0
2012-08-23,52,118.7,118.7,118.7,118.7,1000000,0
2012-08-24,53,120.0,120.0,120.0,120.0,1000000,0
2012-08-27,56,120.5,120.5,120.5,120.5,1000000,0
2012-08-28,57,117.75,117.75,117.75,117.75,1000000,0
2012-08-29,58,115.85,115.85,115.85,115.85,1000000,0
2012-08-30,59,119.7,119.7,119.7,119.7,1000000,0
2012-08-31,60,117.9,117.9,117.9,117.9,1000000,0
2012-09-03,63,117.25,117.25,117.25,117.25,1000000,0
2012-09-04,64,116.3,116.3,116.3,116.3,1000000,0
2012-09-05,65,115.4,115.4,115.4,115.4,1000000,0
2012-09-06,66,116.0,116.0,116.0,116.0,1000000,0
2012-09-07,67,116.4,116.4,116.4,116.4,1000000,0
2012-09-10,70,116.55,116.55,116.55,116.55,1000000,0
2012-09-11,71,115.8,115.8,115.8,115.8,1000000,0
2012-09-12,72,117.5,117.5,117.5,117.5,1000000,0
2012-09-13,73,116.1,116.1,116.1,116.1,1000000,0
2012-09-14,74,117.55,117.55,117.55,117.55,1000000,0
2012-09-17,77,119.65,119.65,119.65,119.65,1000000,0
2012-09-18,78,119.8,119.8,119.8,119.8,1000000,0
2012-09-20,80,118.45,118.45,118.45,118.45,1000000,0
2012-09-21,81,115.9,115.9,115.9,115.9,1000000,0
2012-09-24,84,118.35,118.35,118.35,118.35,1000000,0
2012-09-25,85,116.25,116.25,116.25,116.25,1000000,0
2012-09-26,86,114.05,114.05,114.05,114.05,1000000,0
2012-09-27,87,114.25,114.25,114.25,114.25,1000000,0
2012-09-28,88,118.8,118.8,118.8,118.8,1000000,0
2012-10-01,91,118.45,118.45,118.45,118.45,1000000,0
2012-10-03,93,116.55,116.55,116.55,116.55,1000000,0
2012-10-04,94,116.9,116.9,116.9,116.9,1000000,0
2012-10-05,95,114.3,114.3,114.3,114.3,1000000,0
2012-10-08,98,112.6,112.6,112.6,112.6,1000000,0
2012-10-09,99,112.2,112.2,112.2,112.2,1000000,0
2012-10-10,100,111.15,111.15,111.15,111.15,1000000,0
2012-10-11,101,115.0,115.0,115.0,115.0,1000000,0
2012-10-12,102,112.95,112.95,112.95,112.95,1000000,0
2012-10-15,105,113.75,113.75,113.75,113.75,1000000,0
2012-10-16,106,111.95,111.95,111.95,111.95,1000000,0
2012-10-17,107,111.2,111.2,111.2,111.2,1000000,0
2012-10-18,108,112.1,112.1,112.1,112.1,1000000,0
2012-10-19,109,111.05,111.05,111.05,111.05,1000000,0
2012-10-22,112,111.55,111.55,111.55,111.55,1000000,0
2012-10-23,113,110.65,110.65,110.65,110.65,1000000,0
2012-10-25,115,111.4,111.4,111.4,111.4,1000000,0
2012-10-26,116,109.75,109.75,109.75,109.75,1000000,0
2012-10-29,119,111.1,111.1,111.1,111.1,1000000,0
2012-10-30,120,112.8,112.8,112.8,112.8,1000000,0
2012-10-31,121,114.05,114.05,114.05,114.05,1000000,0
2012-11-01,122,120.65,120.65,120.65,120.65,1000000,0
2012-11-02,123,119.35,119.35,119.35,119.35,1000000,0
2012-11-05,126,119.15,119.15,119.15,119.15,1000000,0
2012-11-06,127,119.1,119.1,119.1,119.1,1000000,0
2012-11-07,128,119.4,119.4,119.4,119.4,1000000,0
2012-11-08,129,119.3,119.3,119.3,119.3,1000000,0
2012-11-09,130,117.25,117.25,117.25,117.25,1000000,0
2012-11-12,133,123.8,123.8,123.8,123.8,1000000,0
2012-11-13,134,130.95,130.95,130.95,130.95,1000000,0
2012-11-15,136,122.5,122.5,122.5,122.5,1000000,0
2012-11-16,137,118.6,118.6,118.6,118.6,1000000,0
2012-11-19,140,120.35,120.35,120.35,120.35,1000000,0
2012-11-20,141,118.55,118.55,118.55,118.55,1000000,0
2012-11-21,142,117.6,117.6,117.6,117.6,1000000,0
2012-11-22,143,118.85,118.85,118.85,118.85,1000000,0
2012-11-23,144,120.55,120.55,120.55,120.55,1000000,0
2012-11-26,147,121.05,121.05,121.05,121.05,1000000,0
2012-11-27,148,131.7,131.7,131.7,131.7,1000000,0
2012-11-29,150,133.85,133.85,133.85,133.85,1000000,0
2012-11-30,151,131.9,131.9,131.9,131.9,1000000,0
2012-12-03,154,128.45,128.45,128.45,128.45,1000000,0
2012-12-04,155,127.45,127.45,127.45,127.45,1000000,0
2012-12-05,156,128.75,128.75,128.75,128.75,1000000,0
2012-12-06,157,129.05,129.05,129.05,129.05,1000000,0
2012-12-07,158,127.85,127.85,127.85,127.85,1000000,0
2012-12-10,161,127.2,127.2,127.2,127.2,1000000,0
2012-12-11,162,123.85,123.85,123.85,123.85,1000000,0
2012-12-12,163,125.75,125.75,125.75,125.75,1000000,0
2012-12-13,164,124.0,124.0,124.0,124.0,1000000,0
2012-12-14,165,121.8,121.8,121.8,121.8,1000000,0
2012-12-17,168,123.15,123.15,123.15,123.15,1000000,0
2012-12-18,169,128.25,128.25,128.25,128.25,1000000,0
2012-12-19,170,127.65,127.65,127.65,127.65,1000000,0
2012-12-20,171,124.9,124.9,124.9,124.9,1000000,0
2012-12-21,172,122.35,122.35,122.35,122.35,1000000,0
2012-12-24,175,123.55,123.55,123.55,123.55,1000000,0
2012-12-26,177,127.35,127.35,127.35,127.35,1000000,0
2012-12-27,178,125.2,125.2,125.2,125.2,1000000,0
2012-12-28,179,126.55,126.55,126.55,126.55,1000000,0
2012-12-31,182,128.55,128.55,128.55,128.55,1000000,0
2013-01-01,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-02,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-03,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-04,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-07,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-08,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-09,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-10,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-11,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-14,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-15,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-16,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-17,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-18,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-21,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-22,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-23,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-24,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-25,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-28,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-29,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-30,183,132.4,132.4,132.4,132.4,1000000,0
2013-01-31,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-01,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-04,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-05,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-06,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-07,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-08,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-11,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-12,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-13,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-14,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-15,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-18,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-19,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-20,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-21,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-22,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-25,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-26,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-27,183,132.4,132.4,132.4,132.4,1000000,0
2013-02-28,183,132.4,132.4,132.4,132.4,1000000,0
2013-03-01,183,132.4,132.4,132.4,132.4,1000000,0
2013-03-04,183,132.4,132.4,132.4,132.4,1000000,0
