Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,456.9,456.9,456.9,456.9,1000000,0
2012-07-03,1,450.35,450.35,450.35,450.35,1000000,0
2012-07-04,2,466.15,466.15,466.15,466.15,1000000,0
2012-07-05,3,470.65,470.65,470.65,470.65,1000000,0
2012-07-06,4,455.6,455.6,455.6,455.6,1000000,0
2012-07-09,7,442.95,442.95,442.95,442.95,1000000,0
2012-07-10,8,454.75,454.75,454.75,454.75,1000000,0
2012-07-11,9,452.45,452.45,452.45,452.45,1000000,0
2012-07-12,10,444.9,444.9,444.9,444.9,1000000,0
2012-07-13,11,431.1,431.1,431.1,431.1,1000000,0
2012-07-16,14,418.9,418.9,418.9,418.9,1000000,0
2012-07-17,15,415.65,415.65,415.65,415.65,1000000,0
2012-07-18,16,426.55,426.55,426.55,426.55,1000000,0
2012-07-19,17,425.55,425.55,425.55,425.55,1000000,0
2012-07-20,18,426.6,426.6,426.6,426.6,1000000,0
2012-07-23,21,415.05,415.05,415.05,415.05,1000000,0
2012-07-24,22,414.75,414.75,414.75,414.75,1000000,0
2012-07-25,23,395.8,395.8,395.8,395.8,1000000,0
2012-07-26,24,392.75,392.75,392.75,392.75,1000000,0
2012-07-27,25,394.85,394.85,394.85,394.85,1000000,0
2012-07-30,28,403.4,403.4,403.4,403.4,1000000,0
2012-07-31,29,398.65,398.65,398.65,398.65,1000000,0
2012-08-01,30,400.0,400.0,400.0,400.0,1000000,0
2012-08-02,31,405.15,405.15,405.15,405.15,1000000,0
2012-08-03,32,396.35,396.35,396.35,396.35,1000000,0
2012-08-06,35,399.7,399.7,399.7,399.7,1000000,0
2012-08-07,36,407.15,407.15,407.15,407.15,1000000,0
2012-08-08,37,411.55,411.55,411.55,411.55,1000000,0
2012-08-09,38,407.85,407.85,407.85,407.85,1000000,0
2012-08-10,39,410.1,410.1,410.1,410.1,1000000,0
2012-08-13,42,407.6,407.6,407.6,407.6,1000000,0
2012-08-14,43,418.0,418.0,418.0,418.0,1000000,0
2012-08-16,45,418.55,418.55,418.55,418.55,1000000,0
2012-08-17,46,401.45,401.45,401.45,401.45,1000000,0
2012-08-21,50,404.4,404.4,404.4,404.4,1000000,0
2012-08-22,51,404.05,404.05,404.05,404.05,1000000,0
2012-08-23,52,407.8,407.8,407.8,407.8,1000000,0
2012-08-24,53,396.85,396.85,396.85,396.85,1000000,0
2012-08-27,56,377.55,377.55,377.55,377.55,1000000,0
2012-08-28,57,359.15,359.15,359.15,359.15,1000000,0
2012-08-29,58,359.6,359.6,359.6,359.6,1000000,0
2012-08-30,59,352.9,352.9,352.9,352.9,1000000,0
2012-08-31,60,352.15,352.15,352.15,352.15,1000000,0
2012-09-03,63,344.5,344.5,344.5,344.5,1000000,0
2012-09-04,64,352.95,352.95,352.95,352.95,1000000,0
2012-09-05,65,335.8,335.8,335.8,335.8,1000000,0
2012-09-06,66,342.6,342.6,342.6,342.6,1000000,0
2012-09-07,67,347.35,347.35,347.35,347.35,1000000,0
2012-09-10,70,344.25,344.25,344.25,344.25,1000000,0
2012-09-11,71,333.55,333.55,333.55,333.55,1000000,0
2012-09-12,72,346.65,346.65,346.65,346.65,1000000,0
2012-09-13,73,341.9,341.9,341.9,341.9,1000000,0
2012-09-14,74,373.2,373.2,373.2,373.2,1000000,0
2012-09-17,77,394.65,394.65,394.65,394.65,1000000,0
2012-09-18,78,405.15,405.15,405.15,405.15,1000000,0
2012-09-20,80,400.6,400.6,400.6,400.6,1000000,0
2012-09-21,81,426.9,426.9,426.9,426.9,1000000,0
2012-09-24,84,444.6,444.6,444.6,444.6,1000000,0
2012-09-25,85,425.05,425.05,425.05,425.05,1000000,0
2012-09-26,86,423.95,423.95,423.95,423.95,1000000,0
2012-09-27,87,425.3,425.3,425.3,425.3,1000000,0
2012-09-28,88,427.15,427.15,427.15,427.15,1000000,0
2012-10-01,91,436.7,436.7,436.7,436.7,1000000,0
2012-10-03,93,415.4,415.4,415.4,415.4,1000000,0
2012-10-04,94,416.2,416.2,416.2,416.2,1000000,0
2012-10-05,95,416.4,416.4,416.4,416.4,1000000,0
2012-10-08,98,420.1,420.1,420.1,420.1,1000000,0
2012-10-09,99,424.35,424.35,424.35,424.35,1000000,0
2012-10-10,100,416.1,416.1,416.1,416.1,1000000,0
2012-10-11,101,418.35,418.35,418.35,418.35,1000000,0
2012-10-12,102,418.0,418.0,418.0,418.0,1000000,0
2012-10-15,105,421.8,421.8,421.8,421.8,1000000,0
2012-10-16,106,412.35,412.35,412.35,412.35,1000000,0
2012-10-17,107,412.8,412.8,412.8,412.8,1000000,0
2012-10-18,108,417.15,417.15,417.15,417.15,1000000,0
2012-10-19,109,407.5,407.5,407.5,407.5,1000000,0
2012-10-22,112,400.45,400.45,400.45,400.45,1000000,0
2012-10-23,113,390.75,390.75,390.75,390.75,1000000,0
2012-10-25,115,387.3,387.3,387.3,387.3,1000000,0
2012-10-26,116,386.1,386.1,386.1,386.1,1000000,0
2012-10-29,119,388.5,388.5,388.5,388.5,1000000,0
2012-10-30,120,379.85,379.85,379.85,379.85,1000000,0
2012-10-31,121,388.35,388.35,388.35,388.35,1000000,0
2012-11-01,122,391.95,391.95,391.95,391.95,1000000,0
2012-11-02,123,388.85,388.85,388.85,388.85,1000000,0
