Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,375.3,375.3,375.3,375.3,1000000,0
2012-07-03,1,376.5,376.5,376.5,376.5,1000000,0
2012-07-04,2,385.1,385.1,385.1,385.1,1000000,0
2012-07-05,3,392.6,392.6,392.6,392.6,1000000,0
2012-07-06,4,386.95,386.95,386.95,386.95,1000000,0
2012-07-09,7,392.35,392.35,392.35,392.35,1000000,0
2012-07-10,8,391.25,391.25,391.25,391.25,1000000,0
2012-07-11,9,389.5,389.5,389.5,389.5,1000000,0
2012-07-12,10,387.35,387.35,387.35,387.35,1000000,0
2012-07-13,11,391.7,391.7,391.7,391.7,1000000,0
2012-07-16,14,391.25,391.25,391.25,391.25,1000000,0
2012-07-17,15,384.5,384.5,384.5,384.5,1000000,0
2012-07-18,16,389.8,389.8,389.8,389.8,1000000,0
2012-07-19,17,389.95,389.95,389.95,389.95,1000000,0
2012-07-20,18,389.65,389.65,389.65,389.65,1000000,0
2012-07-23,21,387.5,387.5,387.5,387.5,1000000,0
2012-07-24,22,386.15,386.15,386.15,386.15,1000000,0
2012-07-25,23,385.95,385.95,385.95,385.95,1000000,0
2012-07-26,24,327.05,327.05,327.05,327.05,1000000,0
2012-07-27,25,320.45,320.45,320.45,320.45,1000000,0
2012-07-30,28,303.4,303.4,303.4,303.4,1000000,0
2012-07-31,29,305.15,305.15,305.15,305.15,1000000,0
2012-08-01,30,306.05,306.05,306.05,306.05,1000000,0
2012-08-02,31,311.65,311.65,311.65,311.65,1000000,0
2012-08-03,32,310.25,310.25,310.25,310.25,1000000,0
2012-08-06,35,311.7,311.7,311.7,311.7,1000000,0
2012-08-07,36,312.75,312.75,312.75,312.75,1000000,0
2012-08-08,37,308.55,308.55,308.55,308.55,1000000,0
2012-08-09,38,312.9,312.9,312.9,312.9,1000000,0
2012-08-10,39,312.45,312.45,312.45,312.45,1000000,0
2012-08-13,42,310.5,310.5,310.5,310.5,1000000,0
2012-08-14,43,309.6,309.6,309.6,309.6,1000000,0
2012-08-16,45,306.1,306.1,306.1,306.1,1000000,0
2012-08-17,46,301.05,301.05,301.05,301.05,1000000,0
2012-08-21,50,295.05,295.05,295.05,295.05,1000000,0
2012-08-22,51,293.1,293.1,293.1,293.1,1000000,0
2012-08-23,52,296.1,296.1,296.1,296.1,1000000,0
2012-08-24,53,299.35,299.35,299.35,299.35,1000000,0
2012-08-27,56,292.2,292.2,292.2,292.2,1000000,0
2012-08-28,57,290.0,290.0,290.0,290.0,1000000,0
2012-08-29,58,289.05,289.05,289.05,289.05,1000000,0
2012-08-30,59,291.0,291.0,291.0,291.0,1000000,0
2012-08-31,60,288.05,288.05,288.05,288.05,1000000,0
2012-09-03,63,290.45,290.45,290.45,290.45,1000000,0
2012-09-04,64,294.45,294.45,294.45,294.45,1000000,0
2012-09-05,65,292.15,292.15,292.15,292.15,1000000,0
2012-09-06,66,290.65,290.65,290.65,290.65,1000000,0
2012-09-07,67,292.1,292.1,292.1,292.1,1000000,0
2012-09-10,70,292.8,292.8,292.8,292.8,1000000,0
2012-09-11,71,291.15,291.15,291.15,291.15,1000000,0
2012-09-12,72,293.55,293.55,293.55,293.55,1000000,0
2012-09-13,73,293.9,293.9,293.9,293.9,1000000,0
2012-09-14,74,297.2,297.2,297.2,297.2,1000000,0
2012-09-17,77,301.75,301.75,301.75,301.75,1000000,0
2012-09-18,78,301.1,301.1,301.1,301.1,1000000,0
2012-09-20,80,295.65,295.65,295.65,295.65,1000000,0
2012-09-21,81,293.4,293.4,293.4,293.4,1000000,0
2012-09-24,84,304.15,304.15,304.15,304.15,1000000,0
2012-09-25,85,306.45,306.45,306.45,306.45,1000000,0
2012-09-26,86,305.45,305.45,305.45,305.45,1000000,0
2012-09-27,87,304.3,304.3,304.3,304.3,1000000,0
2012-09-28,88,305.45,305.45,305.45,305.45,1000000,0
2012-10-01,91,314.05,314.05,314.05,314.05,1000000,0
2012-10-03,93,317.85,317.85,317.85,317.85,1000000,0
2012-10-04,94,317.7,317.7,317.7,317.7,1000000,0
2012-10-05,95,316.0,316.0,316.0,316.0,1000000,0
2012-10-08,98,309.7,309.7,309.7,309.7,1000000,0
2012-10-09,99,308.0,308.0,308.0,308.0,1000000,0
2012-10-10,100,301.8,301.8,301.8,301.8,1000000,0
2012-10-11,101,300.05,300.05,300.05,300.05,1000000,0
2012-10-12,102,300.15,300.15,300.15,300.15,1000000,0
2012-10-15,105,293.25,293.25,293.25,293.25,1000000,0
2012-10-16,106,292.2,292.2,292.2,292.2,1000000,0
2012-10-17,107,296.35,296.35,296.35,296.35,1000000,0
2012-10-18,108,292.15,292.15,292.15,292.15,1000000,0
2012-10-19,109,292.2,292.2,292.2,292.2,1000000,0
2012-10-22,112,294.65,294.65,294.65,294.65,1000000,0
2012-10-23,113,293.3,293.3,293.3,293.3,1000000,0
2012-10-25,115,293.2,293.2,293.2,293.2,1000000,0
2012-10-26,116,293.05,293.05,293.05,293.05,1000000,0
2012-10-29,119,295.7,295.7,295.7,295.7,1000000,0
2012-10-30,120,294.2,294.2,294.2,294.2,1000000,0
2012-10-31,121,294.0,294.0,294.0,294.0,1000000,0
2012-11-01,122,292.8,292.8,292.8,292.8,1000000,0
2012-11-02,123,291.15,291.15,291.15,291.15,1000000,0
2012-11-05,126,289.35,289.35,289.35,289.35,1000000,0
2012-11-06,127,290.15,290.15,290.15,290.15,1000000,0
2012-11-07,128,293.45,293.45,293.45,293.45,1000000,0
2012-11-08,129,291.95,291.95,291.95,291.95,1000000,0
2012-11-09,130,292.15,292.15,292.15,292.15,1000000,0
2012-11-12,133,285.65,285.65,285.65,285.65,1000000,0
2012-11-13,134,285.0,285.0,285.0,285.0,1000000,0
2012-11-15,136,282.85,282.85,282.85,282.85,1000000,0
2012-11-16,137,286.1,286.1,286.1,286.1,1000000,0
2012-11-19,140,291.4,291.4,291.4,291.4,1000000,0
2012-11-20,141,287.5,287.5,287.5,287.5,1000000,0
2012-11-21,142,284.5,284.5,284.5,284.5,1000000,0
2012-11-22,143,283.2,283.2,283.2,283.2,1000000,0
2012-11-23,144,285.15,285.15,285.15,285.15,1000000,0
2012-11-26,147,279.1,279.1,279.1,279.1,1000000,0
2012-11-27,148,273.0,273.0,273.0,273.0,1000000,0
2012-11-29,150,256.9,256.9,256.9,256.9,1000000,0
2012-11-30,151,260.95,260.95,260.95,260.95,1000000,0
2012-12-03,154,265.5,265.5,265.5,265.5,1000000,0
2012-12-04,155,273.05,273.05,273.05,273.05,1000000,0
2012-12-05,156,280.85,280.85,280.85,280.85,1000000,0
2012-12-06,157,291.6,291.6,291.6,291.6,1000000,0
2012-12-07,158,294.85,294.85,294.85,294.85,1000000,0
2012-12-10,161,293.2,293.2,293.2,293.2,1000000,0
2012-12-11,162,303.0,303.0,303.0,303.0,1000000,0
2012-12-12,163,303.85,303.85,303.85,303.85,1000000,0
2012-12-13,164,301.55,301.55,301.55,301.55,1000000,0
2012-12-14,165,301.1,301.1,301.1,301.1,1000000,0
2012-12-17,168,298.8,298.8,298.8,298.8,1000000,0
2012-12-18,169,300.95,300.95,300.95,300.95,1000000,0
2012-12-19,170,298.2,298.2,298.2,298.2,1000000,0
2012-12-20,171,296.4,296.4,296.4,296.4,1000000,0
2012-12-21,172,291.95,291.95,291.95,291.95,1000000,0
2012-12-24,175,288.85,288.85,288.85,288.85,1000000,0
2012-12-26,177,282.15,282.15,282.15,282.15,1000000,0
2012-12-27,178,279.05,279.05,279.05,279.05,1000000,0
2012-12-28,179,280.15,280.15,280.15,280.15,1000000,0
2012-12-31,182,281.6,281.6,281.6,281.6,1000000,0
2013-01-01,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-02,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-03,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-04,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-07,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-08,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-09,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-10,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-11,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-14,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-15,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-16,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-17,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-18,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-21,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-22,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-23,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-24,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-25,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-28,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-29,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-30,183,281.6,281.6,281.6,281.6,1000000,0
2013-01-31,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-01,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-04,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-05,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-06,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-07,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-08,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-11,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-12,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-13,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-14,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-15,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-18,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-19,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-20,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-21,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-22,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-25,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-26,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-27,183,281.6,281.6,281.6,281.6,1000000,0
2013-02-28,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-01,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-04,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-05,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-06,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-07,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-08,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-11,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-12,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-13,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-14,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-15,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-18,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-19,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-20,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-21,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-22,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-25,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-26,183,281.6,281.6,281.6,281.6,1000000,0
2013-03-28,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-01,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-02,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-03,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-04,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-05,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-08,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-09,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-10,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-11,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-12,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-15,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-16,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-17,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-18,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-22,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-23,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-25,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-26,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-29,183,281.6,281.6,281.6,281.6,1000000,0
2013-04-30,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-02,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-03,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-06,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-07,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-08,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-09,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-10,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-13,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-14,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-15,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-16,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-17,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-20,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-21,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-22,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-23,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-24,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-27,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-28,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-29,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-30,183,281.6,281.6,281.6,281.6,1000000,0
2013-05-31,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-03,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-04,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-05,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-06,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-07,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-10,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-11,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-12,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-13,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-14,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-17,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-18,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-19,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-20,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-21,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-24,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-25,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-26,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-27,183,281.6,281.6,281.6,281.6,1000000,0
2013-06-28,183,281.6,281.6,281.6,281.6,1000000,0
2013-07-01,364,124.35,124.35,124.35,124.35,1000000,0
2013-07-02,365,125.15,125.15,125.15,125.15,1000000,0
2013-07-03,366,125.2,125.2,125.2,125.2,1000000,0
2013-07-04,367,123.35,123.35,123.35,123.35,1000000,0
2013-07-05,368,124.25,124.25,124.25,124.25,1000000,0
2013-07-08,371,121.4,121.4,121.4,121.4,1000000,0
2013-07-09,372,120.6,120.6,120.6,120.6,1000000,0
2013-07-10,373,120.95,120.95,120.95,120.95,1000000,0
2013-07-11,374,121.25,121.25,121.25,121.25,1000000,0
2013-07-12,375,121.3,121.3,121.3,121.3,1000000,0
2013-07-15,378,122.95,122.95,122.95,122.95,1000000,0
2013-07-16,379,120.25,120.25,120.25,120.25,1000000,0
2013-07-17,380,118.3,118.3,118.3,118.3,1000000,0
2013-07-18,381,120.6,120.6,120.6,120.6,1000000,0
2013-07-19,382,118.1,118.1,118.1,118.1,1000000,0
2013-07-22,385,119.45,119.45,119.45,119.45,1000000,0
2013-07-23,386,117.6,117.6,117.6,117.6,1000000,0
2013-07-24,387,114.25,114.25,114.25,114.25,1000000,0
2013-07-25,388,113.55,113.55,113.55,113.55,1000000,0
2013-07-26,389,111.45,111.45,111.45,111.45,1000000,0
2013-07-29,392,109.65,109.65,109.65,109.65,1000000,0
2013-07-30,393,110.85,110.85,110.85,110.85,1000000,0
2013-07-31,394,105.3,105.3,105.3,105.3,1000000,0
2013-08-01,395,105.0,105.0,105.0,105.0,1000000,0
2013-08-02,396,103.25,103.25,103.25,103.25,1000000,0
2013-08-05,399,96.3,96.3,96.3,96.3,1000000,0
2013-08-06,400,95.7,95.7,95.7,95.7,1000000,0
2013-08-07,401,99.6,99.6,99.6,99.6,1000000,0
2013-08-08,402,98.95,98.95,98.95,98.95,1000000,0
2013-08-12,406,103.35,103.35,103.35,103.35,1000000,0
2013-08-13,407,101.8,101.8,101.8,101.8,1000000,0
2013-08-14,408,103.45,103.45,103.45,103.45,1000000,0
2013-08-16,410,101.45,101.45,101.45,101.45,1000000,0
2013-08-19,413,94.9,94.9,94.9,94.9,1000000,0
2013-08-20,414,96.4,96.4,96.4,96.4,1000000,0
2013-08-21,415,93.95,93.95,93.95,93.95,1000000,0
2013-08-22,416,95.75,95.75,95.75,95.75,1000000,0
2013-08-23,417,107.3,107.3,107.3,107.3,1000000,0
2013-08-26,420,109.2,109.2,109.2,109.2,1000000,0
2013-08-27,421,104.8,104.8,104.8,104.8,1000000,0
2013-08-28,422,106.95,106.95,106.95,106.95,1000000,0
2013-08-29,423,107.5,107.5,107.5,107.5,1000000,0
2013-08-30,424,106.9,106.9,106.9,106.9,1000000,0
