Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-03,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-04,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-05,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-06,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-09,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-10,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-11,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-12,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-13,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-16,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-17,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-18,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-19,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-20,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-23,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-24,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-25,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-26,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-27,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-30,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-07-31,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-01,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-02,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-03,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-06,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-07,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-08,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-09,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-10,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-13,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-14,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-16,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-17,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-21,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-22,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-23,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-24,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-27,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-28,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-29,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-30,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-08-31,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-03,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-04,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-05,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-06,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-07,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-10,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-11,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-12,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-13,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-14,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-17,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-18,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-20,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-21,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-24,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-25,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-26,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-27,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-09-28,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-01,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-03,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-04,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-05,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-08,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-09,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-10,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-11,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-12,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-15,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-16,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-17,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-18,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-19,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-22,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-23,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-25,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-26,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-29,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-30,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-10-31,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-01,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-02,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-05,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-06,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-07,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-08,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-09,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-12,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-13,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-15,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-16,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-19,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-20,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-21,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-22,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-23,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-26,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-27,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-29,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-11-30,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-03,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-04,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-05,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-06,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-07,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-10,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-11,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-12,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-13,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-14,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-17,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-18,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-19,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-20,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-21,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-24,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-26,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-27,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-28,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2012-12-31,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2013-01-01,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
2013-01-02,364.0,637.25,637.25,637.25,637.25,1000000.0,0.0
