Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,56.25,56.25,56.25,56.25,1000000,0
2012-07-03,1,57.7,57.7,57.7,57.7,1000000,0
2012-07-04,2,58.75,58.75,58.75,58.75,1000000,0
2012-07-05,3,60.9,60.9,60.9,60.9,1000000,0
2012-07-06,4,59.8,59.8,59.8,59.8,1000000,0
2012-07-09,7,58.35,58.35,58.35,58.35,1000000,0
2012-07-10,8,57.95,57.95,57.95,57.95,1000000,0
2012-07-11,9,57.6,57.6,57.6,57.6,1000000,0
2012-07-12,10,57.0,57.0,57.0,57.0,1000000,0
2012-07-13,11,57.0,57.0,57.0,57.0,1000000,0
2012-07-16,14,55.8,55.8,55.8,55.8,1000000,0
2012-07-17,15,55.4,55.4,55.4,55.4,1000000,0
2012-07-18,16,55.35,55.35,55.35,55.35,1000000,0
2012-07-19,17,57.05,57.05,57.05,57.05,1000000,0
2012-07-20,18,56.0,56.0,56.0,56.0,1000000,0
2012-07-23,21,57.0,57.0,57.0,57.0,1000000,0
2012-07-24,22,57.2,57.2,57.2,57.2,1000000,0
2012-07-25,23,57.25,57.25,57.25,57.25,1000000,0
2012-07-26,24,55.4,55.4,55.4,55.4,1000000,0
2012-07-27,25,56.85,56.85,56.85,56.85,1000000,0
2012-07-30,28,57.1,57.1,57.1,57.1,1000000,0
2012-07-31,29,56.95,56.95,56.95,56.95,1000000,0
2012-08-01,30,56.85,56.85,56.85,56.85,1000000,0
2012-08-02,31,56.9,56.9,56.9,56.9,1000000,0
2012-08-03,32,56.65,56.65,56.65,56.65,1000000,0
2012-08-06,35,56.9,56.9,56.9,56.9,1000000,0
2012-08-07,36,56.4,56.4,56.4,56.4,1000000,0
2012-08-08,37,56.2,56.2,56.2,56.2,1000000,0
2012-08-09,38,55.85,55.85,55.85,55.85,1000000,0
2012-08-10,39,56.75,56.75,56.75,56.75,1000000,0
2012-08-13,42,57.9,57.9,57.9,57.9,1000000,0
2012-08-14,43,58.8,58.8,58.8,58.8,1000000,0
2012-08-16,45,59.9,59.9,59.9,59.9,1000000,0
2012-08-17,46,58.0,58.0,58.0,58.0,1000000,0
2012-08-21,50,59.5,59.5,59.5,59.5,1000000,0
2012-08-22,51,59.05,59.05,59.05,59.05,1000000,0
2012-08-23,52,58.15,58.15,58.15,58.15,1000000,0
2012-08-24,53,57.35,57.35,57.35,57.35,1000000,0
2012-08-27,56,57.75,57.75,57.75,57.75,1000000,0
2012-08-28,57,56.95,56.95,56.95,56.95,1000000,0
2012-08-29,58,56.95,56.95,56.95,56.95,1000000,0
2012-08-30,59,56.8,56.8,56.8,56.8,1000000,0
2012-08-31,60,56.4,56.4,56.4,56.4,1000000,0
