Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-03,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-04,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-05,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-06,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-09,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-10,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-11,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-12,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-13,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-16,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-17,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-18,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-19,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-20,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-23,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-24,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-25,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-26,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-27,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-30,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-07-31,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-01,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-02,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-03,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-06,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-07,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-08,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-09,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-10,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
2012-08-13,1611.0,10.5,10.5,10.5,10.5,1000000.0,0.0
