Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,11.735,11.735,11.735,11.735,1000000,0
2012-07-03,1,12.095,12.095,12.095,12.095,1000000,0
2012-07-04,2,12.23,12.23,12.23,12.23,1000000,0
2012-07-05,3,12.27,12.27,12.27,12.27,1000000,0
2012-07-06,4,12.07,12.07,12.07,12.07,1000000,0
2012-07-09,7,11.985,11.985,11.985,11.985,1000000,0
2012-07-10,8,11.795,11.795,11.795,11.795,1000000,0
2012-07-11,9,11.75,11.75,11.75,11.75,1000000,0
2012-07-12,10,11.695,11.695,11.695,11.695,1000000,0
2012-07-13,11,11.895,11.895,11.895,11.895,1000000,0
2012-07-16,14,12.06,12.06,12.06,12.06,1000000,0
2012-07-17,15,12.39,12.39,12.39,12.39,1000000,0
2012-07-18,16,12.285,12.285,12.285,12.285,1000000,0
2012-07-19,17,12.465,12.465,12.465,12.465,1000000,0
2012-07-20,18,12.495,12.495,12.495,12.495,1000000,0
2012-07-23,21,12.225,12.225,12.225,12.225,1000000,0
2012-07-24,22,12.5,12.5,12.5,12.5,1000000,0
2012-07-25,23,12.2,12.2,12.2,12.2,1000000,0
2012-07-26,24,12.15,12.15,12.15,12.15,1000000,0
2012-07-27,25,12.5,12.5,12.5,12.5,1000000,0
2012-07-30,28,12.245,12.245,12.245,12.245,1000000,0
2012-07-31,29,12.525,12.525,12.525,12.525,1000000,0
2012-08-01,30,12.26,12.26,12.26,12.26,1000000,0
2012-08-02,31,12.205,12.205,12.205,12.205,1000000,0
2012-08-03,32,12.115,12.115,12.115,12.115,1000000,0
2012-08-06,35,12.355,12.355,12.355,12.355,1000000,0
2012-08-07,36,12.205,12.205,12.205,12.205,1000000,0
2012-08-08,37,12.225,12.225,12.225,12.225,1000000,0
2012-08-09,38,12.215,12.215,12.215,12.215,1000000,0
2012-08-10,39,12.49,12.49,12.49,12.49,1000000,0
2012-08-13,42,12.135,12.135,12.135,12.135,1000000,0
2012-08-14,43,12.425,12.425,12.425,12.425,1000000,0
2012-08-16,45,12.19,12.19,12.19,12.19,1000000,0
2012-08-17,46,12.15,12.15,12.15,12.15,1000000,0
2012-08-21,50,12.11,12.11,12.11,12.11,1000000,0
2012-08-22,51,12.1,12.1,12.1,12.1,1000000,0
2012-08-23,52,12.075,12.075,12.075,12.075,1000000,0
2012-08-24,53,12.005,12.005,12.005,12.005,1000000,0
2012-08-27,56,11.6,11.6,11.6,11.6,1000000,0
2012-08-28,57,11.88,11.88,11.88,11.88,1000000,0
2012-08-29,58,11.785,11.785,11.785,11.785,1000000,0
2012-08-30,59,11.205,11.205,11.205,11.205,1000000,0
2012-08-31,60,11.14,11.14,11.14,11.14,1000000,0
2012-09-03,63,11.1,11.1,11.1,11.1,1000000,0
2012-09-04,64,11.25,11.25,11.25,11.25,1000000,0
2012-09-05,65,11.055,11.055,11.055,11.055,1000000,0
2012-09-06,66,10.52,10.52,10.52,10.52,1000000,0
2012-09-07,67,10.57,10.57,10.57,10.57,1000000,0
2012-09-10,70,10.6,10.6,10.6,10.6,1000000,0
2012-09-11,71,10.63,10.63,10.63,10.63,1000000,0
2012-09-12,72,10.715,10.715,10.715,10.715,1000000,0
2012-09-13,73,10.885,10.885,10.885,10.885,1000000,0
2012-09-14,74,10.525,10.525,10.525,10.525,1000000,0
2012-09-17,77,10.665,10.665,10.665,10.665,1000000,0
2012-09-18,78,11.065,11.065,11.065,11.065,1000000,0
2012-09-20,80,11.045,11.045,11.045,11.045,1000000,0
2012-09-21,81,11.23,11.23,11.23,11.23,1000000,0
2012-09-24,84,11.415,11.415,11.415,11.415,1000000,0
2012-09-25,85,11.375,11.375,11.375,11.375,1000000,0
2012-09-26,86,11.425,11.425,11.425,11.425,1000000,0
2012-09-27,87,11.305,11.305,11.305,11.305,1000000,0
2012-09-28,88,11.365,11.365,11.365,11.365,1000000,0
2012-10-01,91,11.36,11.36,11.36,11.36,1000000,0
2012-10-03,93,11.535,11.535,11.535,11.535,1000000,0
2012-10-04,94,11.775,11.775,11.775,11.775,1000000,0
2012-10-05,95,11.64,11.64,11.64,11.64,1000000,0
2012-10-08,98,11.48,11.48,11.48,11.48,1000000,0
2012-10-09,99,11.365,11.365,11.365,11.365,1000000,0
2012-10-10,100,11.54,11.54,11.54,11.54,1000000,0
2012-10-11,101,11.385,11.385,11.385,11.385,1000000,0
2012-10-12,102,11.4,11.4,11.4,11.4,1000000,0
2012-10-15,105,11.36,11.36,11.36,11.36,1000000,0
