Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,41.15,41.15,41.15,41.15,1,0
2012-07-03,1,41.65,41.65,41.65,41.65,1,0
2012-07-04,2,41.8,41.8,41.8,41.8,1,0
2012-07-05,3,43.05,43.05,43.05,43.05,1,0
2012-07-06,4,42.15,42.15,42.15,42.15,1,0
2012-07-09,7,41.15,41.15,41.15,41.15,1,0
2012-07-10,8,42.25,42.25,42.25,42.25,1,0
2012-07-11,9,42.0,42.0,42.0,42.0,1,0
2012-07-12,10,40.95,40.95,40.95,40.95,1,0
2012-07-13,11,41.0,41.0,41.0,41.0,1,0
2012-07-16,14,41.0,41.0,41.0,41.0,1,0
2012-07-17,15,41.4,41.4,41.4,41.4,1,0
2012-07-18,16,41.0,41.0,41.0,41.0,1,0
2012-07-19,17,40.1,40.1,40.1,40.1,1,0
2012-07-20,18,39.15,39.15,39.15,39.15,1,0
2012-07-23,21,38.7,38.7,38.7,38.7,1,0
2012-07-24,22,39.25,39.25,39.25,39.25,1,0
2012-07-25,23,39.9,39.9,39.9,39.9,1,0
2012-07-26,24,40.3,40.3,40.3,40.3,1,0
2012-07-27,25,40.05,40.05,40.05,40.05,1,0
2012-07-30,28,41.5,41.5,41.5,41.5,1,0
2012-07-31,29,40.35,40.35,40.35,40.35,1,0
2012-08-01,30,40.55,40.55,40.55,40.55,1,0
2012-08-02,31,40.55,40.55,40.55,40.55,1,0
2012-08-03,32,39.95,39.95,39.95,39.95,1,0
2012-08-06,35,41.95,41.95,41.95,41.95,1,0
2012-08-07,36,42.1,42.1,42.1,42.1,1,0
2012-08-08,37,40.7,40.7,40.7,40.7,1,0
2012-08-09,38,41.3,41.3,41.3,41.3,1,0
2012-08-10,39,40.65,40.65,40.65,40.65,1,0
2012-08-13,42,41.25,41.25,41.25,41.25,1,0
2012-08-14,43,40.4,40.4,40.4,40.4,1,0
2012-08-16,45,40.25,40.25,40.25,40.25,1,0
2012-08-17,46,41.4,41.4,41.4,41.4,1,0
2012-08-21,50,42.35,42.35,42.35,42.35,1,0
2012-08-22,51,41.8,41.8,41.8,41.8,1,0
2012-08-23,52,41.05,41.05,41.05,41.05,1,0
2012-08-24,53,41.0,41.0,41.0,41.0,1,0
2012-08-27,56,40.2,40.2,40.2,40.2,1,0
2012-08-28,57,38.6,38.6,38.6,38.6,1,0
2012-08-29,58,38.0,38.0,38.0,38.0,1,0
2012-08-30,59,38.1,38.1,38.1,38.1,1,0
2012-08-31,60,38.3,38.3,38.3,38.3,1,0
2012-09-03,63,38.5,38.5,38.5,38.5,1,0
2012-09-04,64,38.5,38.5,38.5,38.5,1,0
2012-09-05,65,39.15,39.15,39.15,39.15,1,0
2012-09-06,66,40.05,40.05,40.05,40.05,1,0
2012-09-07,67,40.3,40.3,40.3,40.3,1,0
2012-09-10,70,41.05,41.05,41.05,41.05,1,0
2012-09-11,71,41.3,41.3,41.3,41.3,1,0
2012-09-12,72,41.45,41.45,41.45,41.45,1,0
2012-09-13,73,40.95,40.95,40.95,40.95,1,0
2012-09-14,74,41.65,41.65,41.65,41.65,1,0
2012-09-17,77,41.65,41.65,41.65,41.65,1,0
2012-09-18,78,42.05,42.05,42.05,42.05,1,0
2012-09-20,80,41.65,41.65,41.65,41.65,1,0
2012-09-21,81,42.8,42.8,42.8,42.8,1,0
2012-09-24,84,43.2,43.2,43.2,43.2,1,0
2012-09-25,85,44.85,44.85,44.85,44.85,1,0
2012-09-26,86,44.55,44.55,44.55,44.55,1,0
2012-09-27,87,44.8,44.8,44.8,44.8,1,0
2012-09-28,88,44.8,44.8,44.8,44.8,1,0
2012-10-01,91,46.8,46.8,46.8,46.8,1,0
2012-10-03,93,46.75,46.75,46.75,46.75,1,0
2012-10-04,94,49.85,49.85,49.85,49.85,1,0
2012-10-05,95,48.5,48.5,48.5,48.5,1,0
2012-10-08,98,52.05,52.05,52.05,52.05,1,0
2012-10-09,99,52.9,52.9,52.9,52.9,1,0
2012-10-10,100,50.9,50.9,50.9,50.9,1,0
2012-10-11,101,52.85,52.85,52.85,52.85,1,0
2012-10-12,102,56.4,56.4,56.4,56.4,1,0
2012-10-15,105,59.1,59.1,59.1,59.1,1,0
2012-10-16,106,58.0,58.0,58.0,58.0,1,0
2012-10-17,107,60.6,60.6,60.6,60.6,1,0
2012-10-18,108,62.85,62.85,62.85,62.85,1,0
2012-10-19,109,61.25,61.25,61.25,61.25,1,0
2012-10-22,112,63.7,63.7,63.7,63.7,1,0
2012-10-23,113,68.6,68.6,68.6,68.6,1,0
2012-10-25,115,72.25,72.25,72.25,72.25,1,0
2012-10-26,116,69.2,69.2,69.2,69.2,1,0
2012-10-29,119,68.7,68.7,68.7,68.7,1,0
2012-10-30,120,69.15,69.15,69.15,69.15,1,0
2012-10-31,121,70.05,70.05,70.05,70.05,1,0
2012-11-01,122,70.1,70.1,70.1,70.1,1,0
2012-11-02,123,68.55,68.55,68.55,68.55,1,0
2012-11-05,126,69.3,69.3,69.3,69.3,1,0
2012-11-06,127,76.7,76.7,76.7,76.7,1,0
2012-11-07,128,75.6,75.6,75.6,75.6,1,0
2012-11-08,129,79.15,79.15,79.15,79.15,1,0
2012-11-09,130,77.1,77.1,77.1,77.1,1,0
2012-11-12,133,78.4,78.4,78.4,78.4,1,0
2012-11-13,134,77.3,77.3,77.3,77.3,1,0
2012-11-15,136,80.75,80.75,80.75,80.75,1,0
2012-11-16,137,77.65,77.65,77.65,77.65,1,0
2012-11-19,140,74.7,74.7,74.7,74.7,1,0
2012-11-20,141,70.8,70.8,70.8,70.8,1,0
2012-11-21,142,76.8,76.8,76.8,76.8,1,0
2012-11-22,143,76.55,76.55,76.55,76.55,1,0
2012-11-23,144,76.75,76.75,76.75,76.75,1,0
2012-11-26,147,80.15,80.15,80.15,80.15,1,0
2012-11-27,148,82.15,82.15,82.15,82.15,1,0
2012-11-29,150,81.4,81.4,81.4,81.4,1,0
2012-11-30,151,78.6,78.6,78.6,78.6,1,0
2012-12-03,154,84.7,84.7,84.7,84.7,1,0
2012-12-04,155,83.7,83.7,83.7,83.7,1,0
2012-12-05,156,84.25,84.25,84.25,84.25,1,0
2012-12-06,157,86.2,86.2,86.2,86.2,1,0
2012-12-07,158,85.3,85.3,85.3,85.3,1,0
2012-12-10,161,86.15,86.15,86.15,86.15,1,0
2012-12-11,162,84.95,84.95,84.95,84.95,1,0
2012-12-12,163,86.4,86.4,86.4,86.4,1,0
2012-12-13,164,89.8,89.8,89.8,89.8,1,0
2012-12-14,165,102.9,102.9,102.9,102.9,1,0
2012-12-17,168,122.25,122.25,122.25,122.25,1,0
2012-12-18,169,129.15,129.15,129.15,129.15,1,0
2012-12-19,170,126.4,126.4,126.4,126.4,1,0
2012-12-20,171,120.05,120.05,120.05,120.05,1,0
2012-12-21,172,109.25,109.25,109.25,109.25,1,0
2012-12-24,175,111.8,111.8,111.8,111.8,1,0
2012-12-26,177,113.65,113.65,113.65,113.65,1,0
2012-12-27,178,111.95,111.95,111.95,111.95,1,0
2012-12-28,179,115.25,115.25,115.25,115.25,1,0
2012-12-31,182,113.25,113.25,113.25,113.25,1,0
2013-01-01,183,120.45,120.45,120.45,120.45,1,0
2013-01-02,183,120.45,120.45,120.45,120.45,1,0
2013-01-03,183,120.45,120.45,120.45,120.45,1,0
2013-01-04,183,120.45,120.45,120.45,120.45,1,0
2013-01-07,183,120.45,120.45,120.45,120.45,1,0
2013-01-08,183,120.45,120.45,120.45,120.45,1,0
2013-01-09,183,120.45,120.45,120.45,120.45,1,0
2013-01-10,183,120.45,120.45,120.45,120.45,1,0
2013-01-11,183,120.45,120.45,120.45,120.45,1,0
2013-01-14,183,120.45,120.45,120.45,120.45,1,0
2013-01-15,183,120.45,120.45,120.45,120.45,1,0
2013-01-16,183,120.45,120.45,120.45,120.45,1,0
2013-01-17,183,120.45,120.45,120.45,120.45,1,0
2013-01-18,183,120.45,120.45,120.45,120.45,1,0
2013-01-21,183,120.45,120.45,120.45,120.45,1,0
2013-01-22,183,120.45,120.45,120.45,120.45,1,0
2013-01-23,183,120.45,120.45,120.45,120.45,1,0
2013-01-24,183,120.45,120.45,120.45,120.45,1,0
2013-01-25,183,120.45,120.45,120.45,120.45,1,0
2013-01-28,183,120.45,120.45,120.45,120.45,1,0
2013-01-29,183,120.45,120.45,120.45,120.45,1,0
2013-01-30,183,120.45,120.45,120.45,120.45,1,0
2013-01-31,183,120.45,120.45,120.45,120.45,1,0
2013-02-01,183,120.45,120.45,120.45,120.45,1,0
2013-02-04,183,120.45,120.45,120.45,120.45,1,0
2013-02-05,183,120.45,120.45,120.45,120.45,1,0
2013-02-06,183,120.45,120.45,120.45,120.45,1,0
2013-02-07,183,120.45,120.45,120.45,120.45,1,0
2013-02-08,183,120.45,120.45,120.45,120.45,1,0
2013-02-11,183,120.45,120.45,120.45,120.45,1,0
2013-02-12,183,120.45,120.45,120.45,120.45,1,0
2013-02-13,183,120.45,120.45,120.45,120.45,1,0
2013-02-14,183,120.45,120.45,120.45,120.45,1,0
2013-02-15,183,120.45,120.45,120.45,120.45,1,0
2013-02-18,183,120.45,120.45,120.45,120.45,1,0
2013-02-19,183,120.45,120.45,120.45,120.45,1,0
2013-02-20,183,120.45,120.45,120.45,120.45,1,0
2013-02-21,183,120.45,120.45,120.45,120.45,1,0
2013-02-22,183,120.45,120.45,120.45,120.45,1,0
2013-02-25,183,120.45,120.45,120.45,120.45,1,0
2013-02-26,183,120.45,120.45,120.45,120.45,1,0
2013-02-27,183,120.45,120.45,120.45,120.45,1,0
2013-02-28,183,120.45,120.45,120.45,120.45,1,0
2013-03-01,183,120.45,120.45,120.45,120.45,1,0
2013-03-04,183,120.45,120.45,120.45,120.45,1,0
2013-03-05,183,120.45,120.45,120.45,120.45,1,0
2013-03-06,183,120.45,120.45,120.45,120.45,1,0
2013-03-07,183,120.45,120.45,120.45,120.45,1,0
2013-03-08,183,120.45,120.45,120.45,120.45,1,0
2013-03-11,183,120.45,120.45,120.45,120.45,1,0
2013-03-12,183,120.45,120.45,120.45,120.45,1,0
2013-03-13,183,120.45,120.45,120.45,120.45,1,0
2013-03-14,183,120.45,120.45,120.45,120.45,1,0
2013-03-15,183,120.45,120.45,120.45,120.45,1,0
2013-03-18,183,120.45,120.45,120.45,120.45,1,0
2013-03-19,183,120.45,120.45,120.45,120.45,1,0
2013-03-20,183,120.45,120.45,120.45,120.45,1,0
2013-03-21,183,120.45,120.45,120.45,120.45,1,0
2013-03-22,183,120.45,120.45,120.45,120.45,1,0
2013-03-25,183,120.45,120.45,120.45,120.45,1,0
2013-03-26,183,120.45,120.45,120.45,120.45,1,0
2013-03-28,183,120.45,120.45,120.45,120.45,1,0
2013-04-01,183,120.45,120.45,120.45,120.45,1,0
2013-04-02,183,120.45,120.45,120.45,120.45,1,0
2013-04-03,183,120.45,120.45,120.45,120.45,1,0
2013-04-04,183,120.45,120.45,120.45,120.45,1,0
2013-04-05,183,120.45,120.45,120.45,120.45,1,0
2013-04-08,183,120.45,120.45,120.45,120.45,1,0
2013-04-09,183,120.45,120.45,120.45,120.45,1,0
2013-04-10,183,120.45,120.45,120.45,120.45,1,0
2013-04-11,183,120.45,120.45,120.45,120.45,1,0
2013-04-12,183,120.45,120.45,120.45,120.45,1,0
2013-04-15,183,120.45,120.45,120.45,120.45,1,0
2013-04-16,183,120.45,120.45,120.45,120.45,1,0
2013-04-17,183,120.45,120.45,120.45,120.45,1,0
2013-04-18,183,120.45,120.45,120.45,120.45,1,0
2013-04-22,183,120.45,120.45,120.45,120.45,1,0
2013-04-23,183,120.45,120.45,120.45,120.45,1,0
2013-04-25,183,120.45,120.45,120.45,120.45,1,0
2013-04-26,183,120.45,120.45,120.45,120.45,1,0
2013-04-29,183,120.45,120.45,120.45,120.45,1,0
2013-04-30,183,120.45,120.45,120.45,120.45,1,0
2013-05-02,183,120.45,120.45,120.45,120.45,1,0
2013-05-03,183,120.45,120.45,120.45,120.45,1,0
2013-05-06,183,120.45,120.45,120.45,120.45,1,0
2013-05-07,183,120.45,120.45,120.45,120.45,1,0
2013-05-08,183,120.45,120.45,120.45,120.45,1,0
2013-05-09,183,120.45,120.45,120.45,120.45,1,0
2013-05-10,183,120.45,120.45,120.45,120.45,1,0
2013-05-13,183,120.45,120.45,120.45,120.45,1,0
2013-05-14,183,120.45,120.45,120.45,120.45,1,0
2013-05-15,183,120.45,120.45,120.45,120.45,1,0
2013-05-16,183,120.45,120.45,120.45,120.45,1,0
2013-05-17,183,120.45,120.45,120.45,120.45,1,0
2013-05-20,183,120.45,120.45,120.45,120.45,1,0
2013-05-21,183,120.45,120.45,120.45,120.45,1,0
2013-05-22,183,120.45,120.45,120.45,120.45,1,0
2013-05-23,183,120.45,120.45,120.45,120.45,1,0
2013-05-24,183,120.45,120.45,120.45,120.45,1,0
2013-05-27,183,120.45,120.45,120.45,120.45,1,0
2013-05-28,183,120.45,120.45,120.45,120.45,1,0
2013-05-29,183,120.45,120.45,120.45,120.45,1,0
2013-05-30,183,120.45,120.45,120.45,120.45,1,0
2013-05-31,183,120.45,120.45,120.45,120.45,1,0
2013-06-03,183,120.45,120.45,120.45,120.45,1,0
2013-06-04,183,120.45,120.45,120.45,120.45,1,0
2013-06-05,183,120.45,120.45,120.45,120.45,1,0
2013-06-06,183,120.45,120.45,120.45,120.45,1,0
2013-06-07,183,120.45,120.45,120.45,120.45,1,0
2013-06-10,183,120.45,120.45,120.45,120.45,1,0
2013-06-11,183,120.45,120.45,120.45,120.45,1,0
2013-06-12,183,120.45,120.45,120.45,120.45,1,0
2013-06-13,183,120.45,120.45,120.45,120.45,1,0
2013-06-14,183,120.45,120.45,120.45,120.45,1,0
2013-06-17,183,120.45,120.45,120.45,120.45,1,0
2013-06-18,183,120.45,120.45,120.45,120.45,1,0
2013-06-19,183,120.45,120.45,120.45,120.45,1,0
2013-06-20,183,120.45,120.45,120.45,120.45,1,0
2013-06-21,183,120.45,120.45,120.45,120.45,1,0
2013-06-24,183,120.45,120.45,120.45,120.45,1,0
2013-06-25,183,120.45,120.45,120.45,120.45,1,0
2013-06-26,183,120.45,120.45,120.45,120.45,1,0
2013-06-27,183,120.45,120.45,120.45,120.45,1,0
2013-06-28,183,120.45,120.45,120.45,120.45,1,0
2013-07-01,364,77.9,77.9,77.9,77.9,1,0
2013-07-02,365,81.1,81.1,81.1,81.1,1,0
2013-07-03,366,75.95,75.95,75.95,75.95,1,0
2013-07-04,367,76.4,76.4,76.4,76.4,1,0
