Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,163.19,163.19,163.19,163.19,1000000,0
2012-07-03,1,162.82,162.82,162.82,162.82,1000000,0
2012-07-04,2,164.57,164.57,164.57,164.57,1000000,0
2012-07-05,3,167.23,167.23,167.23,167.23,1000000,0
2012-07-06,4,167.84,167.84,167.84,167.84,1000000,0
2012-07-09,7,165.51,165.51,165.51,165.51,1000000,0
2012-07-10,8,164.42,164.42,164.42,164.42,1000000,0
2012-07-11,9,165.25,165.25,165.25,165.25,1000000,0
2012-07-12,10,165.41,165.41,165.41,165.41,1000000,0
2012-07-13,11,161.71,161.71,161.71,161.71,1000000,0
2012-07-16,14,153.35,153.35,153.35,153.35,1000000,0
2012-07-17,15,156.69,156.69,156.69,156.69,1000000,0
2012-07-18,16,155.71,155.71,155.71,155.71,1000000,0
2012-07-19,17,154.83,154.83,154.83,154.83,1000000,0
2012-07-20,18,154.88,154.88,154.88,154.88,1000000,0
2012-07-23,21,151.89,151.89,151.89,151.89,1000000,0
2012-07-24,22,152.69,152.69,152.69,152.69,1000000,0
2012-07-25,23,152.05,152.05,152.05,152.05,1000000,0
2012-07-26,24,154.28,154.28,154.28,154.28,1000000,0
2012-07-27,25,153.61,153.61,153.61,153.61,1000000,0
2012-07-30,28,155.35,155.35,155.35,155.35,1000000,0
2012-07-31,29,151.63,151.63,151.63,151.63,1000000,0
2012-08-01,30,151.94,151.94,151.94,151.94,1000000,0
2012-08-02,31,154.12,154.12,154.12,154.12,1000000,0
2012-08-03,32,151.67,151.67,151.67,151.67,1000000,0
2012-08-06,35,149.8,149.8,149.8,149.8,1000000,0
2012-08-07,36,150.72,150.72,150.72,150.72,1000000,0
2012-08-08,37,155.29,155.29,155.29,155.29,1000000,0
2012-08-09,38,156.65,156.65,156.65,156.65,1000000,0
2012-08-10,39,159.08,159.08,159.08,159.08,1000000,0
2012-08-13,42,160.28,160.28,160.28,160.28,1000000,0
2012-08-14,43,160.41,160.41,160.41,160.41,1000000,0
2012-08-16,45,162.39,162.39,162.39,162.39,1000000,0
2012-08-17,46,163.02,163.02,163.02,163.02,1000000,0
2012-08-21,50,164.02,164.02,164.02,164.02,1000000,0
2012-08-22,51,166.17,166.17,166.17,166.17,1000000,0
2012-08-23,52,166.6,166.6,166.6,166.6,1000000,0
2012-08-24,53,165.71,165.71,165.71,165.71,1000000,0
2012-08-27,56,165.6,165.6,165.6,165.6,1000000,0
2012-08-28,57,166.97,166.97,166.97,166.97,1000000,0
2012-08-29,58,169.0,169.0,169.0,169.0,1000000,0
2012-08-30,59,167.75,167.75,167.75,167.75,1000000,0
2012-08-31,60,168.49,168.49,168.49,168.49,1000000,0
2012-09-03,63,166.66,166.66,166.66,166.66,1000000,0
