Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,53.4,53.4,53.4,53.4,1000000,0
2012-07-03,1,53.1,53.1,53.1,53.1,1000000,0
2012-07-04,2,54.95,54.95,54.95,54.95,1000000,0
2012-07-05,3,57.65,57.65,57.65,57.65,1000000,0
2012-07-06,4,63.4,63.4,63.4,63.4,1000000,0
2012-07-09,7,60.8,60.8,60.8,60.8,1000000,0
2012-07-10,8,60.15,60.15,60.15,60.15,1000000,0
2012-07-11,9,59.5,59.5,59.5,59.5,1000000,0
2012-07-12,10,60.05,60.05,60.05,60.05,1000000,0
2012-07-13,11,59.35,59.35,59.35,59.35,1000000,0
2012-07-16,14,60.05,60.05,60.05,60.05,1000000,0
2012-07-17,15,59.85,59.85,59.85,59.85,1000000,0
2012-07-18,16,61.3,61.3,61.3,61.3,1000000,0
2012-07-19,17,60.7,60.7,60.7,60.7,1000000,0
2012-07-20,18,60.35,60.35,60.35,60.35,1000000,0
2012-07-23,21,59.5,59.5,59.5,59.5,1000000,0
2012-07-24,22,58.45,58.45,58.45,58.45,1000000,0
2012-07-25,23,57.3,57.3,57.3,57.3,1000000,0
2012-07-26,24,57.2,57.2,57.2,57.2,1000000,0
2012-07-27,25,56.85,56.85,56.85,56.85,1000000,0
2012-07-30,28,56.95,56.95,56.95,56.95,1000000,0
2012-07-31,29,57.05,57.05,57.05,57.05,1000000,0
2012-08-01,30,58.85,58.85,58.85,58.85,1000000,0
2012-08-02,31,59.3,59.3,59.3,59.3,1000000,0
2012-08-03,32,65.2,65.2,65.2,65.2,1000000,0
2012-08-06,35,63.85,63.85,63.85,63.85,1000000,0
2012-08-07,36,66.3,66.3,66.3,66.3,1000000,0
2012-08-08,37,66.55,66.55,66.55,66.55,1000000,0
2012-08-09,38,68.0,68.0,68.0,68.0,1000000,0
2012-08-10,39,68.5,68.5,68.5,68.5,1000000,0
2012-08-13,42,68.85,68.85,68.85,68.85,1000000,0
2012-08-14,43,66.5,66.5,66.5,66.5,1000000,0
2012-08-16,45,64.75,64.75,64.75,64.75,1000000,0
2012-08-17,46,63.85,63.85,63.85,63.85,1000000,0
2012-08-21,50,65.35,65.35,65.35,65.35,1000000,0
2012-08-22,51,66.1,66.1,66.1,66.1,1000000,0
2012-08-23,52,64.5,64.5,64.5,64.5,1000000,0
2012-08-24,53,63.2,63.2,63.2,63.2,1000000,0
2012-08-27,56,61.1,61.1,61.1,61.1,1000000,0
2012-08-28,57,60.05,60.05,60.05,60.05,1000000,0
2012-08-29,58,60.1,60.1,60.1,60.1,1000000,0
2012-08-30,59,59.95,59.95,59.95,59.95,1000000,0
2012-08-31,60,59.95,59.95,59.95,59.95,1000000,0
2012-09-03,63,58.45,58.45,58.45,58.45,1000000,0
2012-09-04,64,58.25,58.25,58.25,58.25,1000000,0
2012-09-05,65,64.05,64.05,64.05,64.05,1000000,0
2012-09-06,66,64.65,64.65,64.65,64.65,1000000,0
2012-09-07,67,66.4,66.4,66.4,66.4,1000000,0
2012-09-10,70,63.3,63.3,63.3,63.3,1000000,0
2012-09-11,71,63.35,63.35,63.35,63.35,1000000,0
2012-09-12,72,64.35,64.35,64.35,64.35,1000000,0
2012-09-13,73,62.5,62.5,62.5,62.5,1000000,0
2012-09-14,74,63.0,63.0,63.0,63.0,1000000,0
2012-09-17,77,61.3,61.3,61.3,61.3,1000000,0
2012-09-18,78,62.6,62.6,62.6,62.6,1000000,0
2012-09-20,80,61.6,61.6,61.6,61.6,1000000,0
2012-09-21,81,61.85,61.85,61.85,61.85,1000000,0
2012-09-24,84,62.8,62.8,62.8,62.8,1000000,0
2012-09-25,85,63.3,63.3,63.3,63.3,1000000,0
2012-09-26,86,63.9,63.9,63.9,63.9,1000000,0
2012-09-27,87,63.15,63.15,63.15,63.15,1000000,0
2012-09-28,88,62.65,62.65,62.65,62.65,1000000,0
2012-10-01,91,62.65,62.65,62.65,62.65,1000000,0
2012-10-03,93,62.55,62.55,62.55,62.55,1000000,0
2012-10-04,94,63.9,63.9,63.9,63.9,1000000,0
2012-10-05,95,63.0,63.0,63.0,63.0,1000000,0
2012-10-08,98,64.2,64.2,64.2,64.2,1000000,0
2012-10-09,99,72.05,72.05,72.05,72.05,1000000,0
2012-10-10,100,68.6,68.6,68.6,68.6,1000000,0
2012-10-11,101,66.95,66.95,66.95,66.95,1000000,0
2012-10-12,102,66.9,66.9,66.9,66.9,1000000,0
2012-10-15,105,67.25,67.25,67.25,67.25,1000000,0
2012-10-16,106,68.6,68.6,68.6,68.6,1000000,0
2012-10-17,107,68.15,68.15,68.15,68.15,1000000,0
2012-10-18,108,68.4,68.4,68.4,68.4,1000000,0
2012-10-19,109,66.65,66.65,66.65,66.65,1000000,0
2012-10-22,112,65.75,65.75,65.75,65.75,1000000,0
2012-10-23,113,65.25,65.25,65.25,65.25,1000000,0
2012-10-25,115,64.3,64.3,64.3,64.3,1000000,0
2012-10-26,116,63.6,63.6,63.6,63.6,1000000,0
2012-10-29,119,62.15,62.15,62.15,62.15,1000000,0
2012-10-30,120,60.95,60.95,60.95,60.95,1000000,0
2012-10-31,121,61.3,61.3,61.3,61.3,1000000,0
