Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,33.5,33.5,33.5,33.5,1000000,0
2012-07-03,1,33.6,33.6,33.6,33.6,1000000,0
2012-07-04,2,34.85,34.85,34.85,34.85,1000000,0
2012-07-05,3,35.15,35.15,35.15,35.15,1000000,0
2012-07-06,4,34.5,34.5,34.5,34.5,1000000,0
2012-07-09,7,34.1,34.1,34.1,34.1,1000000,0
2012-07-10,8,33.8,33.8,33.8,33.8,1000000,0
2012-07-11,9,34.05,34.05,34.05,34.05,1000000,0
2012-07-12,10,33.45,33.45,33.45,33.45,1000000,0
2012-07-13,11,33.15,33.15,33.15,33.15,1000000,0
2012-07-16,14,32.8,32.8,32.8,32.8,1000000,0
2012-07-17,15,32.4,32.4,32.4,32.4,1000000,0
2012-07-18,16,32.6,32.6,32.6,32.6,1000000,0
2012-07-19,17,33.05,33.05,33.05,33.05,1000000,0
2012-07-20,18,31.8,31.8,31.8,31.8,1000000,0
2012-07-23,21,31.5,31.5,31.5,31.5,1000000,0
2012-07-24,22,31.0,31.0,31.0,31.0,1000000,0
2012-07-25,23,30.95,30.95,30.95,30.95,1000000,0
2012-07-26,24,30.05,30.05,30.05,30.05,1000000,0
2012-07-27,25,30.3,30.3,30.3,30.3,1000000,0
2012-07-30,28,30.5,30.5,30.5,30.5,1000000,0
2012-07-31,29,30.45,30.45,30.45,30.45,1000000,0
2012-08-01,30,30.6,30.6,30.6,30.6,1000000,0
2012-08-02,31,30.75,30.75,30.75,30.75,1000000,0
2012-08-03,32,30.1,30.1,30.1,30.1,1000000,0
2012-08-06,35,30.2,30.2,30.2,30.2,1000000,0
2012-08-07,36,32.65,32.65,32.65,32.65,1000000,0
2012-08-08,37,32.8,32.8,32.8,32.8,1000000,0
2012-08-09,38,31.7,31.7,31.7,31.7,1000000,0
2012-08-10,39,31.6,31.6,31.6,31.6,1000000,0
2012-08-13,42,32.7,32.7,32.7,32.7,1000000,0
2012-08-14,43,33.8,33.8,33.8,33.8,1000000,0
2012-08-16,45,32.45,32.45,32.45,32.45,1000000,0
2012-08-17,46,31.85,31.85,31.85,31.85,1000000,0
2012-08-21,50,33.05,33.05,33.05,33.05,1000000,0
2012-08-22,51,32.55,32.55,32.55,32.55,1000000,0
2012-08-23,52,33.35,33.35,33.35,33.35,1000000,0
2012-08-24,53,32.7,32.7,32.7,32.7,1000000,0
2012-08-27,56,31.8,31.8,31.8,31.8,1000000,0
2012-08-28,57,30.65,30.65,30.65,30.65,1000000,0
2012-08-29,58,30.05,30.05,30.05,30.05,1000000,0
2012-08-30,59,30.95,30.95,30.95,30.95,1000000,0
2012-08-31,60,32.55,32.55,32.55,32.55,1000000,0
2012-09-03,63,32.1,32.1,32.1,32.1,1000000,0
2012-09-04,64,31.2,31.2,31.2,31.2,1000000,0
2012-09-05,65,30.8,30.8,30.8,30.8,1000000,0
2012-09-06,66,30.95,30.95,30.95,30.95,1000000,0
2012-09-07,67,31.3,31.3,31.3,31.3,1000000,0
2012-09-10,70,31.5,31.5,31.5,31.5,1000000,0
2012-09-11,71,31.3,31.3,31.3,31.3,1000000,0
2012-09-12,72,31.0,31.0,31.0,31.0,1000000,0
2012-09-13,73,30.85,30.85,30.85,30.85,1000000,0
2012-09-14,74,30.95,30.95,30.95,30.95,1000000,0
2012-09-17,77,31.0,31.0,31.0,31.0,1000000,0
2012-09-18,78,30.9,30.9,30.9,30.9,1000000,0
2012-09-20,80,30.4,30.4,30.4,30.4,1000000,0
2012-09-21,81,30.55,30.55,30.55,30.55,1000000,0
2012-09-24,84,31.0,31.0,31.0,31.0,1000000,0
2012-09-25,85,30.75,30.75,30.75,30.75,1000000,0
2012-09-26,86,31.9,31.9,31.9,31.9,1000000,0
2012-09-27,87,32.05,32.05,32.05,32.05,1000000,0
2012-09-28,88,31.55,31.55,31.55,31.55,1000000,0
2012-10-01,91,31.2,31.2,31.2,31.2,1000000,0
2012-10-03,93,30.95,30.95,30.95,30.95,1000000,0
2012-10-04,94,30.55,30.55,30.55,30.55,1000000,0
2012-10-05,95,30.35,30.35,30.35,30.35,1000000,0
2012-10-08,98,29.85,29.85,29.85,29.85,1000000,0
2012-10-09,99,29.65,29.65,29.65,29.65,1000000,0
2012-10-10,100,29.3,29.3,29.3,29.3,1000000,0
2012-10-11,101,30.45,30.45,30.45,30.45,1000000,0
2012-10-12,102,30.0,30.0,30.0,30.0,1000000,0
2012-10-15,105,29.7,29.7,29.7,29.7,1000000,0
2012-10-16,106,29.55,29.55,29.55,29.55,1000000,0
2012-10-17,107,29.9,29.9,29.9,29.9,1000000,0
2012-10-18,108,29.8,29.8,29.8,29.8,1000000,0
2012-10-19,109,29.35,29.35,29.35,29.35,1000000,0
2012-10-22,112,29.45,29.45,29.45,29.45,1000000,0
2012-10-23,113,28.85,28.85,28.85,28.85,1000000,0
2012-10-25,115,28.2,28.2,28.2,28.2,1000000,0
2012-10-26,116,28.35,28.35,28.35,28.35,1000000,0
2012-10-29,119,27.6,27.6,27.6,27.6,1000000,0
2012-10-30,120,26.2,26.2,26.2,26.2,1000000,0
2012-10-31,121,26.05,26.05,26.05,26.05,1000000,0
2012-11-01,122,25.75,25.75,25.75,25.75,1000000,0
2012-11-02,123,30.9,30.9,30.9,30.9,1000000,0
2012-11-05,126,36.95,36.95,36.95,36.95,1000000,0
2012-11-06,127,44.25,44.25,44.25,44.25,1000000,0
2012-11-07,128,41.05,41.05,41.05,41.05,1000000,0
2012-11-08,129,36.95,36.95,36.95,36.95,1000000,0
2012-11-09,130,36.2,36.2,36.2,36.2,1000000,0
2012-11-12,133,36.9,36.9,36.9,36.9,1000000,0
2012-11-13,134,37.0,37.0,37.0,37.0,1000000,0
2012-11-15,136,35.15,35.15,35.15,35.15,1000000,0
2012-11-16,137,33.05,33.05,33.05,33.05,1000000,0
2012-11-19,140,31.4,31.4,31.4,31.4,1000000,0
2012-11-20,141,32.95,32.95,32.95,32.95,1000000,0
2012-11-21,142,34.55,34.55,34.55,34.55,1000000,0
2012-11-22,143,35.3,35.3,35.3,35.3,1000000,0
2012-11-23,144,33.75,33.75,33.75,33.75,1000000,0
2012-11-26,147,35.4,35.4,35.4,35.4,1000000,0
2012-11-27,148,33.85,33.85,33.85,33.85,1000000,0
2012-11-29,150,33.85,33.85,33.85,33.85,1000000,0
2012-11-30,151,33.45,33.45,33.45,33.45,1000000,0
2012-12-03,154,32.55,32.55,32.55,32.55,1000000,0
2012-12-04,155,32.15,32.15,32.15,32.15,1000000,0
2012-12-05,156,32.3,32.3,32.3,32.3,1000000,0
2012-12-06,157,32.45,32.45,32.45,32.45,1000000,0
2012-12-07,158,32.95,32.95,32.95,32.95,1000000,0
2012-12-10,161,33.4,33.4,33.4,33.4,1000000,0
2012-12-11,162,32.6,32.6,32.6,32.6,1000000,0
2012-12-12,163,32.65,32.65,32.65,32.65,1000000,0
2012-12-13,164,32.4,32.4,32.4,32.4,1000000,0
2012-12-14,165,31.45,31.45,31.45,31.45,1000000,0
2012-12-17,168,31.35,31.35,31.35,31.35,1000000,0
2012-12-18,169,31.3,31.3,31.3,31.3,1000000,0
2012-12-19,170,31.45,31.45,31.45,31.45,1000000,0
2012-12-20,171,31.0,31.0,31.0,31.0,1000000,0
2012-12-21,172,30.85,30.85,30.85,30.85,1000000,0
2012-12-24,175,30.4,30.4,30.4,30.4,1000000,0
2012-12-26,177,30.45,30.45,30.45,30.45,1000000,0
2012-12-27,178,30.55,30.55,30.55,30.55,1000000,0
2012-12-28,179,32.05,32.05,32.05,32.05,1000000,0
2012-12-31,182,33.65,33.65,33.65,33.65,1000000,0
2013-01-01,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-02,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-03,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-04,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-07,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-08,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-09,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-10,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-11,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-14,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-15,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-16,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-17,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-18,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-21,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-22,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-23,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-24,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-25,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-28,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-29,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-30,183,33.9,33.9,33.9,33.9,1000000,0
2013-01-31,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-01,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-04,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-05,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-06,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-07,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-08,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-11,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-12,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-13,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-14,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-15,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-18,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-19,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-20,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-21,183,33.9,33.9,33.9,33.9,1000000,0
2013-02-22,183,33.9,33.9,33.9,33.9,1000000,0
