Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,70.8375,70.8375,70.8375,70.8375,1000000,0
2012-07-03,1,71.25,71.25,71.25,71.25,1000000,0
2012-07-04,2,68.8375,68.8375,68.8375,68.8375,1000000,0
2012-07-05,3,69.2875,69.2875,69.2875,69.2875,1000000,0
2012-07-06,4,68.7875,68.7875,68.7875,68.7875,1000000,0
2012-07-09,7,68.5625,68.5625,68.5625,68.5625,1000000,0
2012-07-10,8,69.375,69.375,69.375,69.375,1000000,0
2012-07-11,9,69.2875,69.2875,69.2875,69.2875,1000000,0
2012-07-12,10,68.05,68.05,68.05,68.05,1000000,0
2012-07-13,11,68.475,68.475,68.475,68.475,1000000,0
2012-07-16,14,67.6375,67.6375,67.6375,67.6375,1000000,0
2012-07-17,15,67.625,67.625,67.625,67.625,1000000,0
2012-07-18,16,66.5,66.5,66.5,66.5,1000000,0
2012-07-19,17,66.1875,66.1875,66.1875,66.1875,1000000,0
2012-07-20,18,66.6125,66.6125,66.6125,66.6125,1000000,0
2012-07-23,21,66.3875,66.3875,66.3875,66.3875,1000000,0
2012-07-24,22,66.225,66.225,66.225,66.225,1000000,0
2012-07-25,23,65.675,65.675,65.675,65.675,1000000,0
2012-07-26,24,65.7625,65.7625,65.7625,65.7625,1000000,0
2012-07-27,25,64.925,64.925,64.925,64.925,1000000,0
2012-07-30,28,64.375,64.375,64.375,64.375,1000000,0
2012-07-31,29,63.175,63.175,63.175,63.175,1000000,0
2012-08-01,30,65.8125,65.8125,65.8125,65.8125,1000000,0
2012-08-02,31,64.6125,64.6125,64.6125,64.6125,1000000,0
2012-08-03,32,63.725,63.725,63.725,63.725,1000000,0
2012-08-06,35,63.125,63.125,63.125,63.125,1000000,0
2012-08-07,36,63.3375,63.3375,63.3375,63.3375,1000000,0
2012-08-08,37,62.3625,62.3625,62.3625,62.3625,1000000,0
2012-08-09,38,62.0375,62.0375,62.0375,62.0375,1000000,0
2012-08-10,39,62.075,62.075,62.075,62.075,1000000,0
2012-08-13,42,60.7,60.7,60.7,60.7,1000000,0
2012-08-14,43,61.375,61.375,61.375,61.375,1000000,0
2012-08-16,45,62.075,62.075,62.075,62.075,1000000,0
2012-08-17,46,61.5125,61.5125,61.5125,61.5125,1000000,0
2012-08-21,50,63.1,63.1,63.1,63.1,1000000,0
2012-08-22,51,63.5875,63.5875,63.5875,63.5875,1000000,0
2012-08-23,52,62.875,62.875,62.875,62.875,1000000,0
2012-08-24,53,62.5,62.5,62.5,62.5,1000000,0
2012-08-27,56,62.0125,62.0125,62.0125,62.0125,1000000,0
2012-08-28,57,62.2125,62.2125,62.2125,62.2125,1000000,0
2012-08-29,58,62.075,62.075,62.075,62.075,1000000,0
2012-08-30,59,62.075,62.075,62.075,62.075,1000000,0
2012-08-31,60,62.525,62.525,62.525,62.525,1000000,0
2012-09-03,63,63.2,63.2,63.2,63.2,1000000,0
2012-09-04,64,62.9125,62.9125,62.9125,62.9125,1000000,0
2012-09-05,65,62.1625,62.1625,62.1625,62.1625,1000000,0
2012-09-06,66,62.25,62.25,62.25,62.25,1000000,0
2012-09-07,67,62.075,62.075,62.075,62.075,1000000,0
2012-09-10,70,62.35,62.35,62.35,62.35,1000000,0
2012-09-11,71,62.375,62.375,62.375,62.375,1000000,0
2012-09-12,72,62.225,62.225,62.225,62.225,1000000,0
2012-09-13,73,61.7625,61.7625,61.7625,61.7625,1000000,0
2012-09-14,74,62.4875,62.4875,62.4875,62.4875,1000000,0
2012-09-17,77,62.0875,62.0875,62.0875,62.0875,1000000,0
2012-09-18,78,62.475,62.475,62.475,62.475,1000000,0
2012-09-20,80,62.6,62.6,62.6,62.6,1000000,0
2012-09-21,81,63.65,63.65,63.65,63.65,1000000,0
2012-09-24,84,62.925,62.925,62.925,62.925,1000000,0
2012-09-25,85,62.8625,62.8625,62.8625,62.8625,1000000,0
2012-09-26,86,62.9875,62.9875,62.9875,62.9875,1000000,0
2012-09-27,87,62.6,62.6,62.6,62.6,1000000,0
2012-09-28,88,63.05,63.05,63.05,63.05,1000000,0
2012-10-01,91,66.9,66.9,66.9,66.9,1000000,0
