Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,104.2,104.2,104.2,104.2,1000000,0
2012-07-03,1,103.95,103.95,103.95,103.95,1000000,0
2012-07-04,2,103.8,103.8,103.8,103.8,1000000,0
2012-07-05,3,104.85,104.85,104.85,104.85,1000000,0
2012-07-06,4,106.3,106.3,106.3,106.3,1000000,0
2012-07-09,7,107.15,107.15,107.15,107.15,1000000,0
2012-07-10,8,107.4,107.4,107.4,107.4,1000000,0
2012-07-11,9,107.7,107.7,107.7,107.7,1000000,0
2012-07-12,10,108.0,108.0,108.0,108.0,1000000,0
2012-07-13,11,109.9,109.9,109.9,109.9,1000000,0
2012-07-16,14,111.2,111.2,111.2,111.2,1000000,0
2012-07-17,15,108.75,108.75,108.75,108.75,1000000,0
2012-07-18,16,107.4,107.4,107.4,107.4,1000000,0
2012-07-19,17,105.25,105.25,105.25,105.25,1000000,0
2012-07-20,18,102.7,102.7,102.7,102.7,1000000,0
2012-07-23,21,103.15,103.15,103.15,103.15,1000000,0
2012-07-24,22,103.95,103.95,103.95,103.95,1000000,0
2012-07-25,23,102.85,102.85,102.85,102.85,1000000,0
2012-07-26,24,100.1,100.1,100.1,100.1,1000000,0
2012-07-27,25,97.5,97.5,97.5,97.5,1000000,0
2012-07-30,28,102.4,102.4,102.4,102.4,1000000,0
2012-07-31,29,99.95,99.95,99.95,99.95,1000000,0
2012-08-01,30,102.85,102.85,102.85,102.85,1000000,0
2012-08-02,31,103.9,103.9,103.9,103.9,1000000,0
2012-08-03,32,101.7,101.7,101.7,101.7,1000000,0
2012-08-06,35,102.05,102.05,102.05,102.05,1000000,0
2012-08-07,36,101.25,101.25,101.25,101.25,1000000,0
2012-08-08,37,101.05,101.05,101.05,101.05,1000000,0
2012-08-09,38,101.85,101.85,101.85,101.85,1000000,0
2012-08-10,39,101.75,101.75,101.75,101.75,1000000,0
2012-08-13,42,104.35,104.35,104.35,104.35,1000000,0
2012-08-14,43,105.8,105.8,105.8,105.8,1000000,0
2012-08-16,45,105.8,105.8,105.8,105.8,1000000,0
2012-08-17,46,104.15,104.15,104.15,104.15,1000000,0
2012-08-21,50,103.15,103.15,103.15,103.15,1000000,0
2012-08-22,51,102.45,102.45,102.45,102.45,1000000,0
2012-08-23,52,102.9,102.9,102.9,102.9,1000000,0
2012-08-24,53,99.65,99.65,99.65,99.65,1000000,0
