Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,88.775,88.775,88.775,88.775,1,0
2012-07-03,1,87.9,87.9,87.9,87.9,1,0
2012-07-04,2,87.075,87.075,87.075,87.075,1,0
2012-07-05,3,87.45,87.45,87.45,87.45,1,0
2012-07-06,4,87.375,87.375,87.375,87.375,1,0
2012-07-09,7,86.05,86.05,86.05,86.05,1,0
2012-07-10,8,85.375,85.375,85.375,85.375,1,0
2012-07-11,9,85.7,85.7,85.7,85.7,1,0
2012-07-12,10,86.525,86.525,86.525,86.525,1,0
2012-07-13,11,86.3,86.3,86.3,86.3,1,0
2012-07-16,14,85.575,85.575,85.575,85.575,1,0
2012-07-17,15,86.5,86.5,86.5,86.5,1,0
2012-07-18,16,86.625,86.625,86.625,86.625,1,0
2012-07-19,17,86.1,86.1,86.1,86.1,1,0
2012-07-20,18,89.55,89.55,89.55,89.55,1,0
2012-07-23,21,86.5,86.5,86.5,86.5,1,0
2012-07-24,22,83.825,83.825,83.825,83.825,1,0
2012-07-25,23,83.85,83.85,83.85,83.85,1,0
2012-07-26,24,81.05,81.05,81.05,81.05,1,0
2012-07-27,25,80.9,80.9,80.9,80.9,1,0
2012-07-30,28,79.9,79.9,79.9,79.9,1,0
2012-07-31,29,81.15,81.15,81.15,81.15,1,0
2012-08-01,30,81.125,81.125,81.125,81.125,1,0
2012-08-02,31,81.4,81.4,81.4,81.4,1,0
2012-08-03,32,81.85,81.85,81.85,81.85,1,0
2012-08-06,35,83.575,83.575,83.575,83.575,1,0
2012-08-07,36,83.075,83.075,83.075,83.075,1,0
2012-08-08,37,81.65,81.65,81.65,81.65,1,0
2012-08-09,38,81.275,81.275,81.275,81.275,1,0
2012-08-10,39,81.975,81.975,81.975,81.975,1,0
2012-08-13,42,82.925,82.925,82.925,82.925,1,0
2012-08-14,43,81.925,81.925,81.925,81.925,1,0
2012-08-16,45,80.95,80.95,80.95,80.95,1,0
2012-08-17,46,81.0,81.0,81.0,81.0,1,0
2012-08-21,50,81.6,81.6,81.6,81.6,1,0
2012-08-22,51,81.25,81.25,81.25,81.25,1,0
2012-08-23,52,81.55,81.55,81.55,81.55,1,0
2012-08-24,53,79.05,79.05,79.05,79.05,1,0
2012-08-27,56,78.625,78.625,78.625,78.625,1,0
2012-08-28,57,76.475,76.475,76.475,76.475,1,0
2012-08-29,58,71.5,71.5,71.5,71.5,1,0
2012-08-30,59,74.55,74.55,74.55,74.55,1,0
2012-08-31,60,77.3,77.3,77.3,77.3,1,0
2012-09-03,63,79.525,79.525,79.525,79.525,1,0
2012-09-04,64,80.7,80.7,80.7,80.7,1,0
2012-09-05,65,81.275,81.275,81.275,81.275,1,0
2012-09-06,66,80.025,80.025,80.025,80.025,1,0
2012-09-07,67,79.175,79.175,79.175,79.175,1,0
2012-09-10,70,81.775,81.775,81.775,81.775,1,0
2012-09-11,71,82.325,82.325,82.325,82.325,1,0
2012-09-12,72,82.425,82.425,82.425,82.425,1,0
2012-09-13,73,81.7,81.7,81.7,81.7,1,0
2012-09-14,74,82.225,82.225,82.225,82.225,1,0
2012-09-17,77,82.525,82.525,82.525,82.525,1,0
2012-09-18,78,80.7,80.7,80.7,80.7,1,0
2012-09-20,80,81.4,81.4,81.4,81.4,1,0
2012-09-21,81,81.175,81.175,81.175,81.175,1,0
2012-09-24,84,82.85,82.85,82.85,82.85,1,0
