Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,44.45,44.45,44.45,44.45,1000000,0
2012-07-03,1,44.8,44.8,44.8,44.8,1000000,0
2012-07-04,2,45.05,45.05,45.05,45.05,1000000,0
2012-07-05,3,47.85,47.85,47.85,47.85,1000000,0
2012-07-06,4,48.9,48.9,48.9,48.9,1000000,0
2012-07-09,7,48.95,48.95,48.95,48.95,1000000,0
2012-07-10,8,48.5,48.5,48.5,48.5,1000000,0
2012-07-11,9,48.7,48.7,48.7,48.7,1000000,0
2012-07-12,10,51.65,51.65,51.65,51.65,1000000,0
2012-07-13,11,53.7,53.7,53.7,53.7,1000000,0
2012-07-16,14,50.5,50.5,50.5,50.5,1000000,0
2012-07-17,15,49.65,49.65,49.65,49.65,1000000,0
2012-07-18,16,49.95,49.95,49.95,49.95,1000000,0
2012-07-19,17,51.25,51.25,51.25,51.25,1000000,0
2012-07-20,18,51.0,51.0,51.0,51.0,1000000,0
2012-07-23,21,49.05,49.05,49.05,49.05,1000000,0
2012-07-24,22,50.0,50.0,50.0,50.0,1000000,0
2012-07-25,23,49.55,49.55,49.55,49.55,1000000,0
2012-07-26,24,47.3,47.3,47.3,47.3,1000000,0
2012-07-27,25,45.55,45.55,45.55,45.55,1000000,0
2012-07-30,28,47.1,47.1,47.1,47.1,1000000,0
2012-07-31,29,48.4,48.4,48.4,48.4,1000000,0
2012-08-01,30,48.3,48.3,48.3,48.3,1000000,0
2012-08-02,31,49.75,49.75,49.75,49.75,1000000,0
2012-08-03,32,48.6,48.6,48.6,48.6,1000000,0
2012-08-06,35,47.9,47.9,47.9,47.9,1000000,0
2012-08-07,36,47.35,47.35,47.35,47.35,1000000,0
2012-08-08,37,46.3,46.3,46.3,46.3,1000000,0
2012-08-09,38,45.15,45.15,45.15,45.15,1000000,0
2012-08-10,39,46.25,46.25,46.25,46.25,1000000,0
2012-08-13,42,42.65,42.65,42.65,42.65,1000000,0
2012-08-14,43,43.4,43.4,43.4,43.4,1000000,0
2012-08-16,45,44.4,44.4,44.4,44.4,1000000,0
2012-08-17,46,50.75,50.75,50.75,50.75,1000000,0
2012-08-21,50,49.5,49.5,49.5,49.5,1000000,0
2012-08-22,51,49.15,49.15,49.15,49.15,1000000,0
2012-08-23,52,49.05,49.05,49.05,49.05,1000000,0
2012-08-24,53,47.0,47.0,47.0,47.0,1000000,0
2012-08-27,56,46.2,46.2,46.2,46.2,1000000,0
2012-08-28,57,44.05,44.05,44.05,44.05,1000000,0
2012-08-29,58,43.7,43.7,43.7,43.7,1000000,0
2012-08-30,59,43.85,43.85,43.85,43.85,1000000,0
2012-08-31,60,44.05,44.05,44.05,44.05,1000000,0
2012-09-03,63,43.95,43.95,43.95,43.95,1000000,0
2012-09-04,64,44.0,44.0,44.0,44.0,1000000,0
2012-09-05,65,44.15,44.15,44.15,44.15,1000000,0
2012-09-06,66,43.75,43.75,43.75,43.75,1000000,0
2012-09-07,67,43.95,43.95,43.95,43.95,1000000,0
2012-09-10,70,43.5,43.5,43.5,43.5,1000000,0
2012-09-11,71,43.2,43.2,43.2,43.2,1000000,0
2012-09-12,72,43.35,43.35,43.35,43.35,1000000,0
2012-09-13,73,43.0,43.0,43.0,43.0,1000000,0
2012-09-14,74,42.8,42.8,42.8,42.8,1000000,0
2012-09-17,77,43.0,43.0,43.0,43.0,1000000,0
2012-09-18,78,43.45,43.45,43.45,43.45,1000000,0
2012-09-20,80,43.75,43.75,43.75,43.75,1000000,0
2012-09-21,81,44.0,44.0,44.0,44.0,1000000,0
2012-09-24,84,43.9,43.9,43.9,43.9,1000000,0
2012-09-25,85,49.15,49.15,49.15,49.15,1000000,0
2012-09-26,86,48.15,48.15,48.15,48.15,1000000,0
2012-09-27,87,47.6,47.6,47.6,47.6,1000000,0
2012-09-28,88,46.55,46.55,46.55,46.55,1000000,0
2012-10-01,91,48.3,48.3,48.3,48.3,1000000,0
2012-10-03,93,48.4,48.4,48.4,48.4,1000000,0
2012-10-04,94,47.2,47.2,47.2,47.2,1000000,0
2012-10-05,95,45.95,45.95,45.95,45.95,1000000,0
2012-10-08,98,46.6,46.6,46.6,46.6,1000000,0
2012-10-09,99,47.2,47.2,47.2,47.2,1000000,0
2012-10-10,100,46.6,46.6,46.6,46.6,1000000,0
2012-10-11,101,46.95,46.95,46.95,46.95,1000000,0
2012-10-12,102,45.9,45.9,45.9,45.9,1000000,0
2012-10-15,105,45.15,45.15,45.15,45.15,1000000,0
2012-10-16,106,46.5,46.5,46.5,46.5,1000000,0
2012-10-17,107,47.8,47.8,47.8,47.8,1000000,0
