Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,1062.5,1062.5,1062.5,1062.5,1000000,0
2012-07-03,1,1064.85,1064.85,1064.85,1064.85,1000000,0
2012-07-04,2,1047.7,1047.7,1047.7,1047.7,1000000,0
2012-07-05,3,1047.05,1047.05,1047.05,1047.05,1000000,0
2012-07-06,4,1120.3,1120.3,1120.3,1120.3,1000000,0
2012-07-09,7,1144.85,1144.85,1144.85,1144.85,1000000,0
2012-07-10,8,1156.45,1156.45,1156.45,1156.45,1000000,0
2012-07-11,9,1128.7,1128.7,1128.7,1128.7,1000000,0
2012-07-12,10,1106.65,1106.65,1106.65,1106.65,1000000,0
2012-07-13,11,1113.8,1113.8,1113.8,1113.8,1000000,0
2012-07-16,14,1099.5,1099.5,1099.5,1099.5,1000000,0
2012-07-17,15,1098.75,1098.75,1098.75,1098.75,1000000,0
2012-07-18,16,1114.1,1114.1,1114.1,1114.1,1000000,0
2012-07-19,17,1121.5,1121.5,1121.5,1121.5,1000000,0
2012-07-20,18,1101.25,1101.25,1101.25,1101.25,1000000,0
2012-07-23,21,1082.6,1082.6,1082.6,1082.6,1000000,0
2012-07-24,22,1078.45,1078.45,1078.45,1078.45,1000000,0
2012-07-25,23,1075.5,1075.5,1075.5,1075.5,1000000,0
2012-07-26,24,1069.35,1069.35,1069.35,1069.35,1000000,0
2012-07-27,25,1021.15,1021.15,1021.15,1021.15,1000000,0
2012-07-30,28,1024.6,1024.6,1024.6,1024.6,1000000,0
2012-07-31,29,1028.7,1028.7,1028.7,1028.7,1000000,0
2012-08-01,30,1052.2,1052.2,1052.2,1052.2,1000000,0
2012-08-02,31,1057.75,1057.75,1057.75,1057.75,1000000,0
2012-08-03,32,1053.15,1053.15,1053.15,1053.15,1000000,0
2012-08-06,35,1085.3,1085.3,1085.3,1085.3,1000000,0
2012-08-07,36,1099.3,1099.3,1099.3,1099.3,1000000,0
2012-08-08,37,1146.5,1146.5,1146.5,1146.5,1000000,0
2012-08-09,38,1167.4,1167.4,1167.4,1167.4,1000000,0
2012-08-10,39,1134.45,1134.45,1134.45,1134.45,1000000,0
2012-08-13,42,1160.9,1160.9,1160.9,1160.9,1000000,0
2012-08-14,43,1151.3,1151.3,1151.3,1151.3,1000000,0
2012-08-16,45,1176.05,1176.05,1176.05,1176.05,1000000,0
2012-08-17,46,1150.35,1150.35,1150.35,1150.35,1000000,0
2012-08-21,50,1168.3,1168.3,1168.3,1168.3,1000000,0
2012-08-22,51,1167.0,1167.0,1167.0,1167.0,1000000,0
2012-08-23,52,1163.2,1163.2,1163.2,1163.2,1000000,0
2012-08-24,53,1158.2,1158.2,1158.2,1158.2,1000000,0
2012-08-27,56,1129.1,1129.1,1129.1,1129.1,1000000,0
2012-08-28,57,1103.95,1103.95,1103.95,1103.95,1000000,0
2012-08-29,58,1129.05,1129.05,1129.05,1129.05,1000000,0
2012-08-30,59,1146.75,1146.75,1146.75,1146.75,1000000,0
2012-08-31,60,1144.35,1144.35,1144.35,1144.35,1000000,0
2012-09-03,63,1165.65,1165.65,1165.65,1165.65,1000000,0
2012-09-04,64,1162.85,1162.85,1162.85,1162.85,1000000,0
2012-09-05,65,1173.4,1173.4,1173.4,1173.4,1000000,0
2012-09-06,66,1182.55,1182.55,1182.55,1182.55,1000000,0
2012-09-07,67,1186.0,1186.0,1186.0,1186.0,1000000,0
2012-09-10,70,1167.45,1167.45,1167.45,1167.45,1000000,0
2012-09-11,71,1174.2,1174.2,1174.2,1174.2,1000000,0
2012-09-12,72,1190.65,1190.65,1190.65,1190.65,1000000,0
2012-09-13,73,1255.25,1255.25,1255.25,1255.25,1000000,0
2012-09-14,74,1281.7,1281.7,1281.7,1281.7,1000000,0
2012-09-17,77,1309.7,1309.7,1309.7,1309.7,1000000,0
2012-09-18,78,1293.1,1293.1,1293.1,1293.1,1000000,0
2012-09-20,80,1277.5,1277.5,1277.5,1277.5,1000000,0
2012-09-21,81,1293.05,1293.05,1293.05,1293.05,1000000,0
2012-09-24,84,1338.1,1338.1,1338.1,1338.1,1000000,0
2012-09-25,85,1317.85,1317.85,1317.85,1317.85,1000000,0
2012-09-26,86,1299.45,1299.45,1299.45,1299.45,1000000,0
2012-09-27,87,1257.9,1257.9,1257.9,1257.9,1000000,0
2012-09-28,88,1281.75,1281.75,1281.75,1281.75,1000000,0
2012-10-01,91,1285.15,1285.15,1285.15,1285.15,1000000,0
2012-10-03,93,1244.85,1244.85,1244.85,1244.85,1000000,0
2012-10-04,94,1293.05,1293.05,1293.05,1293.05,1000000,0
2012-10-05,95,1335.2,1335.2,1335.2,1335.2,1000000,0
2012-10-08,98,1357.95,1357.95,1357.95,1357.95,1000000,0
2012-10-09,99,1431.3,1431.3,1431.3,1431.3,1000000,0
2012-10-10,100,1410.3,1410.3,1410.3,1410.3,1000000,0
2012-10-11,101,1403.15,1403.15,1403.15,1403.15,1000000,0
2012-10-12,102,1402.9,1402.9,1402.9,1402.9,1000000,0
2012-10-15,105,1401.35,1401.35,1401.35,1401.35,1000000,0
2012-10-16,106,1386.45,1386.45,1386.45,1386.45,1000000,0
2012-10-17,107,1377.35,1377.35,1377.35,1377.35,1000000,0
2012-10-18,108,1395.55,1395.55,1395.55,1395.55,1000000,0
2012-10-19,109,1399.75,1399.75,1399.75,1399.75,1000000,0
2012-10-22,112,1398.1,1398.1,1398.1,1398.1,1000000,0
2012-10-23,113,1393.45,1393.45,1393.45,1393.45,1000000,0
2012-10-25,115,1396.1,1396.1,1396.1,1396.1,1000000,0
2012-10-26,116,1384.2,1384.2,1384.2,1384.2,1000000,0
2012-10-29,119,1347.35,1347.35,1347.35,1347.35,1000000,0
2012-10-30,120,1366.1,1366.1,1366.1,1366.1,1000000,0
2012-10-31,121,1404.75,1404.75,1404.75,1404.75,1000000,0
2012-11-01,122,1404.0,1404.0,1404.0,1404.0,1000000,0
2012-11-02,123,1416.4,1416.4,1416.4,1416.4,1000000,0
2012-11-05,126,1443.9,1443.9,1443.9,1443.9,1000000,0
2012-11-06,127,1437.6,1437.6,1437.6,1437.6,1000000,0
2012-11-07,128,1475.45,1475.45,1475.45,1475.45,1000000,0
2012-11-08,129,1474.55,1474.55,1474.55,1474.55,1000000,0
2012-11-09,130,1498.4,1498.4,1498.4,1498.4,1000000,0
2012-11-12,133,1578.8,1578.8,1578.8,1578.8,1000000,0
2012-11-13,134,1594.1,1594.1,1594.1,1594.1,1000000,0
2012-11-15,136,1565.85,1565.85,1565.85,1565.85,1000000,0
2012-11-16,137,1526.25,1526.25,1526.25,1526.25,1000000,0
2012-11-19,140,1483.55,1483.55,1483.55,1483.55,1000000,0
2012-11-20,141,1530.25,1530.25,1530.25,1530.25,1000000,0
