Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-03,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-04,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-05,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-06,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-09,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-10,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-11,7.0,4.725,4.725,4.725,4.725,1000000.0,0.0
2012-07-12,10.0,4.96,4.96,4.96,4.96,1000000.0,0.0
2012-07-13,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-16,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-17,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-18,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-19,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-20,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-23,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-24,11.0,5.205,5.205,5.205,5.205,1000000.0,0.0
2012-07-25,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-07-26,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-07-27,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-07-30,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-07-31,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-01,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-02,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-03,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-06,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-07,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-08,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-09,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-10,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-13,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-14,23.0,5.465,5.465,5.465,5.465,1000000.0,0.0
2012-08-16,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-17,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-21,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-22,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-23,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-24,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-27,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-28,45.0,5.735,5.735,5.735,5.735,1000000.0,0.0
2012-08-29,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-08-30,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-08-31,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-03,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-04,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-05,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-06,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-07,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-10,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-11,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-12,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-13,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
2012-09-14,58.0,6.02,6.02,6.02,6.02,1000000.0,0.0
