Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,168.425,168.425,168.425,168.425,1000000,0
2012-07-03,1,167.5,167.5,167.5,167.5,1000000,0
2012-07-04,2,166.5,166.5,166.5,166.5,1000000,0
2012-07-05,3,166.5,166.5,166.5,166.5,1000000,0
2012-07-06,4,164.925,164.925,164.925,164.925,1000000,0
2012-07-09,7,165.0,165.0,165.0,165.0,1000000,0
2012-07-10,8,164.325,164.325,164.325,164.325,1000000,0
2012-07-11,9,163.3,163.3,163.3,163.3,1000000,0
2012-07-12,10,162.8,162.8,162.8,162.8,1000000,0
2012-07-13,11,162.85,162.85,162.85,162.85,1000000,0
2012-07-16,14,162.95,162.95,162.95,162.95,1000000,0
2012-07-17,15,164.375,164.375,164.375,164.375,1000000,0
2012-07-18,16,164.025,164.025,164.025,164.025,1000000,0
2012-07-19,17,165.125,165.125,165.125,165.125,1000000,0
2012-07-20,18,165.7,165.7,165.7,165.7,1000000,0
2012-07-23,21,165.7,165.7,165.7,165.7,1000000,0
2012-07-24,22,166.025,166.025,166.025,166.025,1000000,0
2012-07-25,23,165.275,165.275,165.275,165.275,1000000,0
2012-07-26,24,164.975,164.975,164.975,164.975,1000000,0
2012-07-27,25,165.0,165.0,165.0,165.0,1000000,0
2012-07-30,28,165.35,165.35,165.35,165.35,1000000,0
2012-07-31,29,167.875,167.875,167.875,167.875,1000000,0
2012-08-01,30,169.6,169.6,169.6,169.6,1000000,0
2012-08-02,31,168.2,168.2,168.2,168.2,1000000,0
2012-08-03,32,169.125,169.125,169.125,169.125,1000000,0
2012-08-06,35,169.4,169.4,169.4,169.4,1000000,0
2012-08-07,36,170.975,170.975,170.975,170.975,1000000,0
2012-08-08,37,168.85,168.85,168.85,168.85,1000000,0
2012-08-09,38,168.775,168.775,168.775,168.775,1000000,0
2012-08-10,39,168.7,168.7,168.7,168.7,1000000,0
2012-08-13,42,169.8,169.8,169.8,169.8,1000000,0
2012-08-14,43,169.7,169.7,169.7,169.7,1000000,0
2012-08-16,45,169.55,169.55,169.55,169.55,1000000,0
2012-08-17,46,167.275,167.275,167.275,167.275,1000000,0
2012-08-21,50,167.475,167.475,167.475,167.475,1000000,0
2012-08-22,51,166.15,166.15,166.15,166.15,1000000,0
2012-08-23,52,166.975,166.975,166.975,166.975,1000000,0
2012-08-24,53,166.5,166.5,166.5,166.5,1000000,0
2012-08-27,56,166.5,166.5,166.5,166.5,1000000,0
2012-08-28,57,163.625,163.625,163.625,163.625,1000000,0
2012-08-29,58,164.35,164.35,164.35,164.35,1000000,0
2012-08-30,59,164.8,164.8,164.8,164.8,1000000,0
2012-08-31,60,164.65,164.65,164.65,164.65,1000000,0
2012-09-03,63,164.95,164.95,164.95,164.95,1000000,0
2012-09-04,64,164.875,164.875,164.875,164.875,1000000,0
2012-09-05,65,164.975,164.975,164.975,164.975,1000000,0
2012-09-06,66,163.525,163.525,163.525,163.525,1000000,0
2012-09-07,67,166.4,166.4,166.4,166.4,1000000,0
2012-09-10,70,167.3,167.3,167.3,167.3,1000000,0
2012-09-11,71,168.1,168.1,168.1,168.1,1000000,0
2012-09-12,72,166.3,166.3,166.3,166.3,1000000,0
2012-09-13,73,167.225,167.225,167.225,167.225,1000000,0
2012-09-14,74,167.75,167.75,167.75,167.75,1000000,0
2012-09-17,77,167.55,167.55,167.55,167.55,1000000,0
2012-09-18,78,167.8,167.8,167.8,167.8,1000000,0
2012-09-20,80,167.65,167.65,167.65,167.65,1000000,0
2012-09-21,81,165.6,165.6,165.6,165.6,1000000,0
