Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,103.7,103.7,103.7,103.7,1,0
2012-07-03,1,100.65,100.65,100.65,100.65,1,0
2012-07-04,2,101.7,101.7,101.7,101.7,1,0
2012-07-05,3,104.2,104.2,104.2,104.2,1,0
2012-07-06,4,104.0,104.0,104.0,104.0,1,0
2012-07-09,7,103.9,103.9,103.9,103.9,1,0
2012-07-10,8,104.35,104.35,104.35,104.35,1,0
2012-07-11,9,100.2,100.2,100.2,100.2,1,0
2012-07-12,10,100.3,100.3,100.3,100.3,1,0
2012-07-13,11,100.2,100.2,100.2,100.2,1,0
2012-07-16,14,98.95,98.95,98.95,98.95,1,0
2012-07-17,15,95.25,95.25,95.25,95.25,1,0
2012-07-18,16,93.7,93.7,93.7,93.7,1,0
2012-07-19,17,94.4,94.4,94.4,94.4,1,0
2012-07-20,18,91.45,91.45,91.45,91.45,1,0
2012-07-23,21,92.2,92.2,92.2,92.2,1,0
2012-07-24,22,93.5,93.5,93.5,93.5,1,0
2012-07-25,23,94.25,94.25,94.25,94.25,1,0
2012-07-26,24,92.7,92.7,92.7,92.7,1,0
2012-07-27,25,93.0,93.0,93.0,93.0,1,0
2012-07-30,28,96.85,96.85,96.85,96.85,1,0
2012-07-31,29,100.95,100.95,100.95,100.95,1,0
2012-08-01,30,99.75,99.75,99.75,99.75,1,0
2012-08-02,31,99.6,99.6,99.6,99.6,1,0
2012-08-03,32,99.55,99.55,99.55,99.55,1,0
2012-08-06,35,98.75,98.75,98.75,98.75,1,0
2012-08-07,36,98.75,98.75,98.75,98.75,1,0
2012-08-08,37,98.5,98.5,98.5,98.5,1,0
2012-08-09,38,93.85,93.85,93.85,93.85,1,0
2012-08-10,39,95.0,95.0,95.0,95.0,1,0
2012-08-13,42,94.6,94.6,94.6,94.6,1,0
2012-08-14,43,97.2,97.2,97.2,97.2,1,0
2012-08-16,45,95.55,95.55,95.55,95.55,1,0
2012-08-17,46,96.6,96.6,96.6,96.6,1,0
2012-08-21,50,100.1,100.1,100.1,100.1,1,0
2012-08-22,51,99.2,99.2,99.2,99.2,1,0
2012-08-23,52,95.75,95.75,95.75,95.75,1,0
2012-08-24,53,94.5,94.5,94.5,94.5,1,0
2012-08-27,56,95.1,95.1,95.1,95.1,1,0
2012-08-28,57,91.35,91.35,91.35,91.35,1,0
2012-08-29,58,93.1,93.1,93.1,93.1,1,0
2012-08-30,59,95.25,95.25,95.25,95.25,1,0
2012-08-31,60,94.85,94.85,94.85,94.85,1,0
2012-09-03,63,93.0,93.0,93.0,93.0,1,0
2012-09-04,64,94.6,94.6,94.6,94.6,1,0
2012-09-05,65,91.9,91.9,91.9,91.9,1,0
2012-09-06,66,90.55,90.55,90.55,90.55,1,0
2012-09-07,67,92.0,92.0,92.0,92.0,1,0
2012-09-10,70,92.0,92.0,92.0,92.0,1,0
2012-09-11,71,92.5,92.5,92.5,92.5,1,0
2012-09-12,72,91.8,91.8,91.8,91.8,1,0
2012-09-13,73,90.75,90.75,90.75,90.75,1,0
2012-09-14,74,95.05,95.05,95.05,95.05,1,0
2012-09-17,77,96.95,96.95,96.95,96.95,1,0
2012-09-18,78,104.8,104.8,104.8,104.8,1,0
2012-09-20,80,105.95,105.95,105.95,105.95,1,0
2012-09-21,81,106.85,106.85,106.85,106.85,1,0
2012-09-24,84,109.9,109.9,109.9,109.9,1,0
2012-09-25,85,113.0,113.0,113.0,113.0,1,0
2012-09-26,86,108.35,108.35,108.35,108.35,1,0
2012-09-27,87,110.0,110.0,110.0,110.0,1,0
2012-09-28,88,110.7,110.7,110.7,110.7,1,0
2012-10-01,91,108.2,108.2,108.2,108.2,1,0
2012-10-03,93,116.5,116.5,116.5,116.5,1,0
