Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,139.7,139.7,139.7,139.7,1000000,0
2012-07-03,1,145.35,145.35,145.35,145.35,1000000,0
2012-07-04,2,145.075,145.075,145.075,145.075,1000000,0
2012-07-05,3,144.075,144.075,144.075,144.075,1000000,0
2012-07-06,4,142.2,142.2,142.2,142.2,1000000,0
2012-07-09,7,139.4,139.4,139.4,139.4,1000000,0
2012-07-10,8,139.5,139.5,139.5,139.5,1000000,0
2012-07-11,9,140.075,140.075,140.075,140.075,1000000,0
2012-07-12,10,140.275,140.275,140.275,140.275,1000000,0
2012-07-13,11,143.1,143.1,143.1,143.1,1000000,0
2012-07-16,14,141.45,141.45,141.45,141.45,1000000,0
2012-07-17,15,141.65,141.65,141.65,141.65,1000000,0
2012-07-18,16,139.625,139.625,139.625,139.625,1000000,0
2012-07-19,17,138.025,138.025,138.025,138.025,1000000,0
2012-07-20,18,139.025,139.025,139.025,139.025,1000000,0
2012-07-23,21,136.9,136.9,136.9,136.9,1000000,0
2012-07-24,22,136.5,136.5,136.5,136.5,1000000,0
2012-07-25,23,134.45,134.45,134.45,134.45,1000000,0
2012-07-26,24,132.2,132.2,132.2,132.2,1000000,0
2012-07-27,25,130.475,130.475,130.475,130.475,1000000,0
2012-07-30,28,133.425,133.425,133.425,133.425,1000000,0
2012-07-31,29,134.3,134.3,134.3,134.3,1000000,0
2012-08-01,30,133.225,133.225,133.225,133.225,1000000,0
2012-08-02,31,132.825,132.825,132.825,132.825,1000000,0
2012-08-03,32,132.625,132.625,132.625,132.625,1000000,0
2012-08-06,35,134.55,134.55,134.55,134.55,1000000,0
2012-08-07,36,133.35,133.35,133.35,133.35,1000000,0
2012-08-08,37,132.9,132.9,132.9,132.9,1000000,0
2012-08-09,38,134.575,134.575,134.575,134.575,1000000,0
2012-08-10,39,132.075,132.075,132.075,132.075,1000000,0
2012-08-13,42,129.225,129.225,129.225,129.225,1000000,0
2012-08-14,43,129.8,129.8,129.8,129.8,1000000,0
2012-08-16,45,128.425,128.425,128.425,128.425,1000000,0
2012-08-17,46,127.95,127.95,127.95,127.95,1000000,0
2012-08-21,50,125.375,125.375,125.375,125.375,1000000,0
2012-08-22,51,125.85,125.85,125.85,125.85,1000000,0
2012-08-23,52,123.85,123.85,123.85,123.85,1000000,0
2012-08-24,53,121.725,121.725,121.725,121.725,1000000,0
2012-08-27,56,120.875,120.875,120.875,120.875,1000000,0
2012-08-28,57,120.075,120.075,120.075,120.075,1000000,0
2012-08-29,58,116.475,116.475,116.475,116.475,1000000,0
2012-08-30,59,117.0,117.0,117.0,117.0,1000000,0
2012-08-31,60,118.125,118.125,118.125,118.125,1000000,0
2012-09-03,63,120.5,120.5,120.5,120.5,1000000,0
2012-09-04,64,120.2,120.2,120.2,120.2,1000000,0
2012-09-05,65,121.925,121.925,121.925,121.925,1000000,0
2012-09-06,66,125.05,125.05,125.05,125.05,1000000,0
2012-09-07,67,136.8,136.8,136.8,136.8,1000000,0
2012-09-10,70,129.2,129.2,129.2,129.2,1000000,0
2012-09-11,71,130.625,130.625,130.625,130.625,1000000,0
2012-09-12,72,130.025,130.025,130.025,130.025,1000000,0
2012-09-13,73,133.625,133.625,133.625,133.625,1000000,0
2012-09-14,74,132.55,132.55,132.55,132.55,1000000,0
2012-09-17,77,132.425,132.425,132.425,132.425,1000000,0
2012-09-18,78,132.3,132.3,132.3,132.3,1000000,0
2012-09-20,80,131.175,131.175,131.175,131.175,1000000,0
2012-09-21,81,129.4,129.4,129.4,129.4,1000000,0
2012-09-24,84,130.025,130.025,130.025,130.025,1000000,0
2012-09-25,85,128.5,128.5,128.5,128.5,1000000,0
2012-09-26,86,127.45,127.45,127.45,127.45,1000000,0
2012-09-27,87,125.375,125.375,125.375,125.375,1000000,0
2012-09-28,88,126.1,126.1,126.1,126.1,1000000,0
2012-10-01,91,126.675,126.675,126.675,126.675,1000000,0
2012-10-03,93,128.125,128.125,128.125,128.125,1000000,0
2012-10-04,94,128.3,128.3,128.3,128.3,1000000,0
