Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,370.7,370.7,370.7,370.7,1000000,0
2012-07-03,1,382.0,382.0,382.0,382.0,1000000,0
2012-07-04,2,385.25,385.25,385.25,385.25,1000000,0
2012-07-05,3,391.6,391.6,391.6,391.6,1000000,0
2012-07-06,4,383.35,383.35,383.35,383.35,1000000,0
2012-07-09,7,381.35,381.35,381.35,381.35,1000000,0
2012-07-10,8,384.0,384.0,384.0,384.0,1000000,0
2012-07-11,9,382.9,382.9,382.9,382.9,1000000,0
2012-07-12,10,380.4,380.4,380.4,380.4,1000000,0
2012-07-13,11,383.4,383.4,383.4,383.4,1000000,0
2012-07-16,14,383.15,383.15,383.15,383.15,1000000,0
2012-07-17,15,383.55,383.55,383.55,383.55,1000000,0
2012-07-18,16,384.0,384.0,384.0,384.0,1000000,0
2012-07-19,17,395.3,395.3,395.3,395.3,1000000,0
2012-07-20,18,399.35,399.35,399.35,399.35,1000000,0
2012-07-23,21,401.7,401.7,401.7,401.7,1000000,0
2012-07-24,22,399.0,399.0,399.0,399.0,1000000,0
2012-07-25,23,400.85,400.85,400.85,400.85,1000000,0
2012-07-26,24,390.35,390.35,390.35,390.35,1000000,0
2012-07-27,25,387.95,387.95,387.95,387.95,1000000,0
2012-07-30,28,391.5,391.5,391.5,391.5,1000000,0
2012-07-31,29,397.7,397.7,397.7,397.7,1000000,0
2012-08-01,30,406.05,406.05,406.05,406.05,1000000,0
2012-08-02,31,409.2,409.2,409.2,409.2,1000000,0
2012-08-03,32,409.55,409.55,409.55,409.55,1000000,0
2012-08-06,35,407.7,407.7,407.7,407.7,1000000,0
2012-08-07,36,403.5,403.5,403.5,403.5,1000000,0
2012-08-08,37,402.9,402.9,402.9,402.9,1000000,0
2012-08-09,38,401.3,401.3,401.3,401.3,1000000,0
2012-08-10,39,393.15,393.15,393.15,393.15,1000000,0
2012-08-13,42,399.25,399.25,399.25,399.25,1000000,0
