Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,87.5,87.5,87.5,87.5,1000000,0
2012-07-03,1,98.3,98.3,98.3,98.3,1000000,0
2012-07-04,2,95.85,95.85,95.85,95.85,1000000,0
2012-07-05,3,98.45,98.45,98.45,98.45,1000000,0
2012-07-06,4,96.4,96.4,96.4,96.4,1000000,0
2012-07-09,7,92.85,92.85,92.85,92.85,1000000,0
2012-07-10,8,92.45,92.45,92.45,92.45,1000000,0
2012-07-11,9,91.25,91.25,91.25,91.25,1000000,0
2012-07-12,10,91.95,91.95,91.95,91.95,1000000,0
2012-07-13,11,89.55,89.55,89.55,89.55,1000000,0
2012-07-16,14,91.1,91.1,91.1,91.1,1000000,0
2012-07-17,15,89.95,89.95,89.95,89.95,1000000,0
2012-07-18,16,90.1,90.1,90.1,90.1,1000000,0
2012-07-19,17,90.55,90.55,90.55,90.55,1000000,0
2012-07-20,18,89.6,89.6,89.6,89.6,1000000,0
2012-07-23,21,89.05,89.05,89.05,89.05,1000000,0
2012-07-24,22,88.45,88.45,88.45,88.45,1000000,0
2012-07-25,23,87.85,87.85,87.85,87.85,1000000,0
2012-07-26,24,86.6,86.6,86.6,86.6,1000000,0
2012-07-27,25,86.0,86.0,86.0,86.0,1000000,0
2012-07-30,28,86.1,86.1,86.1,86.1,1000000,0
2012-07-31,29,85.3,85.3,85.3,85.3,1000000,0
2012-08-01,30,89.4,89.4,89.4,89.4,1000000,0
2012-08-02,31,90.7,90.7,90.7,90.7,1000000,0
2012-08-03,32,89.35,89.35,89.35,89.35,1000000,0
2012-08-06,35,88.55,88.55,88.55,88.55,1000000,0
2012-08-07,36,89.55,89.55,89.55,89.55,1000000,0
2012-08-08,37,89.05,89.05,89.05,89.05,1000000,0
2012-08-09,38,87.7,87.7,87.7,87.7,1000000,0
2012-08-10,39,87.05,87.05,87.05,87.05,1000000,0
2012-08-13,42,85.6,85.6,85.6,85.6,1000000,0
2012-08-14,43,83.85,83.85,83.85,83.85,1000000,0
2012-08-16,45,83.2,83.2,83.2,83.2,1000000,0
2012-08-17,46,83.7,83.7,83.7,83.7,1000000,0
2012-08-21,50,88.3,88.3,88.3,88.3,1000000,0
2012-08-22,51,91.4,91.4,91.4,91.4,1000000,0
2012-08-23,52,96.35,96.35,96.35,96.35,1000000,0
2012-08-24,53,99.35,99.35,99.35,99.35,1000000,0
2012-08-27,56,96.35,96.35,96.35,96.35,1000000,0
2012-08-28,57,93.2,93.2,93.2,93.2,1000000,0
2012-08-29,58,90.9,90.9,90.9,90.9,1000000,0
2012-08-30,59,93.3,93.3,93.3,93.3,1000000,0
2012-08-31,60,93.75,93.75,93.75,93.75,1000000,0
2012-09-03,63,95.2,95.2,95.2,95.2,1000000,0
2012-09-04,64,96.55,96.55,96.55,96.55,1000000,0
2012-09-05,65,97.35,97.35,97.35,97.35,1000000,0
2012-09-06,66,100.35,100.35,100.35,100.35,1000000,0
2012-09-07,67,99.75,99.75,99.75,99.75,1000000,0
2012-09-10,70,106.25,106.25,106.25,106.25,1000000,0
2012-09-11,71,106.95,106.95,106.95,106.95,1000000,0
2012-09-12,72,102.85,102.85,102.85,102.85,1000000,0
2012-09-13,73,100.3,100.3,100.3,100.3,1000000,0
2012-09-14,74,101.95,101.95,101.95,101.95,1000000,0
2012-09-17,77,100.6,100.6,100.6,100.6,1000000,0
2012-09-18,78,99.4,99.4,99.4,99.4,1000000,0
2012-09-20,80,98.6,98.6,98.6,98.6,1000000,0
2012-09-21,81,103.2,103.2,103.2,103.2,1000000,0
2012-09-24,84,101.35,101.35,101.35,101.35,1000000,0
2012-09-25,85,106.2,106.2,106.2,106.2,1000000,0
2012-09-26,86,110.65,110.65,110.65,110.65,1000000,0
2012-09-27,87,114.0,114.0,114.0,114.0,1000000,0
2012-09-28,88,111.3,111.3,111.3,111.3,1000000,0
2012-10-01,91,114.0,114.0,114.0,114.0,1000000,0
2012-10-03,93,115.05,115.05,115.05,115.05,1000000,0
2012-10-04,94,113.35,113.35,113.35,113.35,1000000,0
2012-10-05,95,112.3,112.3,112.3,112.3,1000000,0
2012-10-08,98,107.85,107.85,107.85,107.85,1000000,0
2012-10-09,99,106.45,106.45,106.45,106.45,1000000,0
2012-10-10,100,102.65,102.65,102.65,102.65,1000000,0
2012-10-11,101,106.05,106.05,106.05,106.05,1000000,0
2012-10-12,102,106.85,106.85,106.85,106.85,1000000,0
2012-10-15,105,107.55,107.55,107.55,107.55,1000000,0
2012-10-16,106,103.75,103.75,103.75,103.75,1000000,0
2012-10-17,107,102.55,102.55,102.55,102.55,1000000,0
2012-10-18,108,104.55,104.55,104.55,104.55,1000000,0
2012-10-19,109,101.75,101.75,101.75,101.75,1000000,0
2012-10-22,112,102.25,102.25,102.25,102.25,1000000,0
2012-10-23,113,104.35,104.35,104.35,104.35,1000000,0
