Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,141.15,141.15,141.15,141.15,1,0
2012-07-03,1,141.0,141.0,141.0,141.0,1,0
2012-07-04,2,139.15,139.15,139.15,139.15,1,0
2012-07-05,3,140.1,140.1,140.1,140.1,1,0
2012-07-06,4,138.35,138.35,138.35,138.35,1,0
2012-07-09,7,138.8,138.8,138.8,138.8,1,0
2012-07-10,8,138.3,138.3,138.3,138.3,1,0
2012-07-11,9,137.8,137.8,137.8,137.8,1,0
2012-07-12,10,135.75,135.75,135.75,135.75,1,0
2012-07-13,11,135.45,135.45,135.45,135.45,1,0
2012-07-16,14,139.6,139.6,139.6,139.6,1,0
2012-07-17,15,130.9,130.9,130.9,130.9,1,0
2012-07-18,16,134.1,134.1,134.1,134.1,1,0
2012-07-19,17,134.9,134.9,134.9,134.9,1,0
2012-07-20,18,131.8,131.8,131.8,131.8,1,0
2012-07-23,21,130.9,130.9,130.9,130.9,1,0
2012-07-24,22,129.45,129.45,129.45,129.45,1,0
2012-07-25,23,129.0,129.0,129.0,129.0,1,0
2012-07-26,24,127.45,127.45,127.45,127.45,1,0
2012-07-27,25,123.4,123.4,123.4,123.4,1,0
2012-07-30,28,125.3,125.3,125.3,125.3,1,0
2012-07-31,29,132.9,132.9,132.9,132.9,1,0
2012-08-01,30,135.35,135.35,135.35,135.35,1,0
2012-08-02,31,135.05,135.05,135.05,135.05,1,0
2012-08-03,32,133.8,133.8,133.8,133.8,1,0
2012-08-06,35,136.0,136.0,136.0,136.0,1,0
2012-08-07,36,133.7,133.7,133.7,133.7,1,0
2012-08-08,37,133.8,133.8,133.8,133.8,1,0
2012-08-09,38,133.15,133.15,133.15,133.15,1,0
2012-08-10,39,133.6,133.6,133.6,133.6,1,0
2012-08-13,42,129.35,129.35,129.35,129.35,1,0
2012-08-14,43,128.6,128.6,128.6,128.6,1,0
2012-08-16,45,132.3,132.3,132.3,132.3,1,0
2012-08-17,46,132.05,132.05,132.05,132.05,1,0
2012-08-21,50,131.55,131.55,131.55,131.55,1,0
2012-08-22,51,131.75,131.75,131.75,131.75,1,0
2012-08-23,52,129.35,129.35,129.35,129.35,1,0
2012-08-24,53,130.95,130.95,130.95,130.95,1,0
2012-08-27,56,130.85,130.85,130.85,130.85,1,0
2012-08-28,57,126.3,126.3,126.3,126.3,1,0
2012-08-29,58,122.7,122.7,122.7,122.7,1,0
2012-08-30,59,122.4,122.4,122.4,122.4,1,0
2012-08-31,60,125.7,125.7,125.7,125.7,1,0
2012-09-03,63,130.55,130.55,130.55,130.55,1,0
2012-09-04,64,130.05,130.05,130.05,130.05,1,0
2012-09-05,65,130.5,130.5,130.5,130.5,1,0
2012-09-06,66,131.4,131.4,131.4,131.4,1,0
2012-09-07,67,131.9,131.9,131.9,131.9,1,0
2012-09-10,70,137.15,137.15,137.15,137.15,1,0
2012-09-11,71,151.4,151.4,151.4,151.4,1,0
2012-09-12,72,153.15,153.15,153.15,153.15,1,0
2012-09-13,73,163.7,163.7,163.7,163.7,1,0
2012-09-14,74,162.25,162.25,162.25,162.25,1,0
2012-09-17,77,158.7,158.7,158.7,158.7,1,0
2012-09-18,78,165.95,165.95,165.95,165.95,1,0
2012-09-20,80,163.7,163.7,163.7,163.7,1,0
2012-09-21,81,166.6,166.6,166.6,166.6,1,0
2012-09-24,84,166.05,166.05,166.05,166.05,1,0
