Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,60.4,60.4,60.4,60.4,1000000,0
2012-07-03,1,60.7,60.7,60.7,60.7,1000000,0
2012-07-04,2,61.55,61.55,61.55,61.55,1000000,0
2012-07-05,3,61.8,61.8,61.8,61.8,1000000,0
2012-07-06,4,61.75,61.75,61.75,61.75,1000000,0
2012-07-09,7,61.8,61.8,61.8,61.8,1000000,0
2012-07-10,8,61.05,61.05,61.05,61.05,1000000,0
2012-07-11,9,59.4,59.4,59.4,59.4,1000000,0
2012-07-12,10,58.5,58.5,58.5,58.5,1000000,0
2012-07-13,11,57.6,57.6,57.6,57.6,1000000,0
2012-07-16,14,56.95,56.95,56.95,56.95,1000000,0
2012-07-17,15,56.6,56.6,56.6,56.6,1000000,0
2012-07-18,16,56.0,56.0,56.0,56.0,1000000,0
2012-07-19,17,56.3,56.3,56.3,56.3,1000000,0
2012-07-20,18,55.85,55.85,55.85,55.85,1000000,0
2012-07-23,21,54.9,54.9,54.9,54.9,1000000,0
2012-07-24,22,54.3,54.3,54.3,54.3,1000000,0
2012-07-25,23,53.4,53.4,53.4,53.4,1000000,0
2012-07-26,24,52.15,52.15,52.15,52.15,1000000,0
2012-07-27,25,51.7,51.7,51.7,51.7,1000000,0
2012-07-30,28,52.4,52.4,52.4,52.4,1000000,0
2012-07-31,29,53.55,53.55,53.55,53.55,1000000,0
2012-08-01,30,54.25,54.25,54.25,54.25,1000000,0
2012-08-02,31,53.9,53.9,53.9,53.9,1000000,0
2012-08-03,32,53.15,53.15,53.15,53.15,1000000,0
2012-08-06,35,53.75,53.75,53.75,53.75,1000000,0
2012-08-07,36,53.6,53.6,53.6,53.6,1000000,0
2012-08-08,37,54.45,54.45,54.45,54.45,1000000,0
2012-08-09,38,53.75,53.75,53.75,53.75,1000000,0
2012-08-10,39,53.3,53.3,53.3,53.3,1000000,0
2012-08-13,42,53.7,53.7,53.7,53.7,1000000,0
2012-08-14,43,54.05,54.05,54.05,54.05,1000000,0
2012-08-16,45,53.55,53.55,53.55,53.55,1000000,0
2012-08-17,46,53.1,53.1,53.1,53.1,1000000,0
2012-08-21,50,52.4,52.4,52.4,52.4,1000000,0
2012-08-22,51,52.3,52.3,52.3,52.3,1000000,0
2012-08-23,52,52.35,52.35,52.35,52.35,1000000,0
2012-08-24,53,52.05,52.05,52.05,52.05,1000000,0
2012-08-27,56,51.5,51.5,51.5,51.5,1000000,0
2012-08-28,57,51.0,51.0,51.0,51.0,1000000,0
2012-08-29,58,50.15,50.15,50.15,50.15,1000000,0
2012-08-30,59,49.4,49.4,49.4,49.4,1000000,0
2012-08-31,60,49.8,49.8,49.8,49.8,1000000,0
2012-09-03,63,49.95,49.95,49.95,49.95,1000000,0
2012-09-04,64,50.15,50.15,50.15,50.15,1000000,0
2012-09-05,65,49.9,49.9,49.9,49.9,1000000,0
2012-09-06,66,49.8,49.8,49.8,49.8,1000000,0
2012-09-07,67,51.25,51.25,51.25,51.25,1000000,0
2012-09-10,70,52.25,52.25,52.25,52.25,1000000,0
