Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,36.4875,36.4875,36.4875,36.4875,1000000,0
2012-07-03,1,36.375,36.375,36.375,36.375,1000000,0
2012-07-04,2,37.725,37.725,37.725,37.725,1000000,0
2012-07-05,3,43.2,43.2,43.2,43.2,1000000,0
2012-07-06,4,43.35,43.35,43.35,43.35,1000000,0
2012-07-09,7,41.3625,41.3625,41.3625,41.3625,1000000,0
2012-07-10,8,42.4125,42.4125,42.4125,42.4125,1000000,0
2012-07-11,9,42.1875,42.1875,42.1875,42.1875,1000000,0
2012-07-12,10,45.5625,45.5625,45.5625,45.5625,1000000,0
2012-07-13,11,44.3625,44.3625,44.3625,44.3625,1000000,0
2012-07-16,14,42.5625,42.5625,42.5625,42.5625,1000000,0
2012-07-17,15,42.2625,42.2625,42.2625,42.2625,1000000,0
2012-07-18,16,46.5375,46.5375,46.5375,46.5375,1000000,0
2012-07-19,17,44.8875,44.8875,44.8875,44.8875,1000000,0
2012-07-20,18,45.075,45.075,45.075,45.075,1000000,0
2012-07-23,21,45.0375,45.0375,45.0375,45.0375,1000000,0
2012-07-24,22,46.5,46.5,46.5,46.5,1000000,0
2012-07-25,23,46.0875,46.0875,46.0875,46.0875,1000000,0
2012-07-26,24,44.025,44.025,44.025,44.025,1000000,0
2012-07-27,25,44.175,44.175,44.175,44.175,1000000,0
2012-07-30,28,43.95,43.95,43.95,43.95,1000000,0
2012-07-31,29,43.7625,43.7625,43.7625,43.7625,1000000,0
2012-08-01,30,44.0625,44.0625,44.0625,44.0625,1000000,0
2012-08-02,31,44.175,44.175,44.175,44.175,1000000,0
2012-08-03,32,42.9375,42.9375,42.9375,42.9375,1000000,0
2012-08-06,35,43.575,43.575,43.575,43.575,1000000,0
2012-08-07,36,43.65,43.65,43.65,43.65,1000000,0
2012-08-08,37,43.425,43.425,43.425,43.425,1000000,0
2012-08-09,38,42.7875,42.7875,42.7875,42.7875,1000000,0
2012-08-10,39,41.8125,41.8125,41.8125,41.8125,1000000,0
2012-08-13,42,43.425,43.425,43.425,43.425,1000000,0
2012-08-14,43,43.2375,43.2375,43.2375,43.2375,1000000,0
2012-08-16,45,42.6,42.6,42.6,42.6,1000000,0
2012-08-17,46,42.3,42.3,42.3,42.3,1000000,0
2012-08-21,50,42.1125,42.1125,42.1125,42.1125,1000000,0
2012-08-22,51,41.6625,41.6625,41.6625,41.6625,1000000,0
2012-08-23,52,42.7125,42.7125,42.7125,42.7125,1000000,0
2012-08-24,53,42.1125,42.1125,42.1125,42.1125,1000000,0
2012-08-27,56,42.4125,42.4125,42.4125,42.4125,1000000,0
2012-08-28,57,41.7,41.7,41.7,41.7,1000000,0
2012-08-29,58,40.875,40.875,40.875,40.875,1000000,0
2012-08-30,59,41.25,41.25,41.25,41.25,1000000,0
2012-08-31,60,40.7625,40.7625,40.7625,40.7625,1000000,0
2012-09-03,63,41.025,41.025,41.025,41.025,1000000,0
2012-09-04,64,40.6875,40.6875,40.6875,40.6875,1000000,0
2012-09-05,65,40.3875,40.3875,40.3875,40.3875,1000000,0
2012-09-06,66,40.3125,40.3125,40.3125,40.3125,1000000,0
2012-09-07,67,40.7625,40.7625,40.7625,40.7625,1000000,0
2012-09-10,70,41.775,41.775,41.775,41.775,1000000,0
2012-09-11,71,41.475,41.475,41.475,41.475,1000000,0
2012-09-12,72,42.9,42.9,42.9,42.9,1000000,0
2012-09-13,73,42.675,42.675,42.675,42.675,1000000,0
2012-09-14,74,42.675,42.675,42.675,42.675,1000000,0
2012-09-17,77,43.125,43.125,43.125,43.125,1000000,0
2012-09-18,78,42.75,42.75,42.75,42.75,1000000,0
2012-09-20,80,42.4875,42.4875,42.4875,42.4875,1000000,0
2012-09-21,81,42.5625,42.5625,42.5625,42.5625,1000000,0
2012-09-24,84,42.225,42.225,42.225,42.225,1000000,0
2012-09-25,85,42.6375,42.6375,42.6375,42.6375,1000000,0
2012-09-26,86,42.525,42.525,42.525,42.525,1000000,0
2012-09-27,87,42.4125,42.4125,42.4125,42.4125,1000000,0
2012-09-28,88,42.075,42.075,42.075,42.075,1000000,0
2012-10-01,91,42.825,42.825,42.825,42.825,1000000,0
2012-10-03,93,43.2375,43.2375,43.2375,43.2375,1000000,0
2012-10-04,94,42.825,42.825,42.825,42.825,1000000,0
2012-10-05,95,42.375,42.375,42.375,42.375,1000000,0
2012-10-08,98,41.25,41.25,41.25,41.25,1000000,0
2012-10-09,99,41.625,41.625,41.625,41.625,1000000,0
2012-10-10,100,40.425,40.425,40.425,40.425,1000000,0
2012-10-11,101,42.1125,42.1125,42.1125,42.1125,1000000,0
2012-10-12,102,42.1875,42.1875,42.1875,42.1875,1000000,0
2012-10-15,105,42.9,42.9,42.9,42.9,1000000,0
2012-10-16,106,42.6,42.6,42.6,42.6,1000000,0
2012-10-17,107,41.8875,41.8875,41.8875,41.8875,1000000,0
2012-10-18,108,43.425,43.425,43.425,43.425,1000000,0
2012-10-19,109,42.8625,42.8625,42.8625,42.8625,1000000,0
2012-10-22,112,51.4125,51.4125,51.4125,51.4125,1000000,0
2012-10-23,113,49.2,49.2,49.2,49.2,1000000,0
2012-10-25,115,48.3,48.3,48.3,48.3,1000000,0
2012-10-26,116,46.8375,46.8375,46.8375,46.8375,1000000,0
2012-10-29,119,50.8125,50.8125,50.8125,50.8125,1000000,0
2012-10-30,120,50.475,50.475,50.475,50.475,1000000,0
2012-10-31,121,50.0625,50.0625,50.0625,50.0625,1000000,0
2012-11-01,122,50.1375,50.1375,50.1375,50.1375,1000000,0
2012-11-02,123,50.7,50.7,50.7,50.7,1000000,0
2012-11-05,126,49.65,49.65,49.65,49.65,1000000,0
2012-11-06,127,49.1625,49.1625,49.1625,49.1625,1000000,0
2012-11-07,128,52.575,52.575,52.575,52.575,1000000,0
2012-11-08,129,52.05,52.05,52.05,52.05,1000000,0
2012-11-09,130,52.725,52.725,52.725,52.725,1000000,0
2012-11-12,133,57.075,57.075,57.075,57.075,1000000,0
2012-11-13,134,53.925,53.925,53.925,53.925,1000000,0
2012-11-15,136,51.7875,51.7875,51.7875,51.7875,1000000,0
2012-11-16,137,50.6625,50.6625,50.6625,50.6625,1000000,0
2012-11-19,140,50.1,50.1,50.1,50.1,1000000,0
2012-11-20,141,48.3375,48.3375,48.3375,48.3375,1000000,0
2012-11-21,142,48.9,48.9,48.9,48.9,1000000,0
2012-11-22,143,49.5,49.5,49.5,49.5,1000000,0
2012-11-23,144,51.45,51.45,51.45,51.45,1000000,0
2012-11-26,147,51.4875,51.4875,51.4875,51.4875,1000000,0
2012-11-27,148,51.1875,51.1875,51.1875,51.1875,1000000,0
2012-11-29,150,50.8875,50.8875,50.8875,50.8875,1000000,0
2012-11-30,151,50.8125,50.8125,50.8125,50.8125,1000000,0
2012-12-03,154,50.8875,50.8875,50.8875,50.8875,1000000,0
2012-12-04,155,50.475,50.475,50.475,50.475,1000000,0
2012-12-05,156,51.45,51.45,51.45,51.45,1000000,0
2012-12-06,157,51.3375,51.3375,51.3375,51.3375,1000000,0
2012-12-07,158,51.1125,51.1125,51.1125,51.1125,1000000,0
2012-12-10,161,51.975,51.975,51.975,51.975,1000000,0
2012-12-11,162,51.1125,51.1125,51.1125,51.1125,1000000,0
2012-12-12,163,51.225,51.225,51.225,51.225,1000000,0
2012-12-13,164,49.65,49.65,49.65,49.65,1000000,0
2012-12-14,165,50.2125,50.2125,50.2125,50.2125,1000000,0
2012-12-17,168,50.025,50.025,50.025,50.025,1000000,0
2012-12-18,169,48.45,48.45,48.45,48.45,1000000,0
2012-12-19,170,48.4875,48.4875,48.4875,48.4875,1000000,0
2012-12-20,171,47.9625,47.9625,47.9625,47.9625,1000000,0
2012-12-21,172,50.4375,50.4375,50.4375,50.4375,1000000,0
2012-12-24,175,50.7,50.7,50.7,50.7,1000000,0
2012-12-26,177,49.95,49.95,49.95,49.95,1000000,0
2012-12-27,178,49.65,49.65,49.65,49.65,1000000,0
2012-12-28,179,49.05,49.05,49.05,49.05,1000000,0
2012-12-31,182,50.7,50.7,50.7,50.7,1000000,0
2013-01-01,183,50.175,50.175,50.175,50.175,1000000,0
2013-01-02,184,50.325,50.325,50.325,50.325,1000000,0
2013-01-03,185,50.6625,50.6625,50.6625,50.6625,1000000,0
2013-01-04,186,50.7,50.7,50.7,50.7,1000000,0
2013-01-07,189,50.7,50.7,50.7,50.7,1000000,0
2013-01-08,190,50.4,50.4,50.4,50.4,1000000,0
