Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,233.15,233.15,233.15,233.15,1000000,0
2012-07-03,1,230.85,230.85,230.85,230.85,1000000,0
2012-07-04,2,227.8,227.8,227.8,227.8,1000000,0
2012-07-05,3,236.5,236.5,236.5,236.5,1000000,0
2012-07-06,4,232.8,232.8,232.8,232.8,1000000,0
2012-07-09,7,229.6,229.6,229.6,229.6,1000000,0
2012-07-10,8,229.5,229.5,229.5,229.5,1000000,0
2012-07-11,9,228.65,228.65,228.65,228.65,1000000,0
2012-07-12,10,228.25,228.25,228.25,228.25,1000000,0
2012-07-13,11,229.6,229.6,229.6,229.6,1000000,0
2012-07-16,14,230.0,230.0,230.0,230.0,1000000,0
2012-07-17,15,225.85,225.85,225.85,225.85,1000000,0
2012-07-18,16,228.9,228.9,228.9,228.9,1000000,0
2012-07-19,17,230.15,230.15,230.15,230.15,1000000,0
2012-07-20,18,228.9,228.9,228.9,228.9,1000000,0
2012-07-23,21,229.6,229.6,229.6,229.6,1000000,0
2012-07-24,22,225.3,225.3,225.3,225.3,1000000,0
2012-07-25,23,221.95,221.95,221.95,221.95,1000000,0
2012-07-26,24,215.7,215.7,215.7,215.7,1000000,0
2012-07-27,25,213.0,213.0,213.0,213.0,1000000,0
2012-07-30,28,217.55,217.55,217.55,217.55,1000000,0
2012-07-31,29,218.45,218.45,218.45,218.45,1000000,0
2012-08-01,30,218.6,218.6,218.6,218.6,1000000,0
2012-08-02,31,224.25,224.25,224.25,224.25,1000000,0
2012-08-03,32,221.4,221.4,221.4,221.4,1000000,0
2012-08-06,35,217.25,217.25,217.25,217.25,1000000,0
2012-08-07,36,216.9,216.9,216.9,216.9,1000000,0
2012-08-08,37,214.5,214.5,214.5,214.5,1000000,0
2012-08-09,38,211.7,211.7,211.7,211.7,1000000,0
2012-08-10,39,214.95,214.95,214.95,214.95,1000000,0
2012-08-13,42,209.65,209.65,209.65,209.65,1000000,0
2012-08-14,43,209.25,209.25,209.25,209.25,1000000,0
2012-08-16,45,208.35,208.35,208.35,208.35,1000000,0
2012-08-17,46,207.55,207.55,207.55,207.55,1000000,0
2012-08-21,50,206.95,206.95,206.95,206.95,1000000,0
2012-08-22,51,205.75,205.75,205.75,205.75,1000000,0
2012-08-23,52,206.1,206.1,206.1,206.1,1000000,0
2012-08-24,53,207.95,207.95,207.95,207.95,1000000,0
2012-08-27,56,205.25,205.25,205.25,205.25,1000000,0
2012-08-28,57,205.65,205.65,205.65,205.65,1000000,0
