Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,82.2,82.2,82.2,82.2,1000000,0
2012-07-03,1,82.8,82.8,82.8,82.8,1000000,0
2012-07-04,2,84.5,84.5,84.5,84.5,1000000,0
2012-07-05,3,85.15,85.15,85.15,85.15,1000000,0
2012-07-06,4,84.4,84.4,84.4,84.4,1000000,0
2012-07-09,7,82.35,82.35,82.35,82.35,1000000,0
2012-07-10,8,83.2,83.2,83.2,83.2,1000000,0
2012-07-11,9,82.65,82.65,82.65,82.65,1000000,0
2012-07-12,10,82.6,82.6,82.6,82.6,1000000,0
2012-07-13,11,81.6,81.6,81.6,81.6,1000000,0
2012-07-16,14,81.05,81.05,81.05,81.05,1000000,0
2012-07-17,15,82.15,82.15,82.15,82.15,1000000,0
2012-07-18,16,83.65,83.65,83.65,83.65,1000000,0
2012-07-19,17,83.8,83.8,83.8,83.8,1000000,0
2012-07-20,18,83.45,83.45,83.45,83.45,1000000,0
2012-07-23,21,81.65,81.65,81.65,81.65,1000000,0
2012-07-24,22,83.25,83.25,83.25,83.25,1000000,0
2012-07-25,23,82.0,82.0,82.0,82.0,1000000,0
2012-07-26,24,82.95,82.95,82.95,82.95,1000000,0
2012-07-27,25,81.65,81.65,81.65,81.65,1000000,0
2012-07-30,28,81.4,81.4,81.4,81.4,1000000,0
2012-07-31,29,80.05,80.05,80.05,80.05,1000000,0
2012-08-01,30,81.45,81.45,81.45,81.45,1000000,0
2012-08-02,31,81.95,81.95,81.95,81.95,1000000,0
2012-08-03,32,82.1,82.1,82.1,82.1,1000000,0
2012-08-06,35,83.1,83.1,83.1,83.1,1000000,0
2012-08-07,36,83.2,83.2,83.2,83.2,1000000,0
2012-08-08,37,86.95,86.95,86.95,86.95,1000000,0
2012-08-09,38,84.75,84.75,84.75,84.75,1000000,0
2012-08-10,39,83.05,83.05,83.05,83.05,1000000,0
2012-08-13,42,84.85,84.85,84.85,84.85,1000000,0
2012-08-14,43,84.35,84.35,84.35,84.35,1000000,0
2012-08-16,45,84.8,84.8,84.8,84.8,1000000,0
2012-08-17,46,84.5,84.5,84.5,84.5,1000000,0
2012-08-21,50,83.5,83.5,83.5,83.5,1000000,0
2012-08-22,51,81.75,81.75,81.75,81.75,1000000,0
2012-08-23,52,80.15,80.15,80.15,80.15,1000000,0
2012-08-24,53,80.45,80.45,80.45,80.45,1000000,0
2012-08-27,56,82.1,82.1,82.1,82.1,1000000,0
2012-08-28,57,80.1,80.1,80.1,80.1,1000000,0
2012-08-29,58,80.35,80.35,80.35,80.35,1000000,0
2012-08-30,59,77.65,77.65,77.65,77.65,1000000,0
2012-08-31,60,78.45,78.45,78.45,78.45,1000000,0
2012-09-03,63,77.35,77.35,77.35,77.35,1000000,0
2012-09-04,64,77.65,77.65,77.65,77.65,1000000,0
2012-09-05,65,76.95,76.95,76.95,76.95,1000000,0
2012-09-06,66,78.05,78.05,78.05,78.05,1000000,0
2012-09-07,67,79.3,79.3,79.3,79.3,1000000,0
2012-09-10,70,78.75,78.75,78.75,78.75,1000000,0
2012-09-11,71,78.2,78.2,78.2,78.2,1000000,0
2012-09-12,72,78.6,78.6,78.6,78.6,1000000,0
2012-09-13,73,80.05,80.05,80.05,80.05,1000000,0
2012-09-14,74,81.0,81.0,81.0,81.0,1000000,0
