Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,16.85,16.85,16.85,16.85,1,0
2012-07-03,1,17.2,17.2,17.2,17.2,1,0
2012-07-04,2,17.3,17.3,17.3,17.3,1,0
2012-07-05,3,18.2,18.2,18.2,18.2,1,0
2012-07-06,4,17.6,17.6,17.6,17.6,1,0
2012-07-09,7,17.4,17.4,17.4,17.4,1,0
2012-07-10,8,17.4,17.4,17.4,17.4,1,0
2012-07-11,9,17.15,17.15,17.15,17.15,1,0
2012-07-12,10,17.5,17.5,17.5,17.5,1,0
2012-07-13,11,17.25,17.25,17.25,17.25,1,0
2012-07-16,14,17.25,17.25,17.25,17.25,1,0
2012-07-17,15,17.2,17.2,17.2,17.2,1,0
2012-07-18,16,17.45,17.45,17.45,17.45,1,0
2012-07-19,17,16.8,16.8,16.8,16.8,1,0
2012-07-20,18,16.6,16.6,16.6,16.6,1,0
2012-07-23,21,16.3,16.3,16.3,16.3,1,0
2012-07-24,22,17.1,17.1,17.1,17.1,1,0
2012-07-25,23,16.65,16.65,16.65,16.65,1,0
2012-07-26,24,16.0,16.0,16.0,16.0,1,0
2012-07-27,25,15.9,15.9,15.9,15.9,1,0
2012-07-30,28,16.0,16.0,16.0,16.0,1,0
2012-07-31,29,15.95,15.95,15.95,15.95,1,0
2012-08-01,30,16.05,16.05,16.05,16.05,1,0
2012-08-02,31,16.1,16.1,16.1,16.1,1,0
2012-08-03,32,16.0,16.0,16.0,16.0,1,0
2012-08-06,35,16.05,16.05,16.05,16.05,1,0
2012-08-07,36,16.1,16.1,16.1,16.1,1,0
2012-08-08,37,16.0,16.0,16.0,16.0,1,0
2012-08-09,38,15.95,15.95,15.95,15.95,1,0
2012-08-10,39,15.9,15.9,15.9,15.9,1,0
2012-08-13,42,15.85,15.85,15.85,15.85,1,0
2012-08-14,43,15.8,15.8,15.8,15.8,1,0
2012-08-16,45,16.05,16.05,16.05,16.05,1,0
2012-08-17,46,16.05,16.05,16.05,16.05,1,0
2012-08-21,50,15.9,15.9,15.9,15.9,1,0
2012-08-22,51,16.35,16.35,16.35,16.35,1,0
2012-08-23,52,16.1,16.1,16.1,16.1,1,0
2012-08-24,53,16.0,16.0,16.0,16.0,1,0
2012-08-27,56,15.8,15.8,15.8,15.8,1,0
2012-08-28,57,15.5,15.5,15.5,15.5,1,0
2012-08-29,58,15.4,15.4,15.4,15.4,1,0
2012-08-30,59,15.15,15.15,15.15,15.15,1,0
2012-08-31,60,15.15,15.15,15.15,15.15,1,0
2012-09-03,63,15.1,15.1,15.1,15.1,1,0
2012-09-04,64,15.15,15.15,15.15,15.15,1,0
2012-09-05,65,15.05,15.05,15.05,15.05,1,0
2012-09-06,66,15.15,15.15,15.15,15.15,1,0
2012-09-07,67,15.25,15.25,15.25,15.25,1,0
2012-09-10,70,15.7,15.7,15.7,15.7,1,0
2012-09-11,71,16.55,16.55,16.55,16.55,1,0
2012-09-12,72,17.85,17.85,17.85,17.85,1,0
2012-09-13,73,17.2,17.2,17.2,17.2,1,0
2012-09-14,74,17.1,17.1,17.1,17.1,1,0
2012-09-17,77,17.4,17.4,17.4,17.4,1,0
2012-09-18,78,17.2,17.2,17.2,17.2,1,0
2012-09-20,80,16.8,16.8,16.8,16.8,1,0
2012-09-21,81,17.2,17.2,17.2,17.2,1,0
2012-09-24,84,17.0,17.0,17.0,17.0,1,0
2012-09-25,85,17.0,17.0,17.0,17.0,1,0
2012-09-26,86,16.9,16.9,16.9,16.9,1,0
2012-09-27,87,16.85,16.85,16.85,16.85,1,0
2012-09-28,88,16.85,16.85,16.85,16.85,1,0
2012-10-01,91,17.15,17.15,17.15,17.15,1,0
2012-10-03,93,17.05,17.05,17.05,17.05,1,0
2012-10-04,94,17.2,17.2,17.2,17.2,1,0
2012-10-05,95,16.9,16.9,16.9,16.9,1,0
2012-10-08,98,16.85,16.85,16.85,16.85,1,0
2012-10-09,99,17.15,17.15,17.15,17.15,1,0
2012-10-10,100,16.8,16.8,16.8,16.8,1,0
2012-10-11,101,16.95,16.95,16.95,16.95,1,0
2012-10-12,102,16.8,16.8,16.8,16.8,1,0
2012-10-15,105,16.8,16.8,16.8,16.8,1,0
2012-10-16,106,16.6,16.6,16.6,16.6,1,0
2012-10-17,107,16.65,16.65,16.65,16.65,1,0
2012-10-18,108,16.8,16.8,16.8,16.8,1,0
2012-10-19,109,16.95,16.95,16.95,16.95,1,0
2012-10-22,112,16.9,16.9,16.9,16.9,1,0
2012-10-23,113,17.05,17.05,17.05,17.05,1,0
2012-10-25,115,17.1,17.1,17.1,17.1,1,0
2012-10-26,116,17.15,17.15,17.15,17.15,1,0
2012-10-29,119,16.85,16.85,16.85,16.85,1,0
2012-10-30,120,16.65,16.65,16.65,16.65,1,0
2012-10-31,121,16.5,16.5,16.5,16.5,1,0
2012-11-01,122,17.8,17.8,17.8,17.8,1,0
2012-11-02,123,17.0,17.0,17.0,17.0,1,0
2012-11-05,126,17.0,17.0,17.0,17.0,1,0
2012-11-06,127,16.9,16.9,16.9,16.9,1,0
2012-11-07,128,16.85,16.85,16.85,16.85,1,0
2012-11-08,129,16.8,16.8,16.8,16.8,1,0
2012-11-09,130,16.8,16.8,16.8,16.8,1,0
2012-11-12,133,16.75,16.75,16.75,16.75,1,0
2012-11-13,134,16.8,16.8,16.8,16.8,1,0
2012-11-15,136,16.8,16.8,16.8,16.8,1,0
2012-11-16,137,16.8,16.8,16.8,16.8,1,0
2012-11-19,140,16.7,16.7,16.7,16.7,1,0
2012-11-20,141,16.45,16.45,16.45,16.45,1,0
2012-11-21,142,16.4,16.4,16.4,16.4,1,0
2012-11-22,143,16.35,16.35,16.35,16.35,1,0
2012-11-23,144,16.35,16.35,16.35,16.35,1,0
2012-11-26,147,16.4,16.4,16.4,16.4,1,0
2012-11-27,148,16.6,16.6,16.6,16.6,1,0
2012-11-29,150,16.5,16.5,16.5,16.5,1,0
2012-11-30,151,16.75,16.75,16.75,16.75,1,0
2012-12-03,154,16.85,16.85,16.85,16.85,1,0
2012-12-04,155,17.2,17.2,17.2,17.2,1,0
