Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,128.96,128.96,128.96,128.96,1000000,0
2012-07-03,1,127.41,127.41,127.41,127.41,1000000,0
2012-07-04,2,127.41,127.41,127.41,127.41,1000000,0
2012-07-05,3,132.99,132.99,132.99,132.99,1000000,0
2012-07-06,4,129.89,129.89,129.89,129.89,1000000,0
2012-07-09,7,128.4,128.4,128.4,128.4,1000000,0
2012-07-10,8,129.96,129.96,129.96,129.96,1000000,0
2012-07-11,9,129.17,129.17,129.17,129.17,1000000,0
2012-07-12,10,130.57,130.57,130.57,130.57,1000000,0
2012-07-13,11,130.24,130.24,130.24,130.24,1000000,0
2012-07-16,14,129.89,129.89,129.89,129.89,1000000,0
2012-07-17,15,129.62,129.62,129.62,129.62,1000000,0
2012-07-18,16,129.18,129.18,129.18,129.18,1000000,0
2012-07-19,17,132.24,132.24,132.24,132.24,1000000,0
2012-07-20,18,132.23,132.23,132.23,132.23,1000000,0
2012-07-23,21,134.13,134.13,134.13,134.13,1000000,0
2012-07-24,22,135.36,135.36,135.36,135.36,1000000,0
2012-07-25,23,134.02,134.02,134.02,134.02,1000000,0
2012-07-26,24,134.19,134.19,134.19,134.19,1000000,0
2012-07-27,25,133.13,133.13,133.13,133.13,1000000,0
2012-07-30,28,134.02,134.02,134.02,134.02,1000000,0
2012-07-31,29,131.2,131.2,131.2,131.2,1000000,0
2012-08-01,30,136.85,136.85,136.85,136.85,1000000,0
2012-08-02,31,135.57,135.57,135.57,135.57,1000000,0
2012-08-03,32,135.04,135.04,135.04,135.04,1000000,0
2012-08-06,35,134.79,134.79,134.79,134.79,1000000,0
2012-08-07,36,133.67,133.67,133.67,133.67,1000000,0
2012-08-08,37,131.65,131.65,131.65,131.65,1000000,0
2012-08-09,38,130.08,130.08,130.08,130.08,1000000,0
2012-08-10,39,128.93,128.93,128.93,128.93,1000000,0
2012-08-13,42,127.51,127.51,127.51,127.51,1000000,0
2012-08-14,43,129.66,129.66,129.66,129.66,1000000,0
2012-08-16,45,130.3,130.3,130.3,130.3,1000000,0
2012-08-17,46,130.43,130.43,130.43,130.43,1000000,0
2012-08-21,50,131.57,131.57,131.57,131.57,1000000,0
2012-08-22,51,128.13,128.13,128.13,128.13,1000000,0
2012-08-23,52,126.72,126.72,126.72,126.72,1000000,0
2012-08-24,53,126.11,126.11,126.11,126.11,1000000,0
2012-08-27,56,128.74,128.74,128.74,128.74,1000000,0
2012-08-28,57,130.16,130.16,130.16,130.16,1000000,0
2012-08-29,58,127.61,127.61,127.61,127.61,1000000,0
2012-08-30,59,127.9,127.9,127.9,127.9,1000000,0
2012-08-31,60,128.77,128.77,128.77,128.77,1000000,0
2012-09-03,63,130.03,130.03,130.03,130.03,1000000,0
2012-09-04,64,129.02,129.02,129.02,129.02,1000000,0
2012-09-05,65,129.77,129.77,129.77,129.77,1000000,0
2012-09-06,66,129.26,129.26,129.26,129.26,1000000,0
2012-09-07,67,128.05,128.05,128.05,128.05,1000000,0
2012-09-10,70,127.19,127.19,127.19,127.19,1000000,0
2012-09-11,71,128.96,128.96,128.96,128.96,1000000,0
2012-09-12,72,130.82,130.82,130.82,130.82,1000000,0
2012-09-13,73,129.51,129.51,129.51,129.51,1000000,0
2012-09-14,74,132.89,132.89,132.89,132.89,1000000,0
2012-09-17,77,132.78,132.78,132.78,132.78,1000000,0
2012-09-18,78,134.05,134.05,134.05,134.05,1000000,0
2012-09-20,80,135.54,135.54,135.54,135.54,1000000,0
2012-09-21,81,134.02,134.02,134.02,134.02,1000000,0
2012-09-24,84,134.29,134.29,134.29,134.29,1000000,0
2012-09-25,85,138.92,138.92,138.92,138.92,1000000,0
2012-09-26,86,139.22,139.22,139.22,139.22,1000000,0
2012-09-27,87,136.37,136.37,136.37,136.37,1000000,0
2012-09-28,88,134.41,134.41,134.41,134.41,1000000,0
2012-10-01,91,137.04,137.04,137.04,137.04,1000000,0
2012-10-03,93,141.88,141.88,141.88,141.88,1000000,0
2012-10-04,94,140.72,140.72,140.72,140.72,1000000,0
2012-10-05,95,137.92,137.92,137.92,137.92,1000000,0
2012-10-08,98,138.33,138.33,138.33,138.33,1000000,0
2012-10-09,99,139.78,139.78,139.78,139.78,1000000,0
2012-10-10,100,137.12,137.12,137.12,137.12,1000000,0
2012-10-11,101,138.59,138.59,138.59,138.59,1000000,0
2012-10-12,102,136.89,136.89,136.89,136.89,1000000,0
2012-10-15,105,137.35,137.35,137.35,137.35,1000000,0
2012-10-16,106,136.98,136.98,136.98,136.98,1000000,0
2012-10-17,107,136.5,136.5,136.5,136.5,1000000,0
2012-10-18,108,139.2,139.2,139.2,139.2,1000000,0
2012-10-19,109,137.54,137.54,137.54,137.54,1000000,0
2012-10-22,112,140.35,140.35,140.35,140.35,1000000,0
2012-10-23,113,138.93,138.93,138.93,138.93,1000000,0
2012-10-25,115,137.77,137.77,137.77,137.77,1000000,0
2012-10-26,116,137.05,137.05,137.05,137.05,1000000,0
2012-10-29,119,137.2,137.2,137.2,137.2,1000000,0
2012-10-30,120,134.38,134.38,134.38,134.38,1000000,0
2012-10-31,121,136.13,136.13,136.13,136.13,1000000,0
2012-11-01,122,135.99,135.99,135.99,135.99,1000000,0
2012-11-02,123,137.19,137.19,137.19,137.19,1000000,0
2012-11-05,126,136.6,136.6,136.6,136.6,1000000,0
2012-11-06,127,140.05,140.05,140.05,140.05,1000000,0
2012-11-07,128,140.09,140.09,140.09,140.09,1000000,0
2012-11-08,129,140.06,140.06,140.06,140.06,1000000,0
2012-11-09,130,141.59,141.59,141.59,141.59,1000000,0
2012-11-12,133,144.17,144.17,144.17,144.17,1000000,0
2012-11-13,134,142.82,142.82,142.82,142.82,1000000,0
2012-11-15,136,141.95,141.95,141.95,141.95,1000000,0
