Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,66.22,66.22,66.22,66.22,1,0
2012-07-03,1,68.03,68.03,68.03,68.03,1,0
2012-07-04,2,68.07,68.07,68.07,68.07,1,0
2012-07-05,3,69.4,69.4,69.4,69.4,1,0
2012-07-06,4,68.56,68.56,68.56,68.56,1,0
2012-07-09,7,70.12,70.12,70.12,70.12,1,0
2012-07-10,8,70.0,70.0,70.0,70.0,1,0
2012-07-11,9,69.4,69.4,69.4,69.4,1,0
2012-07-12,10,68.09,68.09,68.09,68.09,1,0
2012-07-13,11,70.07,70.07,70.07,70.07,1,0
2012-07-16,14,69.99,69.99,69.99,69.99,1,0
2012-07-17,15,70.01,70.01,70.01,70.01,1,0
2012-07-18,16,69.99,69.99,69.99,69.99,1,0
2012-07-19,17,71.05,71.05,71.05,71.05,1,0
2012-07-20,18,70.7,70.7,70.7,70.7,1,0
2012-07-23,21,71.57,71.57,71.57,71.57,1,0
2012-07-24,22,73.17,73.17,73.17,73.17,1,0
2012-07-25,23,71.91,71.91,71.91,71.91,1,0
2012-07-26,24,71.11,71.11,71.11,71.11,1,0
2012-07-27,25,69.27,69.27,69.27,69.27,1,0
2012-07-30,28,69.64,69.64,69.64,69.64,1,0
2012-07-31,29,69.49,69.49,69.49,69.49,1,0
2012-08-01,30,68.79,68.79,68.79,68.79,1,0
2012-08-02,31,68.82,68.82,68.82,68.82,1,0
2012-08-03,32,70.39,70.39,70.39,70.39,1,0
2012-08-06,35,71.1,71.1,71.1,71.1,1,0
2012-08-07,36,71.26,71.26,71.26,71.26,1,0
2012-08-08,37,71.98,71.98,71.98,71.98,1,0
2012-08-09,38,71.55,71.55,71.55,71.55,1,0
2012-08-10,39,71.28,71.28,71.28,71.28,1,0
2012-08-13,42,70.93,70.93,70.93,70.93,1,0
2012-08-14,43,72.17,72.17,72.17,72.17,1,0
2012-08-16,45,72.02,72.02,72.02,72.02,1,0
2012-08-17,46,71.77,71.77,71.77,71.77,1,0
2012-08-21,50,71.26,71.26,71.26,71.26,1,0
2012-08-22,51,70.11,70.11,70.11,70.11,1,0
2012-08-23,52,68.67,68.67,68.67,68.67,1,0
2012-08-24,53,69.37,69.37,69.37,69.37,1,0
2012-08-27,56,70.07,70.07,70.07,70.07,1,0
2012-08-28,57,70.54,70.54,70.54,70.54,1,0
2012-08-29,58,69.99,69.99,69.99,69.99,1,0
2012-08-30,59,69.46,69.46,69.46,69.46,1,0
2012-08-31,60,70.32,70.32,70.32,70.32,1,0
2012-09-03,63,69.94,69.94,69.94,69.94,1,0
2012-09-04,64,69.55,69.55,69.55,69.55,1,0
2012-09-05,65,68.92,68.92,68.92,68.92,1,0
2012-09-06,66,69.01,69.01,69.01,69.01,1,0
2012-09-07,67,69.89,69.89,69.89,69.89,1,0
2012-09-10,70,74.74,74.74,74.74,74.74,1,0
2012-09-11,71,74.66,74.66,74.66,74.66,1,0
2012-09-12,72,74.45,74.45,74.45,74.45,1,0
2012-09-13,73,75.6,75.6,75.6,75.6,1,0
2012-09-14,74,75.61,75.61,75.61,75.61,1,0
2012-09-17,77,74.04,74.04,74.04,74.04,1,0
2012-09-18,78,76.29,76.29,76.29,76.29,1,0
2012-09-20,80,75.1,75.1,75.1,75.1,1,0
2012-09-21,81,75.37,75.37,75.37,75.37,1,0
2012-09-24,84,74.02,74.02,74.02,74.02,1,0
2012-09-25,85,74.26,74.26,74.26,74.26,1,0
2012-09-26,86,73.88,73.88,73.88,73.88,1,0
2012-09-27,87,74.9,74.9,74.9,74.9,1,0
