Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,250.075,250.075,250.075,250.075,1,0
2012-07-03,1,252.25,252.25,252.25,252.25,1,0
2012-07-04,2,250.525,250.525,250.525,250.525,1,0
2012-07-05,3,249.85,249.85,249.85,249.85,1,0
2012-07-06,4,244.075,244.075,244.075,244.075,1,0
2012-07-09,7,236.95,236.95,236.95,236.95,1,0
2012-07-10,8,237.95,237.95,237.95,237.95,1,0
2012-07-11,9,236.875,236.875,236.875,236.875,1,0
2012-07-12,10,240.05,240.05,240.05,240.05,1,0
2012-07-13,11,242.675,242.675,242.675,242.675,1,0
2012-07-16,14,240.925,240.925,240.925,240.925,1,0
2012-07-17,15,241.1,241.1,241.1,241.1,1,0
2012-07-18,16,241.5,241.5,241.5,241.5,1,0
2012-07-19,17,246.425,246.425,246.425,246.425,1,0
2012-07-20,18,248.15,248.15,248.15,248.15,1,0
2012-07-23,21,250.15,250.15,250.15,250.15,1,0
2012-07-24,22,252.325,252.325,252.325,252.325,1,0
2012-07-25,23,250.05,250.05,250.05,250.05,1,0
2012-07-26,24,247.85,247.85,247.85,247.85,1,0
2012-07-27,25,244.3,244.3,244.3,244.3,1,0
2012-07-30,28,248.1,248.1,248.1,248.1,1,0
2012-07-31,29,248.15,248.15,248.15,248.15,1,0
2012-08-01,30,247.825,247.825,247.825,247.825,1,0
2012-08-02,31,246.85,246.85,246.85,246.85,1,0
2012-08-03,32,242.7,242.7,242.7,242.7,1,0
2012-08-06,35,242.225,242.225,242.225,242.225,1,0
2012-08-07,36,240.225,240.225,240.225,240.225,1,0
2012-08-08,37,240.475,240.475,240.475,240.475,1,0
2012-08-09,38,241.1,241.1,241.1,241.1,1,0
2012-08-10,39,238.325,238.325,238.325,238.325,1,0
2012-08-13,42,240.275,240.275,240.275,240.275,1,0
2012-08-14,43,242.9,242.9,242.9,242.9,1,0
2012-08-16,45,238.975,238.975,238.975,238.975,1,0
2012-08-17,46,239.675,239.675,239.675,239.675,1,0
2012-08-21,50,238.5,238.5,238.5,238.5,1,0
2012-08-22,51,239.875,239.875,239.875,239.875,1,0
2012-08-23,52,240.3,240.3,240.3,240.3,1,0
2012-08-24,53,239.5,239.5,239.5,239.5,1,0
2012-08-27,56,241.225,241.225,241.225,241.225,1,0
2012-08-28,57,242.8,242.8,242.8,242.8,1,0
2012-08-29,58,246.025,246.025,246.025,246.025,1,0
2012-08-30,59,244.375,244.375,244.375,244.375,1,0
2012-08-31,60,246.5,246.5,246.5,246.5,1,0
2012-09-03,63,243.125,243.125,243.125,243.125,1,0
2012-09-04,64,244.6,244.6,244.6,244.6,1,0
2012-09-05,65,240.9,240.9,240.9,240.9,1,0
2012-09-06,66,246.2,246.2,246.2,246.2,1,0
2012-09-07,67,242.3,242.3,242.3,242.3,1,0
2012-09-10,70,246.825,246.825,246.825,246.825,1,0
2012-09-11,71,244.525,244.525,244.525,244.525,1,0
2012-09-12,72,241.15,241.15,241.15,241.15,1,0
2012-09-13,73,240.65,240.65,240.65,240.65,1,0
2012-09-14,74,243.675,243.675,243.675,243.675,1,0
