Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,10.75,10.75,10.75,10.75,1000000,0
2012-07-03,1,10.9,10.9,10.9,10.9,1000000,0
2012-07-04,2,10.95,10.95,10.95,10.95,1000000,0
2012-07-05,3,11.2,11.2,11.2,11.2,1000000,0
2012-07-06,4,10.65,10.65,10.65,10.65,1000000,0
2012-07-09,7,11.15,11.15,11.15,11.15,1000000,0
2012-07-10,8,11.3,11.3,11.3,11.3,1000000,0
2012-07-11,9,11.4,11.4,11.4,11.4,1000000,0
2012-07-12,10,11.0,11.0,11.0,11.0,1000000,0
2012-07-13,11,11.45,11.45,11.45,11.45,1000000,0
2012-07-16,14,11.5,11.5,11.5,11.5,1000000,0
2012-07-17,15,11.1,11.1,11.1,11.1,1000000,0
2012-07-18,16,11.65,11.65,11.65,11.65,1000000,0
2012-07-19,17,11.25,11.25,11.25,11.25,1000000,0
2012-07-20,18,11.9,11.9,11.9,11.9,1000000,0
2012-07-23,21,11.8,11.8,11.8,11.8,1000000,0
2012-07-24,22,12.3,12.3,12.3,12.3,1000000,0
2012-07-25,23,13.25,13.25,13.25,13.25,1000000,0
2012-07-26,24,12.15,12.15,12.15,12.15,1000000,0
2012-07-27,25,12.05,12.05,12.05,12.05,1000000,0
2012-07-30,28,11.15,11.15,11.15,11.15,1000000,0
2012-07-31,29,11.05,11.05,11.05,11.05,1000000,0
2012-08-01,30,11.1,11.1,11.1,11.1,1000000,0
2012-08-02,31,11.1,11.1,11.1,11.1,1000000,0
2012-08-03,32,11.1,11.1,11.1,11.1,1000000,0
2012-08-06,35,11.55,11.55,11.55,11.55,1000000,0
2012-08-07,36,11.9,11.9,11.9,11.9,1000000,0
2012-08-08,37,11.85,11.85,11.85,11.85,1000000,0
2012-08-09,38,12.35,12.35,12.35,12.35,1000000,0
2012-08-10,39,12.05,12.05,12.05,12.05,1000000,0
2012-08-13,42,11.95,11.95,11.95,11.95,1000000,0
2012-08-14,43,11.25,11.25,11.25,11.25,1000000,0
2012-08-16,45,11.1,11.1,11.1,11.1,1000000,0
2012-08-17,46,12.15,12.15,12.15,12.15,1000000,0
2012-08-21,50,13.6,13.6,13.6,13.6,1000000,0
2012-08-22,51,13.65,13.65,13.65,13.65,1000000,0
2012-08-23,52,14.05,14.05,14.05,14.05,1000000,0
2012-08-24,53,14.0,14.0,14.0,14.0,1000000,0
2012-08-27,56,14.0,14.0,14.0,14.0,1000000,0
2012-08-28,57,14.05,14.05,14.05,14.05,1000000,0
2012-08-29,58,14.0,14.0,14.0,14.0,1000000,0
2012-08-30,59,14.6,14.6,14.6,14.6,1000000,0
2012-08-31,60,14.3,14.3,14.3,14.3,1000000,0
2012-09-03,63,14.65,14.65,14.65,14.65,1000000,0
2012-09-04,64,14.55,14.55,14.55,14.55,1000000,0
2012-09-05,65,14.7,14.7,14.7,14.7,1000000,0
2012-09-06,66,15.1,15.1,15.1,15.1,1000000,0
2012-09-07,67,15.25,15.25,15.25,15.25,1000000,0
2012-09-10,70,16.0,16.0,16.0,16.0,1000000,0
2012-09-11,71,16.25,16.25,16.25,16.25,1000000,0
2012-09-12,72,16.9,16.9,16.9,16.9,1000000,0
2012-09-13,73,16.95,16.95,16.95,16.95,1000000,0
2012-09-14,74,16.2,16.2,16.2,16.2,1000000,0
2012-09-17,77,15.45,15.45,15.45,15.45,1000000,0
2012-09-18,78,15.55,15.55,15.55,15.55,1000000,0
2012-09-20,80,16.25,16.25,16.25,16.25,1000000,0
2012-09-21,81,16.55,16.55,16.55,16.55,1000000,0
2012-09-24,84,17.0,17.0,17.0,17.0,1000000,0
2012-09-25,85,17.0,17.0,17.0,17.0,1000000,0
2012-09-26,86,17.0,17.0,17.0,17.0,1000000,0
2012-09-27,87,17.0,17.0,17.0,17.0,1000000,0
2012-09-28,88,17.15,17.15,17.15,17.15,1000000,0
2012-10-01,91,17.3,17.3,17.3,17.3,1000000,0
2012-10-03,93,17.2,17.2,17.2,17.2,1000000,0
2012-10-04,94,17.2,17.2,17.2,17.2,1000000,0
2012-10-05,95,16.6,16.6,16.6,16.6,1000000,0
2012-10-08,98,16.25,16.25,16.25,16.25,1000000,0
2012-10-09,99,16.35,16.35,16.35,16.35,1000000,0
2012-10-10,100,15.95,15.95,15.95,15.95,1000000,0
2012-10-11,101,15.7,15.7,15.7,15.7,1000000,0
2012-10-12,102,15.75,15.75,15.75,15.75,1000000,0
2012-10-15,105,15.75,15.75,15.75,15.75,1000000,0
2012-10-16,106,15.55,15.55,15.55,15.55,1000000,0
2012-10-17,107,15.35,15.35,15.35,15.35,1000000,0
2012-10-18,108,15.25,15.25,15.25,15.25,1000000,0
2012-10-19,109,15.1,15.1,15.1,15.1,1000000,0
2012-10-22,112,15.95,15.95,15.95,15.95,1000000,0
2012-10-23,113,15.45,15.45,15.45,15.45,1000000,0
2012-10-25,115,15.15,15.15,15.15,15.15,1000000,0
2012-10-26,116,15.0,15.0,15.0,15.0,1000000,0
2012-10-29,119,15.0,15.0,15.0,15.0,1000000,0
2012-10-30,120,15.0,15.0,15.0,15.0,1000000,0
2012-10-31,121,15.0,15.0,15.0,15.0,1000000,0
2012-11-01,122,15.15,15.15,15.15,15.15,1000000,0
2012-11-02,123,15.1,15.1,15.1,15.1,1000000,0
2012-11-05,126,14.85,14.85,14.85,14.85,1000000,0
2012-11-06,127,15.0,15.0,15.0,15.0,1000000,0
2012-11-07,128,14.9,14.9,14.9,14.9,1000000,0
2012-11-08,129,15.0,15.0,15.0,15.0,1000000,0
2012-11-09,130,14.6,14.6,14.6,14.6,1000000,0
2012-11-12,133,14.5,14.5,14.5,14.5,1000000,0
2012-11-13,134,14.5,14.5,14.5,14.5,1000000,0
2012-11-15,136,14.5,14.5,14.5,14.5,1000000,0
2012-11-16,137,14.45,14.45,14.45,14.45,1000000,0
2012-11-19,140,14.6,14.6,14.6,14.6,1000000,0
2012-11-20,141,14.35,14.35,14.35,14.35,1000000,0
2012-11-21,142,14.5,14.5,14.5,14.5,1000000,0
2012-11-22,143,14.35,14.35,14.35,14.35,1000000,0
2012-11-23,144,14.15,14.15,14.15,14.15,1000000,0
2012-11-26,147,14.1,14.1,14.1,14.1,1000000,0
2012-11-27,148,14.45,14.45,14.45,14.45,1000000,0
2012-11-29,150,14.15,14.15,14.15,14.15,1000000,0
2012-11-30,151,14.25,14.25,14.25,14.25,1000000,0
2012-12-03,154,13.8,13.8,13.8,13.8,1000000,0
2012-12-04,155,13.6,13.6,13.6,13.6,1000000,0
2012-12-05,156,13.45,13.45,13.45,13.45,1000000,0
2012-12-06,157,13.75,13.75,13.75,13.75,1000000,0
2012-12-07,158,13.3,13.3,13.3,13.3,1000000,0
2012-12-10,161,13.3,13.3,13.3,13.3,1000000,0
2012-12-11,162,13.05,13.05,13.05,13.05,1000000,0
2012-12-12,163,12.65,12.65,12.65,12.65,1000000,0
2012-12-13,164,12.6,12.6,12.6,12.6,1000000,0
2012-12-14,165,12.05,12.05,12.05,12.05,1000000,0
2012-12-17,168,12.5,12.5,12.5,12.5,1000000,0
2012-12-18,169,12.4,12.4,12.4,12.4,1000000,0
2012-12-19,170,13.2,13.2,13.2,13.2,1000000,0
2012-12-20,171,12.55,12.55,12.55,12.55,1000000,0
