Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,36.1,36.1,36.1,36.1,1000000,0
2012-07-03,1,36.95,36.95,36.95,36.95,1000000,0
2012-07-04,2,38.05,38.05,38.05,38.05,1000000,0
2012-07-05,3,38.5,38.5,38.5,38.5,1000000,0
2012-07-06,4,38.4,38.4,38.4,38.4,1000000,0
2012-07-09,7,36.9,36.9,36.9,36.9,1000000,0
2012-07-10,8,37.55,37.55,37.55,37.55,1000000,0
2012-07-11,9,37.05,37.05,37.05,37.05,1000000,0
2012-07-12,10,36.75,36.75,36.75,36.75,1000000,0
2012-07-13,11,35.4,35.4,35.4,35.4,1000000,0
2012-07-16,14,35.9,35.9,35.9,35.9,1000000,0
2012-07-17,15,35.5,35.5,35.5,35.5,1000000,0
2012-07-18,16,35.4,35.4,35.4,35.4,1000000,0
2012-07-19,17,35.65,35.65,35.65,35.65,1000000,0
2012-07-20,18,35.2,35.2,35.2,35.2,1000000,0
2012-07-23,21,39.1,39.1,39.1,39.1,1000000,0
2012-07-24,22,38.9,38.9,38.9,38.9,1000000,0
2012-07-25,23,36.7,36.7,36.7,36.7,1000000,0
2012-07-26,24,35.55,35.55,35.55,35.55,1000000,0
2012-07-27,25,35.75,35.75,35.75,35.75,1000000,0
2012-07-30,28,35.85,35.85,35.85,35.85,1000000,0
2012-07-31,29,36.75,36.75,36.75,36.75,1000000,0
2012-08-01,30,38.6,38.6,38.6,38.6,1000000,0
2012-08-02,31,39.4,39.4,39.4,39.4,1000000,0
2012-08-03,32,39.25,39.25,39.25,39.25,1000000,0
2012-08-06,35,38.7,38.7,38.7,38.7,1000000,0
2012-08-07,36,37.8,37.8,37.8,37.8,1000000,0
2012-08-08,37,37.5,37.5,37.5,37.5,1000000,0
2012-08-09,38,37.5,37.5,37.5,37.5,1000000,0
2012-08-10,39,36.5,36.5,36.5,36.5,1000000,0
2012-08-13,42,36.95,36.95,36.95,36.95,1000000,0
2012-08-14,43,36.95,36.95,36.95,36.95,1000000,0
2012-08-16,45,36.15,36.15,36.15,36.15,1000000,0
2012-08-17,46,36.0,36.0,36.0,36.0,1000000,0
2012-08-21,50,36.2,36.2,36.2,36.2,1000000,0
2012-08-22,51,36.2,36.2,36.2,36.2,1000000,0
2012-08-23,52,35.9,35.9,35.9,35.9,1000000,0
2012-08-24,53,35.25,35.25,35.25,35.25,1000000,0
2012-08-27,56,35.05,35.05,35.05,35.05,1000000,0
2012-08-28,57,35.95,35.95,35.95,35.95,1000000,0
2012-08-29,58,35.05,35.05,35.05,35.05,1000000,0
2012-08-30,59,35.1,35.1,35.1,35.1,1000000,0
2012-08-31,60,35.55,35.55,35.55,35.55,1000000,0
2012-09-03,63,35.3,35.3,35.3,35.3,1000000,0
2012-09-04,64,34.85,34.85,34.85,34.85,1000000,0
2012-09-05,65,34.5,34.5,34.5,34.5,1000000,0
2012-09-06,66,35.45,35.45,35.45,35.45,1000000,0
2012-09-07,67,35.8,35.8,35.8,35.8,1000000,0
2012-09-10,70,35.95,35.95,35.95,35.95,1000000,0
2012-09-11,71,39.1,39.1,39.1,39.1,1000000,0
2012-09-12,72,37.15,37.15,37.15,37.15,1000000,0
2012-09-13,73,36.55,36.55,36.55,36.55,1000000,0
2012-09-14,74,37.2,37.2,37.2,37.2,1000000,0
2012-09-17,77,37.5,37.5,37.5,37.5,1000000,0
2012-09-18,78,38.75,38.75,38.75,38.75,1000000,0
2012-09-20,80,40.05,40.05,40.05,40.05,1000000,0
2012-09-21,81,42.2,42.2,42.2,42.2,1000000,0
2012-09-24,84,43.45,43.45,43.45,43.45,1000000,0
2012-09-25,85,45.1,45.1,45.1,45.1,1000000,0
2012-09-26,86,46.15,46.15,46.15,46.15,1000000,0
2012-09-27,87,47.75,47.75,47.75,47.75,1000000,0
2012-09-28,88,47.15,47.15,47.15,47.15,1000000,0
2012-10-01,91,46.45,46.45,46.45,46.45,1000000,0
2012-10-03,93,44.05,44.05,44.05,44.05,1000000,0
2012-10-04,94,52.85,52.85,52.85,52.85,1000000,0
2012-10-05,95,51.1,51.1,51.1,51.1,1000000,0
2012-10-08,98,50.8,50.8,50.8,50.8,1000000,0
2012-10-09,99,50.1,50.1,50.1,50.1,1000000,0
2012-10-10,100,51.75,51.75,51.75,51.75,1000000,0
2012-10-11,101,51.95,51.95,51.95,51.95,1000000,0
2012-10-12,102,50.6,50.6,50.6,50.6,1000000,0
2012-10-15,105,50.8,50.8,50.8,50.8,1000000,0
2012-10-16,106,51.3,51.3,51.3,51.3,1000000,0
2012-10-17,107,50.85,50.85,50.85,50.85,1000000,0
2012-10-18,108,51.25,51.25,51.25,51.25,1000000,0
2012-10-19,109,49.7,49.7,49.7,49.7,1000000,0
2012-10-22,112,58.4,58.4,58.4,58.4,1000000,0
2012-10-23,113,70.05,70.05,70.05,70.05,1000000,0
2012-10-25,115,81.05,81.05,81.05,81.05,1000000,0
2012-10-26,116,76.3,76.3,76.3,76.3,1000000,0
2012-10-29,119,72.3,72.3,72.3,72.3,1000000,0
2012-10-30,120,70.7,70.7,70.7,70.7,1000000,0
2012-10-31,121,73.1,73.1,73.1,73.1,1000000,0
2012-11-01,122,72.85,72.85,72.85,72.85,1000000,0
2012-11-02,123,71.05,71.05,71.05,71.05,1000000,0
2012-11-05,126,71.2,71.2,71.2,71.2,1000000,0
2012-11-06,127,73.15,73.15,73.15,73.15,1000000,0
2012-11-07,128,72.2,72.2,72.2,72.2,1000000,0
2012-11-08,129,74.65,74.65,74.65,74.65,1000000,0
2012-11-09,130,71.55,71.55,71.55,71.55,1000000,0
2012-11-12,133,73.8,73.8,73.8,73.8,1000000,0
2012-11-13,134,72.3,72.3,72.3,72.3,1000000,0
2012-11-15,136,72.65,72.65,72.65,72.65,1000000,0
2012-11-16,137,69.65,69.65,69.65,69.65,1000000,0
2012-11-19,140,66.0,66.0,66.0,66.0,1000000,0
2012-11-20,141,64.15,64.15,64.15,64.15,1000000,0
2012-11-21,142,70.55,70.55,70.55,70.55,1000000,0
2012-11-22,143,69.0,69.0,69.0,69.0,1000000,0
2012-11-23,144,69.75,69.75,69.75,69.75,1000000,0
2012-11-26,147,70.0,70.0,70.0,70.0,1000000,0
2012-11-27,148,70.85,70.85,70.85,70.85,1000000,0
2012-11-29,150,69.85,69.85,69.85,69.85,1000000,0
2012-11-30,151,68.75,68.75,68.75,68.75,1000000,0
2012-12-03,154,71.35,71.35,71.35,71.35,1000000,0
2012-12-04,155,70.9,70.9,70.9,70.9,1000000,0
2012-12-05,156,74.0,74.0,74.0,74.0,1000000,0
2012-12-06,157,75.05,75.05,75.05,75.05,1000000,0
2012-12-07,158,72.65,72.65,72.65,72.65,1000000,0
2012-12-10,161,72.8,72.8,72.8,72.8,1000000,0
2012-12-11,162,71.2,71.2,71.2,71.2,1000000,0
2012-12-12,163,70.0,70.0,70.0,70.0,1000000,0
2012-12-13,164,69.0,69.0,69.0,69.0,1000000,0
2012-12-14,165,69.9,69.9,69.9,69.9,1000000,0
2012-12-17,168,74.2,74.2,74.2,74.2,1000000,0
2012-12-18,169,74.3,74.3,74.3,74.3,1000000,0
2012-12-19,170,78.2,78.2,78.2,78.2,1000000,0
2012-12-20,171,77.1,77.1,77.1,77.1,1000000,0
2012-12-21,172,72.3,72.3,72.3,72.3,1000000,0
2012-12-24,175,71.55,71.55,71.55,71.55,1000000,0
2012-12-26,177,72.6,72.6,72.6,72.6,1000000,0
2012-12-27,178,71.35,71.35,71.35,71.35,1000000,0
2012-12-28,179,70.45,70.45,70.45,70.45,1000000,0
2012-12-31,182,71.9,71.9,71.9,71.9,1000000,0
2013-01-01,183,72.55,72.55,72.55,72.55,1000000,0
2013-01-02,184,72.9,72.9,72.9,72.9,1000000,0
2013-01-03,185,73.95,73.95,73.95,73.95,1000000,0
2013-01-04,186,73.4,73.4,73.4,73.4,1000000,0
2013-01-07,189,77.4,77.4,77.4,77.4,1000000,0
2013-01-08,190,77.05,77.05,77.05,77.05,1000000,0
2013-01-09,191,76.35,76.35,76.35,76.35,1000000,0
2013-01-10,192,74.55,74.55,74.55,74.55,1000000,0
2013-01-11,193,72.6,72.6,72.6,72.6,1000000,0
2013-01-14,196,74.25,74.25,74.25,74.25,1000000,0
2013-01-15,197,74.9,74.9,74.9,74.9,1000000,0
2013-01-16,198,72.8,72.8,72.8,72.8,1000000,0
2013-01-17,199,72.55,72.55,72.55,72.55,1000000,0
2013-01-18,200,76.35,76.35,76.35,76.35,1000000,0
2013-01-21,203,76.65,76.65,76.65,76.65,1000000,0
2013-01-22,204,73.4,73.4,73.4,73.4,1000000,0
2013-01-23,205,71.05,71.05,71.05,71.05,1000000,0
2013-01-24,206,67.25,67.25,67.25,67.25,1000000,0
2013-01-25,207,69.5,69.5,69.5,69.5,1000000,0
2013-01-28,210,69.6,69.6,69.6,69.6,1000000,0
2013-01-29,211,68.7,68.7,68.7,68.7,1000000,0
2013-01-30,212,69.1,69.1,69.1,69.1,1000000,0
2013-01-31,213,67.0,67.0,67.0,67.0,1000000,0
2013-02-01,214,66.15,66.15,66.15,66.15,1000000,0
2013-02-04,217,65.05,65.05,65.05,65.05,1000000,0
2013-02-05,218,62.75,62.75,62.75,62.75,1000000,0
2013-02-06,219,62.6,62.6,62.6,62.6,1000000,0
2013-02-07,220,60.55,60.55,60.55,60.55,1000000,0
2013-02-08,221,58.45,58.45,58.45,58.45,1000000,0
2013-02-11,224,58.1,58.1,58.1,58.1,1000000,0
2013-02-12,225,56.8,56.8,56.8,56.8,1000000,0
2013-02-13,226,59.3,59.3,59.3,59.3,1000000,0
2013-02-14,227,58.45,58.45,58.45,58.45,1000000,0
2013-02-15,228,57.15,57.15,57.15,57.15,1000000,0
2013-02-18,231,57.75,57.75,57.75,57.75,1000000,0
2013-02-19,232,61.65,61.65,61.65,61.65,1000000,0
2013-02-20,233,61.75,61.75,61.75,61.75,1000000,0
2013-02-21,234,58.95,58.95,58.95,58.95,1000000,0
2013-02-22,235,58.4,58.4,58.4,58.4,1000000,0
2013-02-25,238,54.65,54.65,54.65,54.65,1000000,0
2013-02-26,239,51.05,51.05,51.05,51.05,1000000,0
2013-02-27,240,52.95,52.95,52.95,52.95,1000000,0
2013-02-28,241,51.15,51.15,51.15,51.15,1000000,0
2013-03-01,242,51.85,51.85,51.85,51.85,1000000,0
2013-03-04,245,48.9,48.9,48.9,48.9,1000000,0
2013-03-05,246,49.7,49.7,49.7,49.7,1000000,0
2013-03-06,247,51.7,51.7,51.7,51.7,1000000,0
2013-03-07,248,50.75,50.75,50.75,50.75,1000000,0
2013-03-08,249,50.9,50.9,50.9,50.9,1000000,0
2013-03-11,252,52.25,52.25,52.25,52.25,1000000,0
2013-03-12,253,49.85,49.85,49.85,49.85,1000000,0
2013-03-13,254,48.4,48.4,48.4,48.4,1000000,0
2013-03-14,255,49.1,49.1,49.1,49.1,1000000,0
2013-03-15,256,48.6,48.6,48.6,48.6,1000000,0
2013-03-18,259,47.45,47.45,47.45,47.45,1000000,0
2013-03-19,260,44.75,44.75,44.75,44.75,1000000,0
2013-03-20,261,42.1,42.1,42.1,42.1,1000000,0
2013-03-21,262,40.3,40.3,40.3,40.3,1000000,0
2013-03-22,263,39.6,39.6,39.6,39.6,1000000,0
2013-03-25,266,37.65,37.65,37.65,37.65,1000000,0
2013-03-26,267,36.55,36.55,36.55,36.55,1000000,0
2013-03-28,269,36.65,36.65,36.65,36.65,1000000,0
2013-04-01,273,38.95,38.95,38.95,38.95,1000000,0
2013-04-02,274,42.7,42.7,42.7,42.7,1000000,0
2013-04-03,275,45.35,45.35,45.35,45.35,1000000,0
2013-04-04,276,43.15,43.15,43.15,43.15,1000000,0
2013-04-05,277,44.05,44.05,44.05,44.05,1000000,0
2013-04-08,280,44.95,44.95,44.95,44.95,1000000,0
2013-04-09,281,43.85,43.85,43.85,43.85,1000000,0
2013-04-10,282,43.4,43.4,43.4,43.4,1000000,0
2013-04-11,283,43.75,43.75,43.75,43.75,1000000,0
