Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,98.34,98.34,98.34,98.34,1,0
2012-07-03,1,98.07,98.07,98.07,98.07,1,0
2012-07-04,2,100.5,100.5,100.5,100.5,1,0
2012-07-05,3,98.56,98.56,98.56,98.56,1,0
2012-07-06,4,96.11,96.11,96.11,96.11,1,0
2012-07-09,7,96.07,96.07,96.07,96.07,1,0
2012-07-10,8,94.05,94.05,94.05,94.05,1,0
2012-07-11,9,95.11,95.11,95.11,95.11,1,0
2012-07-12,10,95.04,95.04,95.04,95.04,1,0
2012-07-13,11,97.39,97.39,97.39,97.39,1,0
2012-07-16,14,95.28,95.28,95.28,95.28,1,0
2012-07-17,15,94.01,94.01,94.01,94.01,1,0
2012-07-18,16,95.6,95.6,95.6,95.6,1,0
2012-07-19,17,104.95,104.95,104.95,104.95,1,0
2012-07-20,18,102.74,102.74,102.74,102.74,1,0
2012-07-23,21,103.51,103.51,103.51,103.51,1,0
2012-07-24,22,101.99,101.99,101.99,101.99,1,0
2012-07-25,23,98.99,98.99,98.99,98.99,1,0
2012-07-26,24,98.58,98.58,98.58,98.58,1,0
2012-07-27,25,98.0,98.0,98.0,98.0,1,0
2012-07-30,28,98.0,98.0,98.0,98.0,1,0
2012-07-31,29,99.89,99.89,99.89,99.89,1,0
2012-08-01,30,101.87,101.87,101.87,101.87,1,0
2012-08-02,31,102.19,102.19,102.19,102.19,1,0
2012-08-03,32,102.0,102.0,102.0,102.0,1,0
2012-08-06,35,102.79,102.79,102.79,102.79,1,0
2012-08-07,35,102.79,102.79,102.79,102.79,1,0
2012-08-08,37,102.8,102.8,102.8,102.8,1,0
2012-08-09,38,103.62,103.62,103.62,103.62,1,0
2012-08-10,39,102.9,102.9,102.9,102.9,1,0
2012-08-13,42,101.02,101.02,101.02,101.02,1,0
2012-08-14,43,101.01,101.01,101.01,101.01,1,0
2012-08-16,45,102.21,102.21,102.21,102.21,1,0
2012-08-17,46,104.97,104.97,104.97,104.97,1,0
2012-08-21,50,106.0,106.0,106.0,106.0,1,0
2012-08-22,51,105.19,105.19,105.19,105.19,1,0
2012-08-23,52,102.47,102.47,102.47,102.47,1,0
2012-08-24,53,102.05,102.05,102.05,102.05,1,0
2012-08-27,56,106.83,106.83,106.83,106.83,1,0
2012-08-28,57,107.65,107.65,107.65,107.65,1,0
2012-08-29,58,107.98,107.98,107.98,107.98,1,0
2012-08-30,59,108.97,108.97,108.97,108.97,1,0
2012-08-31,60,106.8,106.8,106.8,106.8,1,0
2012-09-03,63,105.57,105.57,105.57,105.57,1,0
2012-09-04,64,104.41,104.41,104.41,104.41,1,0
2012-09-05,65,104.02,104.02,104.02,104.02,1,0
2012-09-06,66,105.54,105.54,105.54,105.54,1,0
2012-09-07,67,104.14,104.14,104.14,104.14,1,0
2012-09-10,70,106.86,106.86,106.86,106.86,1,0
2012-09-11,71,108.73,108.73,108.73,108.73,1,0
2012-09-12,72,105.02,105.02,105.02,105.02,1,0
2012-09-13,73,104.0,104.0,104.0,104.0,1,0
2012-09-14,74,104.56,104.56,104.56,104.56,1,0
2012-09-17,77,106.99,106.99,106.99,106.99,1,0
2012-09-18,78,108.33,108.33,108.33,108.33,1,0
2012-09-20,80,108.0,108.0,108.0,108.0,1,0
2012-09-21,81,108.44,108.44,108.44,108.44,1,0
2012-09-24,84,109.71,109.71,109.71,109.71,1,0
2012-09-25,85,108.91,108.91,108.91,108.91,1,0
2012-09-26,86,108.67,108.67,108.67,108.67,1,0
2012-09-27,87,109.65,109.65,109.65,109.65,1,0
2012-09-28,88,108.37,108.37,108.37,108.37,1,0
2012-10-01,91,107.54,107.54,107.54,107.54,1,0
2012-10-03,93,113.05,113.05,113.05,113.05,1,0
2012-10-04,94,111.42,111.42,111.42,111.42,1,0
2012-10-05,95,108.99,108.99,108.99,108.99,1,0
2012-10-08,98,108.58,108.58,108.58,108.58,1,0
2012-10-09,99,107.75,107.75,107.75,107.75,1,0
2012-10-10,100,107.95,107.95,107.95,107.95,1,0
2012-10-11,101,107.44,107.44,107.44,107.44,1,0
2012-10-12,102,106.25,106.25,106.25,106.25,1,0
2012-10-15,105,105.36,105.36,105.36,105.36,1,0
2012-10-16,106,107.4,107.4,107.4,107.4,1,0
2012-10-17,107,105.95,105.95,105.95,105.95,1,0
2012-10-18,108,105.27,105.27,105.27,105.27,1,0
2012-10-19,109,108.05,108.05,108.05,108.05,1,0
2012-10-22,112,107.93,107.93,107.93,107.93,1,0
2012-10-23,113,107.43,107.43,107.43,107.43,1,0
2012-10-25,115,106.08,106.08,106.08,106.08,1,0
2012-10-26,116,106.0,106.0,106.0,106.0,1,0
2012-10-29,119,100.01,100.01,100.01,100.01,1,0
2012-10-30,120,99.49,99.49,99.49,99.49,1,0
2012-10-31,121,100.0,100.0,100.0,100.0,1,0
2012-11-01,122,102.41,102.41,102.41,102.41,1,0
2012-11-02,123,100.01,100.01,100.01,100.01,1,0
2012-11-05,126,100.46,100.46,100.46,100.46,1,0
2012-11-06,127,101.28,101.28,101.28,101.28,1,0
2012-11-07,128,99.79,99.79,99.79,99.79,1,0
2012-11-08,129,101.76,101.76,101.76,101.76,1,0
2012-11-09,130,100.0,100.0,100.0,100.0,1,0
2012-11-12,133,102.94,102.94,102.94,102.94,1,0
2012-11-13,134,105.56,105.56,105.56,105.56,1,0
2012-11-15,136,100.62,100.62,100.62,100.62,1,0
2012-11-16,137,102.81,102.81,102.81,102.81,1,0
2012-11-19,140,101.41,101.41,101.41,101.41,1,0
2012-11-20,141,102.02,102.02,102.02,102.02,1,0
2012-11-21,142,102.0,102.0,102.0,102.0,1,0
2012-11-22,143,102.36,102.36,102.36,102.36,1,0
2012-11-23,144,102.33,102.33,102.33,102.33,1,0
2012-11-26,147,103.21,103.21,103.21,103.21,1,0
2012-11-27,148,104.91,104.91,104.91,104.91,1,0
2012-11-29,150,104.0,104.0,104.0,104.0,1,0
2012-11-30,151,105.91,105.91,105.91,105.91,1,0
2012-12-03,154,105.86,105.86,105.86,105.86,1,0
2012-12-04,155,106.67,106.67,106.67,106.67,1,0
2012-12-05,156,108.28,108.28,108.28,108.28,1,0
2012-12-06,157,115.72,115.72,115.72,115.72,1,0
2012-12-07,158,109.71,109.71,109.71,109.71,1,0
2012-12-10,161,111.28,111.28,111.28,111.28,1,0
2012-12-11,162,110.21,110.21,110.21,110.21,1,0
2012-12-12,163,108.16,108.16,108.16,108.16,1,0
2012-12-13,164,107.96,107.96,107.96,107.96,1,0
2012-12-14,165,107.9,107.9,107.9,107.9,1,0
2012-12-17,168,114.41,114.41,114.41,114.41,1,0
2012-12-18,169,115.87,115.87,115.87,115.87,1,0
2012-12-19,170,116.16,116.16,116.16,116.16,1,0
2012-12-20,171,120.05,120.05,120.05,120.05,1,0
2012-12-21,172,116.75,116.75,116.75,116.75,1,0
2012-12-24,175,115.77,115.77,115.77,115.77,1,0
2012-12-26,177,115.54,115.54,115.54,115.54,1,0
2012-12-27,178,114.0,114.0,114.0,114.0,1,0
2012-12-28,179,112.39,112.39,112.39,112.39,1,0
2012-12-31,182,111.05,111.05,111.05,111.05,1,0
2013-01-01,183,112.15,112.15,112.15,112.15,1,0
2013-01-02,183,112.15,112.15,112.15,112.15,1,0
2013-01-03,183,112.15,112.15,112.15,112.15,1,0
2013-01-04,183,112.15,112.15,112.15,112.15,1,0
2013-01-07,183,112.15,112.15,112.15,112.15,1,0
2013-01-08,183,112.15,112.15,112.15,112.15,1,0
2013-01-09,183,112.15,112.15,112.15,112.15,1,0
2013-01-10,183,112.15,112.15,112.15,112.15,1,0
2013-01-11,183,112.15,112.15,112.15,112.15,1,0
2013-01-14,183,112.15,112.15,112.15,112.15,1,0
2013-01-15,183,112.15,112.15,112.15,112.15,1,0
2013-01-16,183,112.15,112.15,112.15,112.15,1,0
2013-01-17,183,112.15,112.15,112.15,112.15,1,0
