Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,166.6,166.6,166.6,166.6,1000000,0
2012-07-03,1,165.55,165.55,165.55,165.55,1000000,0
2012-07-04,2,166.75,166.75,166.75,166.75,1000000,0
2012-07-05,3,171.1,171.1,171.1,171.1,1000000,0
2012-07-06,4,169.5,169.5,169.5,169.5,1000000,0
2012-07-09,7,167.05,167.05,167.05,167.05,1000000,0
2012-07-10,8,163.6,163.6,163.6,163.6,1000000,0
2012-07-11,9,160.65,160.65,160.65,160.65,1000000,0
2012-07-12,10,162.3,162.3,162.3,162.3,1000000,0
2012-07-13,11,162.5,162.5,162.5,162.5,1000000,0
2012-07-16,14,161.75,161.75,161.75,161.75,1000000,0
2012-07-17,15,162.6,162.6,162.6,162.6,1000000,0
2012-07-18,16,161.25,161.25,161.25,161.25,1000000,0
2012-07-19,17,162.15,162.15,162.15,162.15,1000000,0
2012-07-20,18,160.65,160.65,160.65,160.65,1000000,0
2012-07-23,21,158.95,158.95,158.95,158.95,1000000,0
2012-07-24,22,163.35,163.35,163.35,163.35,1000000,0
2012-07-25,23,164.95,164.95,164.95,164.95,1000000,0
2012-07-26,24,164.25,164.25,164.25,164.25,1000000,0
2012-07-27,25,166.5,166.5,166.5,166.5,1000000,0
2012-07-30,28,169.05,169.05,169.05,169.05,1000000,0
2012-07-31,29,167.2,167.2,167.2,167.2,1000000,0
2012-08-01,30,168.5,168.5,168.5,168.5,1000000,0
2012-08-02,31,170.8,170.8,170.8,170.8,1000000,0
2012-08-03,32,171.95,171.95,171.95,171.95,1000000,0
2012-08-06,35,179.4,179.4,179.4,179.4,1000000,0
2012-08-07,36,180.0,180.0,180.0,180.0,1000000,0
2012-08-08,37,180.6,180.6,180.6,180.6,1000000,0
2012-08-09,38,178.85,178.85,178.85,178.85,1000000,0
2012-08-10,39,176.15,176.15,176.15,176.15,1000000,0
2012-08-13,42,180.75,180.75,180.75,180.75,1000000,0
2012-08-14,43,177.6,177.6,177.6,177.6,1000000,0
2012-08-16,45,180.05,180.05,180.05,180.05,1000000,0
2012-08-17,46,179.1,179.1,179.1,179.1,1000000,0
2012-08-21,50,180.0,180.0,180.0,180.0,1000000,0
2012-08-22,51,185.35,185.35,185.35,185.35,1000000,0
2012-08-23,52,190.9,190.9,190.9,190.9,1000000,0
2012-08-24,53,189.7,189.7,189.7,189.7,1000000,0
2012-08-27,56,190.65,190.65,190.65,190.65,1000000,0
2012-08-28,57,186.2,186.2,186.2,186.2,1000000,0
2012-08-29,58,185.75,185.75,185.75,185.75,1000000,0
2012-08-30,59,186.05,186.05,186.05,186.05,1000000,0
2012-08-31,60,189.9,189.9,189.9,189.9,1000000,0
2012-09-03,63,199.5,199.5,199.5,199.5,1000000,0
2012-09-04,64,198.85,198.85,198.85,198.85,1000000,0
2012-09-05,65,195.05,195.05,195.05,195.05,1000000,0
2012-09-06,66,197.2,197.2,197.2,197.2,1000000,0
2012-09-07,67,198.75,198.75,198.75,198.75,1000000,0
2012-09-10,70,208.75,208.75,208.75,208.75,1000000,0
2012-09-11,71,202.8,202.8,202.8,202.8,1000000,0
2012-09-12,72,206.7,206.7,206.7,206.7,1000000,0
2012-09-13,73,208.25,208.25,208.25,208.25,1000000,0
2012-09-14,74,205.8,205.8,205.8,205.8,1000000,0
2012-09-17,77,206.2,206.2,206.2,206.2,1000000,0
2012-09-18,78,203.3,203.3,203.3,203.3,1000000,0
2012-09-20,80,201.75,201.75,201.75,201.75,1000000,0
2012-09-21,81,204.05,204.05,204.05,204.05,1000000,0
2012-09-24,84,202.55,202.55,202.55,202.55,1000000,0
2012-09-25,85,203.65,203.65,203.65,203.65,1000000,0
2012-09-26,86,204.8,204.8,204.8,204.8,1000000,0
2012-09-27,87,202.0,202.0,202.0,202.0,1000000,0
2012-09-28,88,206.15,206.15,206.15,206.15,1000000,0
2012-10-01,91,211.4,211.4,211.4,211.4,1000000,0
2012-10-03,93,210.65,210.65,210.65,210.65,1000000,0
2012-10-04,94,208.0,208.0,208.0,208.0,1000000,0
2012-10-05,95,207.7,207.7,207.7,207.7,1000000,0
2012-10-08,98,203.5,203.5,203.5,203.5,1000000,0
2012-10-09,99,199.4,199.4,199.4,199.4,1000000,0
2012-10-10,100,197.0,197.0,197.0,197.0,1000000,0
2012-10-11,101,200.15,200.15,200.15,200.15,1000000,0
2012-10-12,102,201.0,201.0,201.0,201.0,1000000,0
2012-10-15,105,200.9,200.9,200.9,200.9,1000000,0
2012-10-16,106,197.9,197.9,197.9,197.9,1000000,0
2012-10-17,107,199.45,199.45,199.45,199.45,1000000,0
2012-10-18,108,203.35,203.35,203.35,203.35,1000000,0
2012-10-19,109,200.2,200.2,200.2,200.2,1000000,0
2012-10-22,112,198.9,198.9,198.9,198.9,1000000,0
2012-10-23,113,196.5,196.5,196.5,196.5,1000000,0
2012-10-25,115,195.15,195.15,195.15,195.15,1000000,0
2012-10-26,116,193.9,193.9,193.9,193.9,1000000,0
2012-10-29,119,197.15,197.15,197.15,197.15,1000000,0
2012-10-30,120,193.5,193.5,193.5,193.5,1000000,0
2012-10-31,121,192.3,192.3,192.3,192.3,1000000,0
2012-11-01,122,193.35,193.35,193.35,193.35,1000000,0
2012-11-02,123,191.35,191.35,191.35,191.35,1000000,0
2012-11-05,126,189.45,189.45,189.45,189.45,1000000,0
2012-11-06,127,190.65,190.65,190.65,190.65,1000000,0
2012-11-07,128,200.8,200.8,200.8,200.8,1000000,0
2012-11-08,129,206.45,206.45,206.45,206.45,1000000,0
2012-11-09,130,207.0,207.0,207.0,207.0,1000000,0
2012-11-12,133,208.5,208.5,208.5,208.5,1000000,0
2012-11-13,134,208.9,208.9,208.9,208.9,1000000,0
2012-11-15,136,204.15,204.15,204.15,204.15,1000000,0
2012-11-16,137,202.1,202.1,202.1,202.1,1000000,0
2012-11-19,140,199.55,199.55,199.55,199.55,1000000,0
2012-11-20,141,202.95,202.95,202.95,202.95,1000000,0
2012-11-21,142,205.05,205.05,205.05,205.05,1000000,0
2012-11-22,143,205.6,205.6,205.6,205.6,1000000,0
2012-11-23,144,203.8,203.8,203.8,203.8,1000000,0
2012-11-26,147,203.15,203.15,203.15,203.15,1000000,0
2012-11-27,148,207.4,207.4,207.4,207.4,1000000,0
2012-11-29,150,212.0,212.0,212.0,212.0,1000000,0
2012-11-30,151,214.55,214.55,214.55,214.55,1000000,0
2012-12-03,154,215.3,215.3,215.3,215.3,1000000,0
2012-12-04,155,210.95,210.95,210.95,210.95,1000000,0
2012-12-05,156,210.95,210.95,210.95,210.95,1000000,0
2012-12-06,157,210.35,210.35,210.35,210.35,1000000,0
2012-12-07,158,211.7,211.7,211.7,211.7,1000000,0
2012-12-10,161,211.8,211.8,211.8,211.8,1000000,0
2012-12-11,162,212.8,212.8,212.8,212.8,1000000,0
2012-12-12,163,213.75,213.75,213.75,213.75,1000000,0
2012-12-13,164,212.6,212.6,212.6,212.6,1000000,0
2012-12-14,165,212.5,212.5,212.5,212.5,1000000,0
2012-12-17,168,214.75,214.75,214.75,214.75,1000000,0
2012-12-18,169,210.75,210.75,210.75,210.75,1000000,0
2012-12-19,170,210.5,210.5,210.5,210.5,1000000,0
2012-12-20,171,210.25,210.25,210.25,210.25,1000000,0
2012-12-21,172,207.8,207.8,207.8,207.8,1000000,0
2012-12-24,175,212.4,212.4,212.4,212.4,1000000,0
2012-12-26,177,214.6,214.6,214.6,214.6,1000000,0
2012-12-27,178,216.15,216.15,216.15,216.15,1000000,0
2012-12-28,179,214.9,214.9,214.9,214.9,1000000,0
2012-12-31,182,218.1,218.1,218.1,218.1,1000000,0
