Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,162.8,162.8,162.8,162.8,1000000,0
2012-07-03,1,165.89,165.89,165.89,165.89,1000000,0
2012-07-04,2,169.24,169.24,169.24,169.24,1000000,0
2012-07-05,3,169.13,169.13,169.13,169.13,1000000,0
2012-07-06,4,168.18,168.18,168.18,168.18,1000000,0
2012-07-09,7,167.48,167.48,167.48,167.48,1000000,0
2012-07-10,8,172.95,172.95,172.95,172.95,1000000,0
2012-07-11,9,172.6,172.6,172.6,172.6,1000000,0
2012-07-12,10,168.92,168.92,168.92,168.92,1000000,0
2012-07-13,11,168.59,168.59,168.59,168.59,1000000,0
2012-07-16,14,170.53,170.53,170.53,170.53,1000000,0
2012-07-17,15,171.41,171.41,171.41,171.41,1000000,0
2012-07-18,16,166.41,166.41,166.41,166.41,1000000,0
2012-07-19,17,164.74,164.74,164.74,164.74,1000000,0
2012-07-20,18,163.88,163.88,163.88,163.88,1000000,0
2012-07-23,21,161.07,161.07,161.07,161.07,1000000,0
2012-07-24,22,161.35,161.35,161.35,161.35,1000000,0
2012-07-25,23,158.44,158.44,158.44,158.44,1000000,0
2012-07-26,24,151.19,151.19,151.19,151.19,1000000,0
2012-07-27,25,142.97,142.97,142.97,142.97,1000000,0
2012-07-30,28,146.12,146.12,146.12,146.12,1000000,0
2012-07-31,29,145.42,145.42,145.42,145.42,1000000,0
2012-08-01,30,146.23,146.23,146.23,146.23,1000000,0
2012-08-02,31,145.72,145.72,145.72,145.72,1000000,0
2012-08-03,32,148.1,148.1,148.1,148.1,1000000,0
2012-08-06,35,148.79,148.79,148.79,148.79,1000000,0
2012-08-07,36,150.44,150.44,150.44,150.44,1000000,0
2012-08-08,37,148.28,148.28,148.28,148.28,1000000,0
2012-08-09,38,146.34,146.34,146.34,146.34,1000000,0
2012-08-10,39,144.26,144.26,144.26,144.26,1000000,0
2012-08-13,42,143.83,143.83,143.83,143.83,1000000,0
2012-08-14,43,146.42,146.42,146.42,146.42,1000000,0
2012-08-16,45,145.87,145.87,145.87,145.87,1000000,0
2012-08-17,46,145.47,145.47,145.47,145.47,1000000,0
2012-08-21,50,143.96,143.96,143.96,143.96,1000000,0
2012-08-22,51,141.91,141.91,141.91,141.91,1000000,0
2012-08-23,52,143.35,143.35,143.35,143.35,1000000,0
2012-08-24,53,142.23,142.23,142.23,142.23,1000000,0
2012-08-27,56,135.81,135.81,135.81,135.81,1000000,0
2012-08-28,57,135.17,135.17,135.17,135.17,1000000,0
2012-08-29,58,133.23,133.23,133.23,133.23,1000000,0
2012-08-30,59,135.87,135.87,135.87,135.87,1000000,0
2012-08-31,60,135.31,135.31,135.31,135.31,1000000,0
2012-09-03,63,133.84,133.84,133.84,133.84,1000000,0
2012-09-04,64,135.44,135.44,135.44,135.44,1000000,0
2012-09-05,65,133.77,133.77,133.77,133.77,1000000,0
2012-09-06,66,133.27,133.27,133.27,133.27,1000000,0
2012-09-07,67,136.65,136.65,136.65,136.65,1000000,0
2012-09-10,70,137.28,137.28,137.28,137.28,1000000,0
2012-09-11,71,137.01,137.01,137.01,137.01,1000000,0
